Date,Open,High,Low,Close,Volume
2001-01-12,2.9,2.9,2.9,2.9,500.0
2001-01-15,2.9,2.9,2.9,2.9,500.0
2001-01-18,2.9,1.5,1.5,1.5,6500.0
2001-01-19,1.5,1.85,1.85,1.85,1000.0
2001-01-24,1.85,1.9,1.9,1.9,1500.0
2001-01-25,1.9,1.5,1.5,1.5,1000.0
2001-01-29,1.5,1.75,1.75,1.75,1000.0
2001-02-06,1.75,1.75,1.75,1.75,500.0
2001-02-14,1.75,1.0,1.0,1.0,500.0
2001-02-16,1.0,1.5,1.5,1.5,1500.0
2001-02-20,1.5,2.0,2.0,2.0,2500.0
2001-02-21,2.0,1.75,1.75,1.75,1000.0
2001-02-26,1.75,1.6,1.6,1.6,500.0
2001-03-19,1.6,1.5,1.5,1.5,1000.0
2001-03-20,1.5,1.5,1.25,1.25,1500.0
2001-03-22,1.25,1.3,1.05,1.3,3000.0
2001-05-04,1.3,1.5,1.5,1.5,500.0
2001-05-09,1.5,2.0,2.0,2.0,2000.0
2001-05-10,2.0,1.15,1.15,1.15,500.0
2001-05-11,1.15,1.25,1.25,1.25,500.0
2001-05-16,1.25,1.0,1.0,1.0,2000.0
2001-06-18,1.0,1.0,1.0,1.0,500.0
2001-06-27,1.0,1.0,1.0,1.0,500.0
2001-07-03,1.0,1.1,1.1,1.1,500.0
2001-12-15,1.1,0.5,0.5,0.5,500.0
2002-01-14,0.5,0.4,0.4,0.4,1500.0
2002-01-25,0.4,0.65,0.65,0.65,1000.0
2002-02-01,0.65,1.1,1.1,1.1,1000.0
2002-02-04,1.1,1.2,1.2,1.2,4500.0
2002-02-06,1.2,1.2,1.2,1.2,5000.0
2002-02-11,1.2,1.45,1.45,1.45,1000.0
2002-02-19,1.45,1.4,1.4,1.4,1000.0
2002-03-22,1.4,1.1,1.1,1.1,0.0
2002-04-03,1.1,1.0,1.0,1.0,0.0
2002-04-04,1.0,1.1,1.1,1.0,1000.0
2002-04-08,1.0,1.0,1.0,1.0,2500.0
2002-04-09,1.0,1.1,1.1,1.1,4000.0
2002-04-16,1.1,1.2,1.2,1.2,0.0
2002-04-17,1.2,1.2,1.2,1.2,500.0
2002-04-18,1.2,1.45,1.45,1.45,500.0
2002-04-22,1.45,2.9,1.5,2.9,5000.0
2002-04-23,2.9,1.75,1.5,1.5,3000.0
2002-04-25,1.5,1.2,1.15,1.2,2500.0
