Date,Open,High,Low,Close,Volume
2001-01-15,2.5,2.5,2.5,2.5,1000.0
2001-04-18,2.5,2.5,2.5,2.5,500.0
2001-04-24,2.5,2.5,2.45,2.5,2500.0
2001-06-15,2.5,2.5,2.5,2.5,4500.0
2001-06-20,2.5,2.6,2.6,2.6,2000.0
2001-06-21,2.6,2.15,2.15,2.15,500.0
2001-06-22,2.15,2.8,2.7,2.8,9000.0
2001-06-25,2.8,2.8,2.8,2.8,2500.0
2001-06-28,2.8,2.6,2.6,2.6,500.0
2001-06-29,2.6,2.65,2.6,2.65,3000.0
2001-12-08,2.65,2.65,2.65,2.65,500.0
2001-12-10,2.65,2.65,2.5,2.65,3000.0
2001-12-20,2.65,2.65,2.65,2.65,500.0
2002-01-08,2.65,2.65,2.5,2.5,1000.0
2002-01-10,2.5,2.65,2.6,2.65,2000.0
2002-01-24,2.65,2.0,2.0,2.0,500.0
2002-01-25,2.0,2.65,2.0,2.65,3500.0
2002-02-18,2.65,2.7,2.7,2.7,1000.0
2002-02-19,2.7,2.9,2.9,2.9,500.0
2002-02-21,2.9,3.0,3.0,3.0,500.0
2002-03-04,3.0,4.0,4.0,4.0,500.0
2002-03-19,2.8,2.8,2.8,2.8,0.0
2002-04-26,2.8,3.5,3.5,3.5,500.0
2002-08-07,3.5,3.0,3.0,3.0,0.0
2002-09-30,2.5,2.5,2.5,2.5,0.0
2002-10-29,2.5,2.55,2.55,2.55,0.0
2002-11-25,2.55,2.55,2.55,2.55,30000.0
2002-11-27,2.55,4.05,4.05,4.05,500.0
2002-11-28,4.05,3.1,3.05,3.05,4500.0
2002-11-29,3.05,3.5,3.5,3.5,5000.0
2002-12-02,3.5,3.7,3.5,3.7,6500.0
2002-12-04,3.7,5.2,3.7,5.2,20500.0
2002-12-09,5.2,6.0,5.0,5.0,1000.0
2002-12-10,5.0,5.1,4.15,5.1,2500.0
2002-12-12,5.1,5.55,4.3,5.55,2500.0
2002-12-13,5.55,5.25,5.0,5.25,500.0
2002-12-16,5.25,5.25,5.2,5.25,500.0
2002-12-17,5.25,5.95,5.75,5.95,1500.0
2002-12-19,5.95,5.6,5.55,5.6,500.0
2002-12-20,5.6,6.7,6.7,6.7,500.0
2003-01-08,6.7,6.75,6.25,6.7,6000.0
