Date,Open,High,Low,Close,Volume
2001-01-24,5.2,4.0,4.0,4.0,500.0
2002-04-29,4.0,4.0,4.0,4.0,50000.0
2002-05-16,4.0,5.0,5.0,5.0,0.0
2002-05-20,5.0,4.75,4.75,4.75,0.0
2002-05-30,4.75,4.75,4.75,4.75,1000.0
2002-06-04,4.75,4.75,4.75,4.75,500.0
2002-07-01,4.75,4.75,4.75,4.75,500.0
2002-07-08,4.75,5.0,5.0,5.0,500.0
2002-07-12,5.0,5.0,5.0,5.0,1000.0
2002-07-15,5.0,5.0,5.0,5.0,500.0
2002-07-31,5.0,5.05,5.05,5.05,0.0
2002-08-02,5.05,5.5,5.5,5.5,1000.0
2002-08-23,5.5,5.0,5.0,5.0,500.0
2002-09-18,5.0,4.95,4.95,4.95,0.0
2002-09-19,4.95,4.85,4.85,4.85,0.0
2002-10-01,4.85,5.0,5.0,5.0,0.0
2002-10-16,5.0,6.0,6.0,6.0,500.0
2002-10-17,6.0,6.25,6.25,6.25,0.0
2002-10-23,6.25,7.75,7.75,7.75,500.0
2002-11-14,7.75,7.7,7.7,7.7,0.0
2002-11-25,7.7,7.2,7.2,7.2,0.0
2002-11-26,7.2,6.2,6.2,6.2,500.0
2002-11-28,6.2,6.3,6.3,6.3,500.0
2002-12-02,6.3,6.0,6.0,6.0,1500.0
2002-12-04,6.0,6.0,6.0,6.0,1500.0
2003-01-22,6.0,5.5,5.5,5.5,0.0
2003-03-17,5.5,7.0,7.0,7.0,500.0
2003-04-08,7.0,7.5,7.0,7.0,3000.0
2003-04-09,7.0,7.0,6.5,7.0,5000.0
2003-04-14,7.0,7.5,7.5,7.5,1000.0
2003-04-15,7.5,8.0,7.5,7.5,2000.0
2003-04-16,7.5,9.0,8.5,9.0,3500.0
2003-04-17,9.0,10.5,10.45,10.5,1500.0
2003-04-18,10.5,12.0,11.95,12.0,2000.0
2003-04-21,12.0,13.5,13.5,13.5,1500.0
2003-04-24,13.5,13.45,13.45,13.45,0.0
2003-05-02,13.45,13.25,13.25,13.25,0.0
2003-05-07,13.25,12.25,12.25,12.25,1000.0
2003-05-08,12.25,12.0,12.0,12.0,500.0
2003-05-20,12.0,11.5,11.5,11.5,0.0
2003-05-23,11.5,11.0,11.0,11.0,0.0
2003-05-28,11.0,10.5,10.5,10.5,0.0
2003-06-11,10.5,10.25,10.25,10.25,3000.0
2003-06-18,10.25,10.25,10.25,10.25,1000.0
2003-06-19,10.25,9.25,9.25,9.25,1000.0
2003-06-20,9.25,9.0,9.0,9.0,500.0
2003-06-25,9.0,9.0,9.0,9.0,500.0
2003-06-26,9.0,10.25,10.25,10.25,500.0
2003-06-30,10.25,10.0,10.0,10.0,0.0
2003-07-01,10.0,9.5,9.5,9.5,0.0
2003-07-04,9.5,9.0,9.0,9.0,0.0
2003-07-07,9.0,9.0,9.0,9.0,500.0
2003-07-08,9.0,9.25,9.25,9.25,0.0
2003-07-10,9.25,9.3,9.3,9.3,0.0
2003-07-11,9.3,9.5,9.5,9.5,1000.0
2003-07-22,9.5,10.0,10.0,10.0,2000.0
2003-10-13,10.0,9.75,9.75,9.75,0.0
2003-11-06,9.75,8.75,8.75,8.75,0.0
2003-11-10,8.75,7.75,7.75,7.75,500.0
2003-12-03,7.75,6.75,6.75,6.75,1000.0
2003-12-04,6.75,7.15,7.15,7.15,500.0
2003-12-10,7.15,7.55,7.55,7.55,4500.0
2003-12-18,7.55,8.0,8.0,8.0,0.0
2003-12-19,8.0,9.5,9.5,9.5,3000.0
2003-12-22,9.5,11.0,11.0,11.0,500.0
2004-01-14,11.0,10.5,10.5,10.5,5000.0
2004-02-13,10.5,10.5,10.5,10.5,2500.0
2004-03-08,10.5,11.75,10.5,11.75,1000.0
2004-03-09,11.75,11.75,11.75,11.75,500.0
2004-03-12,11.75,11.7,11.7,11.7,0.0
2004-03-17,11.7,10.9,10.7,10.75,2500.0
2004-03-25,10.75,11.15,11.15,11.15,500.0
2004-03-26,11.15,11.25,11.25,11.25,1500.0
2004-03-30,11.25,11.55,11.55,11.55,0.0
2004-04-01,11.55,12.05,12.05,12.05,0.0
2004-04-06,12.05,12.25,12.25,12.25,0.0
2004-04-07,12.25,13.0,13.0,13.0,0.0
2004-04-08,13.0,13.0,13.0,13.0,2500.0
2004-04-13,13.0,13.3,13.3,13.3,2500.0
2004-04-14,13.3,13.7,13.25,13.7,1500.0
2004-04-15,13.7,14.25,14.25,14.25,500.0
2004-04-16,14.25,14.5,14.5,14.5,500.0
2004-04-19,14.5,15.5,14.6,15.0,5500.0
2004-04-20,15.0,15.1,15.1,15.1,0.0
2004-04-27,15.1,14.6,14.5,14.6,500.0
2004-05-05,14.6,14.25,14.0,14.25,3000.0
2004-05-06,14.25,15.75,15.0,15.45,3000.0
2004-05-07,15.45,15.25,15.25,15.25,0.0
2004-05-10,15.25,14.25,14.25,14.25,500.0
2004-05-11,14.25,15.75,15.0,15.75,5500.0
2004-05-12,15.75,16.8,16.75,16.75,1500.0
2004-05-14,16.75,15.75,15.75,15.75,500.0
2004-05-18,15.75,14.75,14.75,14.75,500.0
2004-05-28,14.75,14.15,14.0,14.15,2000.0
2004-06-01,14.15,15.0,14.0,15.0,5500.0
2004-06-09,15.0,14.0,14.0,14.0,4000.0
2004-06-10,14.0,14.0,14.0,14.0,2000.0
2004-06-11,14.0,14.0,14.0,14.0,2500.0
2004-06-15,14.0,14.0,14.0,14.0,1000.0
2004-06-16,14.0,15.5,15.5,15.5,5000.0
2004-06-17,15.5,15.5,15.5,15.5,2000.0
