Date,Open,High,Low,Close,Volume
2001-01-01,1.65,1.75,1.65,1.75,12500.0
2001-01-02,1.75,1.75,1.75,1.75,4000.0
2001-01-03,1.75,1.7,1.7,1.7,500.0
2001-01-04,1.7,1.95,1.5,1.75,11500.0
2001-01-05,1.75,1.9,1.9,1.9,1000.0
2001-01-10,1.9,1.6,1.6,1.6,6000.0
2001-01-11,1.6,1.6,1.6,1.6,500.0
2001-01-16,1.6,1.5,1.5,1.5,1500.0
2001-01-18,1.5,1.5,1.5,1.5,500.0
2001-01-19,1.5,1.65,1.65,1.65,1000.0
2001-02-19,1.65,1.2,1.2,1.2,1000.0
2001-02-20,1.2,1.5,1.5,1.5,500.0
2001-02-22,1.5,1.3,1.3,1.3,500.0
2001-02-23,1.3,1.4,1.35,1.35,2500.0
2001-02-26,1.35,1.5,1.5,1.5,500.0
2001-02-27,1.5,1.4,1.3,1.4,9000.0
2001-02-28,1.4,1.5,1.5,1.5,1000.0
2001-03-14,1.5,1.4,1.4,1.4,500.0
2001-03-16,1.4,1.4,1.4,1.4,0.0
2001-03-26,1.4,1.25,1.25,1.25,500.0
2001-04-03,1.25,1.25,1.25,1.25,1000.0
2001-04-11,1.25,1.25,1.15,1.15,1500.0
2001-04-12,1.15,1.15,1.1,1.1,3500.0
2001-04-13,1.1,1.1,1.1,1.1,1000.0
2001-04-19,1.1,1.05,1.05,1.05,500.0
2001-04-20,1.05,1.05,1.0,1.0,3000.0
2001-04-24,1.0,1.1,1.0,1.0,14000.0
2001-04-25,1.0,1.05,1.0,1.05,14500.0
2001-04-26,1.05,1.0,1.0,1.0,7000.0
2001-04-27,1.0,0.95,0.95,0.95,5000.0
2001-05-14,0.95,0.85,0.75,0.85,9000.0
2001-05-23,0.85,0.85,0.85,0.85,500.0
2001-05-24,0.85,1.0,1.0,1.0,1000.0
2001-06-07,1.0,1.0,1.0,1.0,2000.0
2001-06-18,1.0,1.05,1.05,1.05,3500.0
2001-06-19,1.05,1.05,1.05,1.05,500.0
2001-06-22,1.05,1.45,1.05,1.45,11500.0
2001-06-26,1.45,1.5,1.25,1.5,8000.0
2001-06-27,1.5,2.0,1.1,2.0,54000.0
