Date,Open,High,Low,Close,Volume
2001-01-10,266.0,270.0,270.0,270.0,900.0
2001-01-11,270.0,270.0,270.0,270.0,100.0
2001-01-17,270.0,270.0,270.0,270.0,100.0
2001-01-25,270.0,280.0,280.0,280.0,500.0
2001-01-26,280.0,280.0,280.0,280.0,1500.0
2001-01-29,280.0,250.0,250.0,250.0,100.0
2001-01-30,250.0,280.0,280.0,280.0,600.0
2001-01-31,280.0,280.0,280.0,280.0,0.0
2001-02-02,280.0,300.0,300.0,300.0,400.0
2001-02-07,300.0,299.0,299.0,299.0,100.0
2001-02-16,299.0,295.0,295.0,295.0,100.0
2001-02-21,295.0,295.0,290.0,290.0,700.0
2001-02-23,290.0,290.0,290.0,290.0,100.0
2001-03-02,290.0,290.0,290.0,290.0,100.0
2001-03-15,290.0,290.0,290.0,290.0,3100.0
2001-03-29,290.0,290.0,290.0,290.0,100.0
2001-04-03,290.0,290.0,290.0,290.0,100.0
2001-04-09,290.0,290.0,290.0,290.0,800.0
2001-04-12,290.0,290.0,290.0,290.0,100.0
2001-05-08,290.0,300.0,300.0,300.0,100.0
2001-05-17,300.0,295.0,295.0,295.0,100.0
2001-05-28,295.0,295.0,295.0,295.0,0.0
2001-06-06,290.5,290.5,290.5,290.5,0.0
2001-06-18,290.5,290.5,290.5,290.5,10900.0
2001-06-29,290.5,325.0,300.0,325.0,600.0
2001-07-23,325.0,325.0,325.0,325.0,0.0
2001-10-09,325.0,325.0,325.0,325.0,200.0
2001-11-12,325.0,309.0,309.0,309.0,100.0
2001-11-24,309.0,325.0,325.0,325.0,500.0
2001-11-26,325.0,325.0,325.0,325.0,100.0
2001-11-27,325.0,325.0,325.0,325.0,400.0
2001-11-29,325.0,325.0,325.0,325.0,400.0
2001-12-01,325.0,325.0,325.0,325.0,200.0
2001-12-10,325.0,325.0,325.0,325.0,0.0
2001-12-11,325.0,315.0,310.0,310.0,200.0
2001-12-21,300.0,300.0,300.0,300.0,0.0
2002-01-14,300.0,310.0,310.0,310.0,100.0
2002-01-22,310.0,310.0,310.0,310.0,100.0
2002-03-14,310.0,310.0,310.0,310.0,100.0
2002-04-02,310.0,309.95,309.95,309.95,0.0
2002-04-24,309.95,310.0,304.0,310.0,1900.0
2002-05-15,310.0,315.0,315.0,315.0,0.0
2002-05-17,315.0,333.0,333.0,333.0,100.0
2002-05-21,333.0,333.0,333.0,333.0,200.0
2002-05-30,333.0,333.0,333.0,333.0,100.0
2002-06-05,328.0,320.0,320.0,320.0,100.0
2002-06-11,320.0,320.0,320.0,320.0,300.0
2002-06-12,320.0,320.0,320.0,320.0,200.0
2002-06-13,320.0,322.0,322.0,322.0,0.0
2002-06-20,322.0,325.0,325.0,325.0,0.0
2002-07-08,325.0,321.0,321.0,321.0,1000.0
2002-07-18,321.0,320.0,320.0,320.0,0.0
2002-07-19,320.0,315.0,315.0,315.0,0.0
2002-08-05,315.0,325.0,320.0,325.0,500.0
2002-08-26,325.0,320.0,320.0,320.0,0.0
2002-08-27,320.0,318.0,318.0,318.0,0.0
2002-08-29,318.0,315.0,315.0,315.0,0.0
2002-09-03,315.0,310.0,310.0,310.0,0.0
2002-09-10,310.0,315.0,315.0,315.0,100.0
2002-09-12,315.0,310.0,310.0,310.0,0.0
2002-09-13,310.0,300.0,300.0,300.0,0.0
2002-09-16,300.0,295.0,290.0,290.0,200.0
2002-09-18,290.0,295.0,295.0,295.0,0.0
2002-09-19,295.0,300.0,300.0,300.0,600.0
2002-09-24,300.0,310.0,310.0,310.0,100.0
2002-10-01,310.0,312.0,312.0,312.0,300.0
2002-10-17,312.0,305.0,305.0,305.0,500.0
2002-11-04,305.0,318.0,318.0,318.0,100.0
2002-11-05,318.0,318.0,318.0,318.0,100.0
2002-11-06,318.0,320.0,320.0,320.0,100.0
2002-11-14,320.0,315.0,315.0,315.0,0.0
2002-12-11,315.0,320.0,320.0,320.0,100.0
2002-12-12,320.0,320.0,315.0,315.0,300.0
2002-12-16,315.0,316.0,316.0,316.0,0.0
2002-12-17,316.0,316.0,316.0,316.0,100.0
2002-12-18,316.0,320.0,320.0,320.0,200.0
2002-12-23,308.0,310.0,308.0,310.0,0.0
2003-01-23,310.0,315.0,315.0,315.0,0.0
2003-01-24,315.0,315.0,315.0,315.0,500.0
2003-02-10,315.0,312.0,312.0,312.0,25500.0
2003-02-19,306.0,306.0,306.0,306.0,100.0
2003-03-07,306.0,312.0,312.0,312.0,100.0
2003-03-18,312.0,325.0,325.0,325.0,0.0
2003-03-25,314.0,325.0,320.0,320.0,200.0
2003-03-31,320.0,325.0,325.0,325.0,0.0
2003-04-14,325.0,325.0,325.0,325.0,100.0
2003-04-17,325.0,349.0,349.0,349.0,100.0
2003-05-02,349.0,350.0,350.0,350.0,0.0
2003-05-08,350.0,360.0,360.0,360.0,100.0
2003-05-20,360.0,342.0,342.0,342.0,500.0
2003-05-22,342.0,350.0,350.0,350.0,0.0
2003-05-27,350.0,360.0,360.0,360.0,0.0
2003-05-29,360.0,370.0,370.0,370.0,0.0
2003-06-04,370.0,351.5,351.5,351.5,200.0
2003-06-05,351.5,365.0,365.0,365.0,0.0
2003-06-09,365.0,375.0,375.0,375.0,0.0
2003-06-10,375.0,385.0,385.0,385.0,0.0
2003-06-20,385.0,386.0,386.0,386.0,0.0
2003-06-23,386.0,387.0,387.0,387.0,11200.0
2003-06-24,387.0,388.0,388.0,388.0,0.0
2003-06-30,388.0,417.0,417.0,417.0,400.0
2003-07-01,417.0,415.0,415.0,415.0,100.0
2003-08-01,415.0,435.0,435.0,435.0,100.0
2003-08-05,435.0,445.0,445.0,445.0,0.0
2003-08-07,445.0,450.0,450.0,450.0,0.0
2003-08-08,450.0,450.0,450.0,450.0,100.0
2003-08-28,443.0,450.0,450.0,450.0,0.0
2003-08-29,450.0,460.0,460.0,460.0,100.0
2003-09-04,460.0,470.0,470.0,470.0,0.0
2003-09-05,470.0,480.0,480.0,480.0,100.0
2003-09-08,480.0,480.0,480.0,480.0,500.0
2003-09-09,480.0,490.0,490.0,490.0,0.0
2003-09-19,490.0,510.0,510.0,510.0,100.0
2003-09-23,510.0,500.0,500.0,500.0,300.0
2003-10-14,500.0,500.0,500.0,500.0,400.0
2003-10-15,500.0,500.0,500.0,500.0,400.0
2003-12-04,500.0,500.0,500.0,500.0,100.0
2003-12-08,500.0,495.0,495.0,495.0,0.0
2003-12-22,495.0,495.0,495.0,495.0,300.0
2003-12-24,495.0,500.0,500.0,500.0,100.0
2004-01-20,500.0,530.0,530.0,530.0,200.0
2004-01-21,530.0,525.0,525.0,525.0,300.0
2004-01-27,525.0,538.0,538.0,538.0,100.0
2004-01-29,538.0,536.0,536.0,536.0,0.0
2004-01-30,536.0,529.0,529.0,529.0,100.0
2004-02-09,529.0,520.0,520.0,520.0,0.0
2004-02-10,520.0,520.0,520.0,520.0,100.0
2004-02-19,520.0,525.0,520.0,520.0,500.0
2004-02-23,520.0,520.0,520.0,520.0,2800.0
2004-02-25,520.0,535.1,535.1,535.1,400.0
2004-02-27,535.1,515.0,515.0,515.0,100.0
2004-03-10,515.0,515.0,515.0,515.0,500.0
2004-03-12,515.0,550.0,550.0,550.0,100.0
2004-03-15,550.0,525.0,525.0,525.0,100.0
2004-03-16,525.0,540.0,540.0,540.0,100.0
2004-03-22,525.0,526.0,526.0,526.0,0.0
2004-03-31,526.0,525.0,525.0,525.0,100.0
