Date,Open,High,Low,Close,Volume
2001-01-08,2.0,1.5,1.5,1.5,500.0
2001-01-11,1.5,1.5,1.5,1.5,1000.0
2001-02-19,1.5,1.5,1.5,1.5,8000.0
2001-02-26,1.5,1.5,1.5,1.5,1000.0
2001-03-12,1.5,2.0,1.7,1.7,3500.0
2001-03-13,1.7,1.7,1.7,1.7,2500.0
2001-03-16,1.7,1.7,1.7,1.7,0.0
2001-03-19,1.7,1.7,1.7,1.7,0.0
2001-03-20,1.7,1.5,1.5,1.5,1000.0
2001-03-21,1.5,1.25,1.05,1.05,10500.0
2001-03-22,1.05,1.2,1.2,1.2,2000.0
2001-03-28,0.7,0.7,0.7,0.7,0.0
2001-04-18,0.7,2.0,2.0,2.0,1000.0
2001-04-19,2.0,1.1,1.1,1.1,2000.0
2001-05-02,1.1,1.25,1.25,1.25,1000.0
2001-05-08,1.25,1.0,1.0,1.0,500.0
2001-05-09,1.0,1.0,1.0,1.0,1000.0
2001-05-15,1.0,1.0,1.0,1.0,0.0
2001-06-18,1.0,1.0,1.0,1.0,500.0
2001-06-22,1.0,1.55,1.55,1.55,500.0
2001-06-27,1.55,1.55,1.55,1.55,1000.0
2001-06-28,1.55,1.75,1.75,1.75,2000.0
2001-06-29,1.75,1.75,1.75,1.75,2500.0
2001-07-10,1.75,1.75,1.75,1.75,1000.0
2001-07-16,1.75,1.75,1.75,1.75,4500.0
2001-08-07,1.75,1.5,1.5,1.5,500.0
2001-08-08,1.5,1.75,1.75,1.75,4000.0
2001-08-10,1.75,1.75,1.75,1.75,500.0
2001-08-15,1.75,1.75,1.5,1.5,1500.0
2001-10-26,1.5,1.5,1.5,1.5,5000.0
2002-01-03,1.5,1.0,1.0,1.0,2000.0
2002-01-08,1.0,1.0,1.0,1.0,4500.0
2002-01-21,1.0,1.15,1.15,1.15,2000.0
2002-01-23,1.15,1.5,1.45,1.5,3500.0
2002-02-01,1.5,1.5,1.5,1.5,0.0
2002-03-01,1.5,1.3,1.3,1.3,1000.0
2002-03-04,1.3,1.3,1.3,1.3,1000.0
2002-03-22,1.3,1.25,1.25,1.25,0.0
2002-04-10,1.25,1.2,1.2,1.2,0.0
2002-04-12,1.2,2.7,1.3,2.7,30000.0
2002-04-15,2.7,3.45,2.3,2.3,34500.0
2002-04-16,2.3,2.65,2.55,2.55,2500.0
2002-04-17,2.55,2.7,2.2,2.2,6500.0
2002-04-23,2.2,2.0,2.0,2.0,500.0
2002-04-26,2.0,1.8,1.8,1.8,1000.0
2002-05-16,1.8,1.9,1.8,1.9,3000.0
2002-05-20,1.9,1.8,1.8,1.8,0.0
2002-05-27,1.8,1.75,1.75,1.75,0.0
2002-06-18,1.75,1.7,1.7,1.7,0.0
2002-06-19,1.7,1.2,1.2,1.2,1000.0
2002-06-21,1.2,1.05,1.05,1.05,6000.0
2002-06-24,1.05,1.2,1.15,1.2,6500.0
2002-06-25,1.2,1.15,1.15,1.15,1500.0
2002-06-26,1.15,1.2,1.2,1.2,0.0
2002-07-01,1.2,1.2,1.2,1.2,500.0
2002-07-04,1.2,1.2,1.2,1.2,2000.0
2002-07-08,1.2,1.25,1.25,1.25,0.0
2002-07-09,1.25,1.4,1.25,1.4,1500.0
2002-07-11,1.4,1.5,1.5,1.5,1000.0
2002-07-25,1.5,1.45,1.45,1.45,500.0
2002-08-05,1.45,1.35,1.35,1.35,0.0
2002-08-06,1.35,1.3,1.3,1.3,0.0
2002-08-19,1.3,1.2,1.2,1.2,0.0
2002-09-04,1.2,1.2,1.2,1.2,1000.0
2002-09-10,1.2,1.2,1.2,1.2,1000.0
2002-09-12,1.2,1.2,1.2,1.2,1000.0
2002-09-13,1.2,1.2,1.2,1.2,1500.0
2002-10-04,1.2,1.25,0.75,0.8,10000.0
2002-10-07,0.8,1.0,1.0,1.0,500.0
2002-10-08,1.0,1.15,1.05,1.15,4500.0
2002-10-09,1.15,1.25,1.05,1.25,7500.0
2002-10-28,1.25,1.2,1.2,1.2,4000.0
2002-11-28,1.2,1.05,1.05,1.05,2500.0
2002-11-29,1.05,1.25,1.25,1.25,1500.0
2002-12-04,1.25,1.2,1.2,1.2,0.0
2002-12-09,1.2,1.2,1.2,1.2,50000.0
2002-12-10,1.2,1.5,1.2,1.5,29000.0
2002-12-11,1.5,1.85,1.3,1.5,101500.0
2002-12-12,1.5,1.5,1.25,1.5,21500.0
2002-12-13,1.5,1.85,1.7,1.75,23000.0
2002-12-16,1.75,2.25,1.75,2.25,71500.0
2002-12-17,2.25,2.75,2.35,2.75,81500.0
2002-12-18,2.75,2.8,2.5,2.8,24000.0
2002-12-19,2.8,3.0,2.7,2.7,5500.0
2002-12-20,2.7,2.55,2.55,2.55,1000.0
2002-12-23,2.55,2.55,2.3,2.3,13000.0
2002-12-24,2.3,2.7,2.3,2.3,3000.0
2002-12-26,2.3,2.5,2.3,2.45,14500.0
2003-01-01,2.45,2.25,2.25,2.25,1000.0
2003-01-03,2.25,2.0,2.0,2.0,5000.0
2003-01-06,2.0,2.0,2.0,2.0,2000.0
2003-01-07,2.0,2.0,2.0,2.0,4500.0
2003-01-08,2.0,2.0,2.0,2.0,5000.0
2003-01-09,2.0,2.25,2.0,2.25,10500.0
2003-01-10,2.25,2.2,2.2,2.2,9000.0
2003-01-13,2.2,2.65,2.0,2.3,16000.0
2003-01-14,2.3,2.25,2.0,2.25,12500.0
2003-01-15,2.25,2.2,2.2,2.2,0.0
2003-01-16,2.2,2.0,2.0,2.0,500.0
2003-01-17,2.0,2.0,2.0,2.0,500.0
2003-01-20,2.0,2.0,1.8,2.0,8000.0
2003-01-21,2.0,1.8,1.75,1.75,3000.0
2003-01-22,1.75,1.85,1.85,1.85,2000.0
2003-01-23,1.85,1.8,1.8,1.8,7000.0
2003-01-24,1.8,1.5,1.5,1.5,5000.0
2003-01-27,1.5,1.5,1.5,1.5,2000.0
2003-01-28,1.5,1.6,1.6,1.6,2000.0
2003-01-29,1.6,1.7,1.65,1.7,11500.0
2003-01-30,1.7,2.0,1.6,2.0,2000.0
