Date,Open,High,Low,Close,Volume
2001-02-16,3.75,3.4,3.4,3.4,1000.0
2001-02-19,3.4,3.25,3.25,3.25,1000.0
2001-02-20,3.25,4.5,3.5,4.0,4000.0
2001-02-22,4.0,3.25,3.25,3.25,500.0
2001-02-23,3.25,3.35,3.25,3.35,50500.0
2001-02-27,3.35,3.75,3.75,3.75,500.0
2001-03-02,3.75,3.0,3.0,3.0,3000.0
2001-03-13,3.0,3.0,3.0,3.0,2500.0
2001-03-14,3.0,3.25,3.25,3.25,201000.0
2001-03-15,3.25,3.5,3.35,3.35,637500.0
2002-01-23,3.35,3.35,3.35,3.35,2500.0
2002-03-22,3.35,3.25,3.25,3.25,0.0
2002-03-28,3.25,3.15,3.15,3.15,0.0
2002-03-29,3.15,3.1,3.1,3.1,0.0
2002-04-02,3.1,3.0,3.0,3.0,0.0
2002-04-03,3.0,2.7,2.7,2.7,0.0
2002-05-08,2.7,2.5,2.5,2.5,0.0
2002-05-14,2.5,2.4,2.4,2.4,0.0
2002-06-27,2.4,2.0,2.0,2.0,0.0
2002-07-04,2.0,1.0,1.0,1.0,500.0
2002-07-05,1.0,1.5,1.5,1.5,500.0
2002-07-08,1.5,2.0,1.7,1.7,1000.0
2002-07-18,1.7,1.65,1.65,1.65,0.0
2002-07-26,1.65,1.65,1.65,1.65,1000.0
2002-07-30,1.65,1.65,1.65,1.65,1000.0
2002-08-05,1.65,1.5,1.5,1.5,0.0
2002-08-16,1.5,1.45,1.45,1.45,0.0
2002-08-19,1.45,1.95,1.95,1.95,1000.0
2002-08-30,1.95,1.8,1.8,1.8,0.0
2002-09-03,1.8,1.7,1.7,1.7,0.0
2002-09-04,1.7,1.65,1.65,1.65,0.0
2002-09-05,1.65,1.6,1.6,1.6,0.0
2002-09-06,1.6,1.55,1.55,1.55,0.0
2002-09-09,1.55,1.5,1.5,1.5,0.0
2002-10-01,1.5,1.0,1.0,1.0,0.0
2002-10-28,1.0,1.25,1.25,1.25,0.0
2002-10-29,1.25,1.3,1.3,1.3,0.0
2003-05-26,1.3,1.9,1.9,1.9,1000.0
