Date,Open,High,Low,Close,Volume
2002-04-26,8.25,7.0,7.0,7.0,0.0
2002-04-29,7.0,5.5,5.5,5.5,500.0
2002-05-20,5.5,4.0,4.0,4.0,500.0
2002-05-24,4.0,5.5,5.5,5.5,500.0
2002-05-27,5.5,7.0,5.5,6.0,6500.0
2002-06-07,6.0,5.9,5.9,5.9,0.0
2002-09-04,5.9,5.75,5.75,5.75,0.0
2002-09-19,5.75,5.5,5.5,5.5,0.0
2002-10-01,5.5,4.5,4.5,4.5,500.0
2002-12-18,6.75,7.0,7.0,7.0,3000.0
2002-12-26,7.0,6.0,6.0,6.0,1500.0
2003-01-03,6.0,6.05,6.05,6.05,0.0
2003-01-20,6.05,6.6,6.6,6.6,1500.0
2003-01-21,6.6,6.2,6.2,6.2,500.0
2003-01-23,6.2,6.0,6.0,6.0,1500.0
2003-01-30,6.0,6.05,6.05,6.05,500.0
2003-02-06,6.05,6.25,6.25,6.25,1000.0
2003-02-07,6.25,6.0,6.0,6.0,2500.0
2003-02-24,6.0,6.05,6.0,6.05,1500.0
2003-02-26,6.05,6.05,6.05,6.05,7500.0
2003-03-04,6.05,6.1,6.1,6.1,0.0
2003-03-06,6.1,6.25,6.25,6.25,0.0
2003-03-11,6.25,6.3,6.3,6.3,0.0
2003-03-17,6.3,6.5,6.5,6.5,500.0
2003-03-18,6.5,6.5,6.5,6.5,1000.0
2003-03-19,6.5,6.5,6.5,6.5,500.0
2003-03-25,6.5,6.5,6.5,6.5,4500.0
2003-03-26,6.5,7.5,7.0,7.0,2500.0
2003-03-27,7.0,7.75,7.0,7.75,12500.0
2003-03-28,7.75,8.0,8.0,8.0,1000.0
2003-03-31,8.0,8.25,8.0,8.0,5500.0
2003-04-04,8.0,8.5,8.25,8.5,2000.0
2003-04-07,8.5,8.75,8.6,8.75,1000.0
2003-04-08,8.75,9.05,9.0,9.05,1500.0
2003-04-09,9.05,9.0,9.0,9.0,2000.0
2003-04-11,9.0,9.5,9.25,9.25,1500.0
2003-04-17,9.25,9.0,9.0,9.0,0.0
2003-04-18,9.0,8.0,8.0,8.0,1000.0
