Date,Open,High,Low,Close,Volume
2017-02-28,86.7,86.7,81.94,81.94,978500.0
2017-03-01,79.99,81.3,77.85,78.02,1779500.0
2017-03-02,78.25,81.92,78.25,81.92,1345000.0
2017-03-03,83.0,86.01,82.3,83.49,2078500.0
2017-03-06,83.9,84.38,81.0,81.28,302500.0
2017-03-07,81.02,82.01,80.27,80.83,341500.0
2017-03-08,81.05,82.5,80.52,80.91,423000.0
2017-03-09,80.5,81.25,78.0,78.73,353000.0
2017-03-10,77.5,78.8,76.5,77.43,416500.0
2017-03-13,77.1,77.74,76.45,76.57,207000.0
2017-03-14,77.0,77.3,74.17,75.24,453000.0
2017-03-15,75.9,76.0,71.7,72.03,951000.0
2017-03-16,72.74,74.87,70.5,73.72,723000.0
2017-03-17,74.19,74.98,72.5,72.68,354500.0
2017-03-20,72.66,74.44,72.3,73.97,467000.0
2017-03-21,74.0,77.66,74.0,77.66,1421500.0
2017-03-22,77.89,80.2,76.55,78.03,1314500.0
2017-03-24,77.7,78.7,76.7,76.96,235000.0
2017-03-27,78.0,78.0,76.51,76.72,246000.0
2017-03-28,76.15,80.0,76.15,78.38,1750000.0
2017-03-29,79.0,80.3,77.6,78.16,486500.0
2017-03-30,77.75,78.15,74.26,74.26,322000.0
2017-03-31,70.56,72.4,70.55,71.56,842000.0
2017-04-03,72.05,73.5,72.0,72.3,148500.0
2017-04-04,72.3,72.9,71.51,71.93,89500.0
2017-04-05,72.0,72.25,70.56,70.95,141500.0
2017-04-06,71.4,71.6,70.0,70.4,83500.0
2017-04-07,70.11,70.95,70.0,70.84,49000.0
2017-04-10,70.73,71.88,69.05,69.93,253000.0
2017-04-11,69.31,71.0,69.2,70.36,213500.0
2017-04-12,70.5,71.15,70.0,70.64,185500.0
2017-04-13,70.68,70.68,69.81,70.06,169500.0
2017-04-14,70.25,70.4,69.0,69.04,95500.0
2017-04-17,69.0,69.5,66.0,66.24,258500.0
2017-04-18,66.39,67.5,65.6,66.23,137500.0
2017-04-19,65.25,66.7,63.51,65.65,183500.0
2017-04-20,65.06,68.93,65.05,68.93,407000.0
2017-04-21,71.0,72.0,70.48,71.2,525000.0
2017-04-24,71.55,71.79,70.1,70.26,321000.0
2017-04-25,70.8,70.98,68.99,69.4,1230000.0
2017-04-26,69.5,69.9,68.81,69.25,999000.0
2017-04-27,69.51,72.71,69.0,69.63,778000.0
2017-04-28,69.25,69.6,67.14,67.67,143500.0
2017-05-02,67.16,67.75,66.0,66.41,148500.0
2017-05-03,67.16,69.45,66.6,67.87,188000.0
2017-05-04,68.5,68.95,67.0,67.24,182500.0
2017-05-05,67.49,67.9,66.7,66.81,197000.0
2017-05-08,66.99,68.75,66.65,67.28,424500.0
2017-05-09,67.75,67.75,66.45,66.85,208500.0
2017-05-10,67.16,68.3,67.0,67.46,592000.0
2017-05-11,67.98,69.0,67.56,68.3,467000.0
2017-05-12,68.1,69.9,67.76,68.6,413500.0
2017-05-15,68.98,69.8,68.1,68.24,288500.0
2017-05-16,68.01,68.55,67.3,67.51,142500.0
2017-05-17,67.51,67.89,66.55,66.69,192500.0
2017-05-18,67.0,67.8,66.66,67.06,179000.0
2017-05-19,67.25,67.88,67.0,67.09,172500.0
2017-05-22,67.68,68.25,66.7,67.3,333500.0
2017-05-23,67.8,70.66,67.75,70.66,650000.0
2017-05-24,73.0,73.5,69.26,70.09,612500.0
2017-05-25,70.0,70.0,68.8,68.97,452500.0
2017-05-26,68.3,69.5,68.13,68.89,286000.0
2017-05-29,67.52,68.49,67.5,67.85,122000.0
2017-05-30,67.74,67.94,66.51,66.99,98000.0
2017-05-31,66.5,67.18,65.06,66.27,153000.0
2017-06-01,65.2,66.79,62.96,64.39,434500.0
2017-06-02,63.05,63.05,61.18,62.04,282500.0
2017-06-05,62.75,65.04,62.0,64.96,132500.0
2017-06-06,64.52,65.49,64.0,64.26,140000.0
2017-06-07,65.0,65.0,64.3,64.38,79000.0
2017-06-08,64.48,64.88,64.2,64.27,169000.0
2017-06-09,64.0,64.39,64.0,64.17,178500.0
2017-06-12,64.0,64.29,62.72,62.84,558000.0
2017-06-13,63.3,63.88,60.99,61.74,214000.0
2017-06-14,62.85,62.85,60.95,60.95,981500.0
2017-06-15,60.9,63.0,60.9,61.96,126000.0
2017-06-16,62.0,62.33,60.95,61.07,92500.0
2017-06-19,61.0,61.93,60.92,61.05,137500.0
2017-06-20,61.0,61.2,58.0,58.0,403000.0
2017-06-21,55.5,59.99,55.26,58.06,139000.0
2017-06-22,59.49,59.49,56.81,58.02,207000.0
2017-06-29,56.5,58.49,56.5,56.82,330500.0
2017-06-30,56.25,57.75,56.01,56.17,112500.0
2017-07-03,56.01,56.02,54.15,54.61,88500.0
2017-07-04,55.0,55.3,54.0,54.87,189000.0
2017-07-05,54.55,55.98,54.55,54.95,131000.0
2017-07-06,55.57,55.57,53.5,53.63,80500.0
2017-07-07,53.63,54.4,52.7,54.02,70000.0
2017-07-10,53.8,54.79,53.1,54.56,178500.0
2017-07-11,52.55,54.37,51.84,51.84,95000.0
2017-07-12,50.55,52.5,50.0,51.34,171000.0
2017-07-13,51.5,52.19,50.15,50.67,67500.0
2017-07-14,51.01,53.2,51.01,53.19,155000.0
2017-07-17,53.8,55.84,52.5,55.84,68500.0
2017-07-18,58.49,58.63,58.0,58.63,115500.0
2017-07-19,61.3,61.3,59.03,60.04,337000.0
