Date,Open,High,Low,Close,Volume
2001-01-03,6.25,6.25,6.25,6.25,0.0
2001-01-12,6.25,7.0,7.0,7.0,500.0
2001-01-15,7.0,7.0,7.0,7.0,500.0
2001-01-17,7.0,6.55,6.5,6.5,3000.0
2001-01-22,6.5,6.7,6.7,6.7,500.0
2001-01-26,6.7,6.5,6.5,6.5,1000.0
2001-01-29,6.5,6.5,6.5,6.5,6000.0
2001-01-31,6.5,6.25,6.25,6.25,2500.0
2001-02-02,6.25,6.2,6.2,6.2,1000.0
2001-02-07,6.2,6.1,6.0,6.1,6000.0
2001-02-09,6.1,6.1,6.1,6.1,2000.0
2001-02-13,6.1,6.1,6.1,6.1,2500.0
2001-02-14,6.1,6.15,6.15,6.15,7000.0
2001-02-15,6.15,6.1,6.1,6.1,4000.0
2001-02-19,6.1,6.15,6.15,6.15,1000.0
2001-02-22,6.15,6.05,6.0,6.0,6000.0
2001-02-23,6.0,6.25,6.25,6.25,2000.0
2001-02-27,6.25,5.7,5.7,5.7,1000.0
2001-02-28,5.7,5.7,5.7,5.7,2000.0
2001-03-01,5.7,5.8,5.8,5.8,500.0
2001-03-02,5.8,6.05,6.05,6.05,1000.0
2001-03-12,6.05,5.6,5.6,5.6,500.0
2001-03-21,5.6,5.5,5.0,5.0,7000.0
2001-03-29,5.0,5.25,5.25,5.25,500.0
2001-04-03,5.25,5.3,5.25,5.3,2000.0
2001-04-17,5.3,5.3,5.25,5.25,7000.0
2001-04-18,5.25,5.25,5.25,5.25,4000.0
2001-04-19,5.25,5.05,5.05,5.05,2000.0
2001-04-20,5.05,5.0,4.9,4.9,7000.0
2001-04-23,4.9,5.15,5.0,5.05,4500.0
2001-04-24,5.05,5.0,5.0,5.0,1500.0
2001-04-25,5.0,5.0,5.0,5.0,1500.0
2001-04-30,5.0,4.9,4.85,4.9,1500.0
2001-05-02,4.9,4.9,4.9,4.9,500.0
2001-05-04,4.9,4.9,4.9,4.9,1000.0
2001-05-07,4.9,5.2,5.2,5.2,1000.0
2001-05-17,5.2,5.3,5.3,5.3,500.0
2001-05-29,5.3,5.1,4.8,4.8,8500.0
2001-05-31,4.8,4.85,4.85,4.85,1000.0
2001-06-08,4.85,4.7,4.7,4.7,1000.0
2001-06-11,4.7,4.85,4.8,4.85,4500.0
2001-06-12,4.85,4.9,4.9,4.9,500.0
2001-06-13,4.9,4.85,4.85,4.85,2000.0
2001-06-15,4.85,4.85,4.85,4.85,500.0
2001-06-19,4.85,4.6,4.6,4.6,500.0
2001-06-21,4.6,4.55,4.55,4.55,500.0
2001-07-09,4.55,4.75,4.75,4.75,1000.0
2001-07-13,4.75,4.75,4.75,4.75,1000.0
2001-08-01,4.75,4.75,4.75,4.75,1000.0
2001-08-09,4.75,4.25,4.25,4.25,500.0
2001-08-10,4.25,4.55,4.55,4.55,500.0
2001-08-13,4.55,4.5,4.5,4.5,2000.0
2001-08-22,4.5,4.5,4.5,4.5,2500.0
2001-08-29,4.5,4.6,4.6,4.6,2000.0
2001-08-31,4.6,4.8,4.8,4.8,500.0
2001-09-24,4.8,4.6,4.6,4.6,1000.0
2001-10-01,4.6,4.4,4.4,4.4,500.0
2001-10-02,4.4,4.2,4.2,4.2,2000.0
2001-10-30,4.2,4.0,4.0,4.0,5000.0
2001-10-31,4.0,4.25,4.25,4.25,2000.0
2001-11-02,4.25,4.1,4.1,4.1,500.0
2001-11-05,4.1,3.9,3.9,3.9,500.0
2001-11-27,3.9,4.2,4.2,4.2,2000.0
2001-11-28,4.2,4.4,4.4,4.4,1500.0
2001-11-29,4.4,4.2,4.2,4.2,500.0
2001-12-04,4.2,4.4,4.4,4.4,1000.0
2001-12-10,4.4,3.55,3.55,3.55,8000.0
2002-01-07,3.55,4.5,4.25,4.25,1000.0
2002-01-08,4.25,4.0,4.0,4.0,1000.0
2002-01-10,4.0,4.0,4.0,4.0,1500.0
2002-01-14,4.0,4.1,4.0,4.1,2000.0
2002-01-15,4.1,4.15,4.0,4.0,5000.0
2002-01-16,4.0,4.0,4.0,4.0,2500.0
2002-01-17,4.0,4.05,4.0,4.0,2500.0
2002-01-23,4.0,4.2,4.2,4.2,500.0
2002-01-24,4.2,4.25,4.25,4.25,4000.0
2002-01-25,4.25,4.75,4.25,4.75,11000.0
2002-01-28,4.75,5.25,4.8,5.25,16000.0
2002-01-29,5.25,5.2,5.2,5.2,1000.0
2002-01-30,5.2,5.25,5.1,5.2,7000.0
2002-01-31,5.2,5.15,5.0,5.0,2000.0
2002-02-01,5.0,5.0,4.8,4.8,2000.0
2002-02-04,4.8,5.0,4.9,5.0,3000.0
2002-02-06,5.0,4.75,4.75,4.75,1500.0
2002-02-07,4.75,4.9,4.5,4.5,1000.0
2002-02-08,4.5,4.5,4.5,4.5,1000.0
2002-02-11,4.5,4.25,4.25,4.25,1000.0
2002-02-15,4.25,4.4,4.15,4.15,1500.0
2002-02-21,4.15,4.3,4.3,4.3,500.0
2002-03-07,4.3,4.1,4.0,4.1,6500.0
2002-03-08,4.1,4.5,4.25,4.5,9500.0
2002-03-11,4.5,4.95,4.5,4.95,14000.0
2002-03-12,4.95,4.9,4.75,4.75,10000.0
2002-03-13,4.75,4.85,4.75,4.8,8000.0
2002-03-14,4.8,5.25,4.8,5.0,7500.0
2002-03-15,5.0,4.8,4.8,4.8,4500.0
2002-03-18,4.8,4.85,4.85,4.85,500.0
2002-03-19,4.85,4.8,4.75,4.8,8500.0
2002-03-20,4.8,4.5,4.5,4.5,1000.0
2002-03-21,4.5,4.7,4.7,4.7,500.0
2002-03-26,4.7,4.7,4.7,4.7,1000.0
2002-03-27,4.7,4.6,4.6,4.6,1000.0
2002-03-28,4.6,4.7,4.7,4.7,1000.0
2002-03-29,4.7,4.75,4.75,4.75,0.0
2002-04-01,4.75,4.8,4.8,4.8,1500.0
2002-04-02,4.8,4.85,4.8,4.85,10000.0
2002-04-09,4.85,5.0,4.5,5.0,1000.0
2002-04-10,5.0,4.95,4.95,4.95,0.0
2002-04-11,4.95,4.7,4.55,4.7,4000.0
2002-04-12,4.7,4.75,4.75,4.75,0.0
2002-04-15,4.75,4.7,4.7,4.7,2500.0
2002-04-17,4.7,4.65,4.5,4.65,1500.0
2002-04-18,4.65,4.75,4.7,4.75,1000.0
