Date,Open,High,Low,Close,Volume
2010-03-18,10.0,14.49,11.8,12.14,5888641.0
2010-03-19,12.14,12.28,11.14,12.05,2174003.0
2010-03-22,12.05,12.01,11.51,11.57,134611.0
2010-03-24,11.57,12.57,11.31,12.56,1074617.0
2010-03-25,12.56,12.84,12.41,12.61,580989.0
2010-03-26,12.61,12.8,12.4,12.6,278648.0
2010-03-29,12.6,12.78,12.47,12.64,212905.0
2010-03-30,12.64,12.85,12.35,12.43,125207.0
2010-03-31,12.43,12.6,12.42,12.5,138244.0
2010-04-01,12.5,12.6,12.5,12.5,151954.0
2010-04-02,12.5,12.8,12.55,12.75,519044.0
2010-04-05,12.75,13.1,12.7,13.0,572683.0
2010-04-06,13.0,13.19,12.72,12.77,629060.0
2010-04-07,12.77,13.13,12.41,13.03,1250491.0
2010-04-08,13.03,13.24,12.81,12.82,1139077.0
2010-04-09,12.82,13.1,12.66,12.76,651035.0
2010-04-12,12.76,13.18,12.5,12.5,47287.0
2010-04-13,12.5,13.0,12.1,12.17,28579.0
2010-04-14,12.17,12.49,12.21,12.4,3075.0
2010-04-15,12.4,12.6,12.3,12.3,52211.0
2010-04-16,12.3,12.39,11.55,11.88,3501.0
2010-04-19,11.88,12.19,12.0,12.04,18000.0
2010-04-20,12.04,12.6,11.89,11.9,12511.0
2010-04-21,11.9,11.9,11.26,11.73,6025.0
2010-04-22,11.73,11.99,11.35,11.5,23850.0
2010-04-23,11.5,11.63,11.4,11.5,102001.0
2010-04-26,11.5,11.63,11.25,11.44,51877.0
2010-04-27,11.44,11.98,11.25,11.39,27939.0
2010-04-28,11.39,11.9,10.5,10.76,49863.0
2010-04-29,10.76,11.44,10.1,10.14,82125.0
2010-04-30,10.14,10.38,9.76,9.99,38301.0
2010-05-03,9.99,10.25,10.0,10.05,79301.0
2010-05-04,10.05,10.75,10.0,10.3,7604.0
2010-05-05,10.3,11.0,10.5,10.5,73612.0
2010-05-06,10.5,11.07,10.75,11.02,51802.0
2010-05-07,11.02,11.15,10.99,11.01,100002.0
2010-05-10,11.01,11.12,11.0,11.1,32801.0
2010-05-11,11.1,12.1,10.5,11.0,49801.0
2010-05-12,11.0,10.9,10.05,10.9,5045.0
2010-05-13,10.9,11.0,11.0,11.0,4944.0
2010-05-14,11.0,11.34,10.5,11.01,28450.0
2010-05-17,11.01,11.45,10.25,10.37,11004.0
2010-05-18,10.37,10.9,9.41,10.11,25321.0
2010-05-19,10.11,10.47,9.55,10.25,46846.0
2010-05-20,10.25,10.6,10.0,10.24,20812.0
2010-05-21,10.24,10.49,10.0,10.0,42427.0
2010-05-24,10.0,9.99,9.5,9.5,1001.0
2010-05-25,9.5,9.32,8.57,8.57,2910.0
2010-05-26,8.57,9.49,8.75,9.3,6096.0
2010-05-27,9.3,8.9,8.3,8.47,60521.0
2010-05-28,8.47,9.05,8.0,8.7,74908.0
2010-05-31,8.7,8.7,8.0,8.25,26996.0
2010-06-01,8.25,8.99,7.55,8.05,16253.0
2010-06-02,8.05,8.5,8.39,8.48,6199.0
2010-06-03,8.48,9.0,8.6,8.85,27943.0
2010-06-04,8.85,8.96,8.65,8.65,1521.0
2010-06-07,8.65,9.49,8.9,9.23,15474.0
