Date,Open,High,Low,Close,Volume
2014-12-15,31.5,31.5,31.5,31.5,3500.0
2014-12-16,33.07,33.07,33.07,33.07,7500.0
2014-12-17,34.72,34.72,34.0,34.72,2116500.0
2014-12-18,36.45,36.45,34.86,35.36,3737500.0
2014-12-19,35.0,35.2,33.8,34.11,2575500.0
2014-12-22,34.0,34.44,33.5,34.1,1914000.0
2014-12-23,34.0,34.45,33.75,34.09,585500.0
2014-12-24,34.15,35.79,34.02,35.79,2372000.0
2014-12-26,36.3,36.3,34.9,35.02,2847000.0
2014-12-29,35.1,35.73,34.88,35.58,1321000.0
2014-12-30,35.61,36.59,35.1,36.2,3970000.0
2014-12-31,36.5,37.0,36.0,36.92,1642500.0
2015-01-01,37.25,38.45,37.11,38.25,1762500.0
2015-01-02,38.55,39.25,38.26,38.62,2440500.0
2015-01-05,39.0,39.4,38.22,38.4,807000.0
2015-01-06,38.5,38.5,37.5,37.7,345500.0
2015-01-07,37.72,38.75,37.46,38.49,910000.0
2015-01-08,38.5,40.41,38.5,40.24,3353500.0
2015-01-09,40.5,40.99,39.81,40.38,980000.0
2015-01-12,40.1,40.3,39.6,40.11,990500.0
2015-01-13,38.98,39.0,38.0,38.06,550000.0
2015-01-14,38.02,39.3,38.0,38.65,914500.0
2015-01-15,38.95,39.05,38.13,38.25,342500.0
2015-01-16,38.58,38.6,37.99,38.02,267500.0
2015-01-19,38.1,38.2,37.4,37.5,462500.0
2015-01-20,37.25,37.25,36.25,36.62,624000.0
2015-01-21,36.51,37.99,36.51,37.9,716000.0
2015-01-22,37.3,38.5,37.25,38.14,1311000.0
2015-01-23,38.2,38.5,38.0,38.39,348500.0
2015-01-26,39.02,40.3,38.26,40.3,1364500.0
2015-01-27,40.6,40.68,40.0,40.48,718000.0
2015-01-28,40.95,40.99,40.5,40.58,526000.0
2015-01-29,40.5,40.7,40.25,40.5,232000.0
2015-01-30,40.01,40.84,40.01,40.5,645000.0
2015-02-02,40.5,41.3,40.5,40.99,794500.0
2015-02-03,40.8,41.18,40.05,40.22,1020000.0
2015-02-04,40.7,40.9,40.0,40.34,842000.0
2015-02-06,40.4,40.94,40.17,40.32,387500.0
2015-02-09,40.27,42.0,39.93,41.63,1208500.0
2015-02-10,41.7,41.7,39.6,40.52,1171500.0
2015-02-11,40.9,40.9,40.0,40.13,579000.0
