Date,Open,High,Low,Close,Volume
2001-01-01,15.55,15.5,15.25,15.25,16500.0
2001-01-02,15.25,15.9,15.4,15.4,16000.0
2001-01-03,15.4,17.4,15.5,17.25,504000.0
2001-01-04,17.25,17.5,16.75,16.8,195000.0
2001-01-05,16.8,17.25,16.8,16.8,93500.0
2001-01-08,16.8,17.9,17.1,17.4,252500.0
2001-01-09,17.4,17.7,17.2,17.4,72500.0
2001-01-10,17.4,17.7,16.85,17.4,18000.0
2001-01-11,17.4,17.9,17.15,17.3,188000.0
2001-01-12,17.3,17.6,16.9,16.9,96500.0
2001-01-15,16.9,17.7,17.0,17.35,115000.0
2001-01-16,17.35,17.75,17.25,17.55,107500.0
2001-01-17,17.55,17.65,17.25,17.65,178500.0
2001-01-18,17.65,17.6,17.25,17.25,65000.0
2001-01-19,17.25,17.4,17.15,17.25,15000.0
2001-01-22,17.25,17.95,17.5,17.8,328500.0
2001-01-23,17.8,18.15,17.65,18.0,298000.0
2001-01-24,18.0,18.35,17.95,18.0,179000.0
2001-01-25,18.0,18.05,17.7,17.7,54500.0
2001-01-26,17.7,17.75,17.45,17.6,65000.0
2001-01-29,17.6,17.8,17.45,17.5,37500.0
2001-01-30,17.5,17.55,17.2,17.5,52000.0
2001-01-31,17.5,18.2,17.5,17.95,205500.0
2001-02-01,17.95,17.9,17.55,17.55,67000.0
2001-02-02,17.55,17.75,17.55,17.75,25000.0
2001-02-06,17.75,18.15,17.7,17.95,42500.0
2001-02-07,17.95,18.0,17.75,17.75,48500.0
2001-02-08,17.75,17.85,17.75,17.75,46000.0
2001-02-09,17.75,17.85,17.7,17.75,25500.0
2001-02-12,17.75,18.4,17.9,18.25,450000.0
2001-02-13,18.25,18.6,18.2,18.2,212500.0
2001-02-14,18.2,18.25,18.1,18.15,34000.0
2001-02-15,18.15,18.25,17.8,17.8,56000.0
2001-02-16,17.8,17.9,17.55,17.7,49000.0
2001-02-19,17.7,17.85,16.05,16.8,136000.0
2001-02-20,16.8,16.7,15.75,15.85,350500.0
2001-02-21,15.85,15.85,15.55,15.85,88500.0
2001-02-22,15.85,15.7,15.55,15.7,54000.0
2001-02-23,15.7,15.5,15.05,15.05,84500.0
2001-02-26,15.05,15.1,14.75,14.75,14000.0
2001-02-27,14.75,15.0,14.8,14.8,13500.0
2001-02-28,14.8,14.85,14.7,14.7,14500.0
2001-03-01,14.7,14.8,14.65,14.65,8500.0
2001-03-02,14.65,14.65,13.5,14.0,144000.0
2001-03-09,14.0,14.2,14.0,14.05,20500.0
2001-03-12,14.05,14.05,13.65,13.65,9500.0
2001-03-13,13.65,13.7,13.4,13.4,15000.0
2001-03-14,13.4,13.95,13.5,13.55,30500.0
2001-03-15,13.55,13.65,13.45,13.5,39500.0
2001-03-16,13.5,13.55,13.1,13.1,11500.0
2001-03-19,13.1,13.1,12.55,12.75,20500.0
2001-03-20,12.75,13.4,12.8,13.4,11000.0
2001-03-21,10.9,11.9,11.5,11.55,6000.0
2001-03-22,11.55,11.6,11.5,11.6,5000.0
2001-03-26,11.6,11.7,11.7,11.7,1000.0
2001-03-27,11.7,11.55,11.4,11.55,2500.0
2001-03-28,11.55,12.1,11.45,12.0,12000.0
2001-03-30,12.0,11.9,11.75,11.9,1500.0
2001-04-03,11.9,12.0,11.9,12.0,2500.0
2001-04-06,12.0,12.05,12.0,12.05,6500.0
2001-04-10,12.05,12.25,12.1,12.25,7000.0
2001-04-12,12.25,12.15,12.1,12.1,2000.0
2001-04-13,12.1,12.25,12.25,12.25,500.0
2001-04-16,12.25,12.55,12.3,12.5,11000.0
2001-04-17,12.5,12.5,12.35,12.4,6000.0
2001-04-18,12.4,12.6,12.4,12.6,10000.0
2001-04-19,12.6,12.7,12.6,12.7,2500.0
2001-04-20,12.7,12.7,12.7,12.7,500.0
2001-04-23,12.7,12.85,12.85,12.85,500.0
2001-04-24,12.85,12.8,12.8,12.8,500.0
2001-04-25,12.8,12.55,12.5,12.5,4000.0
2001-04-26,12.5,12.5,12.5,12.5,3000.0
2001-04-27,12.5,12.5,12.4,12.5,8500.0
2001-04-30,12.5,12.5,12.5,12.5,2000.0
2001-05-02,12.5,13.45,12.75,13.45,24000.0
2001-05-03,13.45,13.45,13.15,13.15,6500.0
2001-05-04,13.15,12.95,12.8,12.9,7000.0
2001-05-08,12.9,13.1,12.9,12.9,8500.0
2001-05-09,12.9,12.8,12.75,12.75,1500.0
2001-05-10,12.75,12.9,12.85,12.85,2500.0
2001-05-11,12.85,12.95,12.8,12.95,6000.0
2001-05-14,12.95,12.7,12.6,12.6,2000.0
2001-05-15,12.6,12.7,12.7,12.7,1500.0
2001-05-16,12.7,12.85,12.7,12.85,18000.0
2001-05-17,12.85,13.0,12.9,13.0,14500.0
2001-05-18,13.0,13.6,13.05,13.25,56000.0
2001-05-21,13.25,13.6,13.3,13.6,13500.0
2001-05-22,13.6,13.45,13.2,13.2,36500.0
2001-05-23,13.2,13.25,12.5,12.6,28000.0
2001-05-24,12.6,12.7,12.55,12.55,13000.0
2001-05-25,12.55,12.65,12.5,12.6,19000.0
2001-05-28,12.6,12.75,12.75,12.75,1000.0
2001-05-29,12.75,12.65,12.65,12.65,500.0
2001-05-30,12.65,12.7,12.7,12.7,500.0
2001-05-31,12.7,12.65,12.5,12.5,4000.0
2001-06-01,12.5,12.55,12.45,12.55,18000.0
2001-06-04,12.55,12.85,12.85,12.85,1000.0
2001-06-06,12.85,12.85,12.75,12.75,6500.0
2001-06-08,12.75,12.7,12.35,12.35,7500.0
2001-06-11,12.35,12.5,12.5,12.5,1000.0
2001-06-12,12.5,12.5,12.5,12.5,500.0
2001-06-13,12.5,12.6,12.5,12.6,10500.0
