Date,Open,High,Low,Close,Volume
2001-01-02,4.5,5.0,5.0,5.0,1500.0
2001-01-03,5.0,5.15,5.15,5.15,500.0
2001-01-05,5.15,5.75,5.75,5.75,1000.0
2001-01-10,5.75,5.45,5.25,5.45,1500.0
2001-01-11,5.45,5.45,5.45,5.45,1000.0
2001-01-18,5.45,5.25,5.25,5.25,500.0
2001-01-25,5.25,4.75,4.5,4.5,3000.0
2001-01-26,4.5,4.5,4.5,4.5,2000.0
2001-01-31,4.5,5.0,5.0,5.0,500.0
2001-02-02,5.0,7.0,5.0,5.0,6000.0
2001-02-28,5.0,4.9,4.9,4.9,1000.0
2001-03-01,4.9,4.9,4.85,4.9,3000.0
2001-03-02,4.9,4.0,4.0,4.0,1000.0
2001-03-22,4.0,2.0,2.0,2.0,3000.0
2001-03-27,2.0,2.75,2.5,2.5,3000.0
2001-04-06,2.5,2.9,2.9,2.9,500.0
2001-04-18,2.9,2.0,2.0,2.0,2000.0
2001-04-20,2.0,2.15,2.15,2.15,2000.0
2001-04-30,2.15,2.15,2.15,2.15,1000.0
2001-05-02,2.15,2.45,2.45,2.45,1000.0
2001-05-03,2.45,2.55,2.55,2.55,2000.0
2001-05-08,2.55,2.5,2.5,2.5,1000.0
2001-05-10,2.5,2.5,2.5,2.5,1000.0
2001-05-11,2.5,2.5,2.5,2.5,2000.0
2001-05-17,2.5,2.3,2.05,2.1,4000.0
2001-05-18,2.1,2.2,2.2,2.2,2000.0
2001-05-23,2.2,2.2,2.2,2.2,1000.0
2001-05-25,2.2,2.35,2.35,2.35,1000.0
2001-06-14,2.35,2.5,2.5,2.5,5000.0
2001-06-18,2.5,4.9,2.55,4.9,5000.0
2001-06-22,4.9,2.3,2.3,2.3,1000.0
2001-06-26,2.3,2.3,2.3,2.3,3000.0
2001-06-27,2.3,2.8,2.65,2.65,3500.0
2001-06-28,2.65,4.2,2.95,4.2,16500.0
2001-06-29,4.2,4.9,3.8,4.0,51000.0
2001-07-03,4.0,3.5,3.5,3.5,500.0
2001-07-04,3.5,3.15,2.95,2.95,2500.0
2001-07-05,2.95,2.75,2.7,2.75,2000.0
2001-08-21,2.75,3.0,3.0,3.0,500.0
2001-10-22,3.0,2.9,2.9,2.9,1000.0
2001-12-01,2.9,3.0,3.0,3.0,1000.0
2001-12-31,3.0,3.9,3.9,3.9,500.0
2002-01-02,3.9,3.0,3.0,3.0,500.0
2002-01-24,3.0,3.0,3.0,3.0,3000.0
2002-02-04,3.0,4.5,4.5,4.5,1000.0
2002-02-06,4.5,3.5,3.5,3.5,500.0
2002-02-08,3.5,4.0,4.0,4.0,500.0
2002-03-07,4.0,3.0,3.0,3.0,1000.0
2002-03-08,3.0,3.0,3.0,3.0,500.0
2002-03-28,3.0,3.0,3.0,3.0,3000.0
2002-04-12,3.0,3.25,3.25,3.25,1000.0
2002-04-15,3.25,3.6,3.6,3.6,0.0
2002-04-18,3.6,3.5,3.5,3.5,4000.0
2002-04-19,3.5,3.0,3.0,3.0,1500.0
2002-04-24,3.0,3.1,3.1,3.1,3500.0
2002-04-25,3.1,3.0,3.0,3.0,500.0
2002-04-26,3.0,3.0,3.0,3.0,500.0
2002-04-29,3.0,3.05,3.05,3.05,0.0
2002-04-30,3.05,3.0,3.0,3.0,500.0
2002-05-02,3.0,3.0,3.0,3.0,1000.0
2002-05-14,3.0,3.0,3.0,3.0,1000.0
2002-05-16,3.0,3.0,3.0,3.0,3500.0
2002-05-28,3.0,2.5,2.5,2.5,1000.0
2002-05-30,2.5,2.0,2.0,2.0,2000.0
2002-05-31,2.0,2.1,2.1,2.1,1000.0
2002-06-03,2.1,2.6,2.5,2.6,1500.0
2002-06-06,2.6,2.85,2.15,2.8,2000.0
2002-06-11,2.8,2.65,2.65,2.65,1500.0
2002-06-14,2.65,2.35,2.35,2.35,1500.0
2002-06-27,2.35,2.5,2.5,2.5,0.0
2002-06-28,2.5,3.9,2.95,3.9,13000.0
2002-07-01,3.9,3.45,3.45,3.45,500.0
2002-07-02,3.45,2.5,2.5,2.5,500.0
2002-07-03,2.5,2.5,2.5,2.5,1000.0
2002-07-04,2.5,2.65,2.6,2.65,7000.0
2002-07-05,2.65,2.7,2.7,2.7,0.0
2002-07-08,2.7,2.8,2.65,2.75,2500.0
2002-07-15,2.75,2.7,2.5,2.5,1500.0
2002-07-16,2.5,2.55,2.55,2.55,0.0
2002-07-23,2.55,2.95,2.95,2.95,1000.0
2002-07-30,2.95,2.6,2.6,2.6,0.0
2002-08-06,2.6,2.55,2.55,2.55,0.0
2002-08-09,2.55,2.5,2.5,2.5,5000.0
2002-08-15,2.5,2.95,2.95,2.95,1000.0
2002-08-16,2.95,2.85,2.85,2.85,500.0
