Date,Open,High,Low,Close,Volume
2001-01-11,2.0,1.25,1.25,1.25,500.0
2001-01-12,1.25,1.6,1.6,1.6,4500.0
2001-01-15,1.6,1.75,1.75,1.75,500.0
2001-01-22,1.75,2.0,2.0,2.0,500.0
2001-01-30,2.0,2.0,2.0,2.0,500.0
2001-02-01,2.0,2.0,2.0,2.0,500.0
2001-02-06,2.0,2.0,2.0,2.0,1000.0
2001-02-20,2.0,2.25,2.25,2.25,2000.0
2001-02-22,2.25,2.5,2.5,2.5,1000.0
2001-02-23,2.5,2.5,2.2,2.5,2000.0
2001-02-26,2.5,2.2,2.2,2.2,500.0
2001-02-27,2.2,2.25,2.25,2.25,2000.0
2001-02-28,2.25,3.5,2.85,3.0,7000.0
2001-03-01,3.0,3.25,2.95,2.95,5000.0
2001-03-09,2.95,3.25,3.0,3.0,2500.0
2001-03-12,3.0,3.0,3.0,3.0,1000.0
2001-03-13,3.0,2.75,2.7,2.7,8000.0
2001-03-14,2.7,3.0,2.6,3.0,12500.0
2001-03-15,3.0,2.75,2.65,2.75,1500.0
2001-03-16,2.75,3.0,2.75,3.0,3500.0
2001-03-19,3.0,3.0,3.0,3.0,1000.0
2001-03-20,3.0,3.1,2.95,3.1,2500.0
2001-03-21,3.1,3.05,3.0,3.0,1500.0
2001-03-22,3.0,3.25,3.25,3.25,5000.0
2001-03-26,2.25,2.25,2.25,2.25,0.0
2001-03-29,2.25,2.0,2.0,2.0,500.0
2001-04-09,2.0,2.0,2.0,2.0,500.0
2001-04-25,2.0,2.5,2.5,2.5,500.0
2001-05-15,2.5,2.5,2.5,2.5,0.0
2001-06-20,2.5,2.1,2.1,2.1,500.0
2001-07-03,2.1,1.5,1.5,1.5,500.0
2001-07-06,1.5,1.5,1.5,1.5,500.0
2001-07-26,1.5,1.45,1.45,1.45,6500.0
2001-07-27,1.45,1.55,1.55,1.55,500.0
2001-07-30,1.55,1.65,1.65,1.65,500.0
2001-07-31,1.65,1.7,1.7,1.7,500.0
2001-08-03,1.7,1.7,1.7,1.7,500.0
2001-08-06,1.7,1.45,1.45,1.45,1000.0
2001-09-27,1.45,1.5,1.5,1.5,500.0
2002-01-17,1.5,1.5,1.5,1.5,4000.0
2002-02-07,1.5,1.8,1.8,1.8,1000.0
2002-02-08,1.8,2.75,2.0,2.75,3000.0
2002-02-11,2.75,2.75,2.1,2.15,4500.0
2002-02-12,2.15,2.15,2.15,2.15,1500.0
2002-02-26,2.15,2.0,2.0,2.0,500.0
2002-03-07,2.0,2.1,2.1,2.1,1000.0
2002-03-12,2.1,2.25,2.1,2.25,2500.0
2002-03-22,2.25,1.8,1.8,1.95,500.0
2002-03-26,1.95,2.0,2.0,2.0,0.0
2002-03-27,2.0,2.25,2.25,2.25,0.0
2002-04-01,2.25,2.75,2.7,2.75,1500.0
2002-04-10,2.75,1.8,1.8,1.8,500.0
2002-04-11,1.8,2.15,2.15,2.15,0.0
2002-04-12,2.15,2.5,2.5,2.5,0.0
2002-04-15,2.5,3.0,2.95,3.0,1000.0
2002-04-16,3.0,3.0,2.95,3.0,1000.0
2002-04-17,3.0,3.2,3.0,3.2,1000.0
2002-04-18,3.2,3.25,3.0,3.25,2000.0
2002-04-22,3.25,3.3,3.3,3.3,4000.0
2002-04-23,3.3,4.0,3.75,4.0,3000.0
2002-04-24,4.0,5.25,4.45,5.25,6000.0
2002-04-25,5.25,6.25,5.3,5.85,8500.0
2002-04-26,5.85,6.0,5.0,5.85,10500.0
2002-04-29,5.85,5.55,4.35,4.95,10000.0
2002-04-30,4.95,4.85,4.85,4.85,0.0
2002-05-03,4.85,3.4,3.4,3.4,1000.0
2002-05-07,3.4,3.45,3.45,3.45,0.0
2002-05-09,3.45,3.0,3.0,3.0,1000.0
2002-05-20,3.0,2.95,2.95,2.95,0.0
2002-05-21,2.95,2.0,2.0,2.0,2000.0
2002-05-22,2.0,2.3,2.2,2.3,3500.0
2002-05-24,2.3,2.8,2.0,2.8,17000.0
2002-05-27,2.8,3.35,2.4,2.45,11000.0
2002-05-28,2.45,2.45,2.45,2.45,1000.0
2002-05-29,2.45,2.55,2.55,2.55,0.0
2002-05-31,2.55,2.75,2.7,2.75,1000.0
2002-06-05,2.75,2.8,2.8,2.8,0.0
2002-06-13,2.8,2.8,2.8,2.8,2000.0
2002-06-20,2.8,2.65,2.65,2.65,500.0
2002-06-27,2.65,2.7,2.7,2.7,500.0
2002-06-28,2.7,2.75,2.75,2.75,0.0
2002-07-01,2.75,2.8,2.8,2.8,0.0
2002-07-02,2.8,3.2,2.85,3.0,3500.0
2002-07-03,3.0,3.0,3.0,3.0,1000.0
2002-07-04,3.0,3.0,3.0,3.0,2000.0
2002-07-15,3.0,3.25,3.25,3.25,1000.0
2002-07-22,3.25,3.85,3.75,3.85,1000.0
2002-07-25,3.85,3.15,3.15,3.15,500.0
2002-08-16,3.15,3.1,3.1,3.1,0.0
2002-09-06,3.1,2.5,2.5,2.5,500.0
2002-09-12,2.5,2.5,2.5,2.5,1000.0
2002-09-17,2.5,2.5,2.5,2.5,500.0
2002-09-18,2.5,2.6,2.6,2.6,1000.0
2002-09-26,2.6,2.75,2.75,2.75,1000.0
2002-10-01,2.75,2.85,2.7,2.75,23500.0
2002-10-02,2.75,2.8,2.8,2.8,0.0
2002-10-07,2.8,3.05,3.0,3.05,4000.0
2002-10-15,3.05,3.0,3.0,3.0,1000.0
2002-11-05,3.0,2.75,2.25,2.75,3000.0
2002-11-27,2.75,2.8,2.8,2.8,0.0
2002-12-04,2.8,2.75,2.75,2.75,500.0
2002-12-09,2.75,3.0,3.0,3.0,0.0
2003-01-14,3.0,3.0,3.0,3.0,500.0
2003-01-21,3.0,3.0,2.75,3.0,2000.0
2003-01-23,3.0,3.0,3.0,3.0,1000.0
2003-01-28,3.0,3.0,3.0,3.0,500.0
2003-01-31,3.0,3.0,3.0,3.0,500.0
2003-02-10,3.0,3.0,3.0,3.0,500.0
2003-02-18,3.0,3.5,3.5,3.5,2000.0
2003-02-19,3.5,3.55,3.55,3.55,0.0
2003-03-06,3.55,4.95,4.95,4.95,1000.0
2003-03-10,4.95,4.0,4.0,4.0,0.0
2003-03-18,4.0,3.95,3.95,3.95,0.0
2003-03-19,3.95,3.7,3.7,3.7,0.0
2003-04-14,3.7,3.7,3.7,3.7,500.0
2003-04-16,3.7,3.55,3.5,3.5,2500.0
2003-04-22,3.5,3.55,3.5,3.5,2500.0
2003-05-07,3.5,3.45,3.45,3.45,0.0
2003-05-19,3.45,3.55,3.55,3.55,0.0
2003-05-22,3.55,3.5,3.5,3.5,3000.0
2003-05-26,3.5,3.4,3.4,3.4,1000.0
2003-05-27,3.4,3.75,3.75,3.75,0.0
2003-05-28,3.75,4.5,3.95,4.5,8000.0
2003-05-29,4.5,4.9,4.4,4.9,1500.0
2003-05-30,4.9,4.75,4.75,4.75,0.0
2003-06-04,4.75,4.0,3.75,4.0,3500.0
2003-06-05,4.0,3.8,3.8,3.8,500.0
2003-06-06,3.8,4.95,4.65,4.65,3000.0
2003-06-09,4.65,4.5,4.5,4.5,0.0
2003-06-12,4.5,4.45,4.45,4.45,0.0
2003-06-13,4.45,3.75,3.75,3.75,500.0
2003-06-30,3.75,3.8,3.8,3.8,0.0
2003-07-01,3.8,3.85,3.85,3.85,0.0
2003-07-04,3.85,3.6,3.55,3.6,500.0
2003-07-08,3.6,4.0,4.0,4.0,15000.0
2003-07-09,4.0,5.5,4.25,5.0,28000.0
2003-07-10,5.0,5.0,5.0,5.0,500.0
2003-07-11,5.0,5.0,5.0,5.0,5000.0
2003-07-14,5.0,4.7,4.7,4.7,1000.0
2003-07-15,4.7,3.9,3.7,3.9,28000.0
2003-07-18,3.9,4.05,3.9,4.05,6000.0
2003-07-21,4.05,4.05,4.05,4.05,11000.0
2003-07-22,4.05,4.4,4.0,4.05,13000.0
2003-07-23,4.05,4.0,4.0,4.0,8500.0
2003-07-25,4.0,3.75,3.5,3.75,500.0
2003-07-28,3.75,4.5,4.0,4.5,14500.0
2003-07-29,4.5,4.9,4.9,4.9,2500.0
2003-07-30,4.9,4.45,4.15,4.15,13500.0
2003-07-31,4.15,4.95,4.5,4.95,24500.0
2003-08-01,4.95,4.4,4.4,4.4,2000.0
2003-08-04,4.4,4.5,4.5,4.5,3000.0
2003-08-07,4.5,4.5,4.5,4.5,2000.0
2003-08-08,4.5,4.5,4.3,4.3,2000.0
2003-08-11,4.3,4.5,4.5,4.5,500.0
2003-08-26,4.5,4.0,4.0,4.0,11000.0
2003-08-27,4.0,3.9,3.9,3.9,2000.0
2003-08-28,3.9,4.0,3.75,3.8,4500.0
2003-09-01,3.8,3.95,3.9,3.95,1000.0
2003-09-08,3.95,4.0,4.0,4.0,0.0
2003-09-10,4.0,4.05,4.05,4.05,500.0
2003-09-11,4.05,5.0,4.5,5.0,25000.0
2003-09-15,5.0,4.25,4.25,4.25,500.0
2003-09-16,4.25,4.45,4.15,4.2,21000.0
2003-09-17,4.2,4.5,4.2,4.5,3000.0
2003-09-18,4.5,4.35,4.2,4.35,2000.0
2003-09-22,4.35,4.3,4.3,4.3,3000.0
2003-09-29,4.3,3.7,3.6,3.7,1000.0
2003-09-30,3.7,5.0,4.9,4.9,5000.0
2003-10-01,4.9,4.5,4.05,4.05,5000.0
2003-10-03,4.05,5.0,4.7,5.0,9000.0
2003-10-06,5.0,4.25,4.2,4.25,2000.0
2003-10-08,4.25,4.5,4.5,4.5,500.0
2003-10-09,4.5,4.8,4.8,4.8,5000.0
2003-10-13,4.8,4.7,4.7,4.7,5000.0
2003-10-14,4.7,4.5,4.5,4.5,2500.0
2003-10-15,4.5,4.5,4.5,4.5,4000.0
2003-10-17,4.5,4.5,4.5,4.5,2500.0
2003-10-28,4.5,4.05,4.05,4.05,1000.0
2003-12-11,4.05,4.05,4.05,4.05,1000.0
2004-01-06,4.05,4.0,4.0,4.0,20000.0
2004-01-15,4.0,3.75,3.75,3.75,500.0
2004-01-16,3.75,3.5,3.5,3.5,500.0
2004-01-19,3.5,3.65,3.65,3.65,0.0
2004-01-20,3.65,4.2,4.0,4.2,1500.0
2004-02-10,4.2,4.25,4.25,4.25,1000.0
2004-02-16,4.25,4.25,4.25,4.25,2500.0
2004-02-19,4.25,4.8,4.3,4.8,21500.0
2004-02-20,4.8,4.5,4.5,4.5,2500.0
2004-02-27,4.5,4.5,4.45,4.5,5500.0
2004-03-03,4.5,4.5,4.5,4.5,4500.0
2004-03-08,4.5,4.2,4.2,4.2,1500.0
2004-03-09,4.2,4.25,4.25,4.25,1000.0
2004-03-10,4.25,5.75,5.2,5.2,13500.0
2004-03-11,5.2,5.2,4.95,4.95,12000.0
2004-03-12,4.95,5.6,5.6,5.6,500.0
2004-03-15,5.6,5.9,5.8,5.8,1000.0
2004-03-16,5.8,5.5,5.0,5.0,9500.0
2004-03-18,5.0,5.35,5.1,5.25,6000.0
2004-03-22,5.25,6.75,5.4,6.75,55000.0
2004-03-24,6.75,7.65,6.35,7.45,21000.0
2004-03-25,7.45,7.7,6.5,7.0,3500.0
2004-03-29,7.0,6.5,6.5,6.5,0.0
2004-03-31,6.5,6.15,6.15,6.15,0.0
2004-04-01,6.15,5.95,5.95,5.95,0.0
2004-04-02,5.95,7.4,6.25,6.65,9500.0
2004-04-05,6.65,6.25,6.25,6.25,1000.0
2004-04-06,6.25,6.25,6.15,6.15,1500.0
2004-04-07,6.15,6.2,6.0,6.0,1000.0
2004-04-08,6.0,5.05,5.0,5.0,15500.0
2004-04-09,5.0,5.25,5.25,5.25,500.0
2004-04-14,5.25,5.25,5.05,5.05,15000.0
2004-04-15,5.05,5.2,5.2,5.2,10000.0
2004-04-16,5.2,5.25,5.25,5.25,0.0
2004-04-19,5.25,5.3,5.1,5.1,3000.0
2004-04-20,5.1,5.05,5.05,5.05,500.0
2004-04-21,5.05,5.4,5.05,5.4,7500.0
2004-04-22,5.4,5.0,5.0,5.0,0.0
2004-04-23,5.0,4.8,4.8,4.8,500.0
2004-04-30,4.8,4.65,4.65,4.65,2000.0
2004-05-12,4.65,4.15,4.15,4.15,3000.0
2004-05-13,4.15,4.5,4.5,4.5,0.0
2004-05-14,4.5,4.55,4.55,4.55,0.0
2004-05-19,4.55,4.7,4.7,4.7,1500.0
2004-05-21,4.7,5.0,4.75,4.75,1000.0
2004-05-24,4.75,5.25,5.0,5.25,6000.0
2004-05-25,5.25,6.0,4.8,6.0,20000.0
2004-05-26,6.0,5.9,5.5,5.5,15500.0
2004-05-27,5.5,6.0,5.3,6.0,16000.0
2004-05-28,6.0,5.9,5.9,5.9,2000.0
2004-06-01,5.9,6.0,5.7,6.0,24000.0
2004-06-02,6.0,6.15,6.0,6.0,5000.0
2004-06-03,6.0,6.0,5.95,5.95,1000.0
2004-06-07,5.95,5.35,5.35,5.35,1000.0
2004-06-08,5.35,5.65,5.65,5.65,0.0
2004-06-09,5.65,6.1,5.8,5.8,6000.0
2004-06-10,5.8,6.0,6.0,6.0,14500.0
2004-06-11,6.0,6.7,6.0,6.5,21000.0
2004-06-15,6.5,6.5,6.5,6.5,500.0
2004-06-16,6.5,6.75,6.5,6.7,16500.0
2004-06-17,6.7,8.2,6.6,8.1,66500.0
2004-06-18,8.1,7.15,7.15,7.15,2000.0
2004-06-21,7.15,7.55,7.5,7.5,5500.0
2004-06-24,7.5,7.0,7.0,7.0,1000.0
2004-06-25,7.0,7.2,7.2,7.2,1500.0
2004-06-28,7.2,7.0,7.0,7.0,1000.0
2004-07-01,7.0,7.0,6.0,7.0,7000.0
2004-07-06,7.0,6.75,6.75,6.75,500.0
2004-07-12,6.75,6.0,6.0,6.0,500.0
2004-07-22,6.0,5.05,5.05,5.05,500.0
2004-07-23,5.05,5.15,5.15,5.15,0.0
2004-07-26,5.15,5.25,5.25,5.25,0.0
2004-08-10,5.25,6.5,5.95,6.5,20000.0
2004-08-11,6.5,6.75,5.75,6.25,18000.0
2004-08-13,6.25,6.25,6.25,6.25,500.0
2004-08-17,6.25,5.6,5.55,5.6,1000.0
2004-08-18,5.6,5.75,5.75,5.75,0.0
2004-08-19,5.75,5.9,5.9,5.9,0.0
2004-08-20,5.9,6.0,6.0,6.0,500.0
2004-08-26,6.0,6.0,6.0,6.0,500.0
2004-08-27,6.0,6.5,6.5,6.5,500.0
2004-09-08,6.5,5.55,5.5,5.55,1000.0
2004-09-13,5.55,5.0,5.0,5.0,1000.0
2004-09-17,5.0,5.1,5.1,5.1,0.0
2004-09-20,5.1,5.6,5.4,5.6,4000.0
2004-09-30,5.6,5.95,5.95,5.95,1000.0
2004-10-04,5.95,5.55,5.55,5.55,2000.0
2004-10-07,5.55,6.05,5.95,6.0,4000.0
2004-10-08,6.0,7.0,6.6,6.6,24500.0
2004-10-18,6.6,7.0,7.0,7.0,5500.0
2004-10-19,7.0,7.0,6.75,6.75,5500.0
2004-11-01,6.75,6.5,6.5,6.5,0.0
2004-12-01,6.5,7.5,6.5,7.5,2000.0
2004-12-03,7.5,7.3,7.3,7.3,0.0
2004-12-08,7.3,7.25,7.25,7.25,0.0
2004-12-09,7.25,7.5,7.2,7.5,3000.0
2004-12-13,7.5,7.5,7.4,7.5,7500.0
2004-12-14,7.5,7.65,7.65,7.65,3500.0
2004-12-15,7.65,7.5,7.5,7.5,1000.0
2004-12-20,7.5,7.5,7.5,7.5,2000.0
2004-12-21,7.5,8.0,8.0,8.0,7000.0
2004-12-22,8.0,8.0,8.0,8.0,1000.0
2004-12-23,8.0,8.0,8.0,8.0,2000.0
2004-12-30,8.0,7.5,7.5,7.5,1000.0
2004-12-31,7.5,7.5,7.5,7.5,5000.0
