Date,Open,High,Low,Close,Volume
2001-01-03,47.0,47.0,47.0,47.0,200.0
2001-01-10,47.0,47.0,47.0,47.0,0.0
2001-04-30,47.0,48.0,45.0,45.0,2000.0
2001-05-02,45.0,46.0,46.0,46.0,500.0
2001-05-10,46.0,46.6,46.6,46.6,100.0
2001-05-17,46.6,46.0,46.0,46.0,900.0
2001-05-18,46.0,46.0,46.0,46.0,4000.0
2001-05-21,46.0,44.0,43.0,43.0,1500.0
2001-05-23,43.0,43.0,43.0,43.0,500.0
2001-05-24,43.0,42.05,42.05,42.05,500.0
2001-05-25,42.05,42.0,42.0,42.0,100.0
2001-06-01,42.0,42.0,42.0,42.0,4000.0
2001-06-04,42.0,42.0,42.0,42.0,100.0
2001-06-06,42.0,42.0,42.0,42.0,100.0
2001-06-11,42.0,42.0,42.0,42.0,100.0
2001-06-12,38.5,38.5,38.5,38.5,0.0
2001-06-25,38.5,38.5,38.5,38.5,0.0
2001-06-27,38.5,39.0,39.0,39.0,200.0
2001-07-03,39.0,39.0,39.0,39.0,200.0
2001-07-19,39.0,39.0,39.0,39.0,500.0
2001-08-09,39.0,48.75,42.9,48.75,2200.0
2001-08-13,48.75,54.95,48.0,54.95,1000.0
2001-08-16,54.95,54.95,54.95,54.95,0.0
2001-08-22,54.95,42.0,42.0,42.0,100.0
2001-08-23,42.0,51.5,47.5,47.5,800.0
2001-08-24,47.5,49.0,49.0,49.0,1500.0
2001-08-28,49.0,49.0,49.0,49.0,4000.0
2001-10-24,49.0,47.0,47.0,47.0,1500.0
2001-11-08,47.0,47.0,47.0,47.0,100.0
2001-11-14,47.0,47.0,47.0,47.0,1500.0
2001-12-31,43.5,43.5,43.5,43.5,0.0
2002-01-02,43.5,43.0,43.0,43.0,100.0
2002-03-08,43.0,43.0,42.0,43.0,600.0
2002-03-12,43.0,43.0,39.8,39.8,500.0
2002-03-18,39.8,39.8,39.8,40.0,500.0
2002-03-19,40.0,40.05,40.05,40.05,100.0
2002-03-21,40.05,43.05,43.05,43.05,100.0
2002-03-22,43.05,46.25,46.25,46.25,100.0
2002-03-26,46.25,49.7,49.7,49.7,0.0
2002-03-27,49.7,50.0,50.0,50.0,500.0
2002-03-29,50.0,49.5,49.5,49.5,0.0
2002-04-04,49.5,49.0,49.0,49.0,0.0
2002-04-05,49.0,48.5,48.5,48.5,0.0
2002-04-11,48.5,51.0,51.0,51.0,1000.0
2002-04-12,51.0,52.0,52.0,52.0,400.0
2002-04-15,52.0,52.0,52.0,52.0,100.0
2002-05-06,52.0,52.0,51.0,51.0,500.0
2002-05-14,51.0,53.0,53.0,53.0,500.0
2002-05-16,53.0,49.05,49.05,49.05,100.0
2002-06-18,46.05,46.05,46.05,46.05,0.0
2002-07-02,46.05,45.0,45.0,45.0,0.0
2002-09-03,45.0,45.0,45.0,45.0,500.0
2002-09-30,45.0,45.05,45.05,45.05,0.0
2002-10-07,45.05,46.0,46.0,46.0,0.0
2002-11-05,46.0,49.25,49.0,49.0,3000.0
