Date,Open,High,Low,Close,Volume
2001-01-19,3.5,3.5,3.5,3.5,500.0
2001-01-29,3.5,3.5,3.5,3.5,3500.0
2001-02-26,3.5,5.5,5.5,5.5,1000.0
2001-03-16,4.75,4.75,4.75,4.75,0.0
2001-05-02,4.75,3.0,3.0,3.0,5500.0
2001-05-04,3.0,3.0,3.0,3.0,3000.0
2001-05-23,3.0,3.1,3.1,3.1,500.0
2001-06-28,3.1,5.0,5.0,5.0,8000.0
2001-07-23,5.0,5.0,5.0,5.0,0.0
2001-09-04,5.0,3.1,3.1,3.1,5000.0
2001-09-28,3.1,3.0,3.0,3.0,500.0
2002-01-30,3.0,4.0,4.0,4.0,5000.0
2002-02-11,4.0,4.0,4.0,4.0,500.0
2002-03-11,3.25,3.25,3.25,3.25,0.0
2002-03-12,3.25,4.5,4.5,4.5,1500.0
2002-03-13,4.5,4.75,4.75,4.75,4000.0
2002-03-28,4.75,4.75,4.75,4.75,500.0
2002-04-05,4.75,4.75,4.75,4.75,8000.0
2002-04-12,4.75,3.5,3.5,3.5,1500.0
2002-04-15,3.5,4.0,3.45,4.0,4500.0
2002-04-22,4.0,4.25,4.25,4.25,500.0
2002-05-10,4.25,3.75,3.7,3.7,1500.0
2002-05-17,3.7,3.2,3.2,3.2,500.0
2002-05-20,3.2,3.0,3.0,3.0,1500.0
2002-06-12,3.0,3.0,3.0,3.0,2500.0
2002-06-14,3.0,3.0,3.0,3.0,500.0
2002-06-21,3.0,3.0,3.0,3.0,500.0
2002-07-25,3.0,3.0,3.0,3.0,1000.0
2002-07-30,3.0,2.5,2.5,2.5,1000.0
2002-07-31,2.5,3.0,2.8,2.8,1000.0
2002-08-05,2.8,4.0,4.0,4.0,500.0
2002-08-09,4.0,3.7,3.7,3.7,500.0
2002-09-02,3.7,3.5,3.5,3.5,0.0
2002-09-03,3.5,3.0,3.0,3.0,500.0
2002-09-06,3.0,3.0,3.0,3.0,500.0
2002-09-13,3.0,2.7,2.7,2.7,0.0
2002-09-17,2.7,3.0,2.8,2.85,13000.0
2002-09-18,2.85,3.0,2.9,3.0,22000.0
2002-09-19,3.0,3.3,3.3,3.3,1000.0
2002-09-23,3.3,3.2,3.2,3.2,0.0
2002-09-24,3.2,3.4,3.25,3.4,374500.0
2002-10-02,3.4,2.8,2.8,2.8,1000.0
2002-10-03,2.8,2.8,2.8,2.8,1000.0
2002-10-16,2.8,2.5,2.5,2.5,1000.0
2002-10-17,2.5,3.0,2.5,3.0,4000.0
2002-10-23,3.0,3.3,3.3,3.3,2000.0
2002-10-24,3.3,3.3,3.3,3.3,0.0
2002-10-28,3.3,3.0,3.0,3.0,0.0
2002-10-29,3.0,2.65,2.65,2.65,500.0
2002-10-31,2.65,2.65,2.65,2.65,1000.0
2002-11-01,2.65,2.8,2.8,2.8,0.0
2002-11-04,2.8,3.0,2.5,2.5,6500.0
2002-11-05,2.5,2.55,2.0,2.15,73000.0
2002-11-06,2.15,2.2,1.5,2.0,86000.0
2002-11-07,2.0,2.2,1.75,1.85,45000.0
2002-11-08,1.85,2.0,1.7,1.75,114000.0
2002-11-11,1.75,1.9,1.75,1.9,136500.0
2002-11-12,1.9,2.2,1.9,2.05,45000.0
2002-11-13,2.05,2.2,2.15,2.15,11500.0
2002-11-14,2.15,2.2,2.1,2.15,42500.0
2002-11-15,2.15,2.5,2.2,2.45,68500.0
2002-11-18,2.45,2.9,2.65,2.9,81500.0
2002-11-19,2.9,3.0,2.75,2.85,66000.0
2002-11-20,2.85,2.9,2.75,2.75,25500.0
2002-11-21,2.75,2.9,2.7,2.7,59500.0
2002-11-22,2.7,2.8,2.7,2.7,2500.0
2002-11-25,2.7,2.7,2.55,2.6,32500.0
2002-11-26,2.6,2.6,2.5,2.6,32000.0
2002-11-27,2.6,2.7,2.5,2.5,7000.0
2002-11-28,2.5,2.7,2.5,2.7,29000.0
2002-11-29,2.7,2.75,2.7,2.75,5000.0
2002-12-02,2.75,2.75,2.7,2.7,2000.0
2002-12-04,2.7,2.6,2.6,2.6,500.0
2002-12-09,2.6,3.0,2.85,3.0,48000.0
2002-12-10,3.0,3.0,2.85,2.85,24500.0
2002-12-11,2.85,3.15,2.9,3.0,28000.0
2002-12-12,3.0,2.9,2.85,2.9,6000.0
2002-12-13,2.9,2.95,2.95,2.95,2000.0
2002-12-16,2.95,2.95,2.75,2.95,18000.0
2002-12-17,2.95,2.8,2.8,2.8,1000.0
2002-12-18,2.8,3.05,2.85,3.0,12500.0
2002-12-19,3.0,3.2,3.0,3.05,48000.0
2002-12-20,3.05,3.2,3.0,3.2,14000.0
2002-12-23,3.2,2.95,2.5,2.5,53000.0
2002-12-24,2.5,3.85,2.75,2.85,30000.0
2002-12-26,2.85,2.85,2.7,2.75,20000.0
2002-12-27,2.75,2.8,2.75,2.75,6000.0
2002-12-30,2.75,2.95,2.7,2.95,9000.0
2002-12-31,2.95,2.8,2.8,2.8,2000.0
2003-01-01,2.8,2.75,2.75,2.75,4000.0
2003-01-02,2.75,2.75,2.75,2.75,3000.0
2003-01-07,2.75,2.85,2.85,2.85,13000.0
2003-01-09,2.85,2.95,2.8,2.95,12000.0
2003-01-10,2.95,3.0,3.0,3.0,3000.0
2003-01-13,3.0,3.25,2.85,3.1,31000.0
2003-01-14,3.1,2.95,2.85,2.95,3500.0
2003-01-15,2.95,3.0,2.9,3.0,25000.0
2003-01-23,3.0,2.8,2.8,2.8,1000.0
2003-01-24,2.8,2.55,2.55,2.55,1000.0
2003-02-06,2.55,2.95,2.5,2.5,3000.0
2003-02-17,2.5,2.8,2.75,2.75,12500.0
2003-02-18,2.75,2.9,2.5,2.5,1000.0
2003-02-20,2.5,2.75,2.75,2.75,34500.0
2003-03-17,2.75,2.5,2.5,2.5,0.0
2003-03-19,2.5,2.6,2.6,2.6,2000.0
2003-04-16,2.6,2.75,2.75,2.75,2500.0
2003-04-17,2.75,2.75,2.5,2.6,11500.0
2003-04-18,2.6,3.0,2.6,2.9,25500.0
2003-04-21,2.9,3.35,3.2,3.2,32000.0
2003-04-22,3.2,2.9,2.9,2.9,500.0
2003-04-23,2.9,3.0,3.0,3.0,5000.0
2003-04-29,3.0,3.2,3.2,3.2,25000.0
2003-04-30,3.2,3.3,3.25,3.25,7500.0
2003-05-06,3.25,3.15,3.15,3.15,0.0
2003-05-09,3.15,3.1,3.1,3.1,500.0
2003-05-12,3.1,3.25,3.25,3.25,2000.0
2003-05-13,3.25,3.4,3.4,3.4,1000.0
2003-05-14,3.4,3.3,3.15,3.3,2500.0
2003-05-19,3.3,3.35,3.25,3.25,17000.0
2003-05-20,3.25,3.15,3.1,3.1,5000.0
2003-05-21,3.1,3.0,3.0,3.0,1000.0
2003-05-23,3.0,3.3,3.1,3.1,6000.0
2003-05-26,3.1,3.0,3.0,3.0,5000.0
2003-05-27,3.0,3.1,3.0,3.1,54000.0
2003-05-28,3.1,3.25,3.1,3.25,7500.0
2003-05-29,3.25,3.1,3.1,3.1,0.0
2003-05-30,3.1,3.0,3.0,3.0,8000.0
2003-06-02,3.0,3.05,3.0,3.05,2000.0
2003-06-03,3.05,3.05,3.05,3.05,1500.0
2003-06-04,3.05,3.25,3.15,3.25,13000.0
2003-06-06,3.25,3.7,3.25,3.5,17000.0
2003-06-09,3.5,3.4,3.35,3.35,19000.0
2003-06-10,3.35,3.45,3.25,3.25,12000.0
2003-06-11,3.25,3.5,3.2,3.2,8000.0
2003-06-12,3.2,3.0,3.0,3.0,2500.0
2003-06-13,3.0,3.25,3.25,3.25,3000.0
2003-06-19,3.25,3.15,3.15,3.15,5000.0
2003-06-20,3.15,4.65,3.05,3.5,57000.0
