Date,Open,High,Low,Close,Volume
2002-01-01,36.3,37.5,37.1,37.5,1000.0
2002-01-03,37.5,37.5,37.1,37.5,1500.0
2002-01-04,37.5,38.0,37.75,37.75,1000.0
2002-01-07,37.75,39.0,38.0,39.0,1500.0
2002-01-10,39.0,39.0,39.0,39.0,500.0
2002-01-17,39.0,39.0,38.75,39.0,1500.0
2002-01-18,39.0,39.0,39.0,39.0,2000.0
2002-01-21,39.0,39.0,38.0,38.0,1000.0
2002-01-22,38.0,38.5,38.0,38.5,1000.0
2002-01-23,38.5,41.0,40.95,41.0,6000.0
2002-01-24,41.0,40.5,40.0,40.5,1000.0
2002-01-28,40.5,41.5,41.0,41.5,1000.0
2002-02-01,41.5,43.0,41.1,43.0,1500.0
2002-02-04,43.0,44.95,44.5,44.95,1500.0
2002-02-06,44.95,46.0,44.0,44.9,2000.0
2002-02-07,44.9,45.0,45.0,45.0,3000.0
2002-02-08,45.0,45.0,45.0,45.0,3500.0
2002-02-11,45.0,45.0,45.0,45.0,2000.0
2002-02-15,45.0,43.0,43.0,43.0,500.0
2002-02-18,43.0,43.5,43.5,43.5,500.0
2002-02-19,43.5,44.0,44.0,44.0,500.0
2002-02-20,44.0,44.9,44.5,44.5,1500.0
2002-02-21,44.5,44.95,44.35,44.95,2000.0
2002-02-26,44.95,42.5,42.5,42.5,1000.0
2002-02-28,42.5,41.0,41.0,41.0,1000.0
2002-03-01,41.0,43.0,40.0,42.75,10500.0
2002-03-04,42.75,44.0,42.0,43.0,12000.0
2002-03-05,43.0,44.0,44.0,44.0,3500.0
2002-03-06,44.0,44.0,43.0,44.0,5500.0
2002-03-07,44.0,43.4,43.4,43.4,2000.0
2002-03-08,43.4,44.0,43.5,43.5,1500.0
2002-03-11,43.5,44.1,43.8,44.1,4500.0
2002-03-12,44.1,44.0,43.5,44.0,3500.0
2002-03-13,44.0,45.4,44.0,45.4,7500.0
2002-03-15,45.4,45.5,45.5,45.5,500.0
2002-03-19,45.5,45.5,45.5,45.0,500.0
2002-03-20,45.0,44.0,42.5,42.5,1000.0
2002-03-21,37.5,40.0,40.0,40.0,500.0
2002-03-22,40.0,43.0,43.0,43.0,5000.0
2002-03-29,43.0,42.0,42.0,42.0,2500.0
2002-04-02,42.0,41.5,41.5,41.5,0.0
2002-04-03,41.5,42.25,42.25,42.25,2500.0
2002-04-04,42.25,41.9,41.9,41.9,0.0
2002-04-08,41.9,41.1,41.1,41.1,500.0
2002-04-10,41.1,41.6,41.45,41.6,2500.0
2002-04-11,41.6,41.9,41.5,41.9,2000.0
2002-04-12,41.9,42.5,42.5,42.5,3500.0
2002-04-15,42.5,42.5,42.5,42.5,1000.0
2002-04-16,42.5,43.45,43.45,43.45,500.0
2002-04-17,43.45,43.5,43.5,43.5,2500.0
2002-04-18,43.5,43.5,43.5,43.5,500.0
2002-04-19,43.5,46.0,46.0,46.0,1000.0
2002-04-23,46.0,45.5,45.5,45.5,0.0
2002-04-24,45.5,46.0,46.0,46.0,3000.0
2002-04-25,46.0,46.0,46.0,46.0,500.0
2002-05-06,46.0,45.0,45.0,45.0,500.0
2002-05-08,45.0,46.25,46.25,46.25,1000.0
2002-05-13,46.25,45.1,45.0,45.1,500.0
2002-05-14,45.1,45.0,45.0,45.0,500.0
2002-05-15,45.0,46.0,45.0,46.0,3000.0
2002-05-22,46.0,45.0,44.0,44.0,3000.0
2002-05-24,44.0,47.3,47.25,47.25,1000.0
2002-05-29,47.25,48.5,48.5,48.5,500.0
2002-05-30,48.5,47.3,47.3,47.3,500.0
2002-06-04,47.3,50.7,50.5,50.5,500.0
2002-06-13,50.5,52.0,50.5,50.5,500.0
2002-06-26,50.5,51.0,50.5,51.0,2500.0
2002-06-27,51.0,52.0,52.0,52.0,0.0
2002-06-28,52.0,54.95,52.0,54.5,8500.0
2002-07-01,54.5,54.5,54.5,54.5,5000.0
2002-07-09,54.5,51.8,51.8,51.8,500.0
2002-07-10,51.8,52.0,51.8,52.0,1000.0
2002-07-18,52.0,51.95,51.95,51.95,0.0
2002-07-25,51.95,51.95,51.95,51.95,500.0
2002-07-29,51.95,51.75,51.75,51.75,0.0
2002-07-30,51.75,51.5,51.5,51.5,0.0
2002-08-06,51.5,52.5,52.5,52.5,500.0
2002-08-07,52.5,51.5,51.5,51.5,0.0
2002-08-12,51.5,51.0,51.0,51.0,0.0
2002-08-13,51.0,52.5,51.0,52.5,71500.0
2002-08-23,52.5,51.5,51.5,51.5,1000.0
2002-08-26,51.5,53.5,51.5,51.5,1000.0
2002-08-27,51.5,51.0,51.0,51.0,5000.0
2002-08-28,51.0,53.0,51.0,53.0,4000.0
2002-08-29,53.0,54.0,53.0,54.0,5000.0
2002-09-16,54.0,54.0,54.0,54.0,2000.0
2002-09-20,54.0,53.0,53.0,53.0,0.0
2002-09-23,53.0,54.0,54.0,54.0,1000.0
2002-09-24,54.0,54.0,53.0,53.0,2500.0
2002-09-25,53.0,54.0,54.0,54.0,1000.0
2002-09-26,54.0,55.0,54.0,55.0,57000.0
2002-09-27,55.0,52.9,52.5,52.5,1000.0
2002-09-30,52.5,56.0,56.0,56.0,500.0
2002-10-01,56.0,55.5,55.5,55.5,0.0
2002-10-02,55.5,59.0,55.0,55.0,1000.0
2002-10-07,55.0,55.0,55.0,55.0,500.0
2002-10-09,55.0,55.0,55.0,55.0,500.0
2002-10-21,55.0,55.0,55.0,55.0,1000.0
2002-10-22,55.0,55.0,55.0,55.0,3000.0
2002-10-23,55.0,59.1,59.1,59.1,1000.0
2002-10-25,59.1,56.5,56.5,56.5,4000.0
2002-10-28,56.5,56.5,56.5,56.5,500.0
2002-10-30,56.5,56.5,56.5,56.5,6500.0
2002-10-31,56.5,55.5,55.0,55.0,2500.0
2002-11-01,55.0,55.05,55.0,55.0,2500.0
2002-11-04,55.0,56.5,53.0,56.5,3500.0
2002-11-07,56.5,56.5,56.5,56.5,500.0
2002-11-12,56.5,56.4,56.4,56.4,0.0
2002-11-14,56.4,53.6,53.6,53.6,500.0
2002-12-04,53.6,56.0,55.1,55.1,1500.0
2002-12-09,55.1,56.0,56.0,56.0,9500.0
2002-12-10,56.0,56.0,55.0,56.0,12500.0
2002-12-11,56.0,55.0,55.0,55.0,500.0
2002-12-12,55.0,56.0,54.0,56.0,5000.0
2002-12-13,56.0,56.05,56.0,56.05,5500.0
2002-12-16,56.05,56.25,56.25,56.25,500.0
2002-12-17,56.25,56.0,56.0,56.0,2000.0
2002-12-18,56.0,55.0,54.5,54.5,1500.0
2002-12-20,54.5,53.0,53.0,53.0,2000.0
2002-12-23,53.0,52.0,52.0,52.0,0.0
2002-12-24,52.0,52.25,52.0,52.0,2000.0
2002-12-27,52.0,52.0,52.0,52.0,1500.0
2002-12-30,52.0,52.0,50.0,52.0,1000.0
2002-12-31,52.0,54.0,54.0,54.0,500.0
2003-01-02,54.0,55.0,51.3,51.3,5500.0
2003-01-09,51.3,50.0,50.0,50.0,500.0
2003-01-14,50.0,51.5,51.5,51.5,500.0
2003-01-15,51.5,50.1,50.1,50.1,1000.0
2003-01-20,50.1,50.0,50.0,50.0,1000.0
2003-01-24,50.0,49.0,49.0,49.0,0.0
2003-01-27,49.0,48.5,48.5,48.5,0.0
2003-01-28,48.5,47.0,47.0,47.0,500.0
2003-01-29,47.0,46.0,44.65,44.65,2500.0
2003-01-30,44.65,42.45,42.45,42.45,1000.0
2003-01-31,42.45,43.0,42.0,43.0,15000.0
2003-02-03,43.0,43.0,43.0,43.0,500.0
2003-02-06,43.0,40.85,40.85,40.85,500.0
2003-02-17,40.85,43.0,42.0,43.0,1000.0
2003-02-18,43.0,44.0,44.0,44.0,500.0
2003-02-20,44.0,43.9,43.9,43.9,0.0
2003-02-25,43.9,43.0,43.0,43.0,0.0
2003-02-26,43.0,42.0,42.0,42.0,500.0
2003-03-04,42.0,41.0,41.0,41.0,500.0
2003-03-05,41.0,42.9,42.9,42.9,500.0
2003-03-06,42.9,42.8,42.8,42.8,0.0
2003-03-07,42.8,42.8,42.8,42.8,500.0
2003-03-11,41.3,44.0,43.5,44.0,1000.0
2003-03-18,44.0,44.0,44.0,44.0,7500.0
2003-03-19,44.0,47.3,45.0,47.3,13000.0
2003-03-21,47.3,47.0,46.5,47.0,4500.0
2003-03-24,47.0,50.5,50.0,50.0,500.0
2003-03-25,50.0,51.0,49.9,51.0,4000.0
2003-03-27,51.0,50.1,50.1,50.1,0.0
2003-03-28,50.1,52.0,50.0,52.0,4500.0
2003-04-02,52.0,51.0,51.0,51.0,2000.0
2003-04-03,51.0,54.8,53.0,54.5,1000.0
2003-04-04,54.5,57.0,56.35,56.35,500.0
2003-04-08,56.35,57.0,56.0,57.0,79500.0
2003-04-09,57.0,57.0,55.75,55.75,2500.0
2003-04-11,55.75,55.0,55.0,55.0,1500.0
2003-04-17,55.0,52.25,52.25,52.25,1000.0
2003-04-18,52.25,53.5,51.5,53.5,3500.0
2003-04-21,53.5,57.5,56.5,56.5,500.0
2003-04-22,56.5,58.0,53.75,53.75,1000.0
2003-04-28,53.75,56.05,55.0,55.0,7500.0
2003-04-29,55.0,53.25,53.0,53.25,6000.0
2003-05-02,53.25,53.75,53.0,53.75,2000.0
2003-05-05,53.75,53.25,53.25,53.25,500.0
2003-05-08,53.25,53.5,53.5,53.5,0.0
2003-05-12,53.5,54.0,54.0,54.0,0.0
2003-05-13,54.0,54.25,54.25,54.25,500.0
2003-05-14,54.25,55.0,55.0,55.0,500.0
2003-05-16,55.0,56.0,56.0,56.0,1000.0
2003-05-19,56.0,55.0,55.0,55.0,500.0
2003-05-22,55.0,59.1,55.0,58.75,12000.0
2003-05-23,58.75,63.0,58.75,58.75,2500.0
2003-05-26,58.75,61.0,57.05,60.9,2500.0
2003-05-27,60.9,60.0,60.0,60.0,5000.0
2003-05-28,60.0,61.1,58.0,58.0,3000.0
2003-05-30,58.0,56.0,56.0,56.0,1000.0
2003-06-02,56.0,58.0,58.0,58.0,500.0
2003-06-03,58.0,57.0,57.0,57.0,1000.0
2003-06-04,57.0,57.0,57.0,57.0,1000.0
2003-06-05,57.0,54.15,54.15,54.15,500.0
2003-06-06,54.15,55.0,54.15,55.0,3500.0
2003-06-09,55.0,58.0,55.0,58.0,4000.0
2003-06-10,58.0,62.35,59.0,62.35,56000.0
2003-06-11,62.35,65.95,62.15,62.75,62000.0
2003-06-12,62.75,64.75,63.0,63.0,3500.0
2003-06-13,63.0,64.3,63.05,63.05,8000.0
2003-06-16,63.05,64.5,64.5,64.5,3000.0
2003-06-17,64.5,63.25,63.25,63.25,1500.0
2003-06-18,63.25,66.0,64.0,66.0,18000.0
2003-06-19,66.0,67.0,66.5,66.5,16000.0
2003-06-20,66.5,66.5,66.5,66.5,1000.0
2003-06-23,66.5,67.0,66.5,67.0,2000.0
2003-06-24,67.0,70.0,67.0,70.0,3000.0
2003-06-25,70.0,67.0,67.0,67.0,1000.0
2003-06-26,67.0,66.0,65.0,65.0,2500.0
2003-06-27,65.0,69.85,69.0,69.0,2000.0
2003-06-30,69.0,71.0,70.0,70.0,6000.0
2003-07-02,70.0,72.0,72.0,72.0,500.0
2003-07-03,72.0,71.0,71.0,71.0,0.0
2003-07-07,71.0,72.0,71.5,72.0,2500.0
2003-07-08,72.0,77.4,72.0,77.4,15500.0
2003-07-09,77.4,83.2,80.0,83.2,10000.0
2003-07-10,83.2,89.4,82.0,85.0,18500.0
2003-07-11,85.0,91.35,87.0,87.0,1000.0
2003-07-14,87.0,90.0,88.0,90.0,7500.0
2003-07-16,90.0,88.8,88.8,88.8,0.0
2003-07-17,88.8,90.0,90.0,90.0,1000.0
2003-07-18,90.0,87.95,87.95,87.95,0.0
2003-07-21,87.95,85.0,85.0,85.0,500.0
