Date,Open,High,Low,Close,Volume
2001-01-02,65.0,66.0,66.0,66.0,100.0
2001-01-05,66.0,67.0,67.0,67.0,500.0
2001-01-17,67.0,58.3,58.3,58.3,500.0
2001-01-18,58.3,59.0,58.35,58.35,600.0
2001-01-19,58.35,57.0,57.0,57.0,300.0
2001-01-22,57.0,61.0,61.0,61.0,100.0
2001-01-23,61.0,61.0,61.0,61.0,100.0
2001-01-25,61.0,60.0,60.0,60.0,200.0
2001-02-02,60.0,60.0,60.0,60.0,100.0
2001-02-07,60.0,60.0,60.0,60.0,50000.0
2001-02-12,60.0,60.1,60.1,60.1,500.0
2001-02-13,60.1,60.1,60.1,60.1,100.0
2001-02-28,60.1,63.0,60.0,60.0,1200.0
2001-03-02,60.0,63.0,58.35,63.0,600.0
2001-03-09,63.0,64.0,59.0,64.0,900.0
2001-03-12,64.0,70.0,67.0,70.0,1900.0
2001-03-13,70.0,72.0,72.0,72.0,800.0
2001-03-14,72.0,75.0,73.8,75.0,1700.0
2001-03-15,75.0,75.0,73.1,73.1,1300.0
2001-03-16,73.1,75.5,71.0,75.0,27400.0
2001-03-19,75.0,74.0,70.0,72.0,19800.0
2001-03-21,72.0,75.0,72.0,72.0,4300.0
2001-03-22,72.0,75.0,71.0,71.0,3500.0
2001-03-26,47.25,47.25,47.25,47.25,0.0
2001-03-27,47.25,42.0,42.0,42.0,200.0
2001-03-29,42.0,42.0,42.0,42.0,900.0
2001-04-02,42.0,44.5,44.5,44.5,200.0
2001-04-03,44.5,44.5,44.5,44.5,0.0
2001-04-23,44.5,44.5,44.5,44.5,0.0
2001-04-25,44.5,46.0,44.0,44.0,2100.0
2001-04-26,44.0,44.0,42.0,42.0,4600.0
2001-04-27,42.0,43.5,35.0,42.0,1200.0
2001-04-30,42.0,42.25,41.35,41.35,2800.0
2001-05-02,41.35,43.0,42.0,43.0,5000.0
2001-05-03,43.0,42.9,42.3,42.9,3400.0
2001-05-04,42.9,43.0,40.75,41.5,6200.0
2001-05-07,41.5,43.75,43.0,43.75,2000.0
2001-05-08,43.75,43.75,42.0,42.0,5900.0
2001-05-10,42.0,40.25,40.25,40.25,500.0
2001-05-11,40.25,41.05,39.15,39.15,5900.0
2001-05-14,39.15,40.9,40.5,40.9,600.0
2001-05-16,40.9,41.0,40.5,40.5,2100.0
2001-05-17,40.5,41.25,41.0,41.0,1100.0
2001-05-18,41.0,41.0,40.4,40.4,5000.0
2001-05-21,40.4,41.75,41.2,41.75,6000.0
2001-05-22,41.75,42.0,40.25,42.0,6100.0
2001-05-23,42.0,43.0,42.6,43.0,4600.0
2001-05-24,43.0,42.3,42.1,42.25,1900.0
2001-05-25,42.25,42.0,41.5,41.5,11600.0
2001-05-29,41.5,43.0,42.45,42.45,1200.0
2001-05-30,42.45,44.0,43.0,43.0,1000.0
2001-05-31,43.0,43.0,43.0,43.0,800.0
2001-06-06,43.0,43.0,43.0,43.0,200.0
2001-06-07,43.0,43.0,43.0,43.0,2500.0
2001-06-11,43.0,43.25,43.0,43.0,1500.0
2001-06-12,43.0,44.0,43.1,43.5,1400.0
2001-06-13,43.5,44.1,44.1,44.1,700.0
2001-06-14,44.1,45.85,45.0,45.85,700.0
2001-06-15,45.85,45.7,45.0,45.0,1400.0
2001-06-18,45.0,46.0,46.0,46.0,500.0
2001-06-19,46.0,44.5,44.05,44.05,700.0
2001-06-20,44.05,44.05,44.05,44.05,200.0
2001-06-28,44.05,44.0,44.0,44.0,100.0
2001-07-09,44.0,43.75,43.5,43.75,1000.0
2001-07-10,43.75,44.0,44.0,44.0,200.0
2001-07-11,44.0,44.5,44.5,44.5,1500.0
2001-07-13,44.5,45.0,44.0,45.0,8000.0
2001-07-20,45.0,42.0,42.0,42.0,1000.0
2001-07-26,42.0,42.0,42.0,42.0,500.0
2001-08-13,42.0,44.0,43.5,44.0,1000.0
2001-09-07,44.0,43.55,43.55,43.55,100.0
2001-09-10,43.55,43.0,43.0,43.0,100.0
2001-09-11,43.0,41.75,41.75,41.75,100.0
2001-09-12,41.75,41.05,41.05,41.05,100.0
2001-09-14,41.05,38.0,38.0,38.0,100.0
2001-09-25,38.0,36.2,36.2,36.2,500.0
2001-09-26,36.2,38.0,38.0,38.0,300.0
2001-09-27,38.0,37.0,37.0,37.0,200.0
2001-10-02,37.0,37.0,37.0,37.0,800.0
2001-10-08,37.0,37.0,37.0,37.0,1000.0
