Date,Open,High,Low,Close,Volume
2001-01-02,2.1,2.1,2.1,2.1,1000.0
2001-01-04,2.1,2.2,2.1,2.2,4000.0
2001-01-05,2.2,1.85,1.85,1.85,1500.0
2001-01-11,1.85,1.6,1.6,1.6,1000.0
2001-01-15,1.6,1.7,1.7,1.7,500.0
2001-01-16,1.7,2.1,2.0,2.1,1000.0
2001-01-25,2.1,1.95,1.95,1.95,500.0
2001-01-26,1.95,1.75,1.75,1.75,1000.0
2001-01-31,1.75,1.5,1.5,1.5,500.0
2001-02-02,1.5,1.65,1.65,1.65,500.0
2001-02-06,1.65,1.75,1.6,1.75,1500.0
2001-02-08,1.75,1.8,1.8,1.8,500.0
2001-02-09,1.8,1.6,1.6,1.6,1000.0
2001-02-13,1.6,1.75,1.75,1.75,1000.0
2001-02-15,1.75,1.65,1.65,1.65,500.0
2001-02-19,1.65,1.6,1.6,1.6,1000.0
2001-02-22,1.6,1.7,1.7,1.7,2000.0
2001-02-23,1.7,1.7,1.7,1.7,1000.0
2001-02-26,1.7,1.5,1.5,1.5,500.0
2001-02-27,1.5,1.8,1.6,1.8,2000.0
2001-03-02,1.8,2.0,1.85,1.85,3000.0
2001-03-09,1.85,1.95,1.95,1.95,500.0
2001-03-14,1.95,2.15,1.95,1.95,1000.0
2001-03-19,1.95,2.0,2.0,2.0,1000.0
2001-03-20,2.0,2.0,1.95,1.95,5000.0
2001-03-21,1.95,1.95,1.75,1.95,2000.0
2001-03-22,1.95,1.55,1.55,1.55,1000.0
2001-03-28,1.55,1.65,1.65,1.65,1000.0
2001-03-29,1.65,1.8,1.7,1.8,1000.0
2001-04-02,1.8,1.8,1.8,1.8,500.0
2001-04-03,1.8,1.8,1.8,1.8,1000.0
2001-04-06,1.8,1.85,1.8,1.85,2500.0
2001-04-09,1.85,1.85,1.65,1.85,11000.0
2001-04-11,1.85,1.85,1.85,1.85,2000.0
2001-04-12,1.85,1.85,1.85,1.85,5000.0
2001-04-17,1.85,2.0,2.0,2.0,1500.0
2001-04-19,2.0,1.7,1.7,1.7,1000.0
2001-04-20,1.7,1.6,1.6,1.6,500.0
2001-04-26,1.6,1.75,1.75,1.75,500.0
2001-05-03,1.75,1.55,1.55,1.55,500.0
2001-05-07,1.55,1.5,1.5,1.5,500.0
2001-05-08,1.5,1.95,1.75,1.95,4000.0
2001-05-09,1.95,1.95,1.95,1.95,500.0
2001-05-10,1.95,1.95,1.95,1.95,3500.0
2001-05-11,1.95,1.85,1.85,1.85,500.0
2001-05-14,1.85,1.85,1.85,1.85,1500.0
2001-05-18,1.85,1.7,1.7,1.7,500.0
2001-05-22,1.7,2.0,1.9,2.0,1000.0
2001-05-25,2.0,2.0,1.9,2.0,1500.0
2001-05-30,2.0,2.0,2.0,2.0,2000.0
