Date,Open,High,Low,Close,Volume
2001-01-04,5.75,6.0,5.85,5.85,1500.0
2001-01-05,5.85,5.85,5.85,5.85,1000.0
2001-01-08,5.85,5.8,5.8,5.8,500.0
2001-01-09,5.8,5.8,5.8,5.8,500.0
2001-01-11,5.8,5.8,5.8,5.8,2000.0
2001-01-12,5.8,6.0,5.8,6.0,3000.0
2001-01-15,6.0,5.8,5.8,5.8,2000.0
2001-01-16,5.8,6.6,6.6,6.6,1000.0
2001-01-19,6.6,5.8,5.8,5.8,2000.0
2001-01-24,5.8,5.8,5.8,5.8,0.0
2001-01-26,5.8,6.0,6.0,6.0,1000.0
2001-01-29,6.0,6.4,6.4,6.4,500.0
2001-01-30,6.4,6.0,6.0,6.0,1500.0
2001-01-31,6.0,6.1,6.05,6.1,4500.0
2001-02-07,6.1,6.0,6.0,6.0,1000.0
2001-02-09,6.0,6.05,6.05,6.05,1000.0
2001-02-13,6.05,5.95,5.95,5.95,2000.0
2001-02-14,5.95,6.0,6.0,6.0,1000.0
2001-02-19,6.0,6.25,6.25,6.25,2000.0
2001-02-20,6.25,6.25,6.25,6.25,1000.0
2001-02-21,6.25,6.1,6.1,6.1,500.0
2001-02-27,6.1,6.0,6.0,6.0,500.0
2001-03-13,6.0,6.0,5.75,5.75,7500.0
2001-03-15,5.75,6.0,5.95,5.95,1000.0
2001-03-16,5.95,5.95,5.95,5.95,500.0
2001-03-26,5.95,6.1,5.9,6.1,2500.0
2001-03-29,6.1,6.0,5.95,5.95,2500.0
2001-04-16,5.95,5.75,5.75,5.75,1000.0
2001-04-18,5.75,6.0,6.0,6.0,500.0
2001-04-25,6.0,6.0,6.0,6.0,1000.0
2001-04-26,6.0,6.05,6.05,6.05,500.0
2001-04-27,6.05,6.0,5.9,5.9,2000.0
2001-05-08,5.9,5.95,5.95,5.95,500.0
2001-05-15,5.95,6.0,6.0,6.0,3500.0
2001-05-22,6.0,6.2,6.2,6.2,500.0
2001-05-29,6.2,6.45,6.25,6.45,2500.0
2001-05-30,6.45,6.3,6.3,6.3,1000.0
2001-05-31,6.3,6.45,6.3,6.3,3000.0
2001-06-01,6.3,6.3,6.25,6.25,10500.0
2001-06-04,6.25,6.25,6.25,6.25,500.0
2001-06-07,6.25,6.5,6.5,6.5,1500.0
2001-06-15,6.5,6.5,6.5,6.5,500.0
2001-06-20,6.5,6.75,6.75,6.75,500.0
2001-06-21,6.75,6.7,6.5,6.6,4500.0
2001-06-26,6.6,6.4,6.4,6.4,500.0
2001-06-27,6.4,6.55,6.55,6.55,500.0
2001-06-29,6.55,6.55,6.55,6.55,4000.0
2001-07-03,6.55,6.4,6.4,6.4,1000.0
2001-07-12,6.4,6.5,6.5,6.5,1500.0
2001-07-24,6.5,6.25,5.5,5.8,9000.0
2001-07-25,5.8,5.75,5.55,5.55,1500.0
2001-07-26,5.55,5.55,5.55,5.55,1000.0
2001-07-31,5.55,5.9,5.8,5.8,3500.0
2001-08-07,5.8,5.8,5.75,5.8,7000.0
2001-08-08,5.8,5.7,5.7,5.7,1000.0
2001-08-13,5.7,6.0,6.0,6.0,1000.0
2001-08-15,6.0,5.9,5.9,5.9,1500.0
2001-08-17,5.9,6.0,6.0,6.0,2500.0
2001-08-21,6.0,6.15,6.15,6.15,500.0
2001-08-22,6.15,6.25,6.25,6.25,1000.0
2001-08-24,6.25,6.0,6.0,6.0,500.0
2001-08-28,6.0,6.1,6.1,6.1,2000.0
2001-08-29,6.1,6.2,6.2,6.2,1000.0
2001-08-30,6.2,6.05,6.05,6.05,1000.0
2001-08-31,6.05,6.05,6.05,6.05,1000.0
2001-09-04,6.05,6.1,6.1,6.1,1000.0
2001-09-07,6.1,6.15,6.15,6.15,1000.0
2001-09-10,6.15,6.2,6.1,6.2,1500.0
2001-09-11,6.2,6.2,6.2,6.2,1500.0
2001-09-13,6.2,6.15,6.15,6.15,1000.0
2001-09-14,6.15,6.05,6.05,6.05,1000.0
2001-09-24,6.05,6.1,6.0,6.0,5500.0
2001-09-28,6.0,6.3,6.3,6.3,3000.0
2001-10-03,6.3,6.2,6.2,6.2,500.0
2001-10-05,6.2,6.2,6.2,6.2,1000.0
2001-10-17,6.2,6.75,6.7,6.75,1500.0
2001-10-18,6.75,7.0,7.0,7.0,500.0
2001-10-19,7.0,7.1,7.0,7.1,1000.0
2001-10-26,7.1,7.25,7.25,7.25,2000.0
2001-10-29,7.25,7.25,7.25,7.25,1000.0
2001-10-30,7.25,7.5,7.5,7.5,5000.0
2001-10-31,7.5,8.0,8.0,8.0,500.0
2001-11-01,8.0,7.95,7.95,7.95,1000.0
2001-11-02,7.95,7.75,7.75,7.75,4500.0
2001-11-05,7.75,7.75,7.75,7.75,500.0
2001-11-07,7.75,7.75,7.4,7.6,10500.0
2001-11-08,7.6,7.9,7.75,7.9,11000.0
2001-11-12,7.9,8.0,8.0,8.0,1000.0
2001-11-13,8.0,8.1,8.0,8.1,8500.0
2001-11-14,8.1,8.3,8.3,8.3,5500.0
2001-11-15,8.3,8.5,8.3,8.5,6000.0
2001-11-16,8.5,8.65,8.6,8.65,5000.0
2001-11-19,8.65,8.7,8.7,8.7,5000.0
2001-11-20,8.7,8.75,8.75,8.75,5000.0
2001-11-21,8.75,8.8,8.75,8.8,9000.0
2001-11-22,8.8,8.85,8.85,8.85,3000.0
2001-11-29,8.85,8.85,8.85,8.85,3000.0
2001-12-01,8.85,9.0,9.0,9.0,2000.0
2001-12-03,9.0,9.0,9.0,9.0,2000.0
2001-12-04,9.0,9.0,9.0,9.0,9000.0
2001-12-05,9.0,9.0,9.0,9.0,10000.0
2001-12-12,7.75,7.75,7.75,7.75,0.0
2002-01-01,7.75,7.5,7.45,7.5,11500.0
2002-01-08,7.5,7.4,7.4,7.4,1000.0
2002-01-22,7.4,7.25,7.25,7.25,1000.0
2002-01-24,7.25,7.4,7.4,7.4,500.0
2002-01-25,7.4,7.9,7.9,7.9,500.0
2002-01-28,7.9,8.5,8.25,8.5,1000.0
2002-01-30,8.5,8.5,8.5,8.5,1000.0
2002-02-04,8.5,8.1,8.1,8.1,500.0
2002-02-11,8.1,8.1,8.1,8.1,3000.0
2002-02-18,8.1,7.4,7.4,7.4,500.0
2002-02-21,7.4,7.25,7.25,7.25,500.0
2002-02-27,7.25,7.25,7.25,7.25,1500.0
2002-03-05,7.25,7.3,7.25,7.3,10000.0
2002-03-07,7.3,7.35,7.3,7.35,6000.0
2002-03-08,7.35,7.45,7.4,7.4,16000.0
2002-03-11,7.4,7.4,7.4,7.4,1000.0
2002-03-13,7.4,7.9,7.85,7.9,1500.0
2002-03-19,7.9,8.0,8.0,8.0,11000.0
2002-03-21,8.0,8.0,8.0,8.0,4000.0
2002-03-22,8.0,8.05,8.05,8.05,0.0
2002-03-26,8.05,8.5,8.5,8.5,0.0
2002-03-27,8.5,8.0,8.0,8.0,10000.0
2002-04-03,8.0,8.4,8.4,8.4,500.0
2002-04-09,8.4,8.9,8.6,8.9,13000.0
2002-04-10,8.9,8.9,8.9,8.9,1500.0
2002-04-11,8.9,9.25,8.85,9.25,2000.0
2002-04-12,9.25,9.5,9.0,9.05,7000.0
2002-04-15,9.05,9.0,9.0,9.0,2500.0
2002-04-22,9.0,8.0,8.0,8.0,1000.0
2002-04-23,8.0,8.0,8.0,8.0,4000.0
2002-04-26,8.0,7.9,7.9,7.9,0.0
2002-04-29,7.9,7.85,7.85,7.85,0.0
2002-05-02,7.85,7.55,7.5,7.55,1000.0
2002-05-07,7.55,7.5,7.5,7.5,0.0
2002-05-27,7.5,7.25,7.25,7.25,0.0
2002-06-05,7.25,7.1,7.1,7.1,0.0
2002-06-06,7.1,7.05,7.05,7.05,1000.0
2002-06-07,7.05,6.8,6.8,6.8,2000.0
2002-06-10,6.8,6.75,6.75,6.75,1000.0
2002-06-11,6.75,6.75,6.7,6.7,4000.0
2002-06-12,6.7,6.65,6.65,6.65,500.0
2002-06-13,6.65,6.85,6.8,6.85,2500.0
2002-06-14,6.85,6.85,6.85,6.85,2000.0
2002-06-18,6.85,6.4,6.35,6.4,4000.0
2002-06-19,6.4,6.05,6.05,6.05,1000.0
2002-06-24,6.05,6.05,6.05,6.05,1000.0
2002-06-26,6.05,6.0,6.0,6.0,500.0
2002-06-27,6.0,6.05,6.05,6.05,0.0
2002-06-28,6.05,6.1,6.1,6.1,0.0
2002-07-01,6.1,6.15,6.1,6.15,1000.0
2002-07-02,6.15,6.25,6.25,6.25,1500.0
2002-07-05,6.25,6.25,6.25,6.25,500.0
2002-07-08,6.25,7.0,7.0,7.0,1000.0
2002-07-09,7.0,6.75,6.6,6.6,1500.0
2002-07-10,6.6,6.8,6.7,6.8,500.0
2002-07-11,6.8,6.75,6.75,6.75,500.0
2002-07-15,6.75,7.0,7.0,7.0,1000.0
2002-07-18,7.0,6.9,6.9,6.9,500.0
2002-07-22,6.9,6.75,6.6,6.6,2500.0
2002-07-23,6.6,6.6,6.6,6.6,2000.0
2002-07-24,6.6,6.6,6.6,6.6,500.0
2002-07-29,6.6,6.75,6.75,6.75,500.0
2002-07-30,6.75,6.95,6.75,6.75,1500.0
2002-07-31,6.75,6.8,6.75,6.75,3500.0
2002-08-01,6.75,7.0,7.0,7.0,2500.0
2002-08-02,7.0,6.75,6.75,6.75,1000.0
2002-08-06,6.75,6.75,6.75,6.75,1000.0
2002-08-07,6.75,6.75,6.75,6.75,4000.0
2002-08-08,6.75,6.8,6.8,6.8,500.0
2002-08-12,6.8,6.95,6.95,6.95,1000.0
2002-08-15,6.95,7.15,7.0,7.15,1500.0
2002-08-20,7.15,7.05,6.9,7.05,5500.0
2002-08-21,7.05,7.2,7.0,7.2,7500.0
2002-08-22,7.2,7.1,7.1,7.1,500.0
2002-08-23,7.1,7.1,7.1,7.1,2000.0
2002-08-26,7.1,7.0,7.0,7.0,8500.0
2002-08-27,7.0,7.0,7.0,7.0,2500.0
2002-08-28,7.0,7.05,7.05,7.05,0.0
2002-08-29,7.05,7.0,6.9,6.9,3500.0
2002-08-30,6.9,6.9,6.9,6.9,1000.0
2002-09-02,6.9,7.0,7.0,7.0,2000.0
2002-09-03,7.0,6.8,6.8,6.8,500.0
2002-09-04,6.8,6.8,6.8,6.8,2000.0
2002-09-05,6.8,6.8,6.8,6.8,1000.0
2002-09-06,6.8,6.85,6.85,6.85,0.0
2002-09-09,6.85,6.75,6.75,6.75,500.0
2002-09-12,6.75,6.9,6.75,6.9,4000.0
2002-09-13,6.9,6.75,6.75,6.75,3000.0
2002-09-16,6.75,6.8,6.75,6.75,10500.0
2002-09-18,6.75,6.8,6.75,6.8,20000.0
2002-09-23,6.8,6.75,6.25,6.75,5500.0
2002-09-24,6.75,6.7,6.6,6.6,3500.0
2002-09-25,6.6,6.5,6.45,6.45,3000.0
2002-09-26,6.45,6.0,5.5,5.5,3000.0
2002-09-30,5.5,5.1,5.0,5.0,4500.0
2002-10-01,5.0,5.05,4.95,4.95,8000.0
2002-10-07,4.95,4.3,4.3,4.3,1000.0
2002-10-08,4.3,4.45,4.45,4.45,0.0
2002-10-09,4.45,5.0,5.0,5.0,2000.0
2002-10-14,5.0,5.45,5.0,5.45,2500.0
2002-10-17,5.45,5.3,5.3,5.3,1500.0
2002-10-18,5.3,5.3,5.25,5.25,3000.0
2002-10-23,5.25,5.25,5.2,5.25,1000.0
2002-10-24,5.25,5.3,5.3,5.3,3000.0
2002-10-28,5.3,5.15,5.0,5.15,5500.0
2002-11-01,5.15,5.15,5.15,5.15,500.0
2002-11-04,5.15,5.0,5.0,5.0,5000.0
2002-11-06,5.0,5.0,5.0,5.0,1500.0
2002-11-07,5.0,5.0,5.0,5.0,500.0
2002-11-11,5.0,5.0,5.0,5.0,500.0
2002-11-12,5.0,5.0,5.0,5.0,2000.0
2002-11-13,5.0,5.0,5.0,5.0,500.0
2002-11-14,5.0,4.95,4.9,4.9,3000.0
2002-11-15,4.9,5.0,5.0,5.0,1000.0
2002-11-18,5.0,5.0,5.0,5.0,2000.0
2002-11-20,5.0,4.95,4.9,4.9,2500.0
2002-11-22,4.9,4.9,4.9,4.9,4500.0
2002-11-25,4.9,5.0,5.0,5.0,0.0
2002-11-27,5.0,5.05,5.05,5.05,3000.0
2002-11-28,5.05,5.3,5.0,5.0,4000.0
2002-12-04,5.0,5.1,5.1,5.1,500.0
2002-12-09,5.1,5.25,5.2,5.25,1000.0
2002-12-10,5.25,5.1,5.0,5.1,10000.0
2002-12-11,5.1,5.25,5.25,5.25,5000.0
2002-12-12,5.25,5.45,5.4,5.45,1500.0
2002-12-13,5.45,5.25,5.25,5.25,1000.0
2002-12-16,5.25,5.5,5.5,5.5,5000.0
2002-12-18,5.5,5.25,5.25,5.25,3000.0
2002-12-19,5.25,5.25,5.15,5.15,4000.0
2002-12-20,5.15,5.2,5.0,5.2,87500.0
2002-12-23,5.2,5.4,5.4,5.4,1000.0
2002-12-24,5.4,5.4,5.4,5.4,1000.0
2002-12-26,5.4,5.4,5.4,5.4,500.0
2002-12-31,5.4,5.6,5.55,5.6,3500.0
2003-01-01,5.6,5.5,5.4,5.5,24000.0
2003-01-06,5.5,5.5,5.5,5.5,22000.0
2003-01-07,5.5,5.35,5.2,5.35,13500.0
2003-01-09,5.35,5.55,5.55,5.55,500.0
2003-01-13,5.55,6.0,6.0,6.0,1000.0
2003-01-14,6.0,5.6,5.6,5.6,1500.0
2003-01-15,5.6,5.75,5.75,5.75,16000.0
2003-01-16,5.75,6.2,6.1,6.1,500.0
2003-01-17,6.1,5.7,5.6,5.6,7000.0
2003-01-22,5.6,5.4,5.3,5.3,4000.0
2003-01-23,5.3,5.0,5.0,5.0,500.0
2003-01-24,5.0,5.0,5.0,5.0,3500.0
2003-01-29,5.0,5.35,5.0,5.35,1000.0
2003-02-06,5.35,5.05,5.0,5.05,1000.0
2003-02-19,5.05,5.1,5.1,5.1,4000.0
2003-02-20,5.1,5.1,5.1,5.1,2000.0
2003-02-26,5.1,5.0,5.0,5.0,3000.0
2003-02-27,5.0,5.0,5.0,5.0,3000.0
2003-03-06,5.0,5.2,5.2,5.2,1000.0
2003-03-07,5.2,5.1,5.0,5.1,10000.0
2003-03-10,5.1,5.0,4.75,5.0,11000.0
2003-03-11,5.0,5.05,5.05,5.05,2500.0
2003-03-18,5.05,5.1,5.1,5.1,11500.0
2003-03-19,5.1,5.0,5.0,5.0,3000.0
2003-03-24,5.0,5.3,5.3,5.3,1000.0
2003-03-25,5.3,5.25,5.25,5.25,0.0
2003-03-27,5.25,5.3,5.3,5.3,6000.0
2003-03-28,5.3,5.5,5.3,5.3,30000.0
2003-03-31,5.3,5.9,5.3,5.3,2500.0
2003-04-01,5.3,5.8,5.5,5.5,25500.0
2003-04-02,5.5,5.6,5.6,5.6,500.0
2003-04-03,5.6,5.75,5.5,5.75,3000.0
2003-04-04,5.75,5.8,5.8,5.8,500.0
2003-04-07,5.8,5.8,5.6,5.6,1000.0
2003-04-08,5.6,5.75,5.6,5.75,29500.0
2003-04-11,5.75,5.6,5.6,5.6,1000.0
2003-04-15,5.6,5.6,5.5,5.6,3000.0
2003-04-16,5.6,5.95,5.85,5.95,42500.0
2003-04-17,5.95,6.6,6.25,6.4,22000.0
2003-04-21,6.4,6.5,6.5,6.5,2000.0
2003-04-22,6.5,6.2,6.15,6.2,10500.0
2003-04-23,6.2,6.9,6.9,6.9,500.0
2003-04-24,6.9,6.25,6.2,6.2,2000.0
2003-04-28,6.2,6.05,6.0,6.05,1000.0
2003-04-29,6.05,6.25,6.15,6.25,3500.0
2003-04-30,6.25,6.3,6.15,6.15,6500.0
2003-05-02,6.15,6.3,6.3,6.3,1000.0
2003-05-07,6.3,6.5,6.5,6.5,1000.0
2003-05-09,6.5,6.5,6.5,6.5,7000.0
2003-05-12,6.5,6.75,6.5,6.7,20000.0
2003-05-14,6.7,6.6,6.5,6.6,6500.0
2003-05-16,6.6,7.0,7.0,7.0,16000.0
2003-05-19,7.0,7.0,6.9,7.0,7500.0
2003-05-20,7.0,7.0,6.75,7.0,7000.0
2003-05-21,7.0,7.25,7.0,7.0,11000.0
2003-05-23,7.0,7.5,6.55,7.5,20500.0
2003-05-26,7.5,7.5,7.1,7.1,2000.0
2003-05-27,7.1,7.25,7.1,7.2,8000.0
2003-05-28,7.2,7.45,7.25,7.25,2000.0
2003-05-29,7.25,7.3,7.3,7.3,1000.0
2003-05-30,7.3,7.5,7.2,7.2,15000.0
2003-06-02,7.2,7.0,7.0,7.0,4000.0
2003-06-03,7.0,7.2,7.2,7.2,2000.0
2003-06-05,7.2,7.0,7.0,7.0,500.0
