Date,Open,High,Low,Close,Volume
2001-11-15,27.0,27.0,27.0,27.0,500.0
2001-12-31,27.0,28.8,28.8,28.8,1000.0
2002-01-01,28.8,29.25,29.25,29.25,1000.0
2002-04-01,29.25,27.0,27.0,27.0,0.0
2002-05-02,27.0,26.5,26.5,26.5,0.0
2002-05-06,26.5,26.0,26.0,26.0,0.0
2002-05-22,26.0,24.7,24.7,24.7,0.0
2002-05-24,24.7,24.1,24.1,24.1,0.0
2002-05-29,24.1,23.5,23.5,23.5,0.0
2002-05-30,23.5,22.95,22.95,22.95,0.0
2002-06-06,22.95,22.4,22.4,22.4,0.0
2002-06-11,22.4,21.85,21.85,21.85,0.0
2002-06-13,21.85,21.35,21.35,21.35,0.0
2002-06-20,21.35,20.85,20.85,20.85,0.0
2002-06-24,20.85,20.35,20.35,20.35,0.0
2002-06-26,20.35,19.85,19.85,19.85,0.0
2002-06-27,19.85,19.35,19.35,19.35,0.0
2002-06-28,19.35,20.8,20.8,20.8,1000.0
2002-07-01,20.8,19.8,19.8,19.8,0.0
2002-07-03,19.8,18.8,18.8,18.8,0.0
2002-07-04,18.8,17.8,17.8,17.8,0.0
2002-07-05,17.8,16.8,16.8,16.8,0.0
2002-07-09,16.8,15.8,15.8,15.8,0.0
2002-07-12,15.8,14.8,14.8,14.8,0.0
2002-07-15,14.8,13.8,13.8,13.8,0.0
2002-07-16,13.8,12.8,12.8,12.8,0.0
2002-07-17,12.8,11.8,11.8,11.8,0.0
2002-07-18,11.8,10.8,10.8,10.8,0.0
2002-08-30,10.8,12.2,12.2,12.2,1000.0
2002-09-02,12.2,11.2,11.2,11.2,0.0
2002-09-05,11.2,10.3,10.3,10.3,0.0
2002-09-24,10.3,9.3,9.3,9.3,0.0
2002-10-07,9.3,9.3,9.3,9.3,1000.0
2002-11-15,9.3,8.3,8.3,8.3,0.0
2002-11-28,8.3,7.5,7.5,7.5,0.0
2002-12-09,7.5,7.5,7.5,7.5,1000.0
2002-12-12,7.5,7.75,7.5,7.75,2000.0
2002-12-13,7.75,7.95,7.5,7.95,5000.0
2002-12-18,7.95,7.55,7.55,7.55,1000.0
2002-12-20,7.55,7.55,7.55,7.55,1000.0
2002-12-31,7.55,7.5,7.5,7.5,2000.0
2003-01-02,7.5,7.25,7.25,7.25,1000.0
2003-01-03,7.25,7.5,7.5,7.5,3500.0
2003-01-07,7.5,7.6,7.5,7.6,3000.0
2003-01-10,7.6,8.0,8.0,8.0,1000.0
2003-01-15,8.0,8.0,8.0,8.0,2000.0
2003-01-23,8.0,7.75,7.5,7.5,5500.0
2003-03-28,7.5,9.0,6.5,8.0,3000.0
2003-03-31,8.0,8.9,8.9,8.9,500.0
2003-04-01,8.9,8.5,8.5,8.5,0.0
2003-04-04,8.5,7.5,7.5,7.5,500.0
2003-04-08,7.5,7.6,7.6,7.6,0.0
2003-04-15,7.6,7.55,7.55,7.55,500.0
2003-04-30,7.55,9.05,9.0,9.0,10000.0
2003-05-02,9.0,8.25,8.0,8.25,2500.0
2003-05-13,8.25,8.25,8.25,8.25,1000.0
2003-05-19,8.25,9.4,7.25,8.25,36000.0
2003-05-20,8.25,9.75,8.2,9.75,10500.0
2003-05-21,9.75,9.6,9.6,9.6,1000.0
2003-05-22,9.6,8.7,8.65,8.7,6500.0
2003-05-23,8.7,9.0,9.0,9.0,10000.0
2003-05-26,9.0,9.9,9.9,9.9,1000.0
2003-05-28,9.9,8.9,8.9,8.9,1500.0
2003-06-12,8.9,8.1,8.0,8.1,500.0
2003-06-13,8.1,9.6,9.6,9.6,20000.0
2003-06-20,9.6,9.6,9.6,9.6,500.0
2003-06-23,9.6,11.1,10.9,11.1,5500.0
2003-06-25,11.1,11.95,11.95,11.95,3000.0
2003-06-26,11.95,13.45,12.0,13.45,178000.0
2003-06-27,13.45,14.5,12.5,14.5,2500.0
2003-06-30,14.5,14.95,14.85,14.95,5000.0
2003-07-03,14.95,14.4,14.4,14.4,0.0
2003-07-11,14.4,14.4,14.4,14.4,500.0
2003-07-15,14.4,14.0,14.0,14.0,500.0
2003-07-29,14.0,15.5,15.5,15.5,500.0
2003-07-30,15.5,17.0,17.0,17.0,500.0
2003-08-05,17.0,18.5,18.4,18.5,10000.0
2003-08-07,18.5,18.0,18.0,18.0,0.0
2003-08-18,18.0,17.95,17.95,17.95,0.0
2003-08-28,17.95,17.0,17.0,17.0,0.0
2003-09-03,17.0,16.9,16.9,16.9,0.0
2003-09-04,16.9,16.0,16.0,16.0,0.0
2003-09-11,16.0,16.0,16.0,16.0,4500.0
2003-09-24,16.0,15.9,15.9,15.9,0.0
2003-10-06,15.9,15.0,15.0,15.0,0.0
2003-10-09,15.0,14.75,14.75,14.75,0.0
2003-10-23,14.75,14.7,14.7,14.7,0.0
2003-10-27,14.7,14.5,14.5,14.5,0.0
2003-10-29,14.5,14.45,14.45,14.45,0.0
2003-10-31,14.45,13.45,13.45,13.45,0.0
2003-11-14,13.45,13.25,13.25,13.25,0.0
2003-12-08,13.25,14.7,14.65,14.65,1000.0
2003-12-09,14.65,14.5,14.5,14.5,0.0
2003-12-10,14.5,13.5,13.5,13.5,2000.0
2003-12-11,13.5,12.5,12.5,12.5,1000.0
2003-12-12,12.5,11.75,11.75,11.75,1000.0
2003-12-31,11.75,13.2,13.15,13.15,1000.0
2004-01-13,13.15,14.0,14.0,14.0,500.0
2004-01-14,14.0,13.0,13.0,13.0,1000.0
2004-01-15,13.0,13.0,13.0,13.0,500.0
2004-01-16,13.0,13.0,13.0,13.0,10000.0
2004-01-19,13.0,13.0,13.0,13.0,2000.0
2004-01-23,13.0,13.0,13.0,13.0,1000.0
2004-01-27,13.0,13.0,13.0,13.0,500.0
2004-01-28,13.0,13.5,13.0,13.0,2500.0
2004-02-17,13.0,12.9,12.9,12.9,0.0
2004-02-19,12.9,12.95,12.95,12.95,1000.0
2004-02-20,12.95,12.0,12.0,12.0,1000.0
2004-03-04,12.0,13.5,13.5,13.5,1000.0
2004-03-05,13.5,15.0,13.0,13.0,1000.0
2004-03-09,13.0,12.9,12.9,12.9,1000.0
2004-03-12,12.9,13.1,13.0,13.05,4000.0
2004-03-15,13.05,12.75,12.5,12.5,3500.0
2004-03-16,12.5,12.5,12.5,12.5,500.0
2004-03-17,12.5,12.5,11.5,12.5,2000.0
2004-03-24,12.5,12.3,12.25,12.3,4500.0
2004-03-25,12.3,12.5,12.4,12.4,2000.0
2004-03-26,12.4,13.0,13.0,13.0,1000.0
2004-03-29,13.0,13.0,13.0,13.0,1500.0
2004-03-30,13.0,13.5,13.0,13.5,6000.0
2004-03-31,13.5,13.9,13.05,13.9,4000.0
2004-04-01,13.9,15.4,14.5,15.4,288500.0
2004-04-02,15.4,16.9,16.4,16.75,71500.0
2004-04-05,16.75,18.0,16.75,18.0,195500.0
2004-04-06,18.0,19.0,19.0,19.0,1000.0
2004-04-07,19.0,19.8,19.2,19.8,2000.0
2004-04-08,19.8,19.5,19.5,19.5,0.0
2004-04-09,19.5,19.0,19.0,19.0,0.0
2004-04-12,19.0,18.5,18.5,18.5,0.0
2004-04-13,18.5,18.5,18.5,18.5,1000.0
2004-04-14,18.5,18.35,18.35,18.35,0.0
2004-04-15,18.35,18.0,18.0,18.0,5500.0
2004-04-16,18.0,18.0,17.5,18.0,212500.0
2004-04-19,18.0,18.15,18.0,18.0,45000.0
2004-04-20,18.0,18.0,18.0,18.0,4500.0
2004-04-22,18.0,18.0,18.0,18.0,15000.0
2004-04-23,18.0,18.0,18.0,18.0,5000.0
2004-04-27,18.0,18.0,18.0,18.0,4000.0
2004-04-29,18.0,18.0,18.0,18.0,5000.0
2004-04-30,18.0,18.0,18.0,18.0,12500.0
2004-05-04,18.0,18.0,18.0,18.0,3000.0
2004-05-05,18.0,18.0,18.0,18.0,2000.0
2004-05-10,18.0,19.0,18.0,19.0,22000.0
2004-05-11,19.0,18.05,18.05,18.05,500.0
2004-05-12,18.05,18.55,18.25,18.5,6500.0
2004-05-13,18.5,18.5,18.25,18.25,2500.0
2004-05-14,18.25,19.0,18.5,19.0,11000.0
2004-05-17,19.0,19.0,18.75,19.0,4000.0
2004-05-18,19.0,18.5,18.5,18.5,0.0
2004-05-20,18.5,18.5,18.5,18.5,2000.0
2004-05-21,18.5,20.0,19.95,19.95,1000.0
2004-05-25,19.95,19.0,19.0,19.0,2000.0
2004-05-27,19.0,18.0,18.0,18.0,10500.0
2004-05-28,18.0,18.05,18.05,18.05,500.0
2004-05-31,18.05,18.15,18.15,18.15,7000.0
2004-06-01,18.15,18.05,17.7,17.7,4000.0
2004-06-03,17.7,17.0,17.0,17.0,1000.0
2004-06-10,17.0,18.0,18.0,18.0,1000.0
2004-06-11,18.0,17.0,17.0,17.0,1000.0
2004-06-30,17.0,17.95,17.95,17.95,500.0
2004-07-06,17.95,18.0,17.5,17.5,2000.0
2004-07-22,17.5,17.4,17.4,17.4,1000.0
2004-07-27,17.4,17.0,17.0,17.0,1000.0
2004-08-04,17.0,16.0,16.0,16.0,1000.0
2004-08-06,16.0,16.0,16.0,16.0,1000.0
2004-08-20,16.0,16.0,16.0,16.0,5000.0
2004-08-26,16.0,16.0,16.0,16.0,2000.0
2004-09-08,16.0,15.95,15.95,15.95,0.0
2004-09-13,15.95,16.25,16.25,16.25,1000.0
2004-09-14,16.25,17.75,17.75,17.75,10500.0
2004-09-15,17.75,17.25,17.0,17.0,3500.0
2004-09-16,17.0,17.0,17.0,17.0,1000.0
2004-09-17,17.0,17.0,16.25,16.25,1500.0
2004-09-20,16.25,17.75,17.0,17.75,1000.0
2004-09-21,17.75,18.25,18.25,18.25,1000.0
2004-09-22,18.25,18.25,17.75,17.75,500.0
2004-09-23,17.75,17.0,17.0,17.0,1000.0
2004-09-24,17.0,17.0,17.0,17.0,500.0
2004-09-29,17.0,18.25,17.25,17.25,5500.0
2004-09-30,17.25,17.5,17.0,17.0,5500.0
2004-10-01,17.0,16.0,16.0,16.0,2500.0
2004-10-04,16.0,15.5,15.5,15.5,2000.0
2004-10-11,15.5,16.0,16.0,16.0,1500.0
2004-10-20,16.0,15.5,15.5,15.5,1000.0
2004-10-21,15.5,16.0,16.0,16.0,4500.0
2004-11-03,16.0,15.0,15.0,15.0,500.0
2004-11-19,15.0,15.0,15.0,15.0,500.0
2004-11-22,15.0,15.0,15.0,15.0,500.0
2004-11-23,15.0,16.5,16.5,16.5,1500.0
2004-11-25,16.5,18.0,18.0,18.0,6000.0
2004-11-26,18.0,18.25,17.0,18.25,3500.0
2004-11-29,18.25,18.2,18.2,18.2,0.0
2004-11-30,18.2,17.85,17.5,17.5,2500.0
2004-12-01,17.5,17.5,17.0,17.0,29000.0
2004-12-02,17.0,18.5,17.2,18.5,25000.0
2004-12-03,18.5,18.5,18.5,18.5,2000.0
2004-12-07,18.5,20.0,20.0,20.0,6000.0
2004-12-08,20.0,21.5,20.55,21.5,4000.0
2004-12-10,21.5,20.45,20.45,20.45,500.0
2004-12-16,20.45,21.95,20.6,21.95,16000.0
2004-12-17,21.95,22.5,22.3,22.3,1000.0
2004-12-22,22.3,21.3,21.25,21.25,3000.0
2004-12-23,21.25,21.0,21.0,21.0,1000.0
2004-12-24,21.0,21.0,21.0,21.0,1000.0
2004-12-28,21.0,22.4,21.2,22.4,6000.0
2004-12-29,22.4,22.5,22.5,22.5,2000.0
2004-12-30,22.5,22.25,22.25,22.25,10000.0
2005-01-03,22.25,21.5,21.15,21.15,1000.0
2005-01-04,21.15,22.1,22.1,22.1,1000.0
2005-01-05,22.1,23.0,23.0,23.0,500.0
2005-01-06,23.0,22.0,22.0,22.0,500.0
2005-01-07,22.0,20.9,20.9,20.9,1000.0
2005-01-11,20.9,20.9,20.9,20.9,6000.0
2005-01-12,20.9,21.75,21.7,21.7,500.0
2005-01-14,21.7,21.7,21.7,21.7,3000.0
2005-01-18,21.7,21.5,21.5,21.5,0.0
2005-01-19,21.5,21.0,21.0,21.0,1000.0
2005-01-24,21.0,21.0,21.0,21.0,2000.0
2005-01-26,21.0,20.9,20.9,20.9,5000.0
2005-01-27,20.9,20.75,20.75,20.75,0.0
2005-01-31,20.75,20.0,20.0,20.0,2000.0
2005-02-01,20.0,20.5,20.0,20.0,3500.0
2005-02-02,20.0,21.0,20.9,21.0,2500.0
2005-02-03,21.0,21.0,21.0,21.0,1000.0
2005-02-07,21.0,21.0,21.0,21.0,1000.0
2005-02-08,21.0,21.0,20.75,20.75,4000.0
2005-02-09,20.75,21.6,21.05,21.6,2000.0
2005-02-10,21.6,21.25,20.8,20.8,3000.0
2005-02-14,20.8,21.0,21.0,21.0,3000.0
2005-02-15,21.0,22.0,21.1,21.1,5500.0
2005-02-17,21.1,21.15,20.5,20.5,3000.0
2005-02-22,20.5,20.5,20.0,20.0,7000.0
2005-02-23,20.0,20.05,20.05,20.05,1000.0
2005-02-25,20.05,21.55,21.0,21.55,9000.0
2005-02-28,21.55,23.15,23.15,23.15,4500.0
2005-03-01,23.15,24.85,22.05,22.05,31500.0
2005-03-02,22.05,22.4,21.1,22.4,9500.0
2005-03-03,22.4,23.9,21.75,23.9,29000.0
2005-03-04,23.9,24.9,24.9,24.9,1500.0
2005-03-07,24.9,26.75,25.0,26.75,21000.0
2005-03-08,26.75,28.45,25.55,27.0,4500.0
2005-03-10,27.0,25.7,25.7,25.7,500.0
2005-03-11,25.7,25.5,25.5,25.5,500.0
