Date,Open,High,Low,Close,Volume
2001-02-07,0.3,0.7,0.7,0.7,2000.0
2001-02-27,0.7,0.6,0.6,0.6,500.0
2001-03-28,0.6,0.2,0.2,0.2,500.0
2001-05-02,0.2,0.55,0.55,0.55,1500.0
2001-05-03,0.55,0.6,0.55,0.6,1500.0
2001-05-04,0.6,0.7,0.7,0.7,500.0
2001-05-11,0.7,0.6,0.6,0.6,500.0
2001-05-15,0.6,0.7,0.7,0.7,1000.0
2001-05-31,0.7,0.8,0.8,0.8,500.0
2001-06-06,0.8,0.6,0.6,0.6,1000.0
2001-06-07,0.6,0.75,0.75,0.75,500.0
2001-06-13,0.75,0.75,0.6,0.75,1500.0
2001-06-20,0.75,0.8,0.8,0.8,500.0
2001-07-04,0.8,0.6,0.6,0.6,1000.0
2001-07-05,0.6,0.6,0.6,0.6,500.0
2001-11-07,0.6,0.6,0.6,0.6,1000.0
2002-05-31,0.6,0.75,0.75,0.75,0.0
2002-06-04,0.75,1.0,1.0,1.0,500.0
2002-06-05,1.0,0.9,0.9,0.9,0.0
2002-06-11,0.9,0.8,0.8,0.8,500.0
2002-07-04,0.8,0.75,0.75,0.75,0.0
2002-07-08,0.75,0.6,0.6,0.6,1000.0
2002-07-09,0.6,0.8,0.75,0.8,1000.0
2002-07-30,0.8,0.7,0.7,0.7,0.0
2002-08-07,0.7,0.7,0.7,0.7,500.0
2002-08-08,0.7,0.75,0.75,0.75,1000.0
2002-08-12,0.75,0.7,0.7,0.7,1000.0
2002-08-15,0.7,0.7,0.7,0.7,500.0
2002-08-19,0.7,0.9,0.9,0.9,500.0
2002-08-20,0.9,0.85,0.8,0.85,2500.0
2002-08-28,0.85,0.85,0.85,0.85,1000.0
2002-08-29,0.85,0.9,0.9,0.9,500.0
2002-09-05,0.9,0.9,0.9,0.9,1000.0
2002-09-09,0.9,0.9,0.9,0.9,1000.0
2002-09-20,0.9,0.9,0.9,0.9,500.0
2002-10-08,0.9,1.0,1.0,1.0,1000.0
2002-12-12,1.0,0.8,0.8,0.8,2500.0
2003-02-25,0.8,0.5,0.5,0.5,500.0
2003-03-03,0.5,0.55,0.55,0.55,0.0
2003-03-18,0.55,0.6,0.6,0.6,0.0
2003-05-22,0.6,0.7,0.7,0.7,0.0
2003-05-23,0.7,1.1,1.1,1.1,1000.0
2003-05-26,1.1,1.15,1.15,1.15,500.0
2003-05-27,1.15,1.8,1.05,1.6,43000.0
2003-05-28,1.6,1.6,1.4,1.5,27000.0
2003-05-29,1.5,1.5,1.35,1.35,6000.0
2003-06-02,1.35,1.3,1.3,1.3,1000.0
2003-06-05,1.3,1.1,1.1,1.1,0.0
2003-06-20,1.1,0.7,0.7,0.7,2500.0
2003-06-23,0.7,0.75,0.75,0.75,0.0
2003-06-24,0.75,0.8,0.8,0.8,0.0
2003-06-26,0.8,1.0,1.0,1.0,2000.0
2003-06-27,1.0,1.0,1.0,1.0,500.0
2003-06-30,1.0,1.05,1.05,1.05,0.0
2003-07-02,1.05,1.25,1.0,1.25,17000.0
2003-07-03,1.25,1.25,1.25,1.25,2500.0
2003-07-07,1.25,1.5,1.5,1.5,1000.0
2003-07-08,1.5,1.5,1.5,1.5,2000.0
2003-07-09,1.5,1.5,1.5,1.5,3000.0
2003-07-10,1.5,1.75,1.5,1.5,3000.0
2003-07-11,1.5,1.75,1.5,1.75,5500.0
2003-07-14,1.75,1.65,1.65,1.65,0.0
2003-07-15,1.65,1.6,1.6,1.6,0.0
2003-07-18,1.6,1.55,1.55,1.55,0.0
2003-07-21,1.55,1.6,1.5,1.55,7500.0
2003-07-22,1.55,1.6,1.5,1.5,12000.0
2003-07-24,1.5,1.5,1.5,1.5,2000.0
2003-07-25,1.5,2.0,1.8,1.8,20000.0
2003-07-28,1.8,2.0,1.65,1.8,55000.0
2003-07-29,1.8,2.0,1.85,2.0,23000.0
2003-07-30,2.0,2.2,1.9,1.9,17500.0
2003-07-31,1.9,2.75,1.95,2.75,55000.0
2003-08-01,2.75,2.75,2.4,2.5,45000.0
2003-08-04,2.5,2.5,2.25,2.5,1500.0
2003-08-05,2.5,2.3,2.0,2.0,13000.0
2003-08-07,2.0,2.3,1.95,1.95,25000.0
2003-08-08,1.95,2.95,2.5,2.5,20000.0
2003-08-11,2.5,2.0,2.0,2.0,1500.0
2003-08-12,2.0,2.1,2.0,2.0,18000.0
2003-08-13,2.0,2.0,2.0,2.0,6000.0
2003-08-15,2.0,1.75,1.0,1.0,1500.0
2003-08-18,1.0,1.75,1.75,1.75,500.0
2003-08-22,1.75,1.65,1.15,1.15,1500.0
2003-08-25,1.15,1.2,1.2,1.2,0.0
2003-08-26,1.2,1.3,1.3,1.3,0.0
2003-08-27,1.3,1.25,1.25,1.25,500.0
2003-08-28,1.25,1.45,1.45,1.45,0.0
2003-09-08,1.45,1.3,1.3,1.3,500.0
2003-09-09,1.3,1.25,1.2,1.2,2000.0
2003-09-10,1.2,1.5,1.4,1.5,6000.0
2003-09-15,1.5,1.4,1.4,1.4,1500.0
2003-09-18,1.4,1.25,1.25,1.25,3000.0
2003-09-19,1.25,1.2,0.7,0.8,4000.0
2003-09-22,0.8,1.25,1.25,1.25,2500.0
2003-09-26,1.25,1.1,1.1,1.1,3000.0
2003-10-27,1.1,0.7,0.7,0.7,10000.0
2003-11-21,0.7,0.8,0.8,0.8,0.0
2003-12-17,0.8,0.6,0.6,0.6,500.0
2003-12-19,0.6,2.1,0.8,0.85,2500.0
2004-01-07,0.85,0.85,0.85,0.85,1000.0
2004-01-28,0.85,1.0,1.0,1.0,0.0
2004-02-13,1.0,1.25,1.25,1.25,10000.0
2004-03-04,1.25,1.55,1.55,1.55,1000.0
2004-03-05,1.55,1.5,1.4,1.5,11000.0
2004-03-08,1.5,1.9,1.3,1.85,33000.0
2004-03-09,1.85,1.8,1.65,1.8,6500.0
2004-03-10,1.8,1.85,1.85,1.85,1000.0
2004-03-11,1.85,1.75,1.75,1.75,1000.0
2004-03-12,1.75,1.85,1.85,1.85,4500.0
2004-03-15,1.85,1.7,1.7,1.7,3000.0
2004-03-16,1.7,1.85,1.85,1.85,2500.0
2004-03-17,1.85,2.25,1.85,2.2,14000.0
2004-03-22,2.2,1.8,1.8,1.8,1500.0
2004-03-29,1.8,1.7,1.7,1.7,5000.0
2004-04-01,1.7,2.0,1.85,2.0,5000.0
2004-04-13,2.0,2.0,2.0,2.0,1000.0
2004-04-15,2.0,1.8,1.8,1.8,0.0
2004-04-16,1.8,1.85,1.85,1.85,1000.0
2004-05-24,1.85,2.5,2.0,2.5,12000.0
2004-05-25,2.5,3.8,2.5,2.8,41500.0
2004-05-26,2.8,3.1,2.75,3.0,13500.0
2004-05-27,3.0,2.9,2.9,2.9,0.0
2004-05-28,2.9,2.9,2.25,2.25,4500.0
2004-05-31,2.25,2.5,2.35,2.35,3000.0
2004-06-01,2.35,2.25,2.25,2.25,500.0
2004-06-02,2.25,2.5,2.4,2.5,2000.0
2004-06-03,2.5,2.5,2.1,2.1,4000.0
2004-06-04,2.1,2.15,2.15,2.15,0.0
2004-06-07,2.15,2.7,2.7,2.7,500.0
2004-06-08,2.7,2.95,2.6,2.6,1000.0
2004-06-09,2.6,2.5,2.5,2.5,1000.0
2004-06-11,2.5,2.1,2.1,2.1,1500.0
2004-06-15,2.1,3.1,2.95,2.95,1000.0
2004-06-17,2.95,2.9,2.9,2.9,2500.0
2004-06-18,2.9,2.85,2.85,2.85,0.0
2004-06-24,2.85,2.5,2.5,2.5,0.0
2004-06-30,2.5,2.45,2.45,2.45,0.0
2004-07-02,2.45,2.45,2.45,2.45,2500.0
2004-07-16,2.45,2.0,2.0,2.0,500.0
2004-07-30,2.0,1.5,1.5,1.5,3000.0
2004-08-03,1.5,1.55,1.55,1.55,0.0
2004-08-05,1.55,1.75,1.75,1.75,500.0
2004-08-16,1.75,1.25,1.25,1.25,2000.0
2004-08-17,1.25,1.8,1.8,1.8,9000.0
2004-08-20,1.8,1.55,1.55,1.55,1500.0
2004-08-27,1.55,1.75,1.75,1.75,0.0
2004-08-31,1.75,2.0,2.0,2.0,5500.0
2004-09-01,2.0,1.8,1.65,1.65,1500.0
2004-09-02,1.65,2.1,1.65,2.0,4000.0
2004-09-03,2.0,2.25,2.2,2.2,1000.0
2004-09-08,2.2,1.95,1.95,1.95,0.0
