Date,Open,High,Low,Close,Volume
2020-12-01,64.89,69.87,60.2,69.87,347400.0
2020-12-02,70.01,75.11,70.01,75.11,382100.0
2020-12-03,77.75,79.99,70.5,70.83,337700.0
2020-12-04,71.89,72.35,69.35,70.13,248000.0
2020-12-07,69.7,70.25,67.25,67.9,187200.0
2020-12-08,67.33,67.99,62.81,62.95,234300.0
2020-12-09,62.95,66.5,62.95,63.63,215400.0
2020-12-10,64.0,64.26,61.0,61.71,136300.0
2020-12-11,62.93,66.33,62.35,62.92,311500.0
2020-12-14,64.25,67.63,64.25,67.63,262200.0
2020-12-15,72.7,72.7,70.02,72.25,424300.0
2020-12-16,72.5,72.98,68.5,68.74,210100.0
2020-12-17,69.5,72.0,68.0,71.49,244200.0
2020-12-18,69.2,74.75,69.2,72.69,331300.0
2020-12-21,72.0,74.0,70.0,70.51,315200.0
2020-12-22,70.01,71.51,65.51,67.12,631100.0
