Date,Open,High,Low,Close,Volume
2001-01-03,7.5,7.0,7.0,7.0,500.0
2001-01-04,7.0,6.0,6.0,6.0,500.0
2001-01-05,6.0,5.95,5.95,5.95,500.0
2001-01-08,5.95,6.5,6.5,6.5,500.0
2001-01-09,6.5,5.75,5.75,5.75,500.0
2001-01-11,5.75,6.0,5.9,6.0,1500.0
2001-01-12,6.0,6.05,5.95,5.95,3000.0
2001-01-15,5.95,6.0,6.0,6.0,2000.0
2001-01-18,6.0,5.95,5.95,5.95,500.0
2001-01-23,5.95,6.0,5.95,6.0,1000.0
2001-01-25,6.0,6.0,5.95,6.0,2500.0
2001-02-02,6.0,6.0,6.0,6.0,1000.0
2001-02-06,6.0,6.15,6.0,6.05,8000.0
2001-02-07,6.05,6.3,6.3,6.3,2000.0
2001-02-09,6.3,6.5,6.5,6.5,1000.0
2001-02-12,6.5,6.5,6.35,6.5,2500.0
2001-02-13,6.5,6.35,6.35,6.35,1000.0
2001-02-21,6.35,6.25,6.25,6.25,4500.0
2001-03-15,6.25,5.5,5.5,5.5,5000.0
2001-03-21,5.5,5.25,5.25,5.25,2000.0
2001-03-22,5.25,5.5,5.5,5.5,1500.0
2001-03-27,5.5,5.75,5.7,5.75,8500.0
2001-04-06,5.75,5.5,5.3,5.3,2500.0
2001-04-12,5.3,5.5,5.0,5.5,4500.0
2001-04-18,5.5,5.75,5.5,5.75,6000.0
2001-04-25,5.75,5.6,5.6,5.6,1500.0
2001-05-04,5.6,5.45,5.45,5.45,500.0
2001-05-15,5.45,5.45,5.45,5.45,1000.0
2001-05-16,5.45,5.55,5.55,5.55,1000.0
2001-05-18,5.55,5.6,5.6,5.6,1500.0
2001-05-21,5.6,5.7,5.7,5.7,500.0
2001-05-22,5.7,5.7,5.7,5.7,500.0
2001-05-23,5.7,5.75,5.6,5.75,8000.0
2001-05-24,5.75,5.75,5.75,5.75,2000.0
2001-05-25,5.75,6.0,6.0,6.0,4000.0
2001-06-01,6.0,6.0,6.0,6.0,1000.0
2001-06-06,6.0,5.5,5.5,5.5,4000.0
2001-06-07,5.5,5.75,5.55,5.55,21500.0
2001-06-11,5.55,5.55,5.55,5.55,4000.0
2001-06-13,5.55,5.4,5.4,5.4,2000.0
2001-06-18,5.4,5.5,5.45,5.45,4000.0
2001-06-19,5.45,5.5,5.5,5.5,1000.0
2001-06-20,5.5,5.45,5.4,5.4,11500.0
2001-06-21,5.4,5.45,5.45,5.45,500.0
2001-06-22,5.45,5.45,5.4,5.45,4000.0
2001-06-25,5.45,5.45,5.45,5.45,2000.0
2001-06-29,5.45,5.5,5.5,5.5,1000.0
2001-07-06,5.5,5.4,5.4,5.4,1500.0
2001-07-09,5.4,5.4,5.4,5.4,2000.0
2001-08-06,5.4,5.0,5.0,5.0,1000.0
2001-08-13,5.0,5.0,5.0,5.0,1000.0
2001-08-27,5.0,5.0,5.0,5.0,1000.0
2001-09-11,5.0,4.25,4.25,4.25,2500.0
2001-09-14,4.25,4.05,4.05,4.05,1000.0
2001-09-24,4.05,4.45,4.0,4.0,2500.0
2001-09-26,4.0,4.45,4.45,4.45,1000.0
2001-10-03,4.45,4.25,4.25,4.25,1000.0
