Date,Open,High,Low,Close,Volume
2003-10-27,3.3,3.5,3.5,3.5,1000.0
2003-11-03,3.5,3.5,3.5,3.5,2500.0
2003-11-04,3.5,3.5,3.5,3.5,8500.0
2003-11-10,3.5,2.8,2.8,2.8,500.0
2003-11-19,2.8,3.0,3.0,3.0,500.0
2003-12-01,3.0,3.15,3.15,3.15,0.0
2003-12-02,3.15,3.6,3.5,3.5,5000.0
2003-12-03,3.5,3.55,3.5,3.5,1500.0
2003-12-04,3.5,3.2,3.05,3.05,7000.0
2003-12-05,3.05,3.75,3.75,3.75,1000.0
2003-12-08,3.75,3.5,3.5,3.5,500.0
2003-12-11,3.5,3.5,3.5,3.5,5000.0
2003-12-19,3.5,3.5,3.0,3.5,5500.0
2003-12-22,3.5,3.65,3.65,3.65,500.0
2003-12-24,3.65,3.25,3.0,3.0,3000.0
2003-12-26,3.0,3.5,3.5,3.5,500.0
2003-12-31,3.5,3.85,3.7,3.85,3500.0
2004-01-01,3.85,4.0,3.8,4.0,3500.0
2004-01-02,4.0,4.05,3.95,3.95,5000.0
2004-01-05,3.95,4.0,4.0,4.0,14000.0
2004-01-06,4.0,4.1,4.1,4.1,9500.0
2004-01-07,4.1,4.5,4.1,4.1,5000.0
2004-01-08,4.1,4.25,4.2,4.25,5500.0
2004-01-09,4.25,4.25,4.25,4.25,500.0
2004-01-12,4.25,4.1,4.1,4.1,2000.0
2004-01-14,4.1,4.4,4.4,4.4,500.0
2004-01-16,4.4,4.5,4.1,4.1,1000.0
2004-01-19,4.1,4.8,4.4,4.8,5500.0
2004-01-22,4.8,4.4,4.4,4.4,2000.0
2004-01-23,4.4,4.9,4.1,4.1,3000.0
2004-01-26,4.1,4.1,4.1,4.1,2500.0
2004-02-06,4.1,4.0,4.0,4.0,1500.0
2004-02-09,4.0,4.1,4.1,4.1,0.0
2004-02-11,4.1,4.05,4.05,4.05,500.0
2004-02-12,4.05,4.15,4.15,4.15,0.0
2004-02-23,4.15,4.05,4.0,4.0,3000.0
2004-02-27,4.0,4.0,4.0,4.0,2500.0
2004-03-03,4.0,4.1,4.1,4.1,0.0
2004-03-05,4.1,4.05,4.0,4.0,2500.0
2004-03-08,4.0,4.1,4.1,4.1,4500.0
2004-03-09,4.1,4.6,4.25,4.6,3000.0
2004-03-11,4.6,4.5,4.4,4.4,5500.0
2004-03-12,4.4,4.6,4.6,4.6,500.0
2004-03-15,4.6,4.8,4.8,4.8,1000.0
2004-03-16,4.8,4.8,4.8,4.8,1500.0
2004-03-17,4.8,4.8,4.8,4.8,2000.0
2004-03-19,4.8,4.25,4.25,4.25,500.0
2004-03-22,4.25,4.6,4.6,4.6,500.0
2004-03-24,4.6,4.6,4.6,4.6,1000.0
2004-03-25,4.6,4.8,4.5,4.5,1500.0
2004-03-26,4.5,4.5,4.5,4.5,1000.0
2004-03-30,4.5,4.75,4.25,4.75,18000.0
2004-03-31,4.75,5.4,5.0,5.0,13500.0
2004-04-01,5.0,5.25,5.0,5.25,6000.0
2004-04-02,5.25,6.25,5.6,6.25,38000.0
2004-04-05,6.25,7.15,6.6,7.1,76000.0
2004-04-06,7.1,7.0,6.65,6.8,29000.0
2004-04-07,6.8,6.5,6.0,6.0,8500.0
2004-04-08,6.0,6.85,5.8,6.85,27000.0
2004-04-09,6.85,6.7,6.7,6.7,0.0
2004-04-12,6.7,6.4,6.05,6.05,22500.0
2004-04-13,6.05,6.6,6.3,6.5,3500.0
2004-04-14,6.5,7.0,6.5,7.0,11000.0
2004-04-15,7.0,7.0,6.75,7.0,31500.0
2004-04-16,7.0,8.5,7.0,8.5,85000.0
2004-04-19,8.5,8.5,7.75,8.2,47000.0
2004-04-20,8.2,7.75,7.4,7.75,7000.0
2004-04-21,7.75,9.25,8.05,8.25,36500.0
2004-04-22,8.25,8.3,8.0,8.25,142000.0
2004-04-23,8.25,8.45,8.05,8.05,28500.0
2004-04-26,8.05,8.4,8.0,8.0,4000.0
2004-04-27,8.0,8.05,8.05,8.05,2000.0
2004-04-28,8.05,8.0,8.0,8.0,500.0
2004-04-29,8.0,8.4,8.3,8.3,1000.0
2004-04-30,8.3,8.0,8.0,8.0,0.0
2004-05-05,8.0,8.2,8.2,8.2,1000.0
2004-05-07,8.2,8.0,7.2,7.2,2500.0
2004-05-12,7.2,6.2,6.2,6.2,3000.0
2004-05-14,6.2,6.0,6.0,6.0,6000.0
2004-05-17,6.0,6.0,6.0,6.0,1000.0
2004-05-19,6.0,6.1,6.1,6.1,0.0
2004-05-20,6.1,6.25,6.25,6.25,0.0
2004-05-21,6.25,7.25,7.2,7.25,5500.0
2004-05-24,7.25,6.75,6.7,6.75,1500.0
2004-05-25,6.75,7.05,7.0,7.05,1500.0
2004-05-27,7.05,7.25,7.05,7.1,5000.0
2004-06-02,7.1,7.0,7.0,7.0,1000.0
2004-06-11,7.0,7.0,6.5,7.0,5000.0
2004-06-16,7.0,7.25,7.0,7.25,2500.0
2004-06-17,7.25,8.5,7.45,7.9,37000.0
2004-06-18,7.9,7.7,7.5,7.7,3000.0
2004-06-22,7.7,7.5,7.5,7.5,2000.0
2004-06-23,7.5,7.25,7.25,7.25,0.0
2004-06-25,7.25,7.0,7.0,7.0,1000.0
2004-06-29,7.0,7.25,7.0,7.25,3000.0
2004-06-30,7.25,7.0,7.0,7.0,3000.0
2004-07-13,7.0,7.0,7.0,7.0,1000.0
2004-07-14,7.0,7.1,7.0,7.0,2000.0
2004-07-15,7.0,7.0,6.55,6.55,2000.0
2004-07-27,6.55,5.7,5.7,5.7,500.0
2004-08-03,5.7,5.0,5.0,5.0,500.0
2004-08-05,5.0,5.05,5.05,5.05,0.0
2004-08-06,5.05,5.15,5.15,5.15,500.0
2004-08-10,5.15,5.2,5.2,5.2,0.0
2004-08-13,5.2,4.7,4.7,4.7,2000.0
2004-08-16,4.7,5.4,5.4,5.4,500.0
2004-08-17,5.4,5.3,5.1,5.25,6000.0
2004-08-18,5.25,5.4,5.1,5.1,5500.0
2004-08-19,5.1,5.6,5.6,5.6,2000.0
2004-08-20,5.6,5.25,5.25,5.25,5000.0
2004-08-25,5.25,5.0,5.0,5.0,1000.0
2004-08-27,5.0,5.05,5.05,5.05,0.0
2004-08-30,5.05,5.0,5.0,5.0,500.0
2004-08-31,5.0,5.05,5.05,5.05,0.0
2004-09-01,5.05,5.0,5.0,5.0,1000.0
2004-09-02,5.0,5.1,5.1,5.1,0.0
2004-09-09,5.1,5.0,5.0,5.0,4000.0
2004-09-15,5.0,4.75,4.75,4.75,500.0
2004-09-20,4.75,4.8,4.8,4.8,0.0
2004-09-24,4.8,5.0,5.0,5.0,0.0
2004-09-27,5.0,5.0,4.5,4.6,3500.0
2004-09-28,4.6,5.0,5.0,5.0,1000.0
2004-10-04,5.0,5.0,4.75,5.0,13000.0
2004-10-06,5.0,5.5,5.0,5.5,13500.0
2004-10-07,5.5,5.5,5.5,5.5,500.0
2004-10-08,5.5,5.6,5.6,5.6,2000.0
