Date,Open,High,Low,Close,Volume
2001-03-27,7.5,5.5,5.5,5.5,296500.0
2001-04-02,5.5,5.0,5.0,5.0,500.0
2001-04-03,5.0,5.5,5.15,5.5,6500.0
2001-04-06,5.5,6.0,6.0,6.0,500.0
2001-04-16,6.0,6.5,6.5,6.5,500.0
2001-04-18,6.5,6.5,6.5,6.5,500.0
2001-04-19,6.5,8.7,7.25,7.25,1500.0
2001-04-23,7.25,8.0,7.4,8.0,1500.0
2001-04-26,8.0,9.5,8.0,9.5,2500.0
2001-05-03,9.5,6.7,6.0,6.4,8500.0
2001-05-04,6.4,7.5,6.4,6.4,2000.0
2001-06-07,6.4,4.05,4.05,4.05,500.0
2001-06-12,4.05,6.95,6.95,6.95,500.0
2001-06-18,6.95,6.95,6.95,6.95,0.0
2001-06-22,6.95,4.75,4.0,4.0,68500.0
2001-07-04,4.0,5.9,5.9,5.9,500.0
2001-07-12,5.9,4.95,4.95,4.95,500.0
2001-08-01,4.95,4.95,4.95,4.95,0.0
2001-08-03,4.95,4.05,4.05,4.05,2000.0
2001-08-07,4.05,4.1,4.1,4.1,500.0
2001-08-08,4.1,4.4,4.35,4.35,1000.0
2001-08-20,4.35,4.35,4.35,4.35,0.0
2001-09-12,4.35,4.0,4.0,4.0,7000.0
2001-09-13,4.0,4.0,4.0,4.0,1500.0
2001-09-25,4.0,4.0,4.0,4.0,0.0
2001-10-09,4.0,4.25,4.25,4.25,3000.0
2001-10-15,4.25,4.25,4.25,4.25,2000.0
2001-10-16,4.25,4.25,4.25,4.25,1000.0
2001-11-26,4.25,4.2,4.2,4.2,500.0
2001-11-27,4.2,4.25,4.25,4.25,500.0
2001-12-01,4.25,4.3,4.3,4.3,5000.0
2001-12-31,4.3,4.9,4.9,4.9,1000.0
2002-01-01,4.9,5.1,5.1,5.1,1000.0
2002-01-03,5.1,4.9,4.9,4.9,1000.0
2002-01-09,4.9,4.9,4.9,4.9,5000.0
2002-01-21,4.9,4.9,4.4,4.9,7000.0
2002-01-23,4.9,4.9,4.9,4.9,47500.0
2002-01-31,4.9,4.9,4.9,4.9,1000.0
2002-02-07,4.9,4.9,4.85,4.9,1500.0
2002-02-08,4.9,5.0,4.9,5.0,6000.0
2002-02-15,5.0,5.9,5.9,5.9,1000.0
2002-02-21,5.9,5.5,5.5,5.5,10000.0
2002-02-27,5.5,5.5,5.3,5.5,36000.0
2002-03-13,5.5,4.9,4.9,4.9,2000.0
2002-03-26,4.9,4.5,3.9,4.5,5000.0
2002-04-24,4.5,5.0,4.75,5.0,1500.0
2002-04-30,5.0,4.75,4.75,4.75,1000.0
2002-05-31,4.75,5.0,4.95,4.95,2000.0
2002-06-28,4.95,5.4,5.0,5.35,1000.0
2002-07-22,5.35,5.0,5.0,5.0,0.0
2002-08-05,5.0,4.0,4.0,4.0,1000.0
2002-08-06,4.0,4.1,4.1,4.1,0.0
2002-08-09,4.1,5.0,5.0,5.0,1500.0
2002-08-12,5.0,5.05,5.05,5.05,1000.0
2002-08-15,5.05,5.0,5.0,5.0,10000.0
2002-09-02,5.0,5.05,5.05,5.05,1000.0
2002-09-03,5.05,5.0,5.0,5.0,500.0
2002-09-04,5.0,5.25,5.0,5.0,2000.0
2002-09-11,5.0,5.9,5.9,5.9,500.0
2002-09-12,5.9,5.75,5.75,5.75,0.0
2002-09-13,5.75,6.0,5.25,5.25,4500.0
2002-09-19,5.25,5.0,5.0,5.0,0.0
2002-10-03,5.0,4.1,4.1,4.1,500.0
2002-10-07,4.1,4.15,4.15,4.15,0.0
2002-10-30,4.15,4.25,4.25,4.25,0.0
2002-10-31,4.25,4.5,4.5,4.5,0.0
2002-11-01,4.5,4.55,4.55,4.55,0.0
2002-11-05,4.55,4.5,4.5,4.5,500.0
2002-11-12,4.5,4.0,4.0,4.0,1000.0
2002-11-13,4.0,4.5,4.5,4.5,0.0
2002-11-15,4.5,4.5,4.5,4.5,1000.0
2002-11-20,4.5,4.55,4.55,4.55,5000.0
2002-11-26,4.55,5.0,5.0,5.0,1000.0
2002-12-11,5.0,5.0,5.0,5.0,2000.0
2002-12-17,5.0,5.75,5.75,5.75,5000.0
2002-12-18,5.75,5.9,5.75,5.8,11500.0
2002-12-19,5.8,5.85,5.85,5.85,500.0
2002-12-20,5.85,5.0,5.0,5.0,500.0
2002-12-24,5.0,5.25,5.25,5.25,2000.0
2002-12-27,5.25,6.0,5.5,6.0,20000.0
2003-01-06,6.0,6.0,6.0,6.0,5000.0
2003-01-07,6.0,6.0,6.0,6.0,1000.0
2003-01-10,6.0,5.75,5.0,5.7,1500.0
2003-01-13,5.7,5.8,5.8,5.8,5000.0
2003-01-15,5.8,6.75,6.5,6.75,13500.0
2003-01-16,6.75,7.0,6.0,6.0,15500.0
2003-01-29,6.0,6.0,6.0,6.0,500.0
2003-02-21,6.0,6.5,6.5,6.5,1500.0
2003-02-24,6.5,5.5,5.5,5.5,2500.0
2003-02-27,5.5,5.75,5.75,5.75,0.0
2003-03-03,5.75,6.5,6.5,6.5,5000.0
2003-03-06,6.5,7.5,7.0,7.05,48500.0
2003-03-07,7.05,6.7,6.7,6.7,1000.0
2003-03-10,6.7,7.5,7.5,7.5,1500.0
2003-03-18,7.5,8.0,8.0,8.0,2000.0
2003-03-19,8.0,8.0,8.0,8.0,500.0
2003-03-21,8.0,8.25,8.25,8.25,2000.0
2003-03-24,8.25,9.75,8.5,9.0,4000.0
2003-03-25,9.0,9.0,9.0,9.0,1000.0
2003-03-26,9.0,9.0,8.5,9.0,5000.0
2003-03-28,9.0,10.1,10.0,10.1,6000.0
2003-03-31,10.1,11.6,11.6,11.6,4000.0
2003-04-01,11.6,10.6,10.6,10.6,2000.0
2003-04-02,10.6,10.5,10.5,10.5,0.0
2003-04-03,10.5,9.6,9.6,9.6,2000.0
2003-04-04,9.6,9.6,9.6,9.6,500.0
2003-04-07,9.6,9.7,9.7,9.7,0.0
2003-04-09,9.7,10.5,10.5,10.5,0.0
2003-04-14,10.5,10.5,10.5,10.5,10000.0
2003-04-16,10.5,12.0,11.75,11.85,21000.0
2003-04-17,10.6,10.4,10.4,10.4,4000.0
2003-04-22,10.4,10.0,10.0,10.0,0.0
2003-04-23,10.0,10.75,10.75,10.75,1000.0
2003-04-24,10.75,10.5,10.5,10.5,0.0
2003-04-30,10.5,11.45,11.45,11.45,10000.0
2003-05-02,11.45,11.4,11.4,11.4,0.0
2003-05-05,11.4,11.4,11.4,11.4,500.0
2003-05-06,11.4,11.35,11.35,11.35,0.0
2003-05-08,11.35,11.1,11.1,11.1,0.0
2003-06-13,11.1,12.6,12.6,12.6,20000.0
2003-06-16,12.6,12.0,12.0,12.0,0.0
2003-06-18,12.0,11.5,11.5,11.5,500.0
2003-06-19,11.5,13.0,11.75,13.0,9500.0
2003-06-20,13.0,14.5,12.5,14.5,2500.0
2003-06-23,14.5,14.5,14.0,14.5,7500.0
2003-06-24,14.5,16.0,14.5,16.0,15000.0
2003-06-25,16.0,17.5,16.75,17.5,12500.0
2003-06-26,17.5,19.0,17.5,19.0,736500.0
2003-06-27,19.0,20.5,19.5,20.5,9000.0
2003-06-30,20.5,22.0,21.65,21.65,6000.0
2003-07-01,21.65,20.9,20.6,20.6,5000.0
2003-07-04,20.6,20.4,20.4,20.4,0.0
2003-07-07,20.4,20.0,20.0,20.0,0.0
2003-07-11,20.0,21.5,19.0,21.5,7500.0
2003-07-14,21.5,20.5,20.5,20.5,2000.0
2003-07-15,20.5,20.0,20.0,20.0,0.0
2003-07-18,20.0,21.4,20.9,21.4,7500.0
2003-07-21,21.4,21.0,21.0,21.0,0.0
2003-07-23,21.0,20.85,20.85,20.85,0.0
2003-07-30,20.85,20.5,20.5,20.5,1000.0
2003-08-05,20.5,22.0,21.9,22.0,10000.0
2003-08-06,22.0,20.9,20.9,20.9,0.0
2003-08-18,20.9,20.5,20.5,20.5,0.0
2003-08-21,20.5,22.0,20.0,22.0,3500.0
2003-08-22,22.0,21.4,21.4,21.4,0.0
2003-08-25,21.4,23.0,20.9,23.0,10000.0
2003-08-26,23.0,22.6,22.6,22.6,1000.0
2003-08-27,22.6,24.25,23.0,24.25,1500.0
2003-09-11,24.25,26.05,26.0,26.05,10000.0
2003-09-12,26.05,27.6,27.5,27.6,10000.0
2003-09-15,27.6,27.5,27.5,27.5,0.0
