Date,Open,High,Low,Close,Volume
2001-01-01,14.0,14.5,14.25,14.5,6000.0
2001-01-02,14.5,14.75,14.3,14.3,3500.0
2001-01-03,14.3,16.0,14.25,16.0,12500.0
2001-01-04,16.0,15.8,15.75,15.75,11500.0
2001-01-05,15.75,15.85,15.5,15.5,5000.0
2001-01-08,15.5,15.5,15.0,15.5,3500.0
2001-01-09,15.5,15.8,15.5,15.8,5500.0
2001-01-10,15.8,15.5,15.5,15.5,2500.0
2001-01-11,15.5,15.75,15.0,15.75,4500.0
2001-01-12,15.75,15.25,15.2,15.25,1000.0
2001-01-15,15.25,15.0,15.0,15.0,500.0
2001-01-16,15.0,15.75,15.7,15.75,5500.0
2001-01-17,15.75,15.8,15.8,15.8,500.0
2001-01-18,15.8,15.75,15.55,15.55,3000.0
2001-01-22,15.55,15.85,15.7,15.8,3500.0
2001-01-23,15.8,15.85,15.8,15.85,4000.0
2001-01-25,15.85,15.85,15.85,15.85,500.0
2001-01-26,15.85,16.0,15.85,16.0,6000.0
2001-01-29,16.0,15.9,15.85,15.85,4500.0
2001-01-31,15.85,15.85,15.85,15.85,500.0
2001-02-02,15.85,16.1,16.0,16.0,7000.0
2001-02-07,16.0,16.0,16.0,16.0,1000.0
2001-02-08,16.0,16.0,15.9,16.0,4000.0
2001-02-09,16.0,15.95,15.95,15.95,500.0
2001-02-13,15.95,15.9,15.85,15.9,2000.0
2001-02-15,15.9,16.0,15.55,15.75,3500.0
2001-02-16,15.75,15.65,15.65,15.65,1000.0
2001-02-19,15.65,15.8,15.35,15.6,8500.0
2001-02-20,15.6,15.6,15.4,15.4,14000.0
2001-02-21,15.4,15.75,15.5,15.55,3000.0
2001-02-22,15.55,16.15,15.55,16.0,6000.0
2001-02-23,16.0,15.85,15.5,15.85,12000.0
2001-02-26,15.85,15.75,15.65,15.75,4500.0
2001-02-27,15.75,15.95,15.9,15.95,2500.0
2001-02-28,15.95,15.0,15.0,15.0,500.0
2001-03-01,15.0,15.85,15.85,15.85,500.0
2001-03-02,15.85,16.0,15.95,16.0,10000.0
2001-03-09,16.0,15.85,15.5,15.5,5500.0
2001-03-13,15.5,15.5,15.0,15.5,2500.0
2001-03-14,15.5,15.5,15.05,15.05,1000.0
2001-03-15,15.05,15.5,15.1,15.1,10000.0
2001-03-16,12.1,12.1,11.25,11.25,1000.0
2001-03-19,11.25,11.45,11.45,11.45,500.0
2001-03-20,11.45,11.75,11.75,11.75,500.0
2001-03-21,11.75,11.55,11.55,11.55,1500.0
2001-03-22,11.55,11.5,11.5,11.5,2000.0
2001-04-02,11.5,11.35,10.75,11.35,2000.0
2001-04-03,11.35,11.4,11.4,11.4,500.0
2001-04-09,11.4,11.75,11.45,11.75,1000.0
2001-04-11,11.75,11.55,11.55,11.55,2000.0
2001-04-12,11.55,11.55,11.55,11.55,1000.0
2001-04-19,11.55,12.0,11.8,11.8,3000.0
2001-04-23,11.8,12.0,12.0,12.0,500.0
2001-04-24,12.0,11.95,11.95,11.95,1500.0
2001-04-26,11.95,12.0,11.9,12.0,3000.0
2001-04-27,12.0,12.15,12.0,12.0,3000.0
2001-05-02,12.0,12.9,12.5,12.9,3000.0
2001-05-03,12.9,13.1,13.1,13.1,500.0
2001-05-07,13.1,13.1,13.0,13.1,5500.0
2001-05-08,13.1,12.8,12.75,12.75,1000.0
2001-05-10,12.75,12.75,12.25,12.75,1500.0
2001-05-14,12.75,13.0,12.95,12.95,4500.0
2001-05-18,12.95,13.25,13.0,13.0,3000.0
2001-05-21,13.0,13.0,13.0,13.0,500.0
2001-05-23,13.0,12.95,12.95,12.95,500.0
2001-05-24,12.95,13.0,13.0,13.0,1000.0
2001-05-25,13.0,12.8,12.8,12.8,1000.0
2001-05-28,12.8,13.0,13.0,13.0,2000.0
2001-05-29,13.0,12.5,12.5,12.5,2500.0
2001-05-30,12.5,12.0,12.0,12.0,5500.0
2001-05-31,12.0,12.0,11.8,11.8,1000.0
2001-06-04,11.8,12.5,12.5,12.5,1000.0
2001-06-07,12.5,12.75,12.75,12.75,8000.0
2001-06-08,12.75,12.7,12.7,12.7,8500.0
2001-06-12,12.7,12.65,12.65,12.65,500.0
2001-06-15,12.65,13.0,12.3,13.0,5500.0
2001-06-18,13.0,12.95,12.95,12.95,500.0
2001-06-19,12.95,12.85,12.85,12.85,2500.0
2001-06-21,12.85,13.0,13.0,13.0,2000.0
2001-06-26,13.0,12.25,12.25,12.25,500.0
2001-06-28,12.25,13.0,12.9,13.0,9500.0
2001-06-29,13.0,12.5,12.5,12.5,1000.0
2001-07-04,12.5,12.75,12.75,12.75,1500.0
2001-07-06,12.75,13.0,13.0,13.0,1000.0
2001-07-09,13.0,13.0,13.0,13.0,2000.0
2001-07-11,13.0,13.1,13.0,13.1,2000.0
2001-07-12,13.1,12.75,12.75,12.75,500.0
2001-07-13,12.75,12.75,12.75,12.75,500.0
2001-07-16,12.75,12.75,12.75,12.75,500.0
2001-07-18,12.75,13.0,13.0,13.0,19000.0
2001-07-19,13.0,12.5,12.5,12.5,500.0
2001-07-20,12.5,12.6,12.35,12.55,6500.0
2001-08-03,12.55,13.0,12.6,12.6,3000.0
2001-08-08,12.6,12.6,12.6,12.6,500.0
2001-08-10,12.6,13.0,12.6,12.6,1500.0
2001-08-13,12.6,13.0,13.0,13.0,1000.0
2001-08-15,13.0,13.0,13.0,13.0,4000.0
2001-08-27,13.0,12.65,12.65,12.65,500.0
2001-08-28,12.65,12.65,12.65,12.65,8000.0
2001-08-31,12.65,12.65,12.65,12.65,2000.0
2001-09-03,12.65,12.6,12.6,12.6,500.0
2001-09-04,12.6,12.6,12.6,12.6,500.0
2001-09-05,12.6,12.6,12.6,12.6,500.0
2001-09-10,12.6,12.6,12.6,12.6,500.0
2001-09-11,12.6,12.6,12.6,12.6,1500.0
2001-09-14,12.6,12.35,12.35,12.35,500.0
2001-10-02,12.35,12.6,12.6,12.6,1000.0
2001-10-04,12.6,12.4,12.4,12.4,1000.0
2001-10-16,12.4,14.4,13.25,13.25,2500.0
2001-10-17,13.25,14.0,13.25,14.0,2000.0
2001-10-25,14.0,13.5,13.5,13.5,1000.0
2001-10-26,13.5,13.5,13.5,13.5,1000.0
2001-11-07,13.5,14.0,14.0,14.0,3000.0
2001-11-08,14.0,14.0,13.9,13.9,7000.0
2001-11-12,13.9,14.0,14.0,14.0,500.0
2001-11-13,14.0,14.05,14.05,14.05,1500.0
2001-11-14,14.05,14.25,14.25,14.25,3000.0
2001-11-15,14.25,14.25,14.25,14.25,1000.0
2001-11-16,14.25,14.75,14.75,14.75,2500.0
2001-11-19,14.75,14.75,14.75,14.75,1000.0
2001-11-20,14.75,14.85,14.85,14.85,1000.0
2001-11-21,14.85,14.85,14.85,14.85,500.0
2001-11-22,14.85,14.85,14.85,14.85,1000.0
2001-12-01,14.85,15.0,15.0,15.0,500.0
2001-12-03,15.0,15.0,15.0,15.0,2000.0
2001-12-06,15.0,15.05,15.0,15.0,1000.0
2001-12-08,15.0,15.0,15.0,15.0,3500.0
2001-12-10,15.0,15.0,15.0,15.0,4000.0
2001-12-11,15.0,15.25,15.25,15.25,1500.0
2001-12-12,15.25,15.25,15.25,15.25,1500.0
2001-12-20,15.25,15.45,15.45,15.45,1000.0
2001-12-24,15.45,15.25,14.9,14.9,20500.0
2001-12-27,14.9,15.0,15.0,15.0,5000.0
2001-12-28,15.0,15.0,15.0,15.0,13500.0
2002-01-02,15.0,15.0,15.0,15.0,500.0
2002-01-07,15.0,15.0,15.0,15.0,500.0
2002-01-08,15.0,14.8,14.8,14.8,500.0
2002-01-10,14.8,14.5,14.5,14.5,500.0
2002-01-18,14.5,14.25,14.25,14.25,1000.0
2002-01-21,14.25,14.25,14.15,14.15,2000.0
2002-01-25,14.15,14.15,14.15,14.15,500.0
2002-02-04,14.15,14.0,13.9,14.0,4500.0
2002-02-06,14.0,14.05,14.05,14.05,500.0
2002-02-12,14.05,14.5,14.5,14.5,4500.0
2002-02-13,14.5,14.25,14.25,14.25,1000.0
2002-02-14,14.25,14.25,14.0,14.25,3000.0
2002-02-15,14.25,14.5,14.25,14.25,1500.0
2002-02-18,14.25,14.85,14.6,14.85,3000.0
2002-02-19,14.85,15.0,14.9,14.9,10500.0
2002-02-20,14.9,15.1,14.9,15.0,6500.0
2002-02-21,15.0,14.9,14.0,14.0,9000.0
2002-02-26,14.0,14.0,14.0,14.0,1500.0
2002-02-27,14.0,13.5,13.5,13.5,500.0
2002-02-28,13.5,13.5,13.5,13.5,500.0
2002-03-01,13.5,13.5,13.45,13.5,2500.0
2002-03-06,13.5,13.5,13.5,13.5,1000.0
2002-03-14,12.0,12.0,12.0,12.0,0.0
2002-03-18,12.0,11.5,11.5,11.5,500.0
2002-03-20,11.5,11.5,11.5,11.5,500.0
2002-03-27,11.5,11.5,11.4,11.4,4500.0
2002-04-01,11.4,11.9,11.9,11.9,1000.0
2002-04-02,11.9,12.0,12.0,12.0,1500.0
2002-04-09,12.0,12.0,11.5,12.0,1000.0
2002-04-10,12.0,12.0,12.0,12.0,3500.0
2002-04-15,12.0,12.25,12.25,12.25,500.0
2002-04-16,12.25,12.5,12.5,12.5,0.0
2002-04-17,12.5,12.75,12.7,12.8,1000.0
2002-04-18,12.8,13.15,12.75,13.1,5000.0
2002-04-19,13.1,13.1,13.0,13.1,1000.0
2002-04-22,13.1,13.15,13.15,13.15,1000.0
2002-04-23,13.15,13.15,13.1,13.15,1000.0
2002-04-24,13.15,13.2,13.2,13.2,0.0
2002-04-25,13.2,14.0,14.0,14.0,1500.0
2002-04-26,14.0,13.25,13.25,13.25,500.0
2002-04-29,13.25,13.2,13.2,13.2,0.0
2002-05-03,13.2,12.5,12.5,12.5,500.0
2002-05-06,12.5,13.95,13.0,13.0,1000.0
2002-05-09,13.0,13.0,13.0,13.0,500.0
2002-05-10,13.0,13.0,13.0,13.0,1000.0
2002-05-16,13.0,13.0,12.5,12.5,2500.0
2002-05-17,12.5,12.5,12.5,12.5,1500.0
2002-05-24,12.5,13.5,13.5,13.5,1000.0
2002-05-31,13.5,14.0,14.0,14.0,1000.0
2002-06-03,14.0,13.8,13.8,13.8,0.0
2002-06-04,13.8,13.4,13.4,13.4,0.0
2002-06-05,13.4,13.3,13.25,13.25,1000.0
2002-06-10,13.25,12.75,12.75,12.75,1000.0
2002-06-13,12.75,12.9,12.9,12.9,0.0
2002-06-17,12.9,12.9,12.85,12.9,1000.0
2002-06-18,12.9,12.9,12.9,12.9,1000.0
2002-06-20,12.9,13.0,13.0,13.0,0.0
2002-06-24,13.0,13.05,13.05,13.05,0.0
2002-06-26,13.05,13.0,13.0,13.0,500.0
2002-07-01,13.0,12.8,12.8,12.8,500.0
2002-07-03,12.8,12.85,12.85,12.85,0.0
2002-07-04,12.85,13.5,13.5,13.5,500.0
2002-07-05,13.5,13.05,13.0,13.05,1000.0
2002-07-08,13.05,13.5,13.5,13.5,500.0
2002-07-09,13.5,13.1,13.1,13.1,2000.0
2002-07-10,13.1,13.25,13.15,13.25,1000.0
2002-07-11,13.25,13.4,13.35,13.4,1500.0
2002-07-18,13.4,13.15,13.15,13.15,1000.0
2002-07-19,13.15,13.5,13.5,13.5,500.0
