Date,Open,High,Low,Close,Volume
2001-05-25,5.5,6.0,6.0,6.0,500.0
2001-06-01,6.0,6.5,6.5,6.5,500.0
2001-12-27,6.5,6.5,6.5,6.5,0.0
2002-03-27,6.0,6.0,6.0,5.0,0.0
2002-05-17,5.0,5.0,5.0,5.0,1000.0
2002-07-02,5.0,6.0,6.0,6.0,6000.0
2002-07-22,6.0,6.0,6.0,6.0,500.0
2002-07-23,6.0,6.0,6.0,6.0,500.0
2002-07-26,6.0,6.0,6.0,6.0,1000.0
2003-01-03,6.0,5.75,5.75,5.75,0.0
2003-01-17,5.75,5.7,5.7,5.7,0.0
2003-01-27,5.7,5.6,5.6,5.6,0.0
2003-02-03,5.6,5.5,5.5,5.5,0.0
2003-02-10,5.5,5.25,5.25,5.25,0.0
2003-03-04,5.25,5.0,5.0,5.0,0.0
2003-03-20,5.0,4.9,4.9,4.9,0.0
2003-04-01,4.9,4.7,4.7,4.7,0.0
2003-05-20,4.7,5.0,4.75,5.0,3000.0
2003-05-23,5.0,4.75,4.75,4.75,500.0
2003-05-26,4.75,5.0,5.0,5.0,500.0
2003-05-30,5.0,4.75,4.75,4.75,500.0
2003-06-05,4.75,4.9,4.85,4.85,1000.0
2003-06-06,4.85,5.0,5.0,5.0,2500.0
2003-06-10,5.0,5.25,4.9,5.25,5500.0
2003-06-11,5.25,4.75,4.75,4.75,1000.0
2003-06-13,4.75,4.9,4.9,4.9,0.0
2003-07-01,4.9,4.0,4.0,4.0,500.0
2003-07-11,4.0,4.5,4.5,4.5,0.0
2003-07-22,4.5,4.75,4.75,4.75,8500.0
2003-07-31,4.75,4.8,4.8,4.8,0.0
2003-08-20,4.8,5.75,5.5,5.75,5000.0
2003-08-21,5.75,6.05,6.05,6.05,0.0
2003-08-22,6.05,7.0,7.0,7.0,5000.0
2003-09-08,7.0,6.5,6.5,6.5,0.0
2003-09-18,6.5,6.5,6.5,6.5,2000.0
2004-02-11,6.5,6.35,6.35,6.35,0.0
2004-02-20,6.35,6.25,6.25,6.25,0.0
2004-02-23,6.25,6.0,6.0,6.0,0.0
2004-04-16,6.0,6.0,6.0,6.0,500.0
2004-05-26,6.0,6.5,6.5,6.5,500.0
2004-06-02,6.5,8.0,7.25,8.0,38000.0
2004-06-03,8.0,9.5,7.5,9.0,17000.0
2004-06-14,9.0,9.0,9.0,9.0,5000.0
2004-06-16,9.0,10.0,10.0,10.0,2000.0
2004-06-17,10.0,11.5,11.0,11.0,6500.0
2004-07-09,11.0,10.0,10.0,10.0,500.0
2004-07-12,10.0,11.5,11.5,11.5,500.0
2004-08-09,11.5,11.0,11.0,11.0,0.0
2004-08-10,11.0,10.5,10.0,10.25,65500.0
2004-08-11,10.25,10.5,10.0,10.5,20000.0
2004-09-10,10.5,11.5,11.5,11.5,2000.0
2004-09-23,11.5,12.0,12.0,12.0,4000.0
2004-10-06,12.0,12.0,12.0,12.0,1000.0
2004-10-13,12.0,12.5,12.5,12.5,1000.0
2004-10-20,12.5,12.0,12.0,12.0,0.0
2004-11-01,12.0,11.9,11.9,11.9,0.0
2004-11-25,11.9,11.75,11.75,11.75,0.0
2004-11-30,11.75,11.5,11.5,11.5,0.0
2004-12-08,11.5,10.5,10.5,10.5,500.0
2004-12-09,10.5,11.0,11.0,11.0,500.0
2004-12-13,11.0,11.05,11.0,11.05,5000.0
2004-12-14,11.05,12.55,12.0,12.55,7000.0
2004-12-15,12.55,14.05,14.05,14.05,0.0
2004-12-16,14.05,15.5,15.5,15.5,500.0
2004-12-17,15.5,17.0,17.0,17.0,3000.0
2004-12-21,17.0,18.5,18.25,18.5,1500.0
2004-12-22,18.5,19.25,18.5,18.5,5500.0
2004-12-24,18.5,18.25,18.0,18.0,1000.0
2004-12-28,18.0,18.5,18.5,18.5,0.0
2004-12-29,18.5,18.5,18.0,18.5,6000.0
2004-12-30,18.5,20.0,19.0,19.75,10500.0
2004-12-31,19.75,21.0,20.0,21.0,1000.0
2005-01-03,21.0,21.75,21.75,21.75,2000.0
2005-01-04,21.75,23.35,23.0,23.35,5000.0
2005-01-05,23.35,24.05,23.5,23.5,7000.0
2005-01-11,23.5,25.0,25.0,25.0,5000.0
2005-01-27,25.0,24.95,24.95,24.95,0.0
2005-02-24,24.95,24.9,24.9,24.9,0.0
2005-04-06,24.9,24.75,24.75,24.75,0.0
2005-04-13,24.75,24.5,24.5,24.5,0.0
2005-04-26,24.5,24.0,24.0,24.0,0.0
2005-05-09,24.0,23.9,23.9,23.9,0.0
2005-05-11,23.9,23.8,23.8,23.8,0.0
2005-05-12,23.8,23.4,23.4,23.4,0.0
2005-05-19,23.4,23.4,23.4,23.4,500.0
2005-05-31,23.4,22.25,22.25,22.25,0.0
2005-08-24,22.25,22.0,22.0,22.0,0.0
2005-08-25,22.0,21.9,21.9,21.9,0.0
2005-08-31,21.9,21.8,21.8,21.8,0.0
2005-09-06,21.8,21.65,21.65,21.65,0.0
2005-09-07,21.65,21.55,21.55,21.55,0.0
2005-09-13,21.55,21.5,21.5,21.5,0.0
2005-09-14,21.5,21.25,21.0,21.25,10000.0
2005-09-15,21.25,20.95,20.95,20.95,0.0
2005-09-16,20.95,20.9,20.9,20.9,33000.0
2005-09-19,20.9,20.95,20.9,20.9,15000.0
2005-09-21,20.9,20.1,20.1,20.1,500.0
2005-09-23,20.1,21.1,21.05,21.1,30000.0
2005-09-26,21.1,21.15,20.05,20.05,45000.0
2005-09-27,20.05,20.85,20.5,20.85,99000.0
2005-10-26,20.85,20.8,20.8,20.8,0.0
2005-11-08,20.8,20.45,20.45,20.45,0.0
2006-01-16,20.45,20.5,20.5,20.5,0.0
2006-02-21,20.5,19.95,19.95,19.95,142000.0
2006-08-03,19.95,19.9,19.9,19.9,0.0
2006-08-24,19.9,20.5,20.5,20.5,500.0
2006-08-28,20.5,20.25,20.25,20.25,0.0
2006-08-30,20.25,20.2,20.2,20.2,0.0
2006-08-31,20.2,20.0,20.0,20.0,0.0
2006-09-19,20.0,19.9,19.9,19.9,0.0
2006-10-19,19.9,19.5,19.5,19.5,0.0
2006-11-08,19.5,18.5,18.5,18.5,0.0
2006-11-13,18.5,17.5,17.5,17.5,0.0
2006-11-15,17.5,16.75,16.75,16.75,0.0
2006-11-16,16.75,16.0,16.0,16.0,0.0
2006-11-20,16.0,15.0,15.0,15.0,0.0
2006-11-22,15.0,14.5,14.5,14.5,0.0
2006-12-04,14.5,13.5,13.5,13.5,0.0
2006-12-11,13.5,13.0,13.0,13.0,0.0
2006-12-12,13.0,12.75,12.75,12.75,0.0
2006-12-13,12.75,12.25,12.25,12.25,0.0
2006-12-14,12.25,12.0,12.0,12.0,0.0
2006-12-28,12.0,11.5,11.5,11.5,0.0
2007-01-03,11.5,11.0,11.0,11.0,0.0
2007-01-10,11.0,10.5,10.5,10.5,0.0
2007-01-11,10.5,10.0,10.0,10.0,0.0
2007-01-16,10.0,9.0,9.0,9.0,0.0
2007-01-17,9.0,8.0,8.0,8.0,0.0
2007-01-18,8.0,7.5,7.5,7.5,0.0
2007-01-22,7.5,6.5,6.5,6.5,1000.0
2007-01-25,6.5,7.0,7.0,7.0,1000.0
2007-02-06,7.0,7.5,7.0,7.0,3500.0
2007-02-15,7.0,6.75,6.75,6.75,0.0
2007-02-19,6.75,6.5,6.5,6.5,0.0
2007-02-21,6.5,6.0,6.0,6.0,500.0
2007-03-06,6.0,5.8,5.8,5.8,0.0
2007-03-13,5.8,5.0,5.0,5.0,0.0
2007-03-14,5.0,4.5,4.5,4.5,10000.0
2007-03-19,4.5,4.4,4.4,4.4,0.0
2007-03-20,4.4,4.25,4.25,4.25,0.0
2007-03-22,4.25,4.0,4.0,4.0,0.0
2007-03-26,4.0,3.85,3.85,3.85,0.0
2007-03-27,3.85,3.65,3.5,3.65,18000.0
2007-04-03,3.65,3.9,3.9,3.9,3000.0
2007-04-30,3.9,3.9,3.9,3.9,5000.0
2007-05-03,3.9,4.0,4.0,4.0,20000.0
2007-05-09,4.0,5.0,5.0,5.0,4500.0
2007-05-11,5.0,4.5,4.0,4.0,10500.0
2007-05-18,4.0,3.5,3.5,3.5,500.0
2007-05-28,3.5,3.65,3.65,3.65,0.0
2007-05-30,3.65,4.3,4.3,4.3,0.0
2007-06-05,4.3,5.3,5.0,5.3,1000.0
2007-06-06,5.3,6.0,5.5,6.0,1000.0
2007-06-08,6.0,7.0,7.0,7.0,500.0
2007-06-11,7.0,8.0,8.0,8.0,500.0
2007-06-12,8.0,9.0,8.5,8.5,1000.0
2007-06-13,8.5,9.5,9.5,9.5,500.0
2007-06-18,9.5,10.0,10.0,10.0,500.0
2007-06-19,10.0,9.0,9.0,9.0,1500.0
2007-06-26,9.0,10.0,10.0,10.0,500.0
2007-06-27,10.0,11.0,9.8,11.0,13000.0
2007-06-28,11.0,12.0,11.9,12.0,2500.0
2007-06-29,12.0,13.0,12.0,13.0,8500.0
2007-07-02,13.0,12.8,12.8,12.8,0.0
2007-07-12,12.8,12.5,12.5,12.5,0.0
2007-07-17,12.5,12.0,12.0,12.0,0.0
2007-07-18,12.0,11.9,11.9,11.9,0.0
2007-09-13,11.9,10.9,10.9,10.9,0.0
2007-09-18,10.9,9.9,9.9,9.9,0.0
2007-09-26,9.9,8.9,8.9,8.9,0.0
2007-10-04,8.9,8.5,8.5,8.5,0.0
2007-11-08,8.5,8.5,8.5,8.5,500.0
2007-12-19,8.5,8.0,8.0,8.0,0.0
2007-12-27,8.0,7.0,7.0,7.0,0.0
2008-01-28,7.0,7.0,7.0,7.0,500.0
2008-04-18,7.0,6.0,6.0,6.0,500.0
2009-03-09,6.0,5.0,5.0,5.0,0.0
2009-04-24,5.0,4.0,4.0,4.0,0.0
2009-04-27,4.0,3.0,3.0,3.0,1000.0
2009-06-16,3.0,2.0,2.0,2.0,2000.0
2009-06-17,2.0,1.95,1.95,1.95,0.0
2009-07-21,1.95,2.95,1.01,1.02,148.0
2009-07-22,1.02,1.01,1.01,1.01,1242.0
2009-07-23,1.01,2.0,0.75,1.91,1832.0
2009-07-27,1.91,2.0,2.0,2.0,38.0
2009-07-28,2.0,1.76,1.75,1.75,6000.0
2009-07-30,1.75,1.75,1.75,1.75,93000.0
2009-07-31,1.75,1.5,1.01,1.41,85931.0
2009-08-03,1.41,1.5,1.5,1.5,0.0
2009-08-04,1.5,2.5,1.61,2.5,95042.0
2009-08-05,2.5,2.0,1.76,2.0,103008.0
2009-08-06,2.0,2.0,2.0,2.0,90000.0
2009-08-07,2.0,2.0,2.0,2.0,95000.0
2009-08-10,2.0,1.95,1.95,1.95,125000.0
2009-08-11,1.95,1.95,1.95,1.95,150000.0
2009-08-12,1.95,1.95,1.95,1.95,150000.0
2009-08-13,1.95,1.95,1.95,1.95,200000.0
2009-08-17,1.95,1.95,1.95,1.95,200000.0
2009-08-18,1.95,1.95,1.95,1.95,200000.0
2009-08-19,1.95,1.5,1.5,1.5,200064.0
2009-08-20,1.5,2.44,2.0,2.22,200002.0
2009-08-21,2.22,2.22,2.22,2.22,182200.0
2009-08-24,2.22,2.25,1.51,1.66,70300.0
2009-08-25,1.66,1.74,1.0,1.58,2050.0
2009-08-27,1.58,1.41,1.41,1.41,2.0
2009-09-01,1.41,1.5,1.4,1.5,2025.0
2009-09-04,1.5,1.51,1.5,1.5,5300.0
2009-09-08,1.5,1.51,1.5,1.51,8000.0
2009-09-09,1.51,1.55,1.55,1.55,0.0
2009-09-15,1.55,1.56,1.56,1.56,0.0
2009-09-18,1.56,2.56,2.56,2.56,23188.0
2009-09-24,2.56,3.56,3.55,3.56,12812.0
2009-09-25,3.56,4.5,4.5,4.5,690.0
2009-09-28,4.5,5.5,3.5,3.5,43.0
2009-09-30,3.5,3.75,2.51,3.75,1001.0
2009-10-01,3.75,3.01,3.01,3.01,1.0
2009-10-02,3.01,4.01,2.02,3.6,8734.0
2009-10-05,3.6,4.6,3.51,4.5,1041.0
2009-10-06,4.5,5.5,5.5,5.5,7500.0
2009-10-07,5.5,6.5,6.0,6.0,6627.0
2009-10-08,6.0,5.01,5.0,5.01,6153.0
2009-10-09,5.01,5.0,4.1,4.1,2652.0
2009-10-13,4.1,5.1,3.52,5.1,3.0
2009-10-14,5.1,4.8,4.8,4.8,0.0
2009-10-15,4.8,4.12,4.12,4.12,1.0
2009-10-21,4.12,4.12,4.12,4.12,1.0
2009-10-22,4.12,4.12,4.12,4.12,1235.0
2009-10-28,4.12,4.25,3.12,4.02,511.0
2009-11-02,4.02,3.05,3.05,3.05,500.0
2009-11-03,3.05,3.0,2.12,2.12,2402.0
2009-11-05,2.12,2.5,2.5,2.5,0.0
2009-11-06,2.5,2.0,1.76,1.94,674.0
2009-11-23,1.94,1.94,1.94,1.94,62.0
2009-12-03,1.94,2.9,2.89,2.9,300.0
2009-12-11,2.9,2.21,1.9,2.21,301.0
2009-12-14,2.21,3.1,1.58,3.1,5264.0
2009-12-15,3.1,4.0,3.9,3.9,1.0
2009-12-16,3.9,4.9,4.89,4.89,1.0
2009-12-17,4.89,5.85,5.85,5.85,101.0
2009-12-18,5.85,6.84,6.84,6.84,1.0
2009-12-23,6.84,5.84,5.84,5.84,0.0
2009-12-31,5.84,6.74,6.0,6.0,1.0
2010-01-05,6.0,5.99,5.99,5.99,0.0
2010-01-07,5.99,6.99,6.99,6.99,1.0
2010-01-08,6.99,5.99,5.99,5.99,100.0
2010-01-11,5.99,5.8,5.8,5.8,0.0
2010-01-12,5.8,6.0,5.9,5.9,913.0
2010-01-14,5.9,4.9,4.9,4.9,1.0
2010-01-21,4.9,5.9,5.9,5.9,3.0
2010-01-22,5.9,6.5,6.5,6.5,1.0
2010-01-26,6.5,6.95,6.95,6.95,1.0
2010-02-01,6.95,6.0,6.0,6.0,150.0
2010-02-02,6.0,6.99,6.99,6.99,1.0
2010-02-09,6.99,7.0,7.0,7.0,1.0
2010-02-17,7.0,6.0,6.0,6.0,854.0
2010-03-03,6.0,5.9,5.9,5.9,0.0
2010-03-08,5.9,6.0,6.0,6.0,1.0
2010-03-11,6.0,7.0,6.0,6.0,8.0
2010-03-15,6.0,7.0,5.0,5.25,1203.0
2010-03-30,5.25,4.25,4.25,4.25,10.0
2010-04-01,4.25,3.26,3.26,3.26,10.0
2010-04-06,3.26,3.98,3.5,3.98,3.0
2010-04-08,3.98,4.0,4.0,4.0,0.0
2010-04-12,4.0,4.0,4.0,4.0,89.0
2010-04-16,4.0,3.95,3.95,3.95,0.0
2010-04-19,3.95,4.05,4.0,4.0,5000.0
2010-04-27,4.0,4.06,4.06,4.06,0.0
2010-04-28,4.06,4.25,4.25,4.25,0.0
2010-04-29,4.25,5.25,4.99,5.25,22428.0
2010-04-30,5.25,6.25,5.25,6.17,67085.0
2010-05-03,6.17,7.17,6.17,7.17,8220.0
2010-05-04,7.17,8.17,7.01,8.17,38987.0
2010-05-05,8.17,7.17,7.17,7.17,1000.0
2010-05-06,7.17,6.18,6.18,6.18,500.0
2010-05-07,6.18,5.3,5.25,5.3,500.0
2010-05-11,5.3,4.6,4.55,4.6,589.0
2010-05-14,4.6,4.02,4.02,4.02,302.0
2010-05-17,4.02,4.1,4.1,4.1,0.0
2010-05-27,4.1,3.1,3.1,3.1,1.0
2010-05-28,3.1,4.1,4.1,4.1,5.0
2010-06-07,4.1,5.1,5.1,5.1,5.0
2010-06-09,5.1,5.1,5.1,5.1,5100.0
2010-06-11,5.1,6.1,5.1,6.1,6896.0
2010-06-17,6.1,7.1,7.0,7.05,2100.0
2010-06-29,7.05,7.05,7.05,7.05,1.0
2010-07-12,7.05,8.05,8.05,8.05,220.0
2010-07-15,8.05,8.0,8.0,8.0,0.0
2010-07-20,8.0,7.95,7.95,7.95,0.0
2010-07-21,7.95,7.89,7.89,7.89,0.0
2010-07-26,7.89,7.5,7.5,7.5,0.0
2010-07-27,7.5,7.0,7.0,7.0,0.0
2010-07-28,7.0,7.0,7.0,7.0,1.0
2010-07-29,7.0,6.9,6.9,6.9,0.0
2010-08-02,6.9,6.0,6.0,6.0,0.0
2010-08-03,6.0,5.25,5.25,5.25,5000.0
2010-08-04,5.25,4.25,4.25,4.25,999.0
2010-09-15,4.25,3.25,3.25,3.25,37.0
2010-09-24,3.25,4.25,4.25,4.25,10.0
2010-09-28,4.25,5.25,5.25,5.25,10.0
2010-09-29,5.25,6.25,6.25,6.25,7.0
2010-09-30,6.25,6.25,5.25,6.25,4502.0
2010-10-01,6.25,7.25,6.25,7.18,593.0
2010-10-04,7.18,8.18,8.18,8.18,1.0
2010-10-06,8.18,8.48,8.48,8.48,13.0
2010-10-07,8.48,9.48,7.48,7.48,16.0
2010-10-11,7.48,7.3,7.3,7.3,1.0
2010-10-12,7.3,7.25,7.25,7.25,0.0
2010-10-13,7.25,6.26,6.26,6.26,199.0
