Date,Open,High,Low,Close,Volume
2001-01-03,2.1,1.6,1.6,1.6,4500.0
2001-02-23,1.6,0.55,0.55,0.55,10000.0
2001-02-27,0.55,1.45,0.95,1.45,11500.0
2002-03-05,1.45,1.0,0.75,1.0,2000.0
2002-03-06,1.0,1.05,1.05,1.05,500.0
2002-03-07,1.05,1.0,1.0,1.0,500.0
2002-03-22,1.0,0.95,0.95,0.95,0.0
2002-06-20,0.95,1.6,1.6,1.6,500.0
2002-06-21,1.6,1.35,1.35,1.35,0.0
2002-06-24,1.35,1.25,1.25,1.25,0.0
2002-07-01,1.25,1.2,1.2,1.2,0.0
2002-07-03,1.2,1.15,1.15,1.15,0.0
2002-07-26,1.15,1.1,1.1,1.1,0.0
2002-08-05,1.1,1.0,1.0,1.0,0.0
2002-08-06,1.0,0.95,0.95,0.95,0.0
2002-08-07,0.95,1.25,1.0,1.0,10500.0
2002-08-12,1.0,1.0,1.0,1.0,500.0
2002-08-13,1.0,1.25,1.0,1.25,3500.0
2002-08-16,1.25,1.05,1.0,1.0,9000.0
2002-08-19,1.0,1.0,1.0,1.0,4000.0
2002-08-20,1.0,1.0,1.0,1.0,1000.0
2002-08-28,1.0,0.75,0.75,0.75,2000.0
2002-08-29,0.75,0.8,0.75,0.8,11000.0
2002-09-09,0.8,0.7,0.7,0.7,1000.0
2002-09-10,0.7,0.7,0.7,0.7,500.0
2002-09-11,0.7,0.7,0.7,0.7,10000.0
2002-09-18,0.7,0.95,0.85,0.85,3000.0
2002-09-20,0.85,0.7,0.7,0.7,3500.0
2002-09-25,0.7,0.75,0.7,0.75,5500.0
2002-12-11,0.75,0.75,0.75,0.75,2000.0
2003-01-02,0.75,0.65,0.65,0.65,1500.0
2003-03-19,0.65,0.65,0.65,0.65,2000.0
2003-04-14,0.65,0.5,0.5,0.5,5000.0
2003-04-15,0.5,0.55,0.5,0.55,1000.0
2003-04-16,0.55,0.85,0.85,0.85,1000.0
2003-04-17,0.85,0.95,0.95,0.95,2500.0
2003-04-18,0.95,1.0,0.95,1.0,5500.0
2003-04-21,1.0,1.1,1.0,1.1,14500.0
2003-04-30,1.1,1.3,1.3,1.3,1000.0
2003-05-06,1.3,1.5,1.5,1.5,3000.0
2003-05-07,1.5,1.5,1.5,1.5,10000.0
2003-05-08,1.5,1.75,1.75,1.75,3000.0
2003-05-09,1.75,2.0,1.75,2.0,5000.0
2003-05-12,2.0,2.0,1.9,2.0,14000.0
2003-05-13,2.0,2.0,2.0,2.0,6000.0
2003-05-14,2.0,2.0,1.95,2.0,40000.0
2003-05-16,2.0,2.5,2.25,2.5,5000.0
