Date,Open,High,Low,Close,Volume
2001-01-01,285.0,292.75,285.0,288.6,7900.0
2001-01-02,288.6,291.5,288.0,288.0,15200.0
2001-01-03,288.0,288.05,288.0,288.0,700.0
2001-01-04,288.0,287.25,286.35,286.35,1100.0
2001-01-05,286.35,286.0,284.05,286.0,1700.0
2001-01-08,286.0,285.25,282.25,282.25,4800.0
2001-01-09,282.25,285.0,282.0,285.0,1100.0
2001-01-10,285.0,285.25,285.0,285.25,1100.0
2001-01-11,285.25,285.0,282.45,285.0,6600.0
2001-01-12,285.0,284.5,280.35,280.35,5600.0
2001-01-15,280.35,279.65,279.25,279.5,600.0
2001-01-16,279.5,280.0,280.0,280.0,1400.0
2001-01-17,280.0,280.0,279.0,280.0,1000.0
2001-01-18,280.0,280.0,277.0,278.95,6300.0
2001-01-19,278.95,288.0,275.0,287.0,12800.0
2001-01-22,287.0,284.45,279.5,280.0,15300.0
2001-01-23,280.0,283.5,281.5,282.75,2400.0
2001-01-24,282.75,283.0,281.0,281.25,1600.0
2001-01-25,281.25,281.8,280.6,281.2,1000.0
2001-01-26,281.2,281.9,277.15,277.9,3800.0
2001-01-29,277.9,285.9,280.4,284.5,6500.0
2001-01-30,284.5,294.0,284.0,294.0,25400.0
2001-01-31,294.0,308.0,292.9,305.0,67700.0
2001-02-01,305.0,316.0,301.3,306.0,122200.0
2001-02-02,306.0,332.0,307.0,331.0,244400.0
2001-02-06,331.0,335.0,324.25,325.25,201000.0
2001-02-07,325.25,326.5,315.0,319.0,141800.0
2001-02-08,319.0,325.0,318.0,319.25,147700.0
2001-02-09,319.25,330.0,318.1,327.15,296300.0
2001-02-12,327.15,335.5,320.5,322.0,658500.0
2001-02-13,322.0,326.95,295.0,296.5,1284300.0
2001-02-14,296.5,306.0,296.0,300.2,464300.0
2001-02-15,300.2,302.0,296.1,301.0,169400.0
2001-02-16,301.0,308.9,300.0,306.0,617500.0
2001-02-19,306.0,304.25,295.0,298.5,443100.0
2001-02-20,298.5,299.25,292.0,292.0,177800.0
2001-02-21,292.0,295.0,288.0,294.25,111900.0
2001-02-22,294.25,293.5,290.0,290.5,45600.0
2001-02-23,290.5,290.2,283.3,285.0,109000.0
2001-02-26,285.0,282.5,280.0,281.0,11100.0
2001-02-27,281.0,284.0,274.55,284.0,14100.0
2001-02-28,284.0,280.45,278.05,278.05,1800.0
2001-03-01,278.05,278.7,277.75,278.0,800.0
2001-03-02,278.0,282.95,278.0,282.95,2000.0
2001-03-09,282.95,279.0,272.1,272.1,2700.0
2001-03-12,272.1,275.0,270.5,275.0,2100.0
2001-03-13,270.5,270.5,262.55,264.0,93800.0
2001-03-14,264.0,271.0,264.45,269.7,95300.0
2001-03-15,269.7,274.5,269.25,273.0,66600.0
2001-03-16,273.0,274.0,270.0,271.0,13300.0
2001-03-19,271.0,274.9,267.0,267.0,92300.0
2001-03-20,267.0,270.0,265.0,269.05,35700.0
2001-03-21,269.05,270.1,266.05,266.75,44100.0
2001-03-22,266.75,270.0,254.55,269.0,188600.0
2001-03-26,269.0,261.5,255.0,259.6,54900.0
2001-03-27,259.6,267.2,258.25,267.0,74800.0
2001-03-28,267.0,268.0,255.0,256.25,185700.0
2001-03-29,256.25,257.5,247.5,251.0,457700.0
2001-03-30,251.0,256.5,246.25,248.25,369300.0
2001-04-02,248.25,250.5,240.75,245.0,872700.0
2001-04-03,245.0,255.5,245.8,252.9,898200.0
2001-04-06,252.9,254.2,246.25,246.25,268500.0
2001-04-09,246.25,246.5,239.0,241.0,680700.0
2001-04-10,241.0,243.5,240.1,241.4,318100.0
2001-04-11,241.4,243.0,240.7,241.25,120200.0
2001-04-12,241.25,244.25,240.7,244.05,348300.0
2001-04-13,244.05,246.95,243.0,246.1,341500.0
2001-04-16,246.1,250.9,247.05,248.5,291000.0
2001-04-17,248.5,254.9,247.5,253.55,721100.0
2001-04-18,253.55,256.0,251.0,252.0,447000.0
2001-04-19,252.0,254.25,249.2,249.2,297500.0
2001-04-20,249.2,252.75,249.2,249.2,162900.0
2001-04-23,249.2,251.9,248.5,249.45,247800.0
2001-04-24,249.45,250.5,247.25,248.0,110300.0
2001-04-25,248.0,248.6,245.0,246.55,168600.0
2001-04-26,246.55,250.0,244.1,247.5,997900.0
2001-04-27,247.5,249.45,245.0,246.2,307300.0
2001-04-30,246.2,247.5,243.8,245.25,124300.0
2001-05-02,245.25,246.0,243.05,244.5,180100.0
2001-05-03,244.5,245.9,244.1,244.5,151700.0
2001-05-04,244.5,244.5,242.1,243.5,142300.0
2001-05-07,243.5,244.25,240.55,242.5,345600.0
2001-05-08,242.5,243.0,241.25,242.05,154600.0
2001-05-09,242.05,242.65,240.25,241.5,192800.0
2001-05-10,241.5,242.45,240.5,241.75,69400.0
2001-05-11,241.75,242.15,240.9,241.75,75900.0
2001-05-14,241.75,241.75,237.55,239.0,174200.0
2001-05-15,239.0,239.5,237.05,237.8,157300.0
2001-05-16,237.8,241.0,238.1,240.2,202100.0
2001-05-17,240.2,245.25,240.8,243.65,278700.0
2001-05-18,243.65,245.5,243.0,243.05,99000.0
2001-05-21,243.05,248.75,244.0,248.5,290600.0
2001-05-22,248.5,249.9,246.75,246.8,254300.0
2001-05-23,246.8,247.0,244.3,244.6,98700.0
2001-05-24,244.6,246.25,243.5,246.0,146300.0
2001-05-25,246.0,247.25,244.0,244.0,95400.0
2001-05-28,244.0,245.9,244.5,245.25,37200.0
2001-05-29,245.25,248.0,245.25,246.25,120300.0
2001-05-30,246.25,247.5,245.8,246.75,62800.0
2001-05-31,246.75,247.5,246.0,246.85,31400.0
2001-06-01,246.85,247.15,244.15,244.35,74900.0
2001-06-04,244.35,251.9,245.75,251.5,194500.0
2001-06-06,251.5,252.25,247.5,248.25,221600.0
2001-06-07,248.25,249.9,247.5,249.0,88800.0
2001-06-08,249.0,249.9,247.55,249.0,71500.0
2001-06-11,249.0,254.9,248.5,253.5,255300.0
2001-06-12,253.5,256.3,253.5,254.7,265200.0
