Date,Open,High,Low,Close,Volume
2001-01-09,3.5,2.3,2.3,2.3,1000.0
2001-01-10,2.3,2.5,2.5,2.5,1000.0
2001-01-16,2.5,2.5,2.35,2.35,352500.0
2001-01-17,2.35,2.5,2.5,2.5,500.0
2001-01-19,2.5,2.6,2.6,2.6,1000.0
2001-01-22,2.6,2.75,2.75,2.75,1000.0
2001-01-25,2.75,2.75,2.75,2.75,6500.0
2001-01-29,2.75,2.75,2.75,2.75,3500.0
2001-01-30,2.75,2.75,2.75,2.75,1500.0
2001-01-31,2.75,2.8,2.75,2.8,5000.0
2001-02-02,2.8,3.0,3.0,3.0,1000.0
2001-02-06,3.0,3.75,3.0,3.7,4000.0
2001-02-07,3.7,3.7,3.7,3.7,1000.0
2001-02-12,3.7,3.1,3.1,3.1,1000.0
2001-02-26,3.1,3.0,3.0,3.0,1000.0
2001-02-28,3.0,3.0,3.0,3.0,1000.0
2001-03-01,3.0,3.0,3.0,3.0,1500.0
2001-03-02,3.0,3.15,3.15,3.15,500.0
2001-03-16,3.15,1.5,1.5,1.5,2000.0
2001-03-19,1.5,2.5,2.5,2.5,500.0
2001-03-22,2.5,3.55,3.55,3.55,1000.0
2001-03-26,3.55,2.5,2.5,2.5,3000.0
2001-04-02,2.5,2.5,1.6,2.5,5500.0
2001-04-03,2.5,2.5,2.4,2.4,5000.0
2001-04-10,2.4,2.5,2.5,2.5,500.0
2001-04-11,2.5,2.5,2.5,2.5,1000.0
2001-04-13,2.5,2.5,2.15,2.5,1500.0
2001-04-18,2.5,3.1,3.0,3.1,4000.0
2001-04-23,3.1,3.5,3.5,3.5,2000.0
2001-04-25,3.5,3.2,3.2,3.2,2000.0
2001-05-02,3.2,3.2,3.2,3.2,500.0
2001-05-04,3.2,3.25,3.25,3.25,500.0
2001-05-09,3.25,3.5,3.35,3.5,2000.0
2001-05-10,3.5,3.4,3.4,3.4,1000.0
2001-05-16,3.4,3.25,3.25,3.25,2500.0
2001-05-17,3.25,3.35,3.25,3.25,16500.0
2001-05-18,3.25,3.4,3.3,3.4,6500.0
2001-05-22,3.4,3.4,3.4,3.4,2000.0
2001-05-24,3.4,3.3,3.3,3.3,2000.0
2001-05-29,3.3,3.4,3.3,3.4,2500.0
2001-05-30,3.4,3.3,3.25,3.25,3000.0
2001-06-04,3.25,3.35,3.35,3.35,2000.0
2001-06-06,3.35,3.35,3.35,3.35,500.0
2001-06-07,3.35,3.25,3.25,3.25,500.0
2001-06-11,3.25,3.25,3.2,3.25,2500.0
2001-06-13,3.25,3.2,3.1,3.2,12000.0
2001-06-14,3.2,3.15,3.15,3.15,5000.0
2001-06-19,3.15,3.05,3.05,3.05,2000.0
2001-06-21,3.05,3.1,3.05,3.05,7000.0
2001-06-22,3.05,3.1,3.05,3.1,5000.0
2001-06-27,3.1,3.25,3.15,3.25,1500.0
2001-06-29,3.25,4.0,3.2,3.2,4000.0
2001-07-03,3.2,3.25,3.1,3.25,4000.0
2001-07-09,3.25,4.0,4.0,4.0,1000.0
2001-07-11,4.0,3.5,3.2,3.5,3000.0
2001-07-12,3.5,4.0,4.0,4.0,1000.0
2001-07-13,4.0,3.3,3.3,3.3,1000.0
2001-07-19,3.3,3.25,3.15,3.15,5500.0
2001-07-20,3.15,3.15,3.1,3.15,2000.0
2001-07-23,3.15,3.2,3.2,3.2,1000.0
2001-07-24,3.2,3.25,3.25,3.25,3000.0
2001-07-25,3.25,3.2,3.2,3.2,2500.0
2001-07-26,3.2,3.2,3.1,3.15,15000.0
2001-07-27,3.15,3.2,3.15,3.15,9000.0
2001-08-02,3.15,3.25,3.25,3.25,1000.0
2001-08-06,3.25,3.15,3.15,3.15,6500.0
2001-08-10,3.15,3.1,3.1,3.1,1000.0
2001-08-16,3.1,3.1,3.0,3.0,3000.0
2001-08-17,3.0,3.0,2.95,2.95,11000.0
2001-08-20,2.95,3.0,2.9,2.9,5000.0
2001-08-21,2.9,3.0,3.0,3.0,6500.0
2001-08-23,3.0,3.0,2.9,3.0,2500.0
2001-08-30,3.0,3.0,3.0,3.0,4000.0
2001-08-31,3.0,2.9,2.9,2.9,3000.0
2001-09-05,2.9,3.0,3.0,3.0,1500.0
2001-09-10,3.0,3.05,3.0,3.0,5000.0
2001-09-11,3.0,3.05,3.0,3.0,5000.0
2001-09-13,3.0,2.9,2.9,2.9,10000.0
2001-09-25,2.9,2.8,2.8,2.8,2000.0
2001-09-26,2.8,2.8,2.7,2.7,8000.0
2001-09-28,2.7,2.8,2.8,2.8,33000.0
2001-10-04,2.8,2.7,2.7,2.7,500.0
2001-10-10,2.7,2.75,2.7,2.7,6000.0
2001-10-15,2.7,2.75,2.75,2.75,3500.0
2001-10-18,2.75,2.8,2.8,2.8,5000.0
2001-10-19,2.8,2.8,2.8,2.8,7000.0
2001-10-22,2.8,2.9,2.85,2.9,6000.0
2001-10-23,2.9,2.9,2.9,2.9,9000.0
2001-10-24,2.9,2.8,2.8,2.8,5000.0
2001-10-30,2.8,2.75,2.75,2.75,7500.0
2001-10-31,2.75,2.8,2.75,2.75,3500.0
2001-11-05,2.75,2.75,2.75,2.75,4000.0
2001-11-06,2.75,2.75,2.75,2.75,2000.0
2001-11-07,2.75,2.75,2.75,2.75,1500.0
2001-11-08,2.75,2.75,2.75,2.75,4000.0
2001-11-13,2.75,2.75,2.75,2.75,1000.0
2001-11-24,2.75,3.0,3.0,3.0,500.0
2001-12-06,3.0,2.6,2.6,2.6,1000.0
2001-12-11,2.6,2.7,2.7,2.7,500.0
2001-12-12,2.7,2.7,2.7,2.7,500.0
2001-12-21,2.7,2.35,2.35,2.35,1000.0
2001-12-24,2.35,2.35,2.35,2.35,5000.0
2001-12-26,2.35,2.35,2.35,2.35,5000.0
2001-12-27,2.35,2.35,2.35,2.35,500.0
2001-12-31,2.35,2.35,2.35,2.35,5000.0
2002-01-01,2.35,2.35,2.35,2.35,4500.0
2002-01-15,2.35,2.5,2.5,2.5,1500.0
2002-01-21,2.5,2.5,2.5,2.5,500.0
2002-01-23,2.5,2.5,2.5,2.5,1000.0
2002-01-25,2.5,2.4,2.4,2.4,500.0
2002-01-31,2.4,3.0,2.7,2.9,2500.0
2002-02-04,2.9,3.25,2.95,2.95,3000.0
