Date,Open,High,Low,Close,Volume
2001-01-04,4.0,2.5,1.5,2.5,5000.0
2001-01-11,2.5,2.6,2.6,2.6,500.0
2001-04-19,2.6,3.65,3.65,3.65,500.0
2001-05-07,3.65,3.0,3.0,3.0,500.0
2001-05-08,3.0,3.5,3.5,3.5,500.0
2001-06-18,3.5,3.5,3.5,3.5,0.0
2001-06-27,3.5,5.0,5.0,5.0,500.0
2001-06-28,3.85,3.85,3.85,3.85,0.0
2001-06-29,3.85,3.85,3.85,3.85,500.0
2001-08-28,3.85,3.85,3.85,3.85,0.0
2002-01-23,3.85,3.85,3.85,3.85,10500.0
2002-04-23,3.67,3.67,3.67,3.67,0.0
2002-07-31,3.67,3.95,3.95,3.95,500.0
2002-08-19,3.95,3.5,3.5,3.5,0.0
2002-12-18,3.5,4.0,4.0,4.0,2000.0
2002-12-20,4.0,4.25,4.25,4.25,0.0
2002-12-24,4.25,4.15,4.15,4.15,500.0
2003-03-27,4.15,4.1,4.1,4.1,0.0
2003-05-20,4.1,3.1,3.1,3.1,500.0
2003-05-22,3.1,4.25,4.25,4.25,500.0
2003-05-26,4.25,4.3,4.3,4.3,0.0
2003-05-28,4.3,4.5,4.5,4.5,0.0
2003-05-30,4.5,4.55,4.55,4.55,0.0
2003-06-03,4.55,5.0,5.0,5.0,500.0
2003-07-02,5.0,6.5,6.5,6.5,2000.0
2003-07-03,6.5,6.0,6.0,6.0,0.0
2003-07-15,6.0,5.5,5.5,5.5,0.0
2003-08-04,5.5,5.5,5.5,5.5,1000.0
2003-08-08,5.5,6.5,5.5,5.5,1500.0
2003-08-15,5.5,5.15,5.1,5.1,1000.0
2003-08-25,5.1,6.0,5.95,5.95,2000.0
2003-09-08,5.95,6.25,5.9,6.25,1500.0
2003-11-05,6.25,6.0,6.0,6.0,0.0
2003-12-03,6.0,5.0,5.0,5.0,500.0
2003-12-16,5.0,4.0,4.0,4.0,1500.0
2003-12-22,4.0,3.25,3.0,3.25,1000.0
2003-12-24,3.25,4.0,4.0,4.0,0.0
