Date,Open,High,Low,Close,Volume
2015-01-23,10.1,10.25,9.0,9.2,38500.0
2015-01-26,9.5,9.5,8.55,8.56,6500.0
2015-01-27,8.56,8.56,8.3,8.3,3500.0
2015-01-28,8.06,8.11,8.06,8.11,1000.0
2015-01-29,8.0,8.0,8.0,8.0,1000.0
2015-01-30,8.0,8.0,8.0,8.0,1000.0
2015-02-02,7.0,7.99,7.0,7.68,7500.0
2015-02-03,7.45,7.45,7.45,7.45,1000.0
2015-02-04,7.49,7.49,7.49,7.49,1000.0
2015-02-06,7.5,7.5,7.5,7.5,500.0
2015-02-09,7.9,7.95,7.7,7.7,2000.0
2015-02-10,7.82,7.92,7.82,7.92,1000.0
2015-02-12,7.42,7.45,7.42,7.45,1500.0
2015-02-13,7.5,7.5,7.5,7.5,2000.0
2015-02-16,7.5,7.5,7.5,7.5,1500.0
2015-02-17,7.5,7.51,7.5,7.51,3000.0
2015-02-18,7.53,7.53,7.53,7.53,22000.0
2015-02-19,7.51,7.51,7.5,7.5,1000.0
2015-02-20,7.55,7.55,7.55,7.55,500.0
2015-02-23,7.45,7.55,7.43,7.55,2000.0
2015-02-24,7.4,7.4,7.4,7.4,2000.0
2015-03-02,7.31,7.31,7.31,7.31,1000.0
2015-03-03,7.3,7.3,7.3,7.3,2000.0
2015-03-04,7.0,7.69,6.41,7.69,2000.0
2015-03-05,7.2,7.6,7.2,7.6,1000.0
2015-03-06,7.01,7.01,7.01,7.01,500.0
2015-03-09,7.01,7.01,7.01,7.01,500.0
2015-03-12,6.53,7.45,6.52,7.45,2500.0
2015-03-18,7.0,7.0,6.49,6.49,1000.0
2015-03-19,6.5,6.5,6.5,6.5,2500.0
2015-03-20,6.0,7.0,6.0,7.0,1000.0
2015-03-24,7.85,7.85,7.85,7.85,500.0
2015-03-26,6.85,6.85,6.85,6.85,1500.0
2015-03-27,7.49,7.49,7.49,7.49,1500.0
2015-03-30,0.0,6.49,6.49,7.49,1500.0
2015-03-31,7.0,7.0,7.0,7.0,2500.0
2015-04-01,6.5,6.5,6.5,6.5,1000.0
2015-04-02,6.7,6.7,6.65,6.65,1500.0
2015-04-03,7.39,7.39,6.65,7.0,2000.0
2015-04-07,6.5,7.79,6.5,7.79,1000.0
2015-04-08,6.81,6.81,6.81,6.81,500.0
2015-04-10,6.5,6.5,6.5,6.5,1500.0
2015-04-13,6.51,6.51,6.51,6.51,500.0
2015-04-15,6.51,6.51,6.5,6.5,2000.0
2015-04-16,7.34,7.34,7.34,7.34,500.0
2015-04-20,6.56,6.56,6.55,6.55,1500.0
2015-04-22,6.5,6.5,6.5,6.5,500.0
2015-04-23,6.6,6.6,6.6,6.6,500.0
2015-04-24,6.5,7.0,6.5,7.0,1000.0
2015-04-27,7.1,7.1,6.65,6.65,2000.0
2015-04-28,6.5,6.5,6.5,6.5,500.0
2015-04-29,6.5,6.5,6.5,6.5,500.0
2015-04-30,6.5,6.5,6.5,6.5,500.0
2015-05-08,7.0,7.36,6.5,7.36,4000.0
2015-05-12,6.51,6.75,6.51,6.75,1000.0
2015-05-13,6.5,6.5,6.5,6.5,500.0
2015-05-14,6.5,6.5,6.5,6.5,500.0
2015-05-18,6.75,6.75,6.75,6.75,1000.0
2015-05-20,6.99,7.31,6.99,6.99,13000.0
2015-05-26,6.99,7.24,6.0,7.24,1000.0
2015-06-01,6.24,6.5,6.24,6.5,1000.0
2015-06-05,6.5,6.5,6.5,6.5,1000.0
2015-06-08,6.06,6.06,6.06,6.06,1000.0
2015-06-09,0.0,6.5,6.5,6.06,1000.0
2015-06-10,6.94,6.94,6.94,6.94,500.0
2015-06-12,6.41,6.41,6.4,6.41,1000.0
2015-06-17,7.14,7.14,6.3,6.8,3500.0
2015-06-18,6.01,6.5,6.0,6.5,3000.0
