Date,Open,High,Low,Close,Volume
2001-01-09,21.95,22.5,22.5,22.5,700.0
2001-01-12,22.5,23.0,23.0,23.0,500.0
2001-01-15,23.0,24.0,23.95,24.0,500.0
2001-01-31,24.0,24.0,24.0,24.0,200.0
2001-02-07,24.0,26.55,26.5,26.55,2300.0
2001-02-12,26.55,26.0,25.25,26.0,900.0
2001-02-15,26.0,26.0,26.0,26.0,500.0
2001-02-19,26.0,26.1,26.0,26.0,1000.0
2001-03-13,26.0,22.0,22.0,22.0,100.0
2001-03-14,22.0,22.0,22.0,22.0,400.0
2001-03-19,22.0,18.15,18.15,18.15,100.0
2001-03-21,18.15,18.15,18.15,18.15,1800.0
2001-03-22,18.15,18.05,18.0,18.0,300.0
2001-04-03,18.0,18.75,17.9,17.9,800.0
2001-04-11,17.9,17.5,17.5,17.5,300.0
2001-04-12,17.5,18.0,17.65,17.65,900.0
2001-04-16,17.65,17.65,17.65,17.65,100.0
2001-04-17,17.65,18.35,18.35,18.35,100.0
2001-04-18,18.35,18.9,18.85,18.9,800.0
2001-04-19,18.9,18.5,18.5,18.5,200.0
2001-04-20,18.5,19.0,18.5,19.0,400.0
2001-04-24,19.0,19.0,19.0,19.0,0.0
2001-04-26,19.0,19.0,19.0,19.0,100.0
2001-04-27,19.0,18.55,18.55,18.55,100.0
2001-04-30,18.55,19.15,19.15,19.15,100.0
2001-05-10,19.15,18.55,18.55,18.55,100.0
2001-05-11,18.55,18.55,18.55,18.55,200.0
2001-05-16,18.55,19.15,19.0,19.15,400.0
2001-05-17,19.15,19.5,18.6,18.6,900.0
2001-05-24,18.6,19.0,19.0,19.0,500.0
2001-05-25,19.0,19.35,18.0,19.35,2000.0
2001-05-28,19.35,18.0,18.0,18.0,600.0
2001-05-29,18.0,18.0,17.1,17.4,1600.0
2001-06-11,17.4,18.0,18.0,18.0,200.0
2001-06-13,18.0,17.8,17.8,17.8,200.0
2001-06-19,17.05,17.05,17.05,17.05,0.0
2001-06-28,17.05,16.95,16.95,16.95,200.0
2001-07-09,16.95,15.0,15.0,15.0,100.0
2001-07-25,15.0,15.0,15.0,15.0,100.0
2001-08-06,15.0,15.05,15.05,15.05,600.0
2001-08-13,15.05,15.05,15.05,15.05,0.0
2001-08-16,15.05,14.95,14.95,14.95,100.0
2001-11-01,14.95,15.5,15.5,15.5,1000.0
2001-11-22,15.5,14.9,14.9,14.9,100.0
2001-12-05,14.9,14.0,14.0,14.0,100.0
2002-01-07,14.0,14.0,14.0,14.0,200.0
2002-01-08,14.0,14.0,14.0,14.0,100.0
2002-01-09,14.0,14.1,14.05,14.05,700.0
2002-01-10,14.05,14.0,13.9,14.0,700.0
2002-01-11,14.0,13.15,13.15,13.15,300.0
2002-01-14,13.15,14.0,14.0,14.0,500.0
2002-01-17,14.0,14.0,13.6,13.6,3500.0
2002-01-21,13.6,13.7,13.7,13.7,500.0
2002-01-28,13.7,13.55,13.55,13.55,200.0
2002-02-06,13.55,14.0,14.0,14.0,1000.0
2002-02-11,14.0,15.0,15.0,15.0,200.0
2002-02-12,15.0,16.0,14.5,16.0,1200.0
2002-02-14,16.0,15.9,15.9,15.9,1000.0
2002-02-19,15.9,16.25,16.25,16.25,100.0
2002-02-27,16.25,16.0,16.0,16.0,500.0
2002-03-11,16.0,16.75,15.0,15.0,1600.0
2002-03-12,15.0,16.45,16.45,16.45,900.0
2002-03-14,16.45,16.5,16.5,16.5,300.0
2002-03-18,16.5,17.0,15.75,17.0,1100.0
2002-03-20,17.0,18.0,17.0,18.0,500.0
2002-03-21,18.0,19.45,18.0,18.0,800.0
2002-03-22,18.0,19.45,18.0,19.45,7000.0
2002-03-26,19.45,20.95,20.9,20.95,1100.0
2002-03-27,20.95,22.5,21.75,22.5,4200.0
2002-03-28,22.5,23.25,22.15,23.25,1200.0
2002-03-29,23.25,22.0,21.6,21.75,800.0
2002-04-01,21.75,21.0,20.15,21.0,2500.0
2002-04-02,21.0,21.0,20.0,21.0,800.0
2002-04-03,21.0,21.5,21.0,21.2,3600.0
2002-04-04,21.2,21.0,20.5,20.5,1000.0
2002-04-05,20.5,19.75,19.5,19.5,600.0
2002-04-08,19.5,21.0,21.0,21.0,1900.0
2002-04-09,21.0,22.55,22.55,22.55,400.0
2002-04-10,22.55,24.2,22.5,22.55,7500.0
2002-04-11,22.55,23.25,22.25,23.25,27500.0
2002-04-12,23.25,24.0,23.0,24.0,7700.0
2002-04-15,24.0,23.3,22.6,22.6,2800.0
2002-04-17,22.6,21.15,21.15,21.15,100.0
2002-04-18,21.15,21.15,20.0,20.0,3100.0
2002-04-19,20.0,21.5,21.0,21.5,700.0
2002-04-23,21.5,23.1,22.95,23.1,2200.0
2002-04-24,23.1,24.5,22.9,24.0,7800.0
2002-04-25,24.0,23.05,22.25,22.25,1200.0
2002-04-26,22.25,21.7,20.9,21.5,600.0
2002-04-29,21.5,21.25,21.25,21.25,500.0
2002-04-30,21.25,21.75,21.75,21.75,200.0
2002-05-03,21.75,23.35,22.75,23.0,31600.0
2002-05-06,23.0,23.75,23.5,23.5,2700.0
2002-05-07,23.5,22.5,22.5,22.5,200.0
2002-05-08,22.5,22.25,21.0,22.25,400.0
2002-05-13,22.25,23.35,21.55,23.35,700.0
2002-05-14,23.35,22.0,21.6,21.8,2100.0
2002-05-16,21.8,22.0,22.0,22.0,1000.0
2002-05-17,22.0,21.95,21.95,21.95,0.0
2002-05-20,21.95,21.85,21.85,21.85,0.0
2002-05-24,21.85,22.0,21.5,21.5,1200.0
2002-05-30,21.5,21.9,21.5,21.5,1600.0
2002-05-31,21.5,21.45,21.45,21.45,0.0
2002-06-03,21.45,21.4,21.4,21.4,0.0
2002-06-04,21.4,21.0,21.0,21.0,0.0
2002-06-05,21.0,20.95,20.95,20.95,500.0
2002-06-10,20.95,21.9,21.9,21.9,1000.0
2002-06-12,21.9,21.8,21.8,21.8,0.0
2002-06-13,21.8,21.55,21.55,21.55,0.0
2002-06-14,21.55,21.55,21.55,21.55,400.0
2002-06-17,20.8,21.4,21.4,21.4,100.0
2002-06-21,21.4,21.0,21.0,21.0,0.0
2002-06-24,21.0,20.95,20.95,20.95,0.0
2002-06-25,20.95,20.9,20.9,20.9,100.0
2002-06-26,20.9,20.8,20.8,20.8,0.0
2002-06-27,20.8,20.75,20.75,20.75,10000.0
2002-06-28,20.75,20.75,20.75,20.75,100.0
2002-07-01,20.75,20.5,20.5,20.5,0.0
2002-07-05,20.5,20.3,20.3,20.3,0.0
2002-07-08,20.3,19.9,19.9,19.9,0.0
2002-07-11,19.9,19.0,19.0,19.0,500.0
2002-07-16,19.0,18.1,18.1,18.1,100.0
2002-07-18,18.1,18.1,18.0,18.1,300.0
2002-07-22,18.1,18.0,18.0,18.0,0.0
2002-07-25,18.0,17.25,17.25,17.25,500.0
2002-07-31,17.25,17.2,17.2,17.2,200.0
2002-08-01,17.2,18.7,18.65,18.65,100.0
2002-08-02,18.65,17.65,17.65,17.65,500.0
2002-08-06,17.65,17.65,17.65,17.65,100.0
2002-08-13,17.65,17.5,17.5,17.5,0.0
