Date,Open,High,Low,Close,Volume
2007-07-23,44.4,46.0,42.2,42.2,1788000.0
2007-07-24,42.2,40.1,40.1,40.1,113500.0
2007-07-25,40.1,38.1,38.1,38.1,34000.0
2007-07-26,38.1,40.0,36.2,38.75,6435500.0
2007-07-27,38.75,39.1,36.85,37.05,1832500.0
2007-07-30,37.05,36.25,35.2,35.2,765000.0
2007-07-31,35.2,35.9,33.45,34.45,3987500.0
2007-08-01,34.45,36.15,34.2,36.15,2926000.0
2007-08-02,36.15,36.75,34.45,35.45,1882500.0
2007-08-03,35.45,35.7,34.5,34.5,677000.0
2007-08-06,34.5,34.95,32.8,32.8,771000.0
2007-08-07,32.8,32.5,31.2,31.2,789500.0
2007-08-08,31.2,32.75,31.0,32.15,2219500.0
2007-08-09,32.15,30.55,30.55,30.55,153000.0
2007-08-10,30.55,32.05,29.05,29.05,1109500.0
2007-08-13,29.05,29.2,27.6,27.6,707000.0
2007-08-15,27.6,27.55,26.25,26.35,824000.0
2007-08-16,26.35,27.5,25.1,26.2,1772500.0
2007-08-17,26.2,27.25,26.0,26.65,1059500.0
2007-08-20,26.65,27.8,26.5,27.05,1218500.0
2007-08-21,27.05,27.25,25.7,25.7,621500.0
2007-08-22,25.7,25.5,24.45,25.15,659000.0
2007-08-23,25.15,25.8,23.9,23.9,613000.0
2007-08-24,23.9,23.7,22.75,23.0,672500.0
2007-08-27,23.0,23.85,23.0,23.4,572000.0
2007-08-28,23.4,23.7,22.8,23.7,389000.0
2007-08-29,23.7,24.85,23.5,24.85,552000.0
2007-08-30,24.85,26.05,24.95,26.0,1459000.0
2007-08-31,26.0,25.8,24.7,24.9,621000.0
2007-09-03,24.9,24.75,23.7,24.0,417500.0
2007-09-04,24.0,24.95,23.7,24.4,728000.0
2007-09-05,24.4,25.6,24.55,25.45,775500.0
2007-09-06,25.45,26.15,25.05,25.8,834000.0
2007-09-07,25.8,25.5,24.8,24.85,400000.0
2007-09-10,24.85,25.75,24.2,25.25,379500.0
2007-09-11,25.25,26.0,25.05,25.7,1081500.0
2007-09-12,25.7,26.95,25.5,26.95,1621000.0
2007-09-13,26.95,28.25,27.0,28.25,1493000.0
2007-09-14,28.25,29.65,28.0,29.1,1955500.0
2007-09-17,29.1,30.2,29.0,29.95,1858000.0
2007-09-18,29.95,30.9,29.2,30.5,2230500.0
2007-09-19,30.5,30.95,30.0,30.05,1044000.0
2007-09-20,30.05,30.2,28.65,29.85,768500.0
