Date,Open,High,Low,Close,Volume
2001-01-01,13.25,13.6,13.1,13.6,3000.0
2001-01-02,13.6,13.8,13.25,13.65,9500.0
2001-01-03,13.65,13.8,13.45,13.8,5500.0
2001-01-04,13.8,13.9,13.9,13.9,4000.0
2001-01-05,13.9,14.0,13.65,14.0,5000.0
2001-01-08,14.0,14.0,13.3,14.0,7000.0
2001-01-09,14.0,14.0,13.9,14.0,6000.0
2001-01-10,14.0,14.0,13.9,13.9,3500.0
2001-01-11,13.9,13.85,13.75,13.75,5000.0
2001-01-12,13.75,13.7,13.6,13.7,8500.0
2001-01-15,13.7,13.65,13.65,13.65,500.0
2001-01-16,13.65,13.75,13.65,13.65,3000.0
2001-01-17,13.65,13.8,13.65,13.8,2500.0
2001-01-18,13.8,13.85,13.75,13.8,1500.0
2001-01-19,13.8,13.85,13.75,13.75,3500.0
2001-01-22,13.75,13.85,13.65,13.85,3000.0
2001-01-23,13.85,13.95,13.8,13.9,3500.0
2001-01-24,13.9,13.75,13.55,13.65,12000.0
2001-01-25,13.65,13.7,13.55,13.55,3500.0
2001-01-26,13.55,13.6,13.5,13.5,8500.0
2001-01-29,13.5,13.55,13.55,13.55,500.0
2001-01-30,13.55,13.55,13.5,13.55,6000.0
2001-01-31,13.55,13.95,13.75,13.75,6500.0
2001-02-01,13.75,14.0,13.9,14.0,11000.0
2001-02-02,14.0,14.0,13.95,14.0,17500.0
2001-02-06,14.0,14.55,14.4,14.4,21500.0
2001-02-07,14.4,14.75,14.5,14.5,13000.0
2001-02-08,14.5,16.0,14.8,15.2,36000.0
2001-02-09,15.2,16.5,15.25,16.5,52000.0
2001-02-12,16.5,16.5,15.85,15.85,93500.0
2001-02-13,15.85,16.05,15.4,15.5,27000.0
2001-02-14,15.5,15.9,15.5,15.8,15500.0
2001-02-15,15.8,16.0,15.75,16.0,140000.0
2001-02-16,16.0,16.15,15.8,16.0,17000.0
2001-02-19,16.0,16.1,15.8,15.8,33500.0
2001-02-20,15.8,15.85,15.55,15.55,7500.0
2001-02-21,15.55,16.0,15.25,16.0,45000.0
2001-02-22,16.0,16.2,15.55,15.55,33000.0
2001-02-23,15.55,15.35,15.0,15.25,18500.0
2001-02-26,15.25,15.0,14.75,15.0,19000.0
2001-02-27,15.0,14.8,14.6,14.7,8000.0
2001-02-28,14.7,15.25,14.95,15.25,14000.0
2001-03-01,15.25,15.3,15.15,15.25,17000.0
2001-03-02,15.25,15.3,15.25,15.25,7000.0
2001-03-09,15.25,15.25,15.25,15.25,9000.0
2001-03-12,15.25,15.0,14.8,15.0,10000.0
2001-03-13,15.0,15.0,14.5,14.6,11500.0
2001-03-14,14.6,14.85,14.5,14.65,13000.0
2001-03-15,11.72,11.72,11.3,11.65,13500.0
2001-03-19,11.65,11.5,11.3,11.3,2000.0
2001-03-20,11.3,11.6,11.5,11.6,5000.0
2001-03-21,11.6,11.55,11.5,11.5,2000.0
2001-03-22,11.5,11.5,11.1,11.1,5000.0
2001-03-29,11.1,11.1,11.0,11.0,4000.0
