Date,Open,High,Low,Close,Volume
2008-02-11,29.5,29.45,28.05,28.05,9534500.0
2008-02-12,28.05,28.65,27.25,28.4,7165500.0
2008-02-13,28.4,29.3,28.3,28.75,7301500.0
2008-02-14,28.75,29.0,28.25,28.3,3066000.0
2008-02-15,28.3,28.4,27.45,27.5,3461000.0
2008-02-19,27.5,28.85,27.55,28.45,7281000.0
2008-02-20,28.45,28.8,27.7,28.1,8067500.0
2008-02-21,28.1,29.5,28.1,29.5,17333500.0
2008-02-22,29.5,30.3,29.15,29.15,15125500.0
2008-02-25,29.15,29.4,28.25,28.35,6070500.0
2008-02-26,28.35,28.5,28.0,28.25,3167000.0
2008-02-27,28.25,28.95,28.1,28.25,5728000.0
2008-02-28,28.25,28.65,28.15,28.35,1992500.0
2008-02-29,28.35,28.5,27.9,27.95,2697500.0
2008-03-03,27.95,28.15,27.4,27.5,2900500.0
2008-03-04,27.5,27.7,26.55,27.05,3503500.0
2008-03-05,27.05,27.55,27.2,27.3,1912500.0
2008-03-06,27.3,27.55,26.7,26.85,1811000.0
2008-03-07,26.85,26.9,26.25,26.3,2115000.0
2008-03-10,26.3,26.7,25.55,25.7,2682500.0
2008-03-11,25.7,26.6,25.05,26.1,4150500.0
2008-03-12,26.1,27.0,26.2,27.0,3105000.0
2008-03-13,27.0,27.4,26.3,26.65,2305000.0
2008-03-14,26.65,26.65,26.0,26.25,1819500.0
2008-03-17,26.25,26.25,25.65,25.65,1234000.0
2008-03-18,25.65,25.7,24.4,24.6,2355500.0
2008-03-19,24.6,25.4,24.65,24.95,1833000.0
2008-03-20,24.95,26.15,24.65,26.15,3623000.0
2008-03-24,26.15,27.45,27.05,27.45,6587500.0
2008-03-25,27.45,28.0,26.5,26.6,6484500.0
2008-03-26,26.6,27.35,26.7,26.8,2529500.0
2008-03-27,26.8,27.55,26.4,27.0,5728000.0
2008-03-28,27.0,27.15,26.7,26.85,1887000.0
2008-03-31,26.85,27.0,25.8,26.3,2714000.0
2008-04-01,26.3,26.85,26.1,26.55,2365500.0
2008-04-02,26.55,27.05,26.65,26.75,1603000.0
2008-04-03,26.75,27.7,26.8,27.05,7141000.0
2008-04-04,27.05,28.1,27.25,27.6,7129000.0
2008-04-07,27.6,28.15,27.6,27.65,4579000.0
2008-04-08,27.65,28.15,27.0,27.6,7003000.0
2008-04-09,27.6,27.75,26.8,26.85,3178000.0
2008-04-10,26.85,26.95,25.65,26.45,3034500.0
2008-04-11,26.45,26.9,25.9,26.0,2924000.0
2008-04-14,26.0,26.2,25.6,25.75,1410500.0
2008-04-15,25.75,26.3,25.65,25.95,1991000.0
2008-04-16,25.95,26.15,25.5,25.65,1248000.0
2008-04-17,25.65,26.9,25.55,26.9,5101000.0
2008-04-18,26.9,27.05,26.3,26.45,5346000.0
2008-04-21,26.45,26.5,25.95,26.05,1377500.0
2008-04-22,26.05,26.0,25.55,25.65,2507000.0
2008-04-23,25.65,25.85,25.1,25.35,1752500.0
2008-04-24,25.35,25.7,25.0,25.05,2407500.0
2008-04-25,25.05,25.45,24.7,24.85,4649000.0
2008-04-28,24.85,25.5,24.95,25.15,1931000.0
2008-04-29,25.15,25.2,24.7,24.75,1300000.0
2008-04-30,24.75,24.95,24.45,24.46,1093500.0
2008-05-02,24.46,24.8,24.1,24.15,772500.0
2008-05-05,24.15,24.5,23.65,23.94,2020500.0
2008-05-06,23.94,24.19,23.2,23.7,1666500.0
2008-05-07,23.7,23.75,22.9,23.25,2094500.0
2008-05-08,23.25,24.0,23.2,23.3,1592500.0
2008-05-09,23.3,24.25,23.2,24.0,4010000.0
2008-05-12,24.0,24.5,23.1,24.15,3813500.0
2008-05-13,24.15,25.12,24.11,24.95,3952000.0
2008-05-14,24.95,25.29,24.24,24.4,3142000.0
2008-05-15,24.4,24.55,24.13,24.2,999500.0
2008-05-16,24.2,24.2,23.7,23.71,1467000.0
2008-05-19,23.71,23.85,23.01,23.01,1310000.0
2008-05-20,23.01,23.39,22.3,22.69,2548500.0
2008-05-21,22.69,23.05,22.3,22.48,1766000.0
2008-05-22,22.48,22.59,21.36,21.5,2387500.0
2008-05-23,21.5,20.65,20.43,20.43,248000.0
2008-05-26,20.43,19.5,19.41,19.41,3343000.0
2008-05-27,19.41,20.0,18.41,19.45,4831000.0
2008-05-28,19.45,20.04,18.45,18.45,2483500.0
2008-05-29,18.45,18.49,17.45,18.0,3298000.0
2008-05-30,18.0,19.0,17.2,18.62,4407000.0
2008-06-02,18.62,19.44,18.5,19.17,3113000.0
2008-06-03,19.17,19.79,19.32,19.5,2046000.0
