Date,Open,High,Low,Close,Volume
2001-01-01,13.5,13.5,13.5,13.5,1000.0
2001-01-02,13.5,13.5,13.5,13.5,3500.0
2001-01-03,13.5,14.0,14.0,14.0,2000.0
2001-01-10,14.0,13.0,13.0,13.0,1000.0
2001-01-11,13.0,13.5,13.5,13.5,3000.0
2001-01-12,13.5,13.5,13.5,13.5,2000.0
2001-01-16,13.5,13.5,13.5,13.5,500.0
2001-01-24,13.5,14.0,13.7,14.0,1500.0
2001-01-30,14.0,14.85,14.8,14.85,1500.0
2001-02-01,14.85,14.5,14.5,14.5,1000.0
2001-02-02,14.5,14.5,14.5,14.5,500.0
2001-02-07,14.5,14.5,14.5,14.5,1000.0
2001-02-08,14.5,14.9,14.5,14.5,3000.0
2001-02-12,14.5,15.0,14.5,15.0,3500.0
2001-02-13,15.0,14.5,14.5,14.5,500.0
2001-02-20,14.5,14.3,14.25,14.25,3000.0
2001-02-26,14.25,14.25,14.25,14.25,500.0
2001-03-12,14.25,14.25,14.25,14.25,1000.0
2001-03-13,14.25,14.25,14.25,14.25,1500.0
2001-03-14,14.25,14.5,14.25,14.5,2500.0
2001-03-19,14.5,14.25,14.25,14.25,1000.0
2001-03-21,14.25,14.25,14.25,14.25,1000.0
2001-03-22,14.25,14.25,14.25,14.25,1000.0
2001-03-26,14.25,14.25,14.25,14.25,1000.0
2001-03-28,14.25,14.25,14.25,14.25,1500.0
2001-04-09,14.25,14.25,14.25,14.25,0.0
2001-04-10,14.25,14.5,14.25,14.5,10500.0
2001-04-11,14.5,14.5,14.05,14.5,13000.0
2001-04-12,14.5,14.6,14.4,14.6,8000.0
2001-04-17,14.6,14.5,14.4,14.4,2500.0
2001-04-18,14.4,14.25,14.25,14.25,2000.0
2001-04-19,14.25,14.6,14.25,14.6,2500.0
2001-04-20,14.6,14.95,14.95,14.95,2500.0
2001-04-24,13.09,13.09,13.09,13.09,0.0
2001-04-27,13.09,12.0,12.0,12.0,500.0
2001-05-02,12.0,12.0,12.0,12.0,4000.0
2001-05-03,12.0,12.0,12.0,12.0,1000.0
2001-05-04,12.0,12.0,12.0,12.0,2500.0
2001-05-08,12.0,12.0,12.0,12.0,500.0
2001-05-10,12.0,12.0,12.0,12.0,1000.0
2001-05-11,12.0,12.1,12.1,12.1,500.0
2001-05-15,12.1,12.1,12.1,12.1,0.0
2001-05-23,12.1,13.0,13.0,13.0,500.0
2001-05-24,13.0,13.0,13.0,13.0,1000.0
2001-06-04,13.0,13.0,13.0,13.0,1000.0
2001-06-07,13.0,13.1,13.0,13.0,1000.0
2001-06-08,13.0,13.0,13.0,13.0,500.0
2001-06-12,13.0,13.0,13.0,13.0,500.0
2001-06-18,13.0,13.0,13.0,13.0,1000.0
2001-06-27,13.0,13.0,13.0,13.0,2000.0
2001-06-29,13.0,13.0,13.0,13.0,1000.0
2001-07-03,13.0,13.0,13.0,13.0,500.0
2001-07-05,13.0,13.0,13.0,13.0,500.0
2001-07-09,13.0,13.0,13.0,13.0,1000.0
2001-07-10,13.0,13.0,13.0,13.0,6000.0
2001-07-11,13.0,13.0,13.0,13.0,500.0
2001-07-13,13.0,13.0,13.0,13.0,1000.0
2001-07-20,13.0,13.0,13.0,13.0,1000.0
2001-07-23,13.0,13.1,13.0,13.1,5500.0
2001-07-25,13.1,13.0,13.0,13.0,2000.0
2001-07-26,13.0,13.0,13.0,13.0,1000.0
2001-07-27,13.0,13.0,13.0,13.0,2000.0
2001-08-01,13.0,13.0,13.0,13.0,1000.0
2001-08-03,13.0,13.0,13.0,13.0,3000.0
2001-08-07,13.0,13.1,13.0,13.1,1500.0
2001-08-08,13.1,13.1,13.0,13.0,2000.0
2001-08-10,13.0,13.0,13.0,13.0,500.0
2001-08-20,13.0,13.0,13.0,13.0,1000.0
2001-08-24,13.0,13.0,13.0,13.0,500.0
2001-08-27,13.0,13.1,13.0,13.05,1500.0
2001-09-10,13.05,13.0,13.0,13.0,500.0
2001-09-24,13.0,12.4,12.4,12.4,500.0
2001-09-25,12.4,13.0,13.0,13.0,1500.0
2001-09-28,13.0,13.0,13.0,13.0,1000.0
2001-10-03,13.0,13.0,13.0,13.0,1500.0
2001-10-08,13.0,13.0,13.0,13.0,2000.0
2001-10-12,13.0,13.0,13.0,13.0,500.0
2001-11-01,13.0,13.5,13.5,13.5,500.0
2001-11-06,13.5,14.25,14.0,14.0,3500.0
2001-11-08,14.0,15.0,14.0,14.0,1000.0
2001-11-12,14.0,14.0,14.0,14.0,500.0
2001-11-13,14.0,14.0,14.0,14.0,1000.0
2001-12-08,14.0,14.0,14.0,14.0,1500.0
2001-12-27,14.0,14.75,14.75,14.75,500.0
2001-12-31,14.75,14.5,14.5,14.5,500.0
2002-01-03,14.5,14.5,14.5,14.5,2000.0
2002-01-07,14.5,14.5,14.5,14.5,500.0
2002-01-15,14.5,14.5,14.5,14.5,1000.0
2002-01-28,14.5,14.5,14.5,14.5,1000.0
2002-02-04,14.5,14.5,14.5,14.5,500.0
2002-02-07,14.5,14.5,14.5,14.5,4000.0
2002-02-08,14.5,14.5,14.5,14.5,500.0
2002-02-11,14.5,14.5,14.45,14.45,3000.0
2002-02-13,14.45,14.5,14.5,14.5,2000.0
2002-02-20,14.5,14.6,14.6,14.6,1000.0
2002-02-26,14.6,15.5,15.5,15.5,1000.0
2002-02-28,15.5,15.5,15.5,15.5,4000.0
2002-03-01,15.5,15.5,15.0,15.5,1500.0
2002-03-05,15.5,15.5,15.3,15.5,4000.0
2002-03-07,15.5,15.5,15.5,15.5,1500.0
2002-03-08,15.5,15.25,15.25,15.25,500.0
2002-03-11,15.25,15.25,15.25,15.25,500.0
2002-03-21,12.75,12.75,12.75,12.75,0.0
2002-03-27,12.75,12.75,12.75,12.75,1000.0
2002-03-29,12.75,12.3,12.3,12.3,1000.0
2002-04-01,12.3,13.2,12.75,13.2,1500.0
2002-04-05,13.2,13.0,13.0,13.0,2500.0
2002-04-08,13.0,13.1,13.1,13.1,1000.0
2002-04-09,13.1,13.4,13.4,13.4,500.0
2002-04-10,13.4,13.1,13.1,13.1,500.0
2002-04-12,13.1,13.75,13.75,13.75,500.0
2002-04-15,13.75,13.5,13.3,13.5,2500.0
2002-04-16,13.5,13.4,13.4,13.4,1000.0
2002-04-17,13.4,13.5,13.5,13.4,500.0
2002-04-19,13.4,13.0,13.0,13.0,2000.0
2002-04-23,13.0,13.0,13.0,13.0,1000.0
2002-04-29,13.0,12.0,12.0,12.0,1000.0
2002-05-02,12.0,12.4,12.4,12.4,1000.0
2002-05-06,12.4,12.0,12.0,12.0,1000.0
2002-05-07,12.0,12.0,12.0,12.0,2500.0
2002-05-14,12.0,11.1,11.1,11.1,500.0
2002-05-16,11.1,11.1,11.0,11.1,1500.0
2002-05-17,11.1,11.0,11.0,11.0,1000.0
2002-05-20,11.0,11.0,11.0,11.0,2000.0
2002-05-21,11.0,11.95,11.95,11.95,1500.0
2002-05-27,11.95,12.5,12.5,12.5,2000.0
2002-05-28,12.5,12.5,12.5,12.5,1000.0
2002-05-31,12.5,13.0,12.5,12.5,3000.0
2002-06-03,12.5,12.5,12.5,12.5,1000.0
2002-06-04,12.5,12.5,12.5,12.5,500.0
2002-06-05,12.5,12.5,12.5,12.5,500.0
2002-06-06,12.5,12.5,12.5,12.5,2000.0
2002-06-07,12.5,12.5,12.5,12.5,1500.0
2002-06-11,12.5,12.5,12.0,12.0,3000.0
2002-06-12,12.0,12.5,12.5,12.5,500.0
2002-06-13,12.5,12.75,12.5,12.5,5000.0
2002-06-17,12.5,12.5,12.5,12.5,1500.0
2002-06-24,12.5,12.5,12.5,12.5,2500.0
2002-06-25,12.5,12.5,12.5,12.5,500.0
2002-06-27,12.5,12.5,12.5,12.5,2000.0
2002-07-02,12.5,13.0,13.0,13.0,1000.0
2002-07-04,13.0,13.3,13.3,13.3,0.0
