Date,Open,High,Low,Close,Volume
2015-02-10,0.0,31.49,31.49,31.49,0.0
2015-02-11,33.06,33.06,33.06,33.06,3000.0
2015-02-12,34.71,34.71,34.17,34.71,1115000.0
2015-02-13,36.44,36.44,36.44,36.44,944000.0
2015-02-16,38.26,38.26,34.99,36.08,1806500.0
2015-02-17,35.51,36.1,35.16,35.99,525500.0
2015-02-18,35.52,37.0,35.5,36.54,462000.0
2015-02-19,36.3,38.36,36.3,38.33,3122500.0
2015-02-20,39.14,40.24,38.81,40.24,1845000.0
2015-02-23,41.9,42.25,41.5,42.25,239000.0
2015-02-24,44.1,44.36,43.0,43.72,1336000.0
2015-02-25,44.2,45.9,42.0,45.9,1463000.0
2015-02-26,45.11,48.0,45.11,47.33,734000.0
2015-02-27,47.5,48.45,44.97,47.02,1055500.0
2015-03-02,46.5,46.85,44.55,45.55,417000.0
2015-03-03,45.0,46.89,44.54,45.75,657500.0
2015-03-04,45.9,47.1,45.9,46.59,647000.0
2015-03-05,46.51,48.91,46.51,48.91,831000.0
2015-03-06,51.23,51.35,51.0,51.35,131000.0
2015-03-09,53.91,53.91,51.5,53.49,1160500.0
2015-03-10,55.11,56.16,54.0,56.16,432500.0
2015-03-11,58.96,58.96,56.9,58.96,1334000.0
2015-03-12,59.88,61.9,59.88,61.54,1604500.0
2015-03-13,61.54,64.61,60.1,64.25,1303000.0
2015-03-16,65.0,65.0,61.04,61.04,288000.0
2015-03-17,57.99,57.99,57.99,57.99,4500.0
2015-03-18,55.1,56.5,55.1,55.1,934000.0
2015-03-19,54.48,54.74,52.65,53.05,569500.0
2015-03-20,53.75,54.44,53.01,53.27,188500.0
2015-03-24,53.8,54.0,51.1,52.03,332000.0
2015-03-25,52.01,52.01,49.43,50.9,267000.0
2015-03-26,51.5,51.5,48.36,48.36,272000.0
2015-03-27,46.71,49.27,45.96,48.49,451500.0
2015-03-30,47.5,47.51,46.07,46.79,1003500.0
2015-03-31,47.99,49.12,47.1,49.12,51500.0
2015-04-01,51.48,51.57,49.0,51.57,183000.0
2015-04-02,53.8,54.14,53.0,54.14,131500.0
2015-04-03,56.84,56.84,56.84,56.84,60000.0
2015-04-06,59.68,59.68,59.68,59.68,124500.0
2015-04-07,61.89,62.4,56.7,58.27,591500.0
2015-04-08,58.0,58.4,55.55,56.73,163000.0
2015-04-09,57.0,58.3,56.33,57.17,170000.0
2015-04-10,56.15,57.89,55.25,55.75,159000.0
2015-04-13,56.0,57.74,54.6,55.31,186000.0
2015-04-14,54.02,55.75,53.45,53.63,60000.0
2015-04-15,52.16,54.0,51.8,51.98,66000.0
2015-04-16,51.5,54.1,51.5,53.76,391500.0
2015-04-17,54.98,54.98,52.07,52.49,83500.0
2015-04-20,54.25,54.25,51.0,52.8,134500.0
2015-04-21,52.0,52.0,50.16,50.37,83000.0
2015-04-22,49.15,51.5,49.15,50.76,33000.0
2015-04-23,50.5,53.29,50.25,53.17,273500.0
2015-04-24,53.45,55.4,51.75,54.35,664500.0
2015-04-27,53.25,53.9,52.76,53.34,63500.0
2015-04-28,53.0,53.0,50.7,51.16,74500.0
2015-04-29,51.57,51.57,49.81,50.0,108000.0
2015-04-30,50.3,51.0,50.01,50.38,36500.0
2015-05-04,48.6,51.4,48.6,49.1,37500.0
2015-05-05,48.1,48.4,48.02,48.09,16000.0
2015-05-06,48.5,49.8,48.0,49.5,43000.0
2015-05-07,49.03,49.4,48.5,48.98,69000.0
2015-05-08,48.01,50.0,48.01,49.47,42000.0
2015-05-11,49.89,49.89,47.16,47.43,66500.0
2015-05-12,46.73,49.8,45.23,49.63,170000.0
2015-05-13,49.4,49.5,48.02,48.43,20000.0
2015-05-14,47.3,50.85,47.3,50.85,259500.0
2015-05-15,50.0,52.0,49.52,51.62,204500.0
2015-05-18,51.01,51.49,49.04,49.12,73500.0
2015-05-19,49.12,50.0,48.85,49.0,38000.0
2015-05-20,49.0,49.0,48.0,48.09,143000.0
2015-05-21,49.4,49.4,45.69,46.07,116500.0
2015-05-22,47.0,47.49,46.25,47.13,646500.0
2015-05-25,46.6,47.8,46.51,47.15,36500.0
2015-05-26,47.15,47.2,46.7,47.0,3000.0
2015-05-27,46.99,47.5,46.75,47.47,29000.0
2015-05-28,48.0,48.0,47.0,47.05,23000.0
2015-05-29,47.0,47.0,46.46,46.83,7500.0
2015-06-01,46.6,47.6,46.6,47.54,192500.0
2015-06-02,47.49,47.5,47.0,47.01,40500.0
2015-06-03,46.99,47.0,46.68,46.8,9000.0
2015-06-04,46.99,46.99,46.32,46.63,20000.0
2015-06-05,46.7,47.13,46.0,46.56,17500.0
2015-06-08,45.11,47.4,45.11,46.41,63500.0
2015-06-09,46.0,46.5,45.6,45.91,35500.0
2015-06-10,45.9,46.4,45.6,45.95,71000.0
2015-06-11,45.95,48.24,45.6,47.52,264000.0
2015-06-12,47.9,48.5,47.28,47.99,325000.0
2015-06-15,48.5,50.38,48.3,50.38,297500.0
2015-06-16,52.89,52.89,49.01,50.45,606500.0
2015-06-17,50.0,51.25,49.4,50.69,273000.0
2015-06-18,50.9,52.75,50.5,52.08,211000.0
2015-06-19,51.62,51.62,50.1,50.81,22000.0
2015-06-22,49.5,50.3,49.5,50.08,42500.0
2015-06-23,50.09,51.0,50.0,50.05,284000.0
2015-06-24,50.4,52.55,50.01,52.55,283000.0
