Date,Open,High,Low,Close,Volume
2011-09-22,10.0,10.11,9.5,9.96,834604.0
2011-09-23,9.96,10.0,8.96,9.62,891005.0
2011-09-26,9.62,9.75,8.75,9.29,77000.0
2011-09-27,9.29,9.75,8.29,9.61,17100.0
2011-09-28,9.61,9.95,9.49,9.72,40000.0
2011-09-29,9.72,9.75,9.0,9.69,37003.0
2011-09-30,9.69,10.69,8.82,9.53,862904.0
2011-10-03,9.53,10.0,9.98,9.99,23002.0
2011-10-04,9.99,10.4,10.0,10.32,6400.0
2011-10-05,10.32,10.01,9.32,9.9,28800.0
2011-10-06,9.9,10.45,9.03,9.77,61013.0
2011-10-07,9.77,10.06,9.02,10.02,82859.0
2011-10-10,10.02,11.02,9.5,10.52,233920.0
2011-10-11,10.52,11.25,9.7,10.04,30500.0
2011-10-12,10.04,10.3,9.04,9.66,174100.0
2011-10-13,9.66,10.18,9.16,10.03,3708.0
2011-10-14,10.03,10.0,9.23,10.0,1128.0
2011-10-17,10.0,10.0,10.0,10.0,1200.0
2011-10-18,10.0,10.0,10.0,10.0,1100.0
2011-10-19,10.0,10.0,9.15,9.95,2100.0
2011-10-20,9.95,10.0,10.0,9.95,100.0
2011-10-21,9.95,10.0,10.0,10.0,1200.0
2011-10-25,10.0,10.0,10.0,10.0,200.0
2011-10-26,10.0,10.0,10.0,10.0,220.0
2011-10-27,10.0,10.0,9.05,10.0,106.0
2011-10-28,10.0,10.0,9.98,10.0,1485.0
2011-10-31,10.0,10.0,9.99,10.0,6100.0
2011-11-01,10.0,10.0,9.0,10.0,16810.0
2011-11-02,10.0,10.0,9.04,9.88,9750.0
2011-11-03,9.88,10.0,9.23,9.76,6200.0
2011-11-04,9.76,10.0,9.36,9.79,5600.0
2011-11-10,9.79,9.99,9.8,9.79,405.0
2011-11-11,9.79,10.0,9.0,9.0,23512.0
2011-11-14,9.0,10.0,8.4,9.91,21304.0
2011-11-15,9.91,10.0,10.0,9.91,100.0
2011-11-16,9.91,10.0,10.0,9.91,100.0
2011-11-17,9.91,10.0,10.0,9.91,100.0
2011-11-18,9.91,10.0,10.0,9.91,100.0
2011-11-21,9.91,10.0,9.7,9.91,305.0
2011-11-22,9.91,10.1,9.0,9.6,134100.0
2011-11-23,9.6,10.0,9.51,10.0,20101.0
2011-11-24,10.0,10.0,10.0,10.0,1000.0
2011-11-25,10.0,10.0,10.0,10.0,1001.0
2011-11-28,10.0,10.0,9.01,9.91,50712.0
2011-11-29,9.91,10.0,9.26,9.89,26000.0
2011-11-30,9.89,9.99,9.31,9.83,10162.0
2011-12-01,9.83,10.0,9.99,10.0,1000.0
2011-12-02,10.0,10.0,9.27,10.0,1001.0
2011-12-07,10.0,10.0,10.0,10.0,100.0
2011-12-08,10.0,10.0,9.99,9.99,100.0
2011-12-09,9.99,10.0,9.15,10.0,501.0
2011-12-12,10.0,10.0,10.0,10.0,200.0
2011-12-13,10.0,10.0,9.11,10.0,396.0
2011-12-14,10.0,10.0,10.0,10.0,100.0
2011-12-15,10.0,9.7,9.6,9.7,2000.0
2011-12-16,9.7,10.0,9.8,9.92,3100.0
2011-12-20,9.92,10.0,10.0,10.0,500.0
2011-12-21,10.0,10.0,10.0,10.0,250.0
2011-12-22,10.0,10.0,9.35,10.0,253.0
2011-12-23,10.0,10.0,9.28,10.0,307.0
2011-12-26,10.0,10.0,9.31,9.82,9121.0
2011-12-27,9.82,10.0,9.31,9.82,103.0
2011-12-28,9.82,10.0,9.54,9.82,204.0
2011-12-29,9.82,10.0,9.31,9.82,158.0
2011-12-30,9.82,10.75,8.83,10.08,37794.0
2012-01-02,10.08,10.99,10.7,10.96,1000.0
2012-01-03,10.96,10.25,10.0,10.0,2906.0
2012-01-04,10.0,10.0,9.1,9.99,2503.0
2012-01-05,9.99,10.0,9.15,10.0,2510.0
2012-01-06,10.0,10.0,9.15,9.91,12313.0
2012-01-09,9.91,10.0,9.23,10.0,2502.0
2012-01-10,10.0,10.0,10.0,10.0,2500.0
2012-01-11,10.0,9.99,9.51,9.99,2501.0
2012-01-12,9.99,10.0,9.0,10.0,2503.0
2012-01-13,10.0,10.0,9.0,10.0,2504.0
2012-01-16,10.0,10.0,9.0,10.0,2506.0
2012-01-17,10.0,10.0,10.0,10.0,2500.0
2012-01-18,10.0,10.0,10.0,10.0,2500.0
2012-01-19,10.0,10.0,9.99,10.0,2500.0
2012-01-20,10.0,10.0,9.5,9.99,9491.0
2012-01-23,9.99,10.99,9.52,10.2,181355.0
2012-01-24,10.2,10.17,9.2,10.03,16005.0
2012-01-25,10.03,10.0,9.99,10.0,224000.0
2012-01-26,10.0,10.0,9.99,10.0,3000.0
2012-01-27,10.0,10.0,9.61,9.98,20178.0
2012-01-30,9.98,10.05,9.7,10.01,26790.0
2012-01-31,10.01,10.0,9.76,10.0,3000.0
