Date,Open,High,Low,Close,Volume
2018-01-11,9.51,9.51,9.51,9.51,500.0
2018-01-12,10.5,10.5,9.0,10.0,51000.0
2018-01-16,0.0,10.0,10.0,10.0,800000.0
2018-01-17,0.0,10.0,10.0,10.0,800000.0
2018-01-18,10.85,10.85,10.85,10.85,500.0
2018-01-19,10.5,10.5,10.5,10.5,100000.0
2018-01-25,9.55,9.55,9.52,9.53,1500.0
2018-01-26,10.0,10.39,10.0,10.0,54500.0
2018-01-30,9.99,10.0,9.99,10.0,218500.0
2018-01-31,10.0,10.0,10.0,10.0,225000.0
2018-02-01,10.25,10.25,9.0,9.5,1032500.0
2018-02-02,9.7,9.7,9.16,9.23,21500.0
2018-02-06,9.44,9.9,9.44,9.75,20000.0
2018-02-09,9.45,9.5,9.45,9.5,25000.0
2018-02-12,9.3,9.3,9.01,9.01,42000.0
2018-02-13,9.1,9.1,9.0,9.0,9500.0
2018-02-14,9.2,9.2,9.0,9.0,101000.0
2018-02-16,0.0,9.0,9.0,9.0,500.0
2018-02-20,8.8,8.8,8.8,8.8,1000.0
2018-02-23,9.75,9.8,9.69,9.8,142000.0
2018-02-26,10.49,10.75,10.25,10.48,134500.0
2018-02-27,10.3,10.55,9.48,9.53,2024000.0
2018-02-28,9.25,10.32,9.03,10.26,39000.0
2018-03-01,10.6,10.6,10.2,10.37,33000.0
2018-03-02,10.01,10.1,10.01,10.03,2000.0
2018-03-06,9.76,9.76,9.03,9.33,124500.0
2018-03-07,9.2,9.6,9.2,9.6,81500.0
2018-03-08,9.55,9.55,9.55,9.55,500.0
2018-03-09,0.0,9.55,9.55,9.55,500.0
2018-03-12,9.59,9.68,9.59,9.68,3500.0
2018-03-13,9.69,9.75,9.69,9.75,1500.0
2018-03-14,9.84,9.95,9.84,9.94,3000.0
2018-03-15,9.85,10.0,9.85,10.0,14000.0
2018-03-16,10.0,10.0,9.75,9.75,6000.0
2018-03-19,0.0,9.75,9.75,9.75,2000.0
2018-03-20,9.66,9.66,9.66,9.66,1000.0
2018-03-21,9.8,9.8,9.8,9.8,10000.0
2018-03-22,10.0,10.25,9.9,10.08,2107000.0
2018-03-26,9.61,10.0,9.55,10.0,15000.0
2018-03-27,10.0,10.0,9.8,9.84,175500.0
2018-03-28,9.62,10.05,9.62,10.0,102500.0
2018-03-29,10.05,10.05,9.83,9.84,12000.0
2018-04-02,9.95,9.95,9.6,9.6,1000.0
2018-04-03,9.85,9.85,9.85,9.85,2500.0
2018-04-06,9.8,9.8,9.7,9.75,1000.0
2018-04-11,9.61,9.65,9.61,9.65,9500.0
2018-04-16,9.98,9.98,9.98,9.98,500.0
2018-04-17,9.52,9.94,9.52,9.73,1000.0
2018-04-18,9.51,9.88,9.1,9.41,224500.0
2018-04-19,9.5,9.72,9.5,9.71,1500.0
2018-04-20,9.3,9.3,9.25,9.25,2000.0
2018-04-24,9.55,9.6,9.55,9.6,1500.0
2018-04-25,9.45,9.45,9.45,9.45,500.0
2018-04-26,9.5,9.8,9.5,9.6,20000.0
2018-04-27,9.8,9.8,9.59,9.59,8500.0
2018-04-30,9.65,9.65,9.51,9.54,20000.0
2018-05-04,9.5,9.5,9.5,9.5,1500.0
