Date,Open,High,Low,Close,Volume
2001-01-03,15.15,15.15,15.15,15.15,0.0
2001-01-10,15.15,11.65,11.65,11.65,5000.0
2001-01-11,11.65,14.5,12.1,14.5,7500.0
2001-01-12,14.5,13.5,13.5,13.5,500.0
2001-01-17,13.5,15.0,14.1,14.1,2000.0
2001-01-18,14.1,13.8,13.8,13.8,1000.0
2001-01-19,13.8,13.8,13.8,13.8,500.0
2001-01-22,13.8,15.0,14.9,14.9,4000.0
2001-01-23,14.9,14.1,14.1,14.1,1000.0
2001-01-25,14.1,14.2,14.2,14.2,1000.0
2001-01-26,14.2,14.0,14.0,14.0,3500.0
2001-01-31,14.0,14.0,13.8,13.8,3500.0
2001-02-02,13.8,14.0,14.0,14.0,500.0
2001-02-07,14.0,15.25,14.5,15.25,3000.0
2001-02-08,15.25,14.25,14.1,14.1,2000.0
2001-02-12,14.1,14.0,14.0,14.0,500.0
2001-02-13,14.0,13.75,13.75,13.75,1000.0
2001-02-16,13.75,14.0,14.0,14.0,2000.0
2001-02-26,14.0,19.0,14.75,16.0,7000.0
2001-02-27,16.0,15.05,15.05,15.05,2500.0
2001-02-28,15.05,15.05,15.0,15.0,6000.0
2001-03-02,15.0,14.5,14.5,14.5,1000.0
2001-03-15,14.5,14.5,14.5,14.5,0.0
2001-03-22,14.5,14.25,14.25,14.25,500.0
2001-03-28,14.25,14.0,14.0,14.0,1000.0
2001-03-29,14.0,13.75,13.75,13.75,1000.0
2001-04-20,13.75,13.1,13.1,13.1,500.0
2001-04-23,13.1,13.1,13.1,13.1,500.0
2001-04-26,13.1,12.5,12.5,12.5,500.0
2001-05-03,12.5,12.0,12.0,12.0,500.0
2001-05-08,12.0,11.25,11.25,11.25,500.0
2001-05-09,11.25,11.25,11.25,11.25,500.0
2001-05-10,11.25,11.25,11.25,11.25,500.0
2001-05-11,11.25,11.25,11.25,11.25,500.0
2001-06-12,11.25,12.0,12.0,12.0,1000.0
2001-06-18,12.0,13.0,13.0,13.0,500.0
2001-06-19,13.0,13.0,13.0,13.0,500.0
2001-07-20,13.0,13.0,13.0,13.0,1000.0
2001-08-01,13.0,13.0,12.25,13.0,1500.0
2001-08-23,13.0,12.25,12.25,12.25,1000.0
2001-10-30,12.25,12.0,12.0,12.0,500.0
2001-11-02,12.0,12.5,12.5,12.5,2000.0
2001-11-05,12.5,15.0,13.5,14.5,2500.0
2001-11-07,14.5,16.0,15.25,16.0,2500.0
2001-11-08,16.0,15.5,15.4,15.4,1500.0
2001-11-14,15.4,14.7,14.7,14.7,500.0
2001-11-15,14.7,14.7,14.7,14.7,1000.0
2001-11-16,14.7,15.0,15.0,15.0,1500.0
2001-11-20,15.0,15.25,15.25,15.25,3500.0
2001-11-21,15.25,15.0,15.0,15.0,2000.0
2001-11-22,15.0,14.75,14.75,14.75,500.0
2001-12-01,14.75,14.5,14.5,14.5,1000.0
2001-12-04,14.5,14.5,14.5,14.5,500.0
2001-12-15,13.3,13.3,13.3,13.3,0.0
2002-01-15,13.3,13.3,13.3,13.3,500.0
2002-01-16,13.3,13.0,13.0,13.0,1000.0
2002-01-24,13.0,14.5,14.5,14.5,500.0
2002-02-13,14.5,15.95,15.95,15.95,500.0
2002-02-14,15.95,17.4,17.0,17.0,1500.0
2002-02-15,17.0,16.0,16.0,16.0,1500.0
2002-02-20,16.0,16.0,16.0,16.0,2000.0
2002-02-21,16.0,17.5,17.5,17.5,1000.0
2002-02-27,17.5,17.0,17.0,17.0,2000.0
2002-03-05,17.0,16.25,16.25,16.25,1000.0
2002-03-06,16.25,17.0,16.0,16.0,4000.0
2002-03-07,16.0,16.9,16.15,16.15,10500.0
2002-03-08,16.15,16.25,16.25,16.25,5000.0
2002-03-11,16.25,17.0,16.15,16.15,2000.0
2002-03-12,16.15,16.25,16.25,16.25,4000.0
2002-03-15,16.25,15.75,15.5,15.5,3000.0
2002-03-18,15.5,15.55,15.5,15.5,3500.0
2002-04-01,15.5,17.0,15.6,15.6,1000.0
2002-04-03,15.6,15.15,15.15,15.15,500.0
2002-04-10,15.15,15.1,15.1,15.1,0.0
2002-04-15,15.1,15.25,15.25,15.25,0.0
2002-04-18,15.25,15.75,15.75,15.75,0.0
2002-04-22,15.75,17.25,16.95,17.25,2000.0
2002-04-23,17.25,18.75,17.25,17.25,1000.0
2002-04-24,17.25,17.9,17.25,17.25,7500.0
2002-04-25,17.25,17.25,17.25,17.25,1000.0
2002-04-26,17.25,17.05,17.0,17.0,1500.0
2002-04-29,17.0,16.5,16.0,16.3,13500.0
2002-04-30,16.3,16.5,16.5,16.5,3000.0
2002-05-02,16.5,17.25,17.15,17.15,500.0
2002-05-03,17.15,17.1,17.1,17.1,1000.0
2002-05-06,17.1,18.6,16.5,16.5,3500.0
2002-05-08,16.5,16.8,16.3,16.3,1000.0
2002-05-13,16.3,17.6,16.5,16.5,500.0
2002-05-15,16.5,16.5,16.5,16.5,500.0
2002-05-16,16.5,16.4,16.4,16.4,500.0
2002-05-17,16.4,17.2,16.05,16.05,1500.0
2002-05-22,16.05,15.05,15.05,15.05,1000.0
2002-05-24,15.05,16.0,16.0,16.0,1000.0
2002-05-27,16.0,16.4,16.4,16.4,500.0
2002-05-29,16.4,16.3,16.3,16.3,0.0
2002-05-30,16.3,16.25,16.25,16.25,0.0
2002-06-03,16.25,16.1,16.1,16.1,0.0
2002-06-20,16.1,17.5,16.5,16.5,500.0
2002-07-11,16.5,16.1,16.1,16.1,0.0
2002-07-24,16.1,16.0,16.0,16.0,0.0
2002-07-25,16.0,16.1,16.0,16.1,2500.0
2002-07-26,16.1,16.05,16.05,16.05,0.0
2002-07-29,16.05,16.0,16.0,16.0,2000.0
2002-08-06,16.0,15.75,15.75,15.75,0.0
2002-08-08,15.75,16.0,16.0,16.0,500.0
2002-08-12,16.0,16.0,16.0,16.0,500.0
2002-08-16,16.0,15.8,15.8,15.8,0.0
2002-08-19,15.8,15.75,15.75,15.75,0.0
2002-08-20,15.75,15.6,15.6,15.6,0.0
2002-08-21,15.6,15.55,15.55,15.55,0.0
2002-08-22,15.55,15.45,15.45,15.45,0.0
2002-08-23,15.45,14.5,14.5,14.5,1000.0
2002-08-26,14.5,16.0,15.3,16.0,1000.0
2002-08-27,16.0,15.75,15.75,15.75,0.0
2002-08-29,15.75,15.6,15.6,15.6,0.0
2002-09-02,15.6,15.05,15.0,15.0,1000.0
2002-09-03,15.0,15.0,15.0,15.0,1000.0
2002-09-25,15.0,16.25,16.25,16.25,500.0
2002-09-26,16.25,17.0,16.25,16.45,3000.0
2002-09-27,16.45,16.5,16.1,16.1,1000.0
2002-09-30,16.1,16.0,16.0,16.0,0.0
2002-10-01,16.0,15.5,15.5,15.5,0.0
2002-10-02,15.5,14.95,14.95,14.95,0.0
2002-10-03,14.95,13.95,13.95,13.95,1000.0
2002-10-04,13.95,13.3,13.25,13.25,6000.0
2002-10-08,13.25,14.3,14.3,14.3,500.0
2002-10-09,14.3,14.0,14.0,14.0,0.0
2002-10-15,14.0,15.25,15.0,15.25,1000.0
2002-10-21,14.05,14.05,14.05,14.05,0.0
2002-10-22,14.05,14.0,14.0,14.0,1000.0
2002-10-23,14.0,15.5,15.0,15.0,1000.0
2002-10-29,15.0,14.5,14.5,14.5,0.0
2002-12-09,14.5,15.0,15.0,15.0,2000.0
2002-12-10,15.0,15.0,15.0,15.0,1000.0
2002-12-11,15.0,14.5,14.5,14.5,0.0
2002-12-17,14.5,15.5,15.0,15.5,1000.0
2002-12-19,15.5,14.5,14.5,14.5,500.0
2002-12-24,14.5,15.95,14.75,15.5,3000.0
2002-12-26,15.5,16.5,15.3,16.5,25500.0
2002-12-27,16.5,15.7,15.6,15.6,4500.0
2002-12-30,15.6,14.6,14.6,14.6,500.0
2002-12-31,14.6,15.75,15.75,15.75,500.0
2003-01-01,15.75,16.0,15.7,16.0,4000.0
2003-01-02,16.0,15.75,15.75,15.75,1000.0
2003-01-06,15.75,15.5,15.5,15.5,1000.0
2003-01-07,15.5,16.0,15.25,15.95,6500.0
2003-01-13,15.95,15.95,15.95,15.95,5000.0
2003-01-14,15.95,16.0,15.5,16.0,1000.0
2003-01-16,16.0,15.85,15.85,15.85,0.0
2003-01-17,15.85,16.0,16.0,16.0,500.0
2003-01-21,16.0,15.75,15.75,15.75,0.0
2003-01-27,15.75,15.0,15.0,15.0,500.0
2003-01-28,15.0,15.0,15.0,15.0,1000.0
2003-01-29,15.0,14.75,14.5,14.5,2000.0
2003-03-07,14.5,14.25,14.25,14.25,0.0
2003-03-11,14.25,14.0,14.0,14.0,0.0
2003-03-17,14.0,13.75,13.75,13.75,0.0
2003-03-18,13.75,13.5,13.5,13.5,0.0
2003-03-19,13.5,13.25,13.25,13.25,0.0
2003-03-20,13.25,13.5,13.25,13.25,1500.0
2003-03-21,13.25,13.5,13.0,13.0,4000.0
2003-03-24,13.0,13.0,12.9,12.9,2000.0
2003-03-25,12.9,12.9,12.9,12.9,500.0
2003-03-31,12.9,13.0,13.0,13.0,0.0
2003-04-02,13.0,13.5,13.5,13.5,1000.0
2003-04-04,13.5,13.5,13.5,13.5,500.0
2003-04-16,13.5,14.0,14.0,14.0,500.0
2003-04-17,14.0,15.0,14.3,15.0,1500.0
2003-04-21,15.0,15.0,15.0,15.0,500.0
2003-04-22,15.0,15.0,14.8,14.8,1500.0
2003-05-02,14.8,16.3,16.25,16.3,4000.0
2003-05-05,16.3,17.8,17.75,17.75,31500.0
2003-05-06,17.75,19.25,18.6,19.25,27500.0
2003-05-07,19.25,20.75,20.3,20.75,30000.0
2003-05-08,20.75,22.3,20.8,22.2,58500.0
2003-05-09,22.2,23.85,22.8,23.75,47000.0
2003-05-12,23.75,23.3,22.6,23.1,3000.0
2003-05-13,23.1,22.9,22.0,22.0,11000.0
2003-05-14,22.0,22.85,21.1,22.8,13500.0
2003-05-16,22.8,23.3,22.3,22.3,6000.0
2003-05-19,22.3,22.25,22.05,22.05,7000.0
2003-05-20,22.05,22.5,21.0,22.5,7500.0
2003-05-21,22.5,24.15,22.65,24.15,27500.0
2003-05-22,24.15,25.95,25.0,25.8,28500.0
2003-05-23,25.8,26.5,26.0,26.0,12500.0
2003-05-26,26.0,26.25,25.2,25.2,5500.0
2003-05-27,25.2,25.0,24.3,24.95,7000.0
2003-05-28,24.95,25.45,24.5,24.5,4500.0
2003-05-29,24.5,25.0,24.6,24.6,4000.0
2003-05-30,24.6,25.7,24.5,24.5,4500.0
2003-06-02,24.5,24.85,24.1,24.85,1000.0
2003-06-03,24.85,26.0,25.15,26.0,15000.0
2003-06-04,26.0,27.45,26.0,27.05,38000.0
2003-06-05,27.05,28.0,26.55,27.5,28000.0
2003-06-06,27.5,29.45,27.75,29.0,27500.0
2003-06-09,29.0,30.0,29.0,29.0,2000.0
2003-06-10,29.0,28.25,27.8,27.8,4000.0
2003-06-11,27.8,29.5,27.1,27.1,9500.0
2003-06-12,27.1,26.75,26.1,26.75,4500.0
2003-06-13,26.75,26.9,25.5,26.3,750500.0
2003-06-16,26.3,27.0,26.75,26.75,6000.0
2003-06-17,26.75,28.0,27.0,27.0,7500.0
2003-06-18,27.0,27.5,27.3,27.5,3000.0
2003-06-19,27.5,27.45,26.15,27.45,10500.0
2003-06-20,27.45,28.5,26.75,28.3,17000.0
2003-06-23,28.3,29.85,28.95,29.85,30500.0
2003-06-24,29.85,32.05,30.5,32.05,41500.0
2003-06-25,32.05,34.45,32.0,34.45,50000.0
2003-06-26,34.45,35.9,32.75,32.75,36000.0
2003-06-27,32.75,32.5,31.15,31.15,17500.0
2003-06-30,31.15,29.6,29.6,29.6,7500.0
2003-07-01,29.6,30.05,28.15,30.05,59500.0
2003-07-02,30.05,32.3,31.75,32.3,8000.0
2003-07-07,32.3,32.0,31.0,32.0,5000.0
2003-07-08,32.0,33.0,32.0,33.0,15500.0
2003-07-09,33.0,34.0,32.5,33.9,7500.0
2003-07-10,33.9,33.0,32.55,32.55,2000.0
2003-07-11,32.55,33.5,33.5,33.5,500.0
