Date,Open,High,Low,Close,Volume
2001-01-03,13.0,14.25,13.5,14.25,2000.0
2001-01-04,14.25,14.25,14.25,14.25,1000.0
2001-01-08,14.25,13.75,13.5,13.75,5000.0
2001-01-10,13.75,13.6,13.6,13.6,500.0
2001-01-12,13.6,13.7,13.7,13.7,500.0
2001-01-15,13.7,15.15,13.75,15.15,21500.0
2001-01-16,15.15,15.0,14.95,15.0,6000.0
2001-01-17,15.0,15.0,14.5,14.5,4500.0
2001-01-18,14.5,14.75,14.75,14.75,25000.0
2001-01-19,14.75,15.0,14.5,15.0,13000.0
2001-01-22,15.0,15.5,15.0,15.2,5500.0
2001-01-23,15.2,15.75,14.5,14.75,78500.0
2001-01-24,14.75,15.0,14.7,14.7,9500.0
2001-01-25,14.7,14.75,14.7,14.75,9500.0
2001-01-26,14.75,14.85,14.75,14.85,9500.0
2001-01-29,14.85,15.5,14.8,14.8,37000.0
2001-01-31,14.8,14.9,14.8,14.9,8000.0
2001-02-01,14.9,14.8,14.8,14.8,1000.0
2001-02-02,14.8,14.85,14.8,14.8,18000.0
2001-02-06,14.8,14.85,14.6,14.85,4500.0
2001-02-08,14.85,14.8,14.7,14.7,9000.0
2001-02-09,14.7,14.75,14.65,14.65,18000.0
2001-02-12,14.65,14.75,14.75,14.75,2500.0
2001-02-13,14.75,14.8,14.7,14.75,3000.0
2001-02-14,14.75,14.7,14.7,14.7,1000.0
2001-02-15,14.7,14.7,14.7,14.7,1000.0
2001-02-16,14.7,14.5,14.0,14.0,2000.0
2001-02-19,14.0,14.15,14.0,14.0,10000.0
2001-02-20,12.0,12.0,12.0,12.0,0.0
2001-02-23,12.0,10.0,10.0,10.0,500.0
2001-02-27,10.0,12.0,12.0,12.0,500.0
2001-03-01,12.0,11.25,11.25,11.25,500.0
2001-03-12,11.25,12.0,12.0,12.0,500.0
2001-03-13,12.0,12.0,12.0,12.0,2500.0
2001-03-26,12.0,11.0,11.0,11.0,500.0
2001-03-28,11.0,11.75,11.75,11.75,500.0
2001-04-02,11.75,12.0,12.0,12.0,500.0
2001-04-09,12.0,12.3,12.3,12.3,3500.0
2001-04-11,12.3,12.0,12.0,12.0,1000.0
2001-04-12,12.0,12.0,12.0,12.0,0.0
2001-04-24,12.0,12.5,12.5,12.5,1000.0
2001-04-27,12.5,12.55,12.55,12.55,500.0
2001-05-02,12.55,13.0,13.0,13.0,500.0
2001-05-07,13.0,13.0,13.0,13.0,500.0
2001-05-08,13.0,12.8,12.75,12.75,1500.0
2001-05-09,12.75,12.5,12.5,12.5,5000.0
2001-05-10,12.5,12.75,12.5,12.5,4000.0
2001-05-14,12.5,12.55,12.55,12.55,500.0
2001-05-15,12.55,12.55,12.5,12.55,27000.0
2001-05-16,12.55,11.05,11.05,11.05,500.0
2001-05-17,11.05,12.65,12.65,12.65,500.0
2001-05-21,12.65,12.55,12.55,12.55,500.0
2001-05-22,12.55,13.25,12.8,13.0,9000.0
2001-05-24,13.0,13.0,12.8,12.85,3000.0
2001-05-25,12.85,14.0,13.5,14.0,4500.0
2001-05-30,14.0,12.75,12.75,12.75,500.0
2001-06-07,12.75,13.0,13.0,13.0,3000.0
2001-06-11,13.0,13.0,13.0,13.0,500.0
2001-06-13,13.0,13.0,13.0,13.0,1000.0
2001-06-15,13.0,13.0,13.0,13.0,500.0
2001-06-21,13.0,13.0,13.0,13.0,500.0
2001-06-25,13.0,13.1,13.1,13.1,500.0
2001-06-27,13.1,13.1,12.9,13.05,2500.0
2001-07-11,13.05,12.5,12.5,12.5,500.0
2001-08-03,12.5,13.25,12.6,13.25,12000.0
2001-08-20,13.25,11.65,11.65,11.65,500.0
2001-08-21,11.65,11.6,11.6,11.6,500.0
2001-08-30,11.6,13.0,13.0,13.0,1000.0
2001-09-06,13.0,13.15,13.15,13.15,1500.0
2001-09-24,13.15,12.5,12.5,12.5,2000.0
2001-09-25,12.5,12.0,12.0,12.0,500.0
2001-09-27,12.0,13.0,13.0,13.0,1000.0
2001-10-01,13.0,12.4,12.4,12.4,4000.0
2001-10-02,12.4,12.0,12.0,12.0,5000.0
2001-10-03,12.0,12.0,12.0,12.0,2500.0
2001-10-05,12.0,12.1,12.1,12.1,1000.0
2001-10-11,12.1,12.5,12.5,12.5,2000.0
2001-10-26,12.5,13.0,13.0,13.0,500.0
2001-11-15,13.0,12.95,12.95,12.95,1000.0
2001-12-05,12.95,13.0,13.0,13.0,1500.0
2002-01-02,13.0,13.0,13.0,13.0,2500.0
2002-01-03,13.0,13.0,13.0,13.0,1000.0
2002-01-16,13.0,13.0,13.0,13.0,5000.0
2002-01-17,13.0,13.5,13.5,13.5,1000.0
2002-01-18,13.5,13.5,13.5,13.5,1500.0
2002-01-21,13.5,13.75,13.75,13.75,1500.0
2002-01-28,13.75,13.0,13.0,13.0,1500.0
2002-02-01,13.0,12.25,12.25,12.25,500.0
2002-02-06,12.25,13.0,13.0,13.0,2000.0
2002-02-07,13.0,13.75,13.5,13.75,12000.0
2002-02-11,13.75,13.75,13.75,13.75,500.0
2002-02-12,13.75,13.25,13.25,13.25,1000.0
2002-02-13,13.25,13.5,13.5,13.5,500.0
2002-02-14,12.25,12.5,12.0,12.5,10500.0
2002-02-18,12.5,12.0,12.0,12.0,500.0
2002-02-19,12.0,12.5,12.5,12.5,9500.0
2002-02-21,12.5,12.5,12.5,12.5,1000.0
2002-02-28,12.5,12.45,12.45,12.45,5000.0
2002-03-01,12.45,12.45,12.45,12.45,500.0
2002-03-08,12.45,12.45,12.45,12.45,0.0
2002-03-18,12.45,12.5,12.5,12.5,1000.0
2002-03-19,12.5,12.45,12.45,12.45,1000.0
2002-03-21,12.45,13.0,13.0,13.0,500.0
2002-03-27,13.0,13.0,13.0,13.0,500.0
