Date,Open,High,Low,Close,Volume
2001-01-01,15.25,15.25,15.25,15.25,0.0
2001-01-26,15.25,15.0,10.5,15.0,22000.0
2001-01-29,15.0,15.0,15.0,15.0,1000.0
2001-01-31,15.0,15.0,15.0,15.0,500.0
2001-02-02,15.0,15.0,14.0,15.0,1000.0
2001-02-12,15.0,15.0,15.0,15.0,12500.0
2001-02-13,15.0,15.0,13.05,15.0,4500.0
2001-02-15,15.0,15.5,15.0,15.5,10500.0
2001-02-22,15.5,15.0,15.0,15.0,2500.0
2001-02-23,15.0,15.9,15.9,15.9,500.0
2001-03-02,15.9,15.55,15.4,15.55,9000.0
2001-03-12,15.55,15.55,15.0,15.5,2000.0
2001-03-13,15.5,15.5,15.5,15.5,500.0
2001-03-15,15.5,15.5,15.5,15.5,500.0
2001-03-20,15.5,14.75,14.75,14.75,1000.0
2001-03-21,14.75,16.0,15.0,15.0,2000.0
2001-03-22,15.0,15.1,15.1,15.1,500.0
2001-04-26,15.1,15.1,14.5,14.5,3000.0
2001-04-27,14.5,14.5,14.5,14.5,500.0
2001-05-02,14.5,14.5,14.5,14.5,500.0
2001-05-03,14.5,15.0,15.0,15.0,1000.0
2001-05-09,15.0,15.0,15.0,15.0,5500.0
2001-05-17,15.0,15.0,14.9,15.0,1500.0
2001-05-24,15.0,15.0,15.0,15.0,1500.0
2001-05-29,15.0,15.15,15.15,15.15,500.0
2001-05-30,15.15,15.05,15.05,15.05,500.0
2001-05-31,15.05,15.1,15.1,15.1,500.0
2001-06-01,15.1,16.0,16.0,16.0,1000.0
2001-06-15,16.0,15.0,15.0,15.0,1000.0
2001-06-18,15.0,15.0,15.0,15.0,500.0
2001-06-19,15.0,15.0,15.0,15.0,500.0
2001-06-27,15.0,15.5,15.5,15.5,5000.0
2001-06-29,15.5,15.5,15.25,15.5,3000.0
2001-07-11,15.5,15.6,15.5,15.5,3000.0
2001-07-12,15.5,15.0,15.0,15.0,1000.0
2001-07-16,15.0,15.0,14.9,15.0,1000.0
2001-07-18,15.0,15.0,15.0,15.0,1000.0
2001-08-02,15.0,15.0,15.0,15.0,500.0
2001-08-07,15.0,15.0,15.0,15.0,1000.0
2001-08-08,15.0,15.0,15.0,15.0,1000.0
2001-08-13,15.0,15.0,15.0,15.0,2000.0
2001-08-20,15.0,14.8,14.8,14.8,1000.0
2001-08-21,14.8,14.75,14.75,14.75,1000.0
2001-08-22,14.75,15.0,15.0,15.0,1500.0
2001-08-30,15.0,15.25,15.25,15.25,500.0
2001-09-04,15.25,15.25,15.25,15.25,500.0
2001-09-06,15.25,15.5,15.5,15.5,500.0
2001-09-12,15.5,14.65,14.5,14.5,2000.0
2001-09-24,14.5,15.5,15.5,15.5,1500.0
2001-09-26,15.5,15.5,15.5,15.5,1500.0
2001-09-28,15.5,15.5,15.5,15.5,2000.0
2001-10-01,15.5,15.5,15.5,15.5,8000.0
2001-10-02,15.5,15.5,15.5,15.5,4000.0
2001-10-05,15.5,16.5,16.5,16.5,1000.0
2001-10-09,16.5,17.0,17.0,17.0,1000.0
2001-10-19,17.0,17.0,17.0,17.0,500.0
2001-10-24,17.0,17.0,17.0,17.0,1000.0
2001-10-30,17.0,17.0,17.0,17.0,1000.0
2001-11-02,17.0,17.0,17.0,17.0,2500.0
2001-11-07,17.0,17.25,17.25,17.25,500.0
2001-11-08,17.25,18.0,18.0,18.0,1500.0
2001-11-13,18.0,18.0,18.0,18.0,2000.0
2001-12-01,16.0,16.0,16.0,16.0,0.0
2002-01-23,16.0,15.5,15.5,15.5,1000.0
2002-01-29,15.5,15.45,15.45,15.45,2000.0
2002-02-01,15.45,15.75,15.75,15.75,500.0
2002-02-06,15.75,15.75,15.0,15.75,1500.0
2002-02-11,15.75,15.5,15.5,15.5,1500.0
2002-02-12,15.5,15.5,15.25,15.5,2500.0
2002-02-13,15.5,15.5,15.5,15.5,3000.0
2002-02-18,15.5,17.0,15.5,17.0,2500.0
2002-02-20,17.0,15.75,15.75,15.75,500.0
2002-02-21,15.75,16.0,16.0,16.0,500.0
2002-02-27,16.0,16.0,16.0,16.0,3000.0
2002-02-28,16.0,16.0,16.0,16.0,2000.0
2002-03-06,16.0,16.0,16.0,16.0,500.0
2002-03-18,16.0,16.0,16.0,16.0,500.0
2002-03-22,16.0,16.1,16.1,16.1,0.0
2002-04-03,16.1,15.75,15.75,15.75,1500.0
2002-04-04,15.75,15.75,15.75,15.8,2500.0
2002-04-09,15.8,15.85,15.8,15.8,1500.0
2002-04-10,15.8,15.85,15.85,15.85,0.0
2002-04-16,15.85,16.0,16.0,16.0,0.0
2002-04-17,16.0,16.0,16.0,16.0,500.0
2002-04-26,16.0,16.0,15.8,16.0,1000.0
2002-04-29,16.0,16.1,16.1,16.1,0.0
2002-05-02,16.1,17.0,17.0,17.0,500.0
2002-05-03,17.0,16.5,16.5,16.5,500.0
2002-05-06,16.5,17.0,17.0,17.0,1000.0
2002-05-08,17.0,16.15,16.0,16.15,1000.0
2002-05-09,16.15,16.3,16.3,16.3,0.0
2002-05-10,16.3,16.75,16.75,16.75,1000.0
2002-05-13,16.75,16.75,16.75,16.75,1000.0
2002-05-15,16.75,17.0,16.85,16.85,2500.0
2002-05-16,16.85,17.5,17.5,17.5,500.0
2002-05-17,17.5,17.5,17.5,17.5,1000.0
2002-05-21,17.5,17.0,17.0,17.0,500.0
2002-05-22,17.0,16.25,16.25,16.25,3000.0
2002-05-24,16.25,16.5,16.5,16.5,1000.0
2002-05-27,16.5,16.6,16.6,16.6,0.0
2002-05-28,16.6,17.0,17.0,17.0,500.0
2002-05-29,17.0,17.05,17.0,17.0,1500.0
2002-05-30,17.0,18.0,17.75,17.75,1000.0
2002-06-03,17.75,17.75,17.5,17.75,500.0
2002-06-04,17.75,18.0,18.0,18.0,500.0
2002-06-20,18.0,17.75,17.75,17.75,0.0
2002-06-21,17.75,17.75,17.75,17.75,1000.0
2002-06-24,17.75,17.5,17.5,17.5,1000.0
2002-07-03,17.5,17.5,17.5,17.5,500.0
2002-07-09,17.5,17.3,17.3,17.3,500.0
2002-07-10,17.3,17.55,17.55,17.55,0.0
2002-07-12,17.55,17.5,17.5,17.5,500.0
2002-07-17,17.5,17.6,17.6,17.6,500.0
2002-07-19,17.6,17.55,17.5,17.5,2000.0
2002-07-22,17.5,17.55,17.55,17.55,0.0
2002-07-23,17.55,17.6,17.6,17.6,0.0
2002-07-24,17.6,17.95,17.95,17.95,2000.0
2002-07-26,17.95,17.9,17.9,17.9,0.0
2002-08-01,17.9,17.75,17.75,17.75,500.0
2002-08-08,17.75,17.5,17.5,17.5,2000.0
2002-08-19,17.5,17.5,17.5,17.5,500.0
2002-08-21,17.5,18.0,18.0,18.0,1500.0
2002-08-26,18.0,17.5,17.5,17.5,500.0
2002-08-27,17.5,17.55,17.55,17.55,500.0
2002-08-30,17.55,17.7,17.7,17.7,500.0
2002-09-02,17.7,17.75,17.75,17.75,0.0
2002-09-03,17.75,17.8,17.8,17.8,0.0
2002-09-04,17.8,18.5,18.5,18.5,500.0
2002-09-09,18.5,18.45,18.45,18.45,0.0
2002-09-10,18.45,19.95,18.5,19.45,2500.0
2002-09-11,19.45,20.95,20.95,20.95,1000.0
2002-09-12,20.95,22.5,22.5,22.5,1000.0
2002-09-13,22.5,24.15,23.0,24.0,2500.0
2002-09-16,24.0,24.5,24.0,24.5,2500.0
2002-09-20,24.5,25.0,24.0,24.0,1000.0
2002-09-24,24.0,24.1,24.0,24.0,5000.0
2002-09-25,24.0,24.5,24.5,24.5,3000.0
2002-09-26,24.5,26.0,24.6,26.0,4500.0
2002-09-27,26.0,27.0,26.0,26.5,3500.0
2002-09-30,26.5,27.0,27.0,27.0,2000.0
2002-10-01,27.0,28.0,27.5,28.0,1500.0
2002-10-02,28.0,29.0,27.5,28.5,5500.0
2002-10-03,28.5,29.0,28.5,28.5,4500.0
2002-10-04,28.5,28.0,28.0,28.0,500.0
2002-10-08,28.0,29.0,28.75,29.0,1000.0
2002-10-11,29.0,28.8,28.8,28.8,0.0
2002-10-14,28.8,28.5,27.75,28.0,5000.0
2002-10-15,28.0,28.5,28.0,28.0,2500.0
2002-10-16,28.0,29.0,28.5,29.0,1000.0
2002-10-21,25.0,25.0,25.0,25.0,0.0
2002-10-29,25.0,25.0,25.0,25.0,500.0
2002-10-30,25.0,25.25,25.0,25.0,1500.0
2002-10-31,25.0,25.5,25.5,25.5,0.0
2002-11-04,25.5,26.25,26.25,26.25,500.0
2002-11-05,26.25,26.25,26.25,26.25,500.0
2002-11-06,26.25,26.0,25.5,25.5,2500.0
2002-11-08,25.5,25.5,25.5,25.5,1000.0
2002-11-14,25.5,25.5,25.5,25.5,1000.0
2002-11-15,25.5,26.0,25.5,26.0,1500.0
2002-11-18,26.0,27.95,26.9,27.95,2000.0
2002-11-21,27.95,27.25,27.0,27.0,2000.0
2002-11-25,27.0,27.0,27.0,27.0,500.0
2002-11-27,27.0,26.1,26.1,26.1,1000.0
2002-11-28,26.1,25.5,25.5,25.5,500.0
2002-11-29,25.5,25.55,25.55,25.55,0.0
2002-12-02,25.55,26.0,26.0,26.0,500.0
2002-12-09,26.0,26.3,26.3,26.3,0.0
2002-12-10,26.3,26.5,26.5,26.5,0.0
2002-12-11,26.5,27.5,27.5,27.5,1500.0
2002-12-13,27.5,27.55,27.55,27.55,0.0
2002-12-16,27.55,27.85,27.85,27.85,0.0
2002-12-17,27.85,28.05,28.05,28.05,0.0
2002-12-19,28.05,28.0,27.6,28.0,6000.0
2002-12-20,28.0,28.0,28.0,28.0,11000.0
2002-12-23,28.0,28.5,28.0,28.5,1000.0
2002-12-24,28.5,29.25,29.0,29.25,2000.0
2002-12-26,29.25,30.25,30.25,30.25,1000.0
2002-12-27,30.25,31.0,31.0,31.0,1000.0
2002-12-30,31.0,30.0,29.5,29.7,4500.0
2002-12-31,29.7,30.5,29.75,30.5,1500.0
2003-01-01,30.5,30.5,30.05,30.05,2500.0
2003-01-02,30.05,30.15,30.15,30.15,1000.0
2003-01-03,30.15,32.4,31.5,32.4,4000.0
2003-01-06,32.4,31.05,31.0,31.0,5000.0
2003-01-07,31.0,32.5,31.9,32.5,3500.0
2003-01-10,32.5,33.0,32.9,33.0,2000.0
2003-01-15,33.0,34.0,33.0,34.0,1500.0
2003-01-20,34.0,33.5,32.5,32.5,2500.0
2003-01-21,32.5,32.55,32.55,32.55,0.0
2003-01-22,32.55,32.75,32.75,32.75,500.0
2003-01-23,32.75,32.75,32.75,32.75,500.0
2003-01-24,32.75,32.0,31.5,32.0,2000.0
2003-01-27,32.0,32.5,31.75,32.5,3500.0
2003-01-28,32.5,32.5,32.5,32.5,1000.0
2003-01-30,32.5,32.6,32.6,32.6,0.0
2003-01-31,32.6,32.05,32.05,32.05,500.0
2003-02-04,32.05,32.05,32.05,32.05,500.0
2003-02-07,32.05,33.0,33.0,33.0,500.0
2003-02-17,33.0,32.6,32.6,32.6,500.0
2003-02-18,32.6,33.3,33.0,33.0,2500.0
2003-02-19,33.0,33.25,33.25,33.25,0.0
2003-02-20,33.25,33.5,33.5,33.5,0.0
2003-02-21,33.5,34.0,34.0,34.0,1000.0
2003-02-24,34.0,34.0,34.0,34.0,500.0
