Date,Open,High,Low,Close,Volume
2001-01-01,11.25,12.0,10.95,11.95,2444500.0
2001-01-02,11.95,12.55,12.1,12.15,2327500.0
2001-01-03,12.15,12.75,12.15,12.7,1450500.0
2001-01-04,12.7,13.1,12.6,12.65,1778000.0
2001-01-05,12.65,12.9,12.6,12.6,1175500.0
2001-01-08,12.6,13.15,12.65,12.7,1161000.0
2001-01-09,12.7,12.65,12.15,12.4,933500.0
2001-01-10,12.4,12.65,12.1,12.25,624000.0
2001-01-11,12.25,12.2,11.55,11.55,664500.0
2001-01-12,11.55,11.65,10.55,10.6,767500.0
2001-01-15,10.6,10.6,10.15,10.25,434000.0
2001-01-16,10.25,10.55,10.0,10.55,329000.0
2001-01-17,10.55,10.6,10.1,10.6,305000.0
2001-01-18,10.6,10.7,10.25,10.3,373000.0
2001-01-19,10.3,10.35,10.15,10.25,288000.0
2001-01-22,10.25,10.65,10.5,10.5,604500.0
2001-01-23,10.5,10.7,10.45,10.55,253000.0
2001-01-24,10.55,10.75,10.55,10.55,300000.0
2001-01-25,10.55,10.6,10.2,10.2,176500.0
2001-01-26,10.2,10.3,10.05,10.25,317500.0
2001-01-29,10.25,10.4,10.15,10.2,94500.0
2001-01-30,10.2,10.4,10.1,10.4,207500.0
2001-01-31,10.4,10.9,10.3,10.9,759500.0
2001-02-01,10.9,11.15,10.75,10.8,1007000.0
2001-02-02,10.8,11.1,10.8,11.1,535000.0
2001-02-06,11.1,11.4,11.1,11.15,421500.0
2001-02-07,11.15,11.35,11.15,11.3,339000.0
2001-02-08,11.3,11.55,11.35,11.4,537000.0
2001-02-09,11.4,12.65,11.5,12.5,4169000.0
2001-02-12,12.5,13.15,12.7,13.0,2746500.0
2001-02-13,13.0,13.15,12.25,12.3,1095000.0
2001-02-14,12.3,12.45,12.05,12.25,511000.0
2001-02-15,12.25,12.35,12.0,12.05,332500.0
2001-02-16,12.05,12.05,11.75,11.8,516500.0
2001-02-19,11.8,12.05,11.7,11.75,242000.0
2001-02-20,11.75,11.9,11.5,11.5,240000.0
2001-02-21,11.5,11.55,10.95,11.3,662500.0
2001-02-22,11.3,11.4,11.15,11.15,271500.0
2001-02-23,11.15,11.1,10.4,10.8,477500.0
2001-02-26,10.8,10.8,10.5,10.75,204500.0
2001-02-27,10.75,10.9,10.7,10.9,168000.0
2001-02-28,10.9,10.9,10.7,10.75,147000.0
2001-03-01,10.75,10.85,10.6,10.75,95000.0
2001-03-02,10.75,10.75,10.6,10.75,164000.0
2001-03-09,10.75,10.95,10.6,10.7,167000.0
2001-03-12,10.7,10.65,10.45,10.5,277000.0
2001-03-13,10.5,10.5,10.3,10.4,94500.0
2001-03-14,10.4,10.5,10.3,10.35,106000.0
2001-03-15,10.35,10.4,10.1,10.2,128000.0
2001-03-16,10.2,10.2,10.0,10.15,81000.0
2001-03-19,10.15,10.3,10.1,10.1,72500.0
2001-03-20,10.1,10.15,10.05,10.15,43500.0
2001-03-21,10.15,10.2,10.0,10.0,83500.0
2001-03-22,10.0,10.1,9.5,10.0,462000.0
2001-03-26,10.0,9.9,9.4,9.45,188500.0
2001-03-27,9.45,9.5,8.95,9.45,519000.0
2001-03-28,9.45,10.0,9.55,9.55,836500.0
2001-03-29,9.55,9.6,9.25,9.35,317000.0
2001-03-30,9.35,9.6,9.25,9.5,409000.0
2001-04-02,9.5,9.85,9.55,9.75,274500.0
2001-04-03,9.75,9.9,9.75,9.8,179500.0
2001-04-06,9.8,9.9,9.6,9.65,247500.0
2001-04-09,9.65,9.8,9.7,9.7,41000.0
2001-04-10,9.7,9.9,9.6,9.6,179500.0
2001-04-11,9.6,9.8,9.6,9.7,184500.0
2001-04-12,9.7,10.0,9.65,9.9,256000.0
2001-04-13,9.9,10.05,9.8,9.95,703000.0
2001-04-16,9.95,10.5,10.1,10.35,306500.0
2001-04-17,10.35,10.7,10.2,10.45,471000.0
2001-04-18,10.45,10.55,10.45,10.45,314000.0
2001-04-19,10.45,10.65,10.45,10.45,203000.0
2001-04-20,10.45,10.55,10.4,10.55,150000.0
2001-04-23,10.55,10.7,10.4,10.5,52500.0
2001-04-24,10.5,10.7,10.25,10.35,105500.0
2001-04-25,10.35,10.4,10.2,10.3,78000.0
2001-04-26,10.3,10.9,10.25,10.45,119500.0
2001-04-27,10.45,10.6,10.4,10.45,68000.0
2001-04-30,9.09,9.5,9.1,9.2,204000.0
2001-05-02,9.2,9.35,9.2,9.35,157500.0
2001-05-03,9.35,9.45,9.25,9.3,105000.0
2001-05-04,9.3,9.25,9.05,9.15,123000.0
2001-05-07,9.15,9.3,9.15,9.3,150000.0
2001-05-08,9.3,9.35,9.1,9.1,51500.0
2001-05-09,9.1,9.1,8.8,8.85,93500.0
2001-05-10,8.85,9.0,8.8,8.9,142000.0
2001-05-11,8.9,9.1,8.8,9.1,342500.0
2001-05-14,9.1,9.05,8.95,8.95,46000.0
2001-05-15,8.95,9.0,8.95,9.0,65500.0
2001-05-16,9.0,9.15,8.95,9.1,220500.0
2001-05-17,9.1,9.2,9.05,9.15,139500.0
2001-05-18,9.15,9.25,9.05,9.05,112000.0
2001-05-21,9.05,9.2,9.1,9.15,22000.0
2001-05-22,9.15,9.2,9.1,9.15,62000.0
2001-05-23,9.15,9.15,9.0,9.05,153000.0
2001-05-24,9.05,9.05,9.0,9.05,42000.0
2001-05-25,9.05,9.1,8.8,9.1,181000.0
2001-05-28,9.1,9.15,9.05,9.1,109000.0
2001-05-29,9.1,9.3,9.1,9.15,186000.0
2001-05-30,9.15,10.3,9.15,10.1,3030500.0
2001-05-31,10.1,10.15,9.9,10.15,1273500.0
2001-06-01,10.15,10.7,10.2,10.55,4961500.0
2001-06-04,10.55,11.35,10.7,11.3,4386000.0
2001-06-06,11.3,11.5,10.6,10.65,3314500.0
2001-06-07,10.65,11.0,10.2,10.45,1642500.0
2001-06-08,10.45,10.5,10.15,10.15,701000.0
2001-06-11,10.15,10.8,10.2,10.6,1552000.0
2001-06-12,10.6,10.75,10.45,10.5,888000.0
2001-06-13,10.5,11.05,10.5,11.0,2830500.0
2001-06-14,11.0,11.3,10.95,11.15,4510000.0
2001-06-15,11.15,11.45,11.0,11.25,2527000.0
2001-06-18,11.25,11.5,11.0,11.15,3792500.0
2001-06-19,11.15,11.15,10.05,10.25,2303000.0
2001-06-20,10.25,10.6,10.2,10.55,1732000.0
2001-06-21,10.55,10.65,9.9,10.1,1491500.0
2001-06-22,10.1,10.1,9.7,9.95,1331500.0
2001-06-25,9.95,10.25,9.95,10.1,766500.0
2001-06-26,10.1,10.2,9.95,10.1,477000.0
2001-06-27,10.1,10.15,10.05,10.15,170000.0
2001-06-28,10.15,10.2,10.05,10.1,319000.0
2001-06-29,10.1,10.15,9.85,10.05,466500.0
