Date,Open,High,Low,Close,Volume
2001-01-01,19.25,19.0,18.8,18.85,3000.0
2001-01-02,18.85,20.4,20.4,20.4,500.0
2001-01-03,20.4,21.45,19.95,21.0,15500.0
2001-01-04,21.0,21.5,21.0,21.0,10000.0
2001-01-05,21.0,24.0,21.0,21.0,3000.0
2001-01-08,21.0,21.35,21.05,21.05,8000.0
2001-01-11,21.05,21.9,20.5,20.5,5500.0
2001-01-12,20.5,20.5,19.95,19.95,1500.0
2001-01-16,19.95,20.0,20.0,20.0,5500.0
2001-01-17,20.0,20.0,20.0,20.0,1000.0
2001-01-18,20.0,21.9,20.95,20.95,1000.0
2001-01-19,20.95,19.85,19.7,19.7,1500.0
2001-01-23,19.7,21.5,20.35,21.25,5000.0
2001-01-24,21.25,20.5,20.5,20.5,1000.0
2001-01-26,20.5,19.55,19.55,19.55,500.0
2001-01-29,19.55,19.55,19.55,19.55,500.0
2001-01-30,19.55,19.5,19.5,19.5,2000.0
2001-02-01,19.5,20.9,20.5,20.5,5500.0
2001-02-02,20.5,23.5,20.15,20.5,4000.0
2001-02-06,20.5,20.55,20.55,20.55,500.0
2001-02-07,20.55,20.55,20.55,20.55,500.0
2001-02-08,20.55,20.05,20.0,20.0,10000.0
2001-02-13,20.0,20.0,19.6,19.6,9000.0
2001-02-14,19.6,19.9,19.85,19.9,1500.0
2001-02-19,19.9,19.6,19.5,19.5,6000.0
2001-02-20,19.5,18.9,18.9,18.9,2000.0
2001-02-21,18.9,18.8,18.1,18.8,4500.0
2001-02-23,18.8,17.75,17.5,17.5,13500.0
2001-02-26,17.5,18.25,16.4,16.4,3000.0
2001-02-27,16.4,17.5,17.5,17.5,1000.0
2001-02-28,17.5,17.95,17.0,17.4,6500.0
2001-03-01,17.4,17.25,17.1,17.1,5000.0
2001-03-02,17.1,17.8,17.0,17.8,5500.0
2001-03-26,17.8,18.95,15.95,16.0,5500.0
2001-03-27,16.0,17.45,17.05,17.45,5000.0
2001-03-28,17.45,17.1,16.75,17.0,2000.0
2001-03-30,17.0,17.0,16.25,17.0,5000.0
2001-04-03,17.0,17.45,16.95,17.45,3000.0
2001-04-06,17.45,17.0,16.5,16.95,34000.0
2001-04-10,16.95,17.2,16.65,16.65,2000.0
2001-04-11,16.65,16.0,16.0,16.0,1000.0
2001-04-12,16.0,16.0,15.75,15.75,1500.0
2001-04-13,15.75,16.95,16.3,16.95,33500.0
