Date,Open,High,Low,Close,Volume
2001-02-06,50.0,48.0,48.0,48.0,4000.0
2001-02-19,48.0,60.0,49.95,60.0,24000.0
2001-02-20,60.0,64.5,64.5,64.5,500.0
2001-02-21,64.5,68.0,68.0,68.0,1000.0
2001-02-22,68.0,70.0,68.0,70.0,1500.0
2001-02-23,70.0,70.0,70.0,70.0,1500.0
2001-02-26,70.0,70.0,70.0,70.0,500.0
2001-03-12,70.0,70.0,70.0,70.0,500.0
2001-03-16,70.0,66.0,66.0,66.0,500.0
2001-03-19,66.0,66.0,63.0,63.0,2500.0
2001-03-20,43.0,43.0,43.0,43.0,0.0
2001-03-22,43.0,36.0,36.0,36.0,500.0
2001-03-28,36.0,37.5,37.5,37.5,500.0
2001-05-04,37.5,37.5,37.5,37.5,0.0
2001-05-07,37.5,40.0,40.0,40.0,1000.0
2001-05-31,40.0,50.0,47.0,50.0,7000.0
2001-06-04,50.0,55.0,55.0,55.0,500.0
2001-06-25,55.0,55.0,55.0,55.0,1000.0
2001-06-26,55.0,55.0,55.0,55.0,1000.0
2001-07-26,55.0,55.0,55.0,55.0,500.0
2001-10-10,55.0,55.0,55.0,55.0,1000.0
2001-10-31,55.0,59.0,59.0,59.0,500.0
2001-11-01,59.0,59.0,59.0,59.0,1500.0
2001-11-08,59.0,60.0,60.0,60.0,500.0
2001-12-15,60.0,63.0,63.0,63.0,500.0
2002-02-19,63.0,63.0,63.0,63.0,1500.0
2002-03-22,59.25,59.25,59.25,59.25,0.0
2002-04-01,59.25,59.2,59.2,59.2,0.0
2002-04-02,59.2,59.0,59.0,59.0,0.0
2002-04-03,59.0,58.0,58.0,58.0,0.0
2002-04-16,58.0,55.0,55.0,55.0,0.0
2002-04-17,55.0,55.0,55.0,55.0,2500.0
2002-04-18,55.0,55.25,55.25,55.25,0.0
2002-04-23,55.25,58.0,58.0,58.0,2500.0
2002-04-24,58.0,58.5,58.5,58.5,0.0
2002-05-07,58.5,55.05,55.05,55.05,500.0
2002-08-08,55.05,56.0,55.75,56.0,1000.0
2002-08-26,56.0,57.0,57.0,57.0,1000.0
2002-11-22,57.0,55.0,55.0,55.0,0.0
2002-12-12,55.0,58.0,58.0,58.0,500.0
2002-12-16,58.0,58.0,58.0,58.0,25000.0
2002-12-20,58.0,56.0,56.0,56.0,0.0
2002-12-23,56.0,55.0,55.0,55.0,0.0
2002-12-24,55.0,52.25,52.25,52.25,500.0
2002-12-26,52.25,52.5,52.5,52.5,0.0
2002-12-27,52.5,50.0,50.0,50.0,500.0
2002-12-30,50.0,53.75,53.75,53.75,1000.0
2003-01-01,53.75,53.0,53.0,53.0,1000.0
2003-01-03,53.0,52.0,52.0,52.0,500.0
2003-01-17,52.0,52.0,52.0,52.0,500.0
2003-04-16,49.0,51.75,51.75,51.75,1000.0
2003-04-21,51.75,51.0,51.0,51.0,0.0
2003-04-22,51.0,48.45,48.45,48.45,500.0
2003-04-24,48.45,51.95,51.95,51.95,500.0
2003-05-05,51.95,52.5,52.2,52.5,1000.0
2003-06-12,52.5,49.9,49.9,49.9,1000.0
2003-06-17,49.9,47.45,47.45,47.45,1500.0
2003-06-20,47.45,47.5,45.1,45.1,2500.0
2003-06-25,45.1,48.45,48.45,48.45,3000.0
2003-07-01,48.45,47.9,47.9,47.9,0.0
2003-07-03,47.9,47.75,47.75,47.75,0.0
2003-07-09,47.75,47.0,47.0,47.0,0.0
2003-07-11,47.0,47.5,47.5,47.5,500.0
2003-07-14,47.5,47.0,47.0,47.0,500.0
2003-07-16,47.0,45.5,45.5,45.5,500.0
2003-07-17,45.5,45.5,45.5,45.5,1500.0
2003-07-22,45.5,47.5,47.5,47.5,1000.0
2003-07-23,47.5,45.3,45.25,45.25,3000.0
