Date,Open,High,Low,Close,Volume
2001-01-24,7.0,7.0,7.0,7.0,0.0
2001-06-11,7.0,7.0,7.0,7.0,0.0
2001-06-20,7.0,7.0,7.0,7.0,0.0
2001-12-08,7.0,7.0,7.0,7.0,0.0
2001-12-24,6.66,6.66,6.66,6.66,0.0
2002-06-24,6.66,6.66,6.66,6.66,0.0
2002-08-15,6.66,6.0,6.0,6.0,0.0
2003-06-09,6.0,6.0,6.0,6.0,500.0
2003-07-04,6.0,7.5,7.5,7.5,500.0
2003-07-08,7.5,7.5,7.5,7.5,500.0
2003-07-09,7.5,6.5,6.5,6.5,0.0
2003-07-10,6.5,6.0,6.0,6.0,500.0
2003-07-29,6.0,6.5,6.5,6.5,0.0
2003-07-31,6.5,7.0,7.0,7.0,0.0
2003-08-01,7.0,7.25,7.25,7.25,0.0
2003-08-04,7.25,7.5,7.5,7.5,0.0
2003-08-05,7.5,8.5,8.5,8.5,500.0
2003-08-06,8.5,8.5,8.5,8.5,1000.0
2003-08-07,8.5,7.75,7.75,7.75,500.0
2003-12-05,7.75,7.5,7.5,7.5,0.0
2004-05-10,7.14,8.0,8.0,8.0,0.0
2004-05-19,8.0,7.5,7.5,7.5,0.0
2004-05-20,7.5,8.5,8.5,8.5,500.0
2004-05-21,8.5,9.0,9.0,9.0,500.0
2004-05-24,9.0,8.5,8.5,8.5,0.0
2004-05-27,8.5,8.0,8.0,8.0,0.0
2004-06-18,8.0,7.5,7.5,7.5,0.0
2004-06-22,7.5,8.0,8.0,8.0,0.0
2004-06-24,8.0,9.0,9.0,9.0,500.0
2004-08-10,9.0,8.5,8.5,8.5,0.0
2004-08-18,8.5,8.0,8.0,8.0,0.0
2004-09-21,8.0,7.9,7.9,7.9,0.0
2004-09-24,7.9,7.7,7.7,7.7,0.0
2004-09-27,7.7,7.5,7.5,7.5,0.0
2004-10-05,7.5,7.4,7.4,7.4,0.0
2004-10-06,7.4,7.2,7.2,7.2,0.0
2004-10-08,7.2,6.7,6.7,6.7,0.0
2004-10-13,6.7,6.8,6.8,6.8,500.0
2004-10-18,6.8,7.0,7.0,7.0,0.0
2005-02-15,7.0,8.5,8.5,8.5,0.0
2005-02-16,8.5,10.0,10.0,10.0,0.0
2005-02-17,10.0,11.5,11.5,11.5,0.0
2005-02-18,11.5,13.0,13.0,13.0,0.0
2005-03-28,10.83,9.85,9.85,9.85,500.0
2005-03-29,9.85,11.35,11.35,11.35,0.0
2005-04-05,11.35,12.85,12.85,12.85,0.0
2005-05-18,12.85,11.85,11.85,11.85,0.0
2005-06-01,11.42,11.4,11.4,11.4,0.0
2005-06-06,11.4,11.35,11.35,11.35,0.0
2005-06-13,11.35,11.2,11.2,11.2,0.0
2005-07-06,11.2,11.1,10.2,10.2,4500.0
2005-09-15,10.2,10.25,10.25,10.25,0.0
2005-09-21,10.25,10.5,10.5,10.5,0.0
2005-10-11,10.5,11.0,11.0,11.0,10000.0
2005-10-12,11.0,11.5,11.5,11.5,10000.0
2005-10-13,11.5,12.5,12.5,12.5,0.0
2005-10-25,12.5,12.8,12.8,12.8,0.0
2005-10-26,12.8,13.8,13.8,13.8,500.0
2005-10-27,13.8,14.8,14.8,14.8,1500.0
2005-10-31,14.8,15.8,15.8,15.8,4000.0
2005-11-02,15.8,16.8,16.8,16.8,5000.0
2005-11-07,16.8,17.8,17.8,17.8,4500.0
2005-11-08,17.8,18.8,18.5,18.8,6000.0
2005-11-14,18.8,17.8,17.8,17.8,5000.0
2005-11-15,14.24,15.2,15.2,15.2,500.0
2005-11-17,15.2,15.2,15.2,15.2,500.0
2005-11-18,15.2,15.5,15.5,15.5,2000.0
2005-11-21,15.5,15.5,15.5,15.5,1500.0
2005-11-23,15.5,15.55,15.55,15.55,2000.0
2005-11-24,15.55,15.55,15.55,15.55,1000.0
2005-11-30,15.55,16.55,16.55,16.55,500.0
2005-12-01,16.55,17.55,17.5,17.55,2000.0
2005-12-05,17.55,18.55,18.55,18.55,1000.0
2005-12-06,18.55,19.55,19.55,19.55,1500.0
2005-12-07,19.55,18.55,18.55,18.55,500.0
2005-12-08,18.55,18.55,18.55,18.55,1000.0
2005-12-09,18.55,17.55,17.55,17.55,2500.0
2005-12-15,17.55,17.9,17.9,17.9,0.0
2005-12-16,17.9,18.0,18.0,18.0,500.0
2005-12-19,18.0,19.0,18.55,18.55,500.0
2005-12-29,18.55,18.55,17.55,17.55,1500.0
2006-01-03,17.55,18.5,18.5,18.5,2000.0
2006-01-04,18.5,18.0,18.0,18.0,1000.0
2006-01-05,18.0,18.0,18.0,18.0,2000.0
2006-01-09,18.0,18.5,18.5,18.5,2000.0
2006-01-16,18.5,19.5,19.5,19.5,1000.0
2006-01-23,19.5,19.5,19.5,19.5,1000.0
2006-01-24,19.5,19.0,19.0,19.0,1000.0
2006-01-31,19.0,18.8,18.8,18.8,2000.0
2006-02-24,18.8,18.0,17.8,18.0,1500.0
2006-03-16,18.0,17.75,17.75,17.75,0.0
2006-03-22,17.75,16.75,16.75,16.75,1000.0
2006-03-24,16.75,16.0,16.0,16.0,2000.0
2006-03-27,16.0,16.05,16.05,16.05,0.0
2006-03-29,16.05,17.05,17.05,17.05,2000.0
2006-03-31,17.05,17.95,17.95,17.95,500.0
2006-04-04,17.95,17.1,17.1,17.1,500.0
2006-04-05,17.1,17.1,17.1,17.1,1000.0
2006-04-20,15.55,16.4,16.0,16.0,1500.0
2006-04-21,16.0,15.0,15.0,15.0,500.0
2006-04-24,15.0,15.0,15.0,15.0,500.0
2006-05-02,15.0,14.5,14.5,14.5,5000.0
2006-05-10,14.5,13.5,13.5,13.5,1000.0
2006-05-11,13.5,13.05,13.05,13.05,5000.0
2006-05-12,13.05,14.05,13.05,14.05,8000.0
2006-05-15,14.05,14.0,13.95,14.0,5000.0
2006-05-16,14.0,13.05,13.05,13.05,4000.0
2006-05-17,13.05,14.05,14.05,14.05,8000.0
2006-05-18,14.05,15.05,15.0,15.05,9500.0
2006-05-19,15.05,16.0,15.95,16.0,2500.0
2006-05-23,16.0,17.0,16.5,17.0,8000.0
2006-05-24,17.0,18.0,18.0,18.0,3000.0
2006-05-25,18.0,19.0,19.0,19.0,6000.0
2006-05-26,19.0,20.0,20.0,20.0,7500.0
2006-05-29,20.0,19.25,19.0,19.0,4000.0
2006-05-31,19.0,20.0,18.0,18.0,16000.0
2006-06-01,18.0,19.0,18.9,19.0,5500.0
2006-06-02,19.0,18.0,18.0,18.0,6000.0
2006-06-06,18.0,18.1,18.1,18.1,0.0
2006-06-16,18.1,18.1,18.1,18.1,1000.0
2006-06-20,18.1,17.1,17.1,17.1,1500.0
2006-06-22,17.1,17.45,17.45,17.45,500.0
2006-06-23,17.45,17.05,17.05,17.05,1000.0
2006-06-29,17.05,18.05,18.0,18.05,12000.0
2006-06-30,18.05,18.1,18.1,18.1,1000.0
2006-07-03,18.1,17.1,17.1,17.1,1000.0
2006-07-04,17.1,16.1,16.1,16.1,500.0
2006-07-05,16.1,17.1,17.1,17.1,2500.0
2006-07-11,17.1,17.1,17.1,17.1,1000.0
2006-07-12,17.1,17.1,17.1,17.1,1500.0
2006-07-17,17.1,17.0,17.0,17.0,500.0
2006-07-18,17.0,17.1,17.1,17.1,4500.0
2006-07-21,17.1,17.0,17.0,17.0,500.0
2006-07-27,17.0,18.0,18.0,18.0,0.0
2006-07-28,18.0,18.8,18.8,18.8,2000.0
2006-08-07,18.8,18.5,18.5,18.5,0.0
2006-08-09,18.5,18.0,18.0,18.0,0.0
2006-08-23,18.0,19.0,19.0,19.0,500.0
