Date,Open,High,Low,Close,Volume
2001-08-23,9.25,9.25,9.25,9.25,0.0
2001-09-03,8.22,8.22,8.22,8.22,0.0
2002-05-28,8.22,9.65,9.65,9.65,500.0
2002-05-29,9.65,10.75,10.75,10.75,500.0
2002-05-31,10.75,10.9,10.5,10.5,500.0
2002-06-04,10.5,10.25,10.25,10.25,0.0
2002-06-06,10.25,10.0,10.0,10.0,0.0
2002-06-07,10.0,9.5,9.5,9.5,0.0
2002-06-10,9.5,9.0,9.0,9.0,0.0
2002-06-13,9.0,8.5,8.5,8.5,500.0
2002-06-14,8.5,8.0,8.0,8.0,0.0
2002-06-19,8.0,7.5,7.5,7.5,0.0
2002-06-24,7.5,7.0,7.0,7.0,0.0
2002-07-02,7.0,6.25,6.25,6.25,0.0
2002-07-03,6.25,5.25,5.25,5.25,0.0
2002-07-04,5.25,5.0,5.0,5.0,0.0
2002-07-18,5.0,4.95,4.95,4.95,0.0
2002-07-31,4.95,4.9,4.9,4.9,0.0
2002-09-10,4.9,4.8,4.8,4.8,0.0
2002-11-18,4.8,4.6,4.6,4.6,0.0
2002-12-24,4.6,4.6,4.6,4.6,5000.0
2003-01-01,4.6,4.4,4.4,4.4,0.0
2003-01-15,4.4,3.5,3.5,3.5,500.0
2003-04-02,3.5,3.4,3.4,3.4,0.0
2003-04-03,3.4,3.0,3.0,3.0,500.0
2003-04-08,3.0,3.0,3.0,3.0,500.0
2003-05-02,3.0,3.1,3.1,3.1,0.0
2003-05-16,3.1,3.0,3.0,3.0,1500.0
2003-05-19,3.0,3.55,3.5,3.55,10000.0
2003-05-20,3.55,4.75,4.5,4.75,6000.0
2003-05-22,4.75,4.75,4.75,4.75,500.0
2003-05-23,4.75,4.05,4.0,4.0,1500.0
2003-05-26,4.0,4.15,4.15,4.15,0.0
2003-06-03,4.15,4.2,4.2,4.2,2000.0
2003-06-06,4.2,4.1,4.1,4.1,500.0
2003-06-09,4.1,4.2,4.2,4.2,2000.0
2003-06-10,4.2,4.3,4.3,4.3,1000.0
2003-06-12,4.3,4.25,4.25,4.25,0.0
2003-06-17,4.25,4.2,4.2,4.2,0.0
2003-06-20,4.2,4.2,4.2,4.2,2000.0
2003-06-27,4.2,5.0,4.2,4.2,2500.0
2003-07-28,4.2,4.0,4.0,4.0,500.0
2003-09-10,4.0,3.5,3.5,3.5,0.0
2003-09-11,3.5,3.5,3.5,3.5,500.0
2003-09-23,3.5,3.05,3.05,3.05,3000.0
2003-09-24,3.05,3.0,3.0,3.0,3000.0
2003-09-25,3.0,3.05,3.05,3.05,0.0
2003-10-14,3.05,2.05,2.05,2.05,500.0
2003-11-05,2.05,2.25,2.25,2.25,0.0
2003-11-13,2.25,2.5,2.5,2.5,0.0
2003-11-25,2.5,2.75,2.75,2.75,0.0
2003-12-02,2.75,3.0,3.0,3.0,0.0
2003-12-18,3.0,3.25,3.25,3.25,0.0
