Date,Open,High,Low,Close,Volume
2012-10-11,31.83,33.42,33.42,33.42,20500.0
2012-10-12,33.42,35.09,32.05,32.89,970500.0
2012-10-15,32.89,33.4,32.5,32.84,96000.0
2012-10-16,32.84,33.99,33.0,33.66,69000.0
2012-10-17,33.66,33.95,33.6,33.95,2000.0
2012-10-18,33.95,34.9,32.26,32.28,261500.0
2012-10-19,32.28,32.5,31.6,32.5,20500.0
2012-10-22,32.5,32.5,31.71,32.1,69500.0
2012-10-23,32.1,32.85,32.0,32.77,48000.0
2012-10-24,32.77,33.2,32.11,33.2,34500.0
2012-10-25,33.2,33.0,32.65,32.65,135500.0
2012-10-30,32.65,32.1,31.03,31.78,8500.0
2012-10-31,31.78,31.72,30.2,30.71,18000.0
2012-11-01,30.71,32.24,30.75,32.0,22500.0
2012-11-02,32.0,32.0,31.0,31.46,6000.0
2012-11-06,31.46,33.0,32.05,32.05,101500.0
2012-11-07,32.05,32.95,32.05,32.95,1000.0
2012-11-08,32.95,33.25,32.17,32.17,1000.0
2012-11-12,32.17,33.0,32.98,32.99,2500.0
2012-11-13,32.99,32.95,31.85,32.95,11000.0
2012-11-14,32.95,32.01,32.01,32.01,15000.0
2012-11-15,32.01,32.01,32.01,32.01,4500.0
2012-11-16,32.01,33.5,32.0,32.0,39500.0
2012-11-19,32.0,32.8,32.0,32.8,25500.0
2012-11-20,32.8,34.19,32.15,33.41,19000.0
2012-11-21,33.41,33.8,32.8,33.15,60500.0
2012-11-22,33.15,33.97,32.95,33.79,29500.0
2012-11-23,33.79,35.27,33.8,33.85,3500.0
2012-11-26,33.85,33.98,32.5,33.48,4000.0
2012-11-27,33.48,33.0,33.0,33.0,1000.0
2012-11-28,33.0,32.98,32.98,32.98,1000.0
2012-11-29,32.98,34.6,32.51,33.86,25000.0
2012-11-30,33.86,33.9,33.0,33.9,7500.0
2012-12-03,33.9,33.75,33.16,33.16,15000.0
2012-12-04,33.16,34.0,33.5,33.84,2500.0
2012-12-05,33.84,33.12,33.1,33.11,2000.0
2012-12-06,33.11,33.17,32.77,32.77,15000.0
2012-12-07,32.77,34.4,33.0,33.8,20000.0
2012-12-10,33.8,34.45,34.0,34.25,42000.0
2012-12-11,34.25,34.1,33.4,34.1,935000.0
2012-12-12,34.1,33.6,33.6,33.6,1000.0
2012-12-13,33.6,34.29,34.05,34.14,22000.0
2012-12-14,34.14,34.0,33.7,33.7,23500.0
2012-12-17,33.7,34.0,33.12,33.12,2500.0
2012-12-18,33.12,33.2,32.9,33.05,11000.0
2012-12-19,33.05,34.25,33.99,34.24,1500.0
2012-12-20,34.24,34.5,33.35,34.36,70500.0
2012-12-26,34.36,34.5,34.25,34.4,4500.0
2012-12-27,34.4,33.51,32.71,33.0,9500.0
2012-12-28,33.0,33.95,33.75,33.95,3500.0
2012-12-31,33.95,32.55,32.5,32.52,1500.0
2013-01-01,32.52,34.0,33.0,33.0,10500.0
2013-01-02,33.0,31.69,31.35,31.35,1000.0
2013-01-03,31.35,32.29,31.0,32.29,6500.0
2013-01-04,32.29,33.9,31.01,33.83,142000.0
2013-01-07,33.83,34.55,33.5,34.51,54000.0
2013-01-08,34.51,34.95,34.1,34.33,16000.0
2013-01-09,34.33,35.98,34.2,34.4,17500.0
2013-01-10,34.4,34.99,33.8,33.8,4000.0
2013-01-11,33.8,34.0,33.0,33.4,75000.0
2013-01-14,33.4,32.8,32.5,32.5,11000.0
2013-01-15,32.5,34.0,32.0,32.0,132500.0
2013-01-16,32.0,32.5,31.6,32.5,1005000.0
2013-01-17,32.5,33.5,32.0,32.05,6500.0
2013-01-18,32.05,33.65,32.5,33.65,40500.0
2013-01-21,33.65,35.2,33.6,33.6,65500.0
2013-01-22,33.6,34.8,34.06,34.8,3500.0
2013-01-23,34.8,34.99,34.5,34.99,5000.0
2013-01-24,34.99,35.4,34.8,34.99,17500.0
2013-01-28,34.99,36.0,34.9,34.9,13500.0
2013-01-29,34.9,35.49,35.49,35.49,500.0
2013-01-30,35.49,35.5,35.35,35.5,3000.0
2013-02-04,35.5,34.99,34.99,34.99,500.0
2013-02-06,34.99,34.99,33.71,34.99,1500.0
2013-02-07,34.99,34.0,34.0,34.0,500.0
2013-02-08,34.0,34.0,34.0,34.0,1000.0
2013-02-11,34.0,34.99,33.75,34.99,7500.0
2013-02-12,34.99,34.41,33.51,34.41,3500.0
2013-02-13,34.41,34.0,34.0,34.41,1000.0
2013-02-14,34.41,33.5,33.0,33.0,100000.0
2013-02-20,33.0,33.9,33.25,33.9,10000.0
2013-02-21,33.9,33.85,33.25,33.85,8500.0
2013-02-26,33.85,33.45,33.45,33.45,500.0
2013-02-28,33.45,33.0,33.0,33.0,10500.0
2013-03-01,33.0,32.21,32.21,32.21,500.0
2013-03-04,32.21,33.0,32.05,33.0,4500.0
2013-03-06,33.0,34.64,33.0,33.95,68000.0
2013-03-07,33.95,33.11,33.11,33.11,500.0
2013-03-12,33.11,34.76,33.2,34.76,47500.0
2013-03-14,34.76,34.5,34.5,34.5,1000.0
2013-03-15,34.5,34.0,34.0,34.0,2500.0
2013-03-18,34.0,33.5,33.5,33.5,3500.0
2013-03-20,33.5,32.6,32.6,32.6,500.0
2013-03-22,32.6,33.0,31.1,31.1,11000.0
2013-03-27,31.1,32.65,32.65,32.65,5500.0
2013-03-28,32.65,34.0,32.06,33.98,10500.0
2013-03-29,33.98,34.24,34.24,34.24,500.0
2013-04-01,34.24,34.0,34.0,34.0,22500.0
2013-04-02,34.0,34.4,33.01,34.0,76000.0
2013-04-03,34.0,34.0,34.0,34.0,8000.0
2013-04-04,34.0,34.0,33.03,33.52,1500.0
2013-04-05,33.52,34.1,34.0,34.0,131000.0
2013-04-08,34.0,34.84,34.84,34.0,500.0
2013-04-10,34.0,35.0,34.0,34.0,2500.0
2013-04-11,34.0,34.9,34.9,34.9,500.0
2013-04-12,34.9,34.5,34.5,34.5,500.0
2013-04-17,34.5,33.75,33.5,33.75,10000.0
2013-04-18,33.75,33.8,33.8,33.8,3000.0
2013-04-19,33.8,34.0,34.0,34.0,500.0
2013-04-22,34.0,33.0,33.0,33.0,500.0
2013-04-23,33.0,33.5,33.4,33.5,15000.0
2013-04-24,33.5,34.0,33.5,34.0,16500.0
2013-04-25,34.0,35.7,34.0,34.0,11000.0
2013-04-26,34.0,34.98,34.0,34.98,10500.0
2013-04-29,34.98,35.0,33.5,33.5,1500.0
2013-05-02,33.5,34.5,34.0,34.0,11000.0
2013-05-03,34.0,35.5,35.0,35.5,8000.0
2013-05-06,35.5,35.7,35.7,35.7,500.0
2013-05-08,35.7,34.99,33.99,34.01,7500.0
2013-05-09,34.01,35.3,33.0,35.16,5500.0
2013-05-10,35.16,35.0,35.0,35.0,500.0
2013-05-14,35.0,33.65,33.65,33.65,1000.0
2013-05-15,33.65,35.14,33.65,35.14,5500.0
2013-05-16,35.14,34.99,34.99,34.99,3000.0
2013-05-17,34.99,34.99,34.97,34.98,8500.0
2013-05-20,34.98,35.35,35.15,35.35,5000.0
2013-05-21,35.35,35.0,34.0,34.5,14000.0
2013-05-22,34.5,35.0,34.5,35.0,44000.0
2013-05-23,35.0,35.0,34.9,34.95,1000.0
2013-05-24,34.95,34.99,34.0,34.0,59500.0
2013-05-29,34.0,34.99,34.0,34.0,41000.0
2013-05-30,34.0,35.6,34.0,35.6,6000.0
2013-05-31,35.6,37.37,35.5,35.99,12000.0
2013-06-03,35.99,34.5,34.5,34.5,500.0
2013-06-04,34.5,36.19,34.06,34.97,5000.0
2013-06-06,34.97,35.99,35.99,35.99,500.0
2013-06-07,35.99,37.78,36.0,37.77,401000.0
2013-06-10,37.77,37.0,37.0,37.0,20000.0
2013-06-12,37.0,37.25,37.0,37.0,3500.0
2013-06-13,37.0,37.75,37.0,37.0,5500.0
2013-06-14,37.0,37.75,37.75,37.75,500.0
2013-06-17,37.75,38.0,37.75,37.92,32500.0
2013-06-20,37.92,37.75,37.75,37.75,500.0
2013-06-25,37.75,38.95,38.95,38.95,500.0
2013-06-26,38.95,40.89,38.75,40.89,459000.0
2013-06-27,40.89,42.93,42.0,42.93,482500.0
2013-06-28,42.93,45.07,44.0,45.05,755500.0
2013-07-01,45.05,45.9,43.05,45.03,7500.0
2013-07-02,45.03,44.0,44.0,44.0,2000.0
2013-07-03,44.0,45.7,45.7,45.7,500.0
2013-07-04,45.7,47.94,46.9,47.2,9000.0
2013-07-05,47.2,49.0,47.0,48.0,6000.0
2013-07-09,48.0,50.4,48.0,49.9,36500.0
2013-07-10,49.9,52.39,50.0,52.39,80000.0
2013-07-11,52.39,54.99,50.0,54.31,9500.0
2013-07-12,54.31,54.75,52.0,54.1,7000.0
2013-07-15,54.1,55.0,51.6,53.67,4500.0
2013-07-16,53.67,56.35,55.0,56.35,109500.0
2013-07-17,56.35,59.16,59.0,59.16,156500.0
2013-07-18,59.16,62.11,61.8,62.11,250500.0
2013-07-19,62.11,65.21,64.49,65.21,223500.0
2013-07-22,65.21,68.47,67.0,68.01,66000.0
2013-07-23,68.01,70.96,64.61,64.61,32500.0
2013-07-24,64.61,64.5,61.4,61.4,26000.0
2013-07-25,61.4,64.47,58.33,64.47,77500.0
2013-07-26,64.47,67.69,66.0,67.65,26000.0
2013-07-29,67.65,71.03,68.0,71.03,171500.0
2013-07-30,71.03,74.3,69.0,71.41,14000.0
2013-07-31,71.41,69.6,67.84,67.84,13500.0
2013-08-01,67.84,70.6,64.45,70.27,20500.0
2013-08-05,70.27,73.4,67.0,72.2,29500.0
2013-08-06,72.2,75.81,68.59,72.31,59000.0
2013-08-07,72.31,74.99,70.0,74.43,28500.0
2013-08-12,74.43,78.15,75.0,77.0,28000.0
2013-08-13,77.0,80.0,78.8,80.0,17000.0
2013-08-15,80.0,82.5,78.0,81.0,33000.0
2013-08-16,81.0,81.0,78.0,81.0,5500.0
2013-08-19,81.0,76.95,76.95,76.95,3000.0
2013-08-20,76.95,77.5,73.11,74.07,30500.0
2013-08-21,74.07,75.94,70.65,75.49,9000.0
2013-08-22,75.49,72.09,71.77,71.77,2500.0
2013-08-23,71.77,68.3,68.19,68.19,4000.0
2013-08-27,68.19,68.99,64.81,68.99,1500.0
