Date,Open,High,Low,Close,Volume
2001-01-01,34.9,35.5,34.0,35.3,1205500.0
2001-01-02,35.3,36.55,35.25,35.35,1815500.0
2001-01-03,35.35,36.3,35.3,36.1,762500.0
2001-01-04,36.1,36.45,35.75,35.75,536000.0
2001-01-05,35.75,36.05,35.75,35.8,292000.0
2001-01-08,35.8,36.25,35.1,35.1,252500.0
2001-01-09,35.1,35.4,34.35,34.8,533000.0
2001-01-10,34.8,34.7,33.95,34.6,278000.0
2001-01-11,34.6,34.7,33.85,34.3,472500.0
2001-01-12,34.3,34.25,33.0,33.1,324500.0
2001-01-15,33.1,33.45,32.7,32.7,174500.0
2001-01-16,32.7,33.25,32.5,33.25,115500.0
2001-01-17,33.25,33.1,32.4,33.0,191500.0
2001-01-18,33.0,33.5,32.5,32.7,200000.0
2001-01-19,32.7,33.0,32.55,32.75,87500.0
2001-01-22,32.75,33.6,32.8,33.4,440500.0
2001-01-23,33.4,33.3,33.05,33.1,64000.0
2001-01-24,33.1,33.35,32.8,32.8,92000.0
2001-01-25,32.8,32.9,32.3,32.65,139000.0
2001-01-26,32.65,32.65,32.0,32.15,126000.0
2001-01-29,32.15,32.5,31.6,31.7,78000.0
2001-01-30,31.7,32.15,31.45,32.1,154500.0
2001-01-31,32.1,33.1,32.0,32.75,678000.0
2001-02-01,32.75,33.0,32.55,32.7,188000.0
2001-02-02,32.7,33.0,32.55,33.0,201000.0
2001-02-06,33.0,33.3,32.85,32.85,134000.0
2001-02-07,32.85,33.0,32.8,32.8,17000.0
2001-02-08,32.8,33.0,32.65,32.85,29500.0
2001-02-09,32.85,33.0,32.75,33.0,56500.0
2001-02-12,33.0,33.45,33.05,33.2,154500.0
2001-02-13,33.2,33.25,32.6,32.6,55000.0
2001-02-14,32.6,32.75,32.5,32.7,13000.0
2001-02-15,32.7,32.65,32.25,32.25,23500.0
2001-02-16,32.25,32.6,32.25,32.6,32000.0
2001-02-19,32.6,32.7,32.5,32.5,23000.0
2001-02-20,32.5,32.7,31.85,32.0,127000.0
2001-02-21,32.0,32.25,31.55,32.25,58500.0
2001-02-22,32.25,32.2,31.75,32.0,17500.0
2001-02-23,32.0,31.7,31.15,31.4,107500.0
2001-02-26,31.4,31.1,30.75,31.1,132500.0
2001-02-27,31.1,31.4,31.25,31.3,29500.0
2001-02-28,31.3,31.25,31.0,31.05,17500.0
2001-03-01,31.05,31.35,31.05,31.3,22500.0
2001-03-02,31.3,31.4,31.0,31.05,26000.0
2001-03-09,31.05,30.9,30.9,30.9,500.0
2001-03-12,30.9,31.05,30.8,31.0,150000.0
2001-03-13,31.0,31.95,30.8,31.85,460500.0
2001-03-14,31.85,32.85,31.85,32.55,466000.0
2001-03-15,32.55,32.75,32.0,32.4,142000.0
2001-03-16,32.4,33.9,32.4,33.8,1453500.0
2001-03-19,33.8,35.0,33.85,34.95,1516500.0
2001-03-20,34.95,35.7,34.45,35.45,3283000.0
2001-03-21,35.45,35.5,34.05,34.15,1510000.0
2001-03-22,34.15,34.35,30.0,30.5,1814000.0
2001-03-26,30.5,31.0,30.0,30.75,612500.0
2001-03-27,30.75,31.6,29.45,30.2,1959000.0
2001-03-28,30.2,30.35,28.5,29.45,2635500.0
2001-03-29,29.45,30.2,29.2,29.9,830500.0
2001-03-30,29.9,30.9,29.75,30.2,1441000.0
2001-04-02,30.2,31.85,30.25,31.5,1237500.0
2001-04-03,31.5,32.0,31.45,31.45,533000.0
2001-04-06,31.45,31.9,31.4,31.7,611500.0
2001-04-09,31.7,32.9,31.85,32.75,1043000.0
2001-04-10,32.75,32.8,31.7,31.75,516000.0
2001-04-11,31.75,32.15,31.7,31.85,343500.0
2001-04-12,31.85,32.2,31.8,32.1,298000.0
2001-04-13,32.1,32.45,31.9,32.15,422500.0
2001-04-16,32.15,32.65,32.0,32.0,411500.0
2001-04-17,32.0,32.5,31.9,32.0,298000.0
2001-04-18,32.0,32.15,31.7,32.0,218000.0
2001-04-19,32.0,32.1,31.45,31.75,375500.0
2001-04-20,31.75,31.85,31.4,31.7,233000.0
2001-04-23,31.7,32.2,31.5,31.5,100000.0
2001-04-24,31.5,31.7,31.25,31.4,93500.0
2001-04-25,31.4,31.7,31.4,31.5,107000.0
2001-04-26,31.5,31.8,31.5,31.5,95000.0
2001-04-27,31.5,31.55,31.3,31.45,111500.0
2001-04-30,31.45,31.6,31.05,31.25,14000.0
2001-05-02,31.25,31.3,31.0,31.1,21000.0
2001-05-03,31.1,31.3,31.15,31.15,10500.0
2001-05-04,31.15,31.25,31.0,31.1,53000.0
2001-05-07,31.1,31.35,31.15,31.35,6500.0
2001-05-08,31.35,31.1,30.9,30.9,12500.0
2001-05-09,30.9,30.9,30.0,30.65,22500.0
2001-05-10,30.65,30.7,30.2,30.4,37000.0
2001-05-11,30.4,30.6,30.1,30.1,21000.0
2001-05-14,30.1,30.1,30.1,30.1,1000.0
2001-05-15,30.1,30.6,30.4,30.6,4500.0
2001-05-16,30.6,30.75,30.5,30.75,13000.0
2001-05-17,30.75,31.1,30.75,31.0,12000.0
2001-05-18,31.0,31.0,30.75,30.75,3000.0
2001-05-21,30.75,31.75,31.1,31.1,8500.0
2001-05-22,31.1,31.4,31.25,31.3,4000.0
2001-05-23,31.3,31.3,31.25,31.25,1000.0
2001-05-24,30.25,30.6,30.35,30.55,11500.0
2001-05-25,30.55,30.75,30.3,30.75,18500.0
2001-05-28,30.75,31.65,30.65,31.55,205000.0
2001-05-29,31.55,31.75,31.45,31.55,105500.0
2001-05-30,31.55,31.75,31.6,31.7,12000.0
2001-05-31,31.7,31.8,31.55,31.65,107000.0
2001-06-01,31.65,32.75,31.65,32.2,961500.0
2001-06-04,32.2,32.9,32.5,32.75,138500.0
2001-06-06,32.75,33.4,32.15,33.1,392500.0
2001-06-07,33.1,33.5,32.5,32.55,641000.0
2001-06-08,32.55,32.7,32.2,32.35,275000.0
2001-06-11,32.35,32.95,32.2,32.3,632000.0
2001-06-12,32.3,32.5,32.15,32.15,71500.0
2001-06-13,32.15,32.4,31.95,32.0,60500.0
2001-06-14,32.0,32.15,31.9,32.05,23000.0
2001-06-15,32.05,32.5,31.95,32.5,70000.0
2001-06-18,32.5,32.5,32.1,32.1,11500.0
2001-06-19,32.1,32.0,31.3,31.3,35500.0
2001-06-20,31.3,31.65,31.4,31.45,9500.0
2001-06-21,31.45,31.8,30.85,31.0,48500.0
2001-06-22,31.0,31.0,30.3,30.9,47500.0
2001-06-25,30.9,31.35,30.3,30.95,56500.0
2001-06-26,30.95,31.0,30.6,30.7,15500.0
2001-06-27,30.7,30.8,30.35,30.5,36000.0
2001-06-28,30.5,30.5,30.3,30.5,28000.0
2001-06-29,30.5,30.8,30.2,30.5,82000.0
2001-07-03,30.5,30.4,29.75,30.0,32000.0
2001-07-04,30.0,30.25,29.6,29.6,53500.0
2001-07-05,29.6,30.0,29.25,29.55,30000.0
2001-07-06,29.55,29.35,28.9,29.0,46000.0
2001-07-09,29.0,29.3,27.6,27.75,182500.0
2001-07-10,27.75,28.0,27.25,27.4,160000.0
2001-07-11,27.4,29.0,27.15,28.9,206500.0
2001-07-12,28.9,29.2,28.4,28.95,181500.0
2001-07-13,28.95,29.15,28.55,28.7,92500.0
2001-07-16,28.7,30.2,29.0,29.1,151500.0
2001-07-17,29.1,28.95,28.6,28.95,5500.0
2001-07-18,28.95,29.2,28.75,28.75,21000.0
2001-07-19,28.75,29.1,28.7,28.7,10500.0
2001-07-20,28.7,28.95,28.25,28.25,22000.0
2001-07-23,28.25,28.7,27.55,27.85,34500.0
2001-07-24,27.85,28.45,27.9,28.4,17000.0
2001-07-25,28.4,28.2,27.8,28.15,24000.0
2001-07-26,28.15,28.0,27.55,27.9,28000.0
2001-07-27,27.9,27.8,27.5,27.6,14000.0
2001-07-30,27.6,27.6,27.5,27.5,10500.0
2001-07-31,27.5,27.6,27.4,27.5,13500.0
2001-08-01,27.5,28.1,27.3,28.05,27500.0
2001-08-02,28.05,28.7,28.2,28.5,15500.0
2001-08-03,28.5,28.75,28.5,28.7,15500.0
2001-08-06,28.7,29.15,28.75,28.75,11500.0
2001-08-07,28.75,28.75,28.5,28.55,15500.0
2001-08-08,28.55,28.5,28.0,28.2,15000.0
2001-08-09,28.2,28.7,28.0,28.5,20500.0
2001-08-10,28.5,28.9,28.15,28.9,6500.0
2001-08-13,28.9,29.0,29.0,29.0,1000.0
2001-08-15,29.0,29.5,29.1,29.1,14000.0
2001-08-16,29.1,29.5,29.3,29.5,10000.0
2001-08-17,29.5,29.5,29.15,29.5,6500.0
2001-08-20,29.5,29.5,29.2,29.5,5500.0
2001-08-21,29.5,29.5,28.75,29.25,81000.0
2001-08-22,29.25,29.1,29.0,29.1,11500.0
2001-08-23,29.1,30.75,29.0,29.75,204500.0
2001-08-24,29.75,30.05,29.4,29.75,17000.0
2001-08-27,29.75,29.6,28.0,29.5,47500.0
2001-08-28,29.5,29.5,29.25,29.25,14500.0
2001-08-29,29.25,29.8,29.35,29.55,67500.0
2001-08-30,29.55,29.9,28.75,29.8,100500.0
2001-08-31,29.8,29.85,29.1,29.5,51000.0
2001-09-03,29.5,29.25,29.05,29.15,17000.0
2001-09-04,29.15,29.15,28.95,29.05,13500.0
2001-09-05,29.05,29.25,29.0,29.1,22500.0
2001-09-06,29.1,30.2,29.25,29.8,73000.0
2001-09-07,29.8,30.1,29.75,30.1,36000.0
2001-09-10,30.1,30.5,30.0,30.35,90000.0
2001-09-11,30.35,30.35,30.25,30.35,6000.0
2001-09-12,30.35,29.6,28.8,29.3,88000.0
2001-09-13,29.3,29.3,28.75,28.75,41500.0
2001-09-14,28.75,28.0,25.5,26.25,53000.0
2001-09-24,26.25,25.2,25.0,25.0,2500.0
2001-09-25,25.0,26.5,23.75,25.95,33500.0
2001-09-26,25.95,27.2,26.25,26.95,58500.0
2001-09-27,26.95,27.75,27.1,27.75,4500.0
2001-09-28,27.75,28.0,27.4,27.4,10000.0
2001-10-01,27.4,26.8,26.25,26.25,9500.0
2001-10-02,26.25,26.15,26.05,26.05,4500.0
2001-10-03,26.05,27.0,26.4,26.6,9000.0
2001-10-04,26.6,27.75,27.0,27.3,8000.0
2001-10-05,27.3,28.9,27.25,28.9,25000.0
2001-10-08,28.9,27.5,27.5,27.5,2500.0
2001-10-09,27.5,29.95,28.0,29.75,46500.0
