Date,Open,High,Low,Close,Volume
2001-01-04,0.5,0.75,0.5,0.75,2500.0
2001-01-18,0.75,0.75,0.75,0.75,3000.0
2001-01-22,0.75,0.75,0.75,0.75,500.0
2001-01-25,0.75,0.6,0.6,0.6,1000.0
2001-01-29,0.6,0.6,0.6,0.6,500.0
2001-01-30,0.6,0.75,0.75,0.75,2000.0
2001-02-06,0.75,0.5,0.5,0.5,4000.0
2001-02-07,0.5,0.6,0.6,0.6,1000.0
2001-02-09,0.6,0.5,0.5,0.5,2000.0
2001-02-12,0.5,0.5,0.5,0.5,2000.0
2001-02-20,0.5,0.4,0.4,0.4,1000.0
2001-02-21,0.4,0.4,0.4,0.4,500.0
2001-02-26,0.4,0.4,0.4,0.4,500.0
2001-02-27,0.4,0.4,0.4,0.4,1500.0
2001-02-28,0.4,0.4,0.4,0.4,500.0
2001-03-12,0.4,0.4,0.4,0.4,500.0
2001-03-13,0.4,0.4,0.4,0.4,1500.0
2001-03-22,0.4,0.4,0.4,0.4,1000.0
2001-03-30,0.4,0.5,0.5,0.5,500.0
2001-04-02,0.5,0.7,0.7,0.7,1500.0
2001-04-18,0.7,0.4,0.4,0.4,2000.0
2001-04-27,0.4,0.6,0.6,0.6,2500.0
2001-04-30,0.6,0.5,0.5,0.5,500.0
2001-05-03,0.5,0.45,0.45,0.45,500.0
2001-05-07,0.45,0.4,0.4,0.4,4000.0
2001-05-08,0.4,0.35,0.35,0.35,1000.0
2001-05-09,0.35,0.5,0.45,0.5,5000.0
2001-05-10,0.5,0.5,0.45,0.5,8000.0
2001-05-11,0.5,0.5,0.5,0.5,500.0
2001-05-16,0.5,0.5,0.5,0.5,5000.0
2001-05-17,0.5,0.5,0.5,0.5,2500.0
2001-05-21,0.5,0.4,0.4,0.4,1500.0
2001-05-22,0.4,0.5,0.5,0.5,1500.0
2001-05-24,0.5,0.65,0.4,0.65,1000.0
2001-05-30,0.65,0.65,0.65,0.65,7000.0
2001-05-31,0.65,0.7,0.6,0.6,5500.0
2001-06-01,0.6,0.6,0.6,0.6,3500.0
2001-06-06,0.6,0.6,0.6,0.6,5000.0
2001-06-08,0.6,0.75,0.7,0.75,7000.0
2001-06-11,0.75,1.0,0.9,1.0,1000.0
2001-06-12,1.0,1.0,0.9,1.0,2000.0
2001-06-13,1.0,1.0,0.9,1.0,2000.0
2001-06-15,1.0,0.8,0.8,0.8,2500.0
2001-06-26,0.8,0.6,0.6,0.6,500.0
2001-06-29,0.6,1.0,0.95,1.0,8000.0
2001-07-20,1.0,0.5,0.5,0.5,2000.0
2001-07-23,0.5,0.5,0.5,0.5,5000.0
2001-07-24,0.5,0.5,0.5,0.5,8500.0
2001-07-25,0.5,0.5,0.5,0.5,2000.0
2001-08-13,0.5,0.5,0.5,0.5,1000.0
2001-08-27,0.5,0.5,0.5,0.5,1000.0
2001-09-03,0.5,0.7,0.6,0.7,1000.0
2001-10-30,0.7,0.85,0.85,0.85,500.0
2001-11-06,0.85,1.0,1.0,1.0,500.0
2001-12-06,1.0,1.0,1.0,1.0,0.0
2002-03-22,1.0,0.65,0.65,0.6,0.0
2002-04-02,0.6,0.4,0.4,0.4,500.0
2002-04-09,0.4,0.4,0.4,0.4,1000.0
2002-04-15,0.4,0.5,0.4,0.45,2000.0
2002-04-16,0.45,0.5,0.45,0.5,1000.0
2002-04-17,0.5,0.45,0.45,0.45,3000.0
2002-04-18,0.45,0.45,0.45,0.45,1000.0
2002-04-19,0.45,0.4,0.4,0.4,500.0
2002-04-22,0.4,0.45,0.45,0.45,0.0
