Date,Open,High,Low,Close,Volume
2001-01-01,1.8,1.8,1.8,1.8,500.0
2001-01-04,1.8,2.0,2.0,2.0,16500.0
2001-01-05,2.0,2.2,1.85,2.2,9500.0
2001-01-08,2.2,2.3,2.25,2.3,5500.0
2001-01-10,2.3,2.15,2.15,2.15,1000.0
2001-01-11,2.15,2.35,2.25,2.35,8000.0
2001-01-12,2.35,2.25,1.85,1.9,8500.0
2001-01-15,1.9,1.7,1.5,1.7,1500.0
2001-01-16,1.7,2.0,1.75,2.0,2500.0
2001-01-17,2.0,1.65,1.6,1.6,3500.0
2001-01-18,1.6,1.75,1.7,1.7,2000.0
2001-01-19,1.7,1.6,1.6,1.6,500.0
2001-01-23,1.6,1.5,1.5,1.5,1000.0
2001-01-24,1.5,1.65,1.25,1.65,3000.0
2001-01-26,1.65,1.35,1.3,1.35,1000.0
2001-01-31,1.35,1.6,1.25,1.6,1000.0
2001-02-06,1.6,1.5,1.5,1.5,500.0
2001-02-08,1.5,1.3,1.3,1.3,1000.0
2001-02-12,1.3,2.0,1.65,1.75,18000.0
2001-02-13,1.75,1.75,1.5,1.75,4000.0
2001-02-14,1.75,1.95,1.75,1.75,2000.0
2001-02-15,1.75,2.0,1.9,2.0,2000.0
2001-02-16,2.0,2.0,1.8,1.8,1500.0
2001-02-21,1.8,1.55,1.55,1.55,1000.0
2001-02-26,1.55,1.75,1.75,1.75,2500.0
2001-02-27,1.75,1.5,1.5,1.5,2000.0
2001-03-01,1.5,1.5,1.5,1.5,3000.0
2001-03-02,1.5,1.7,1.5,1.55,11500.0
2001-03-13,1.55,1.55,1.4,1.4,4000.0
2001-03-14,1.4,1.65,1.5,1.65,3500.0
2001-03-15,1.65,1.6,1.6,1.6,10000.0
2001-03-16,1.6,1.75,1.75,1.75,1500.0
2001-03-19,1.75,1.7,1.65,1.7,2500.0
2001-03-21,1.7,1.7,1.7,1.7,500.0
2001-03-22,1.7,1.7,1.65,1.7,3000.0
2001-03-26,1.7,1.6,1.6,1.6,500.0
2001-03-27,1.6,1.7,1.6,1.7,16000.0
2001-03-28,1.7,1.7,1.7,1.7,500.0
2001-03-30,1.7,1.7,1.7,1.7,16500.0
2001-04-09,1.7,1.75,1.7,1.7,8500.0
2001-04-10,1.7,1.7,1.7,1.7,1000.0
2001-04-11,1.7,1.7,1.7,1.7,500.0
2001-04-12,1.7,1.7,1.7,1.7,1000.0
2001-04-13,1.7,1.7,1.7,1.7,500.0
2001-04-20,1.7,1.95,1.65,1.95,5500.0
2001-04-23,1.95,1.95,1.95,1.95,500.0
2001-04-25,1.95,1.75,1.7,1.7,1500.0
2001-04-30,1.7,1.65,1.65,1.65,1000.0
2001-05-08,1.65,2.05,1.75,2.05,3000.0
2001-05-11,2.05,1.9,1.9,1.9,500.0
2001-05-15,1.9,1.85,1.8,1.8,5500.0
2001-05-16,1.8,2.0,2.0,2.0,500.0
2001-05-17,2.0,1.85,1.8,1.8,1000.0
2001-05-18,1.8,1.8,1.8,1.8,1500.0
2001-05-22,1.8,1.8,1.8,1.8,1500.0
2001-05-23,1.8,1.85,1.8,1.8,3000.0
2001-05-24,1.8,1.8,1.8,1.8,1000.0
2001-05-25,1.8,1.8,1.8,1.8,5000.0
2001-05-29,1.8,1.8,1.8,1.8,20000.0
2001-05-30,1.8,1.7,1.7,1.7,1000.0
2001-05-31,1.7,1.8,1.8,1.8,1000.0
2001-06-04,1.8,1.8,1.8,1.8,5500.0
2001-06-06,1.8,1.7,1.65,1.65,20000.0
2001-06-15,1.65,1.5,1.4,1.4,2000.0
2001-06-19,1.4,1.65,1.65,1.65,5000.0
2001-06-20,1.65,1.55,1.4,1.55,2000.0
2001-06-21,1.55,1.55,1.55,1.55,2000.0
2001-06-28,1.55,1.6,1.6,1.6,8000.0
2001-06-29,1.6,1.9,1.8,1.9,1500.0
2001-07-20,1.9,1.5,1.5,1.5,22000.0
2001-07-23,1.5,1.5,1.45,1.5,10000.0
2001-07-24,1.5,1.5,1.4,1.5,7000.0
2001-07-26,1.5,1.5,1.4,1.5,5000.0
2001-07-31,1.5,1.4,1.4,1.4,500.0
2001-08-02,1.4,1.5,1.5,1.5,500.0
2001-08-06,1.5,1.8,1.8,1.8,500.0
2001-08-07,1.8,1.9,1.85,1.85,1000.0
2001-08-08,1.85,1.85,1.8,1.85,2000.0
2001-08-09,1.85,1.85,1.85,1.85,1000.0
2001-08-10,1.85,1.85,1.75,1.85,1500.0
2001-08-16,1.85,1.8,1.55,1.8,2000.0
2001-08-20,1.8,1.75,1.75,1.75,2000.0
2001-08-21,1.75,1.75,1.75,1.75,2500.0
2001-08-22,1.75,1.65,1.65,1.65,500.0
2001-08-23,1.65,1.7,1.7,1.7,3500.0
2001-08-24,1.7,1.65,1.65,1.65,3000.0
2001-08-28,1.65,1.75,1.75,1.75,4500.0
2001-08-30,1.75,1.55,1.55,1.55,3000.0
2001-09-04,1.55,1.55,1.55,1.55,2500.0
2001-09-06,1.55,1.55,1.55,1.55,500.0
2001-09-10,1.55,1.55,1.55,1.55,2500.0
2001-09-11,1.55,1.55,1.55,1.55,500.0
2001-09-14,1.55,1.55,1.55,1.55,2500.0
2001-10-15,1.55,1.6,1.5,1.5,1000.0
2002-01-30,1.5,1.0,1.0,1.0,500.0
2002-01-31,1.0,1.5,1.35,1.5,7500.0
2002-02-01,1.5,1.0,1.0,1.0,1000.0
2002-02-04,1.0,1.45,1.05,1.45,2000.0
2002-02-20,1.45,0.9,0.9,0.9,1000.0
2002-02-26,0.9,1.5,1.4,1.5,7000.0
2002-03-04,1.5,1.5,1.5,1.5,1000.0
2002-03-06,1.5,1.5,1.1,1.5,7000.0
2002-03-07,1.5,1.5,1.5,1.5,500.0
2002-03-08,1.5,1.5,1.4,1.5,2000.0
2002-03-11,1.5,1.4,1.4,1.4,500.0
2002-03-12,1.4,1.75,1.75,1.75,500.0
2002-03-18,1.75,1.5,1.5,1.5,500.0
2002-03-20,1.5,1.6,1.05,1.5,4000.0
2002-03-21,1.5,1.15,1.15,1.15,1000.0
2002-03-26,1.15,1.5,1.1,1.45,9000.0
2002-03-27,1.45,1.45,1.2,1.2,9000.0
2002-03-28,1.2,1.4,1.1,1.25,15000.0
2002-03-29,1.25,1.5,1.2,1.45,21500.0
2002-04-01,1.45,1.6,1.5,1.6,4000.0
2002-04-02,1.6,1.65,1.6,1.6,7500.0
2002-04-04,1.6,1.85,1.4,1.4,10000.0
2002-04-05,1.4,2.0,1.75,1.85,29000.0
2002-04-08,1.85,1.75,1.75,1.75,1000.0
2002-04-09,1.75,1.75,1.65,1.7,4500.0
2002-04-11,1.7,1.7,1.6,1.6,4000.0
2002-04-15,1.6,1.8,1.75,1.75,5000.0
2002-04-19,1.75,1.5,1.5,1.5,1000.0
2002-04-22,1.5,1.4,1.4,1.4,2000.0
2002-04-23,1.4,1.3,1.3,1.3,1000.0
2002-04-24,1.3,1.4,1.4,1.4,500.0
2002-04-30,1.4,1.5,1.45,1.45,1000.0
2002-05-03,1.45,1.3,1.3,1.3,2000.0
2002-05-06,1.3,1.15,1.1,1.15,1500.0
2002-05-08,1.15,1.3,1.3,1.3,4000.0
2002-05-14,1.3,1.25,1.25,1.25,5000.0
2002-05-15,1.25,1.3,1.3,1.3,500.0
