Date,Open,High,Low,Close,Volume
2001-01-02,1.1,1.5,1.45,1.5,6000.0
2001-01-03,1.5,1.55,1.5,1.55,1500.0
2001-01-04,1.55,1.5,1.5,1.5,1500.0
2001-01-05,1.5,1.8,1.6,1.8,3000.0
2001-01-08,1.8,1.75,1.6,1.75,7500.0
2001-01-09,1.75,1.75,1.6,1.75,2000.0
2001-01-10,1.75,1.6,1.6,1.6,1000.0
2001-01-11,1.6,1.6,1.55,1.55,2000.0
2001-01-12,1.55,1.3,1.3,1.3,2000.0
2001-01-16,1.3,1.3,1.3,1.3,500.0
2001-01-17,1.3,1.35,1.35,1.35,3500.0
2001-01-18,1.35,1.3,1.3,1.3,500.0
2001-01-19,1.3,1.3,1.3,1.3,3000.0
2001-01-23,1.3,1.3,1.3,1.3,1000.0
2001-01-24,1.3,1.4,1.4,1.4,500.0
2001-01-26,1.4,1.35,1.3,1.35,2000.0
2001-01-29,1.35,1.6,1.25,1.6,2000.0
2001-01-30,1.6,1.4,1.35,1.35,3000.0
2001-02-02,1.35,1.35,1.3,1.35,2500.0
2001-02-06,1.35,1.35,1.35,1.35,500.0
2001-02-08,1.35,1.35,1.0,1.35,1000.0
2001-02-12,1.35,1.5,1.5,1.5,1500.0
2001-02-14,1.5,1.45,1.4,1.45,1000.0
2001-02-15,1.45,1.3,1.3,1.3,1000.0
2001-02-16,1.3,1.35,1.35,1.35,500.0
2001-02-19,1.35,1.2,1.2,1.2,1000.0
2001-02-20,1.2,1.15,1.15,1.15,4000.0
2001-02-21,1.15,1.15,1.15,1.15,500.0
2001-02-22,1.15,1.2,1.1,1.1,3000.0
2001-02-26,1.1,1.35,1.35,1.35,500.0
2001-03-01,1.35,1.15,1.15,1.15,500.0
2001-03-02,1.15,1.4,1.4,1.4,2000.0
2001-03-12,1.4,1.4,1.35,1.35,1500.0
2001-03-13,1.35,1.25,1.15,1.25,1500.0
2001-03-14,1.25,1.35,1.05,1.3,10500.0
2001-03-15,1.3,1.25,1.25,1.25,1000.0
2001-03-16,1.25,1.1,1.1,1.1,500.0
2001-03-19,1.1,1.1,1.1,1.1,500.0
