Date,Open,High,Low,Close,Volume
2001-01-03,4.8,4.8,4.5,4.8,97500.0
2001-01-05,4.8,5.0,4.1,5.0,25000.0
2001-01-08,5.0,5.0,5.0,5.0,10000.0
2001-01-09,5.0,5.0,4.7,5.0,4000.0
2001-01-10,5.0,6.0,5.2,5.5,297000.0
2001-01-11,5.5,6.0,5.7,6.0,12500.0
2001-01-12,6.0,6.2,5.95,6.2,48000.0
2001-01-15,6.2,6.0,5.5,6.0,17000.0
2001-01-16,6.0,6.5,6.0,6.5,20500.0
2001-01-17,6.5,6.5,6.3,6.35,16500.0
2001-01-18,6.35,6.75,6.15,6.55,16000.0
2001-01-19,6.55,6.75,6.5,6.65,24000.0
2001-01-22,6.65,7.25,6.65,7.1,26000.0
2001-01-23,7.1,7.25,6.75,7.15,31500.0
2001-01-24,7.15,7.5,7.15,7.5,30000.0
2001-01-25,7.5,8.0,7.05,7.3,27000.0
2001-01-26,7.3,7.75,7.25,7.75,38500.0
2001-01-29,7.75,7.4,7.4,7.4,3000.0
2001-01-30,7.4,7.5,7.25,7.4,11500.0
2001-01-31,7.4,7.6,7.4,7.5,17500.0
2001-02-01,7.5,7.5,7.3,7.3,2000.0
2001-02-02,7.3,7.4,7.2,7.4,15500.0
2001-02-06,7.4,7.5,7.5,7.5,6000.0
2001-02-07,7.5,7.25,7.25,7.25,500.0
2001-02-08,7.25,7.5,7.2,7.4,20500.0
2001-02-09,7.4,7.5,7.3,7.3,14000.0
2001-02-12,7.3,7.6,7.5,7.6,6500.0
2001-02-13,7.6,7.55,7.25,7.5,11500.0
2001-02-14,7.5,7.55,7.5,7.5,9500.0
2001-02-15,7.5,8.6,7.65,8.55,106000.0
2001-02-16,8.55,8.7,8.1,8.7,12500.0
2001-02-19,8.7,8.25,8.15,8.15,5000.0
2001-02-20,8.15,8.25,8.0,8.0,17000.0
2001-02-21,8.0,8.1,7.8,8.0,6000.0
2001-02-22,8.0,8.25,7.8,8.25,14500.0
2001-02-23,8.25,7.25,7.25,7.25,1000.0
2001-02-26,7.25,7.35,7.35,7.35,1500.0
2001-02-27,7.35,7.35,7.25,7.25,3000.0
2001-02-28,7.25,7.5,7.25,7.5,2500.0
2001-03-01,7.5,7.5,7.5,7.5,3000.0
2001-03-14,7.5,5.35,5.3,5.3,1000.0
2001-03-19,5.3,5.7,5.65,5.7,2000.0
2001-03-20,5.7,6.5,6.0,6.5,1500.0
2001-03-21,6.5,6.6,6.15,6.5,10500.0
2001-03-22,6.5,7.0,6.0,6.3,6500.0
2001-03-26,6.3,6.3,6.3,6.3,500.0
2001-03-28,6.3,6.3,6.3,6.3,500.0
2001-03-29,6.3,6.5,6.0,6.5,3500.0
2001-04-02,6.5,6.5,6.35,6.5,9500.0
2001-04-06,6.5,6.6,6.5,6.5,8500.0
2001-04-09,6.5,6.65,6.3,6.65,10000.0
2001-04-11,6.65,6.5,6.35,6.5,1500.0
2001-04-12,6.5,6.65,6.25,6.65,4000.0
2001-04-13,6.65,7.45,6.6,7.45,26500.0
2001-04-16,7.45,8.0,6.35,8.0,57500.0
2001-04-17,8.0,8.0,7.75,8.0,82500.0
