Date,Open,High,Low,Close,Volume
2001-01-01,4.9,3.9,3.9,3.9,5000.0
2001-01-02,3.9,3.9,3.9,3.9,5500.0
2001-01-03,3.9,4.1,4.0,4.1,6500.0
2001-01-04,4.1,4.0,4.0,4.0,20000.0
2001-01-05,4.0,4.0,3.9,4.0,28500.0
2001-01-08,4.0,4.0,4.0,4.0,13000.0
2001-01-09,4.0,4.0,3.9,3.9,4500.0
2001-01-10,3.9,4.15,4.0,4.15,4500.0
2001-01-11,4.15,4.15,4.0,4.0,8000.0
2001-01-12,4.0,4.05,4.0,4.0,3500.0
2001-01-15,4.0,4.8,4.0,4.0,4500.0
2001-01-16,4.0,4.5,4.5,4.5,500.0
2001-01-17,3.75,3.75,3.75,3.75,0.0
2001-01-19,3.75,3.4,3.3,3.4,8000.0
2001-01-24,3.4,3.75,3.6,3.75,5000.0
2001-01-31,3.75,3.4,3.4,3.4,1500.0
2001-02-01,3.4,3.4,3.4,3.4,4000.0
2001-02-02,3.4,3.3,3.3,3.3,1000.0
2001-02-06,3.3,3.45,3.45,3.45,1000.0
2001-02-07,3.45,3.5,3.1,3.3,9000.0
2001-02-08,3.3,3.3,3.15,3.3,3000.0
2001-02-09,3.3,3.3,3.3,3.3,1000.0
2001-02-12,3.3,3.35,3.3,3.3,1000.0
2001-02-13,3.3,3.3,3.3,3.3,1500.0
2001-02-14,3.3,3.55,3.55,3.55,2000.0
2001-02-15,3.55,3.35,3.35,3.35,2000.0
2001-02-16,3.35,3.5,3.35,3.5,4000.0
2001-02-20,3.5,3.5,3.4,3.5,3500.0
2001-02-21,3.5,3.5,3.5,3.5,2500.0
2001-02-22,3.5,3.5,3.5,3.5,18500.0
2001-02-23,3.5,3.5,3.5,3.5,15000.0
2001-02-26,3.5,3.6,3.5,3.6,4000.0
2001-02-27,3.6,3.5,3.5,3.5,1000.0
2001-02-28,3.5,3.55,3.55,3.55,2000.0
2001-03-01,3.55,3.25,3.25,3.25,1000.0
2001-03-12,3.25,3.5,3.5,3.5,1000.0
2001-03-13,3.5,3.25,3.25,3.25,1000.0
2001-03-14,3.25,3.3,3.25,3.25,22500.0
2001-03-15,3.25,3.25,3.25,3.25,500.0
2001-03-19,3.25,3.5,3.4,3.4,6000.0
2001-03-20,3.4,3.4,3.4,3.4,500.0
2001-03-22,3.4,3.3,3.3,3.3,500.0
2001-03-26,3.3,3.25,3.25,3.25,3000.0
2001-03-29,3.25,3.25,3.2,3.2,3000.0
2001-03-30,3.2,3.25,3.25,3.25,500.0
2001-04-02,3.25,3.25,3.1,3.25,1500.0
2001-04-03,3.25,3.15,3.15,3.15,1500.0
2001-04-10,3.15,3.25,3.25,3.25,500.0
2001-04-11,3.25,3.0,3.0,3.0,1000.0
2001-04-13,3.0,3.25,3.25,3.25,1000.0
2001-04-20,3.25,3.2,3.2,3.2,6000.0
2001-04-23,3.2,3.25,3.2,3.2,12500.0
2001-04-24,3.2,3.25,3.2,3.25,13000.0
2001-04-25,3.25,3.25,3.25,3.25,5000.0
2001-04-26,3.25,3.25,3.25,3.25,5000.0
2001-05-04,3.25,3.35,3.3,3.3,36500.0
2001-05-07,3.3,3.25,3.25,3.25,500.0
2001-05-10,3.25,3.3,3.25,3.3,1500.0
2001-05-14,3.3,3.25,3.25,3.25,6000.0
2001-05-15,3.25,3.25,3.1,3.25,1000.0
2001-05-16,3.25,3.2,3.2,3.2,500.0
2001-05-18,3.2,3.25,3.25,3.25,500.0
2001-05-22,3.25,3.15,3.15,3.15,13500.0
2001-05-23,3.15,3.1,3.1,3.1,1500.0
2001-05-25,3.1,3.25,3.25,3.25,40000.0
2001-05-28,3.25,3.35,3.2,3.25,36000.0
2001-06-01,3.25,3.25,3.15,3.15,51000.0
2001-06-04,3.15,3.25,3.25,3.25,500.0
2001-06-06,3.25,3.25,3.25,3.25,2000.0
2001-06-11,3.25,3.35,3.35,3.35,500.0
2001-06-12,3.35,3.1,3.1,3.1,500.0
2001-06-13,3.1,3.2,3.1,3.2,4500.0
2001-06-14,3.2,3.2,3.2,3.2,2500.0
2001-06-15,3.2,3.3,3.2,3.3,6500.0
2001-06-18,3.3,3.45,3.1,3.1,1000.0
2001-06-20,3.1,3.1,3.1,3.1,500.0
2001-06-25,3.1,3.15,3.15,3.15,5000.0
2001-06-26,3.15,3.25,3.1,3.25,5500.0
2001-06-27,3.25,3.3,3.25,3.3,18500.0
2001-06-28,3.3,3.2,3.15,3.2,5500.0
2001-06-29,3.2,3.2,3.2,3.2,500.0
2001-07-03,3.2,3.25,3.25,3.25,11000.0
2001-07-04,3.25,3.45,3.25,3.45,6000.0
2001-07-10,3.45,3.15,3.15,3.15,500.0
2001-07-11,3.15,3.25,3.25,3.25,5000.0
2001-07-12,3.25,3.75,3.75,3.75,500.0
2001-07-17,3.75,3.15,3.15,3.15,500.0
2001-07-18,3.15,3.45,3.45,3.45,500.0
2001-07-19,3.45,3.45,3.45,3.45,1000.0
2001-07-25,3.45,3.7,3.7,3.7,500.0
2001-08-02,3.7,3.35,3.05,3.35,4000.0
2001-08-07,3.35,3.95,3.45,3.95,4500.0
2001-08-15,3.95,3.4,3.3,3.4,1000.0
2001-08-16,3.4,3.35,3.35,3.35,1000.0
2001-08-20,3.35,3.4,3.4,3.4,500.0
2001-08-28,3.4,3.4,3.4,3.4,12000.0
2001-08-29,3.4,3.35,3.1,3.35,3500.0
2001-08-31,3.35,3.45,3.25,3.45,5000.0
2001-09-03,3.45,3.75,3.25,3.25,1000.0
2001-09-04,3.25,3.45,3.1,3.3,10000.0
2001-09-05,3.3,3.45,3.45,3.45,500.0
2001-09-06,3.45,3.4,3.4,3.4,3000.0
2001-09-12,3.4,3.2,3.2,3.2,1000.0
2001-09-13,3.2,3.4,3.4,3.4,500.0
2001-09-14,3.4,3.35,3.0,3.35,2500.0
2001-09-26,3.35,3.2,3.2,3.2,1500.0
2001-10-03,3.2,3.4,3.05,3.4,6500.0
2001-10-18,3.4,3.45,3.25,3.45,1500.0
2001-10-19,3.45,3.75,3.3,3.75,6500.0
2001-10-22,3.75,3.95,3.95,3.95,500.0
2001-10-23,3.95,4.6,4.6,4.6,500.0
2001-10-24,4.6,4.95,4.95,4.95,500.0
2001-10-30,4.95,4.75,4.75,4.75,500.0
2001-10-31,4.75,4.55,4.55,4.55,4000.0
2001-11-02,4.55,4.4,4.4,4.4,5000.0
2001-11-05,4.4,4.5,4.5,4.5,500.0
2001-11-06,4.5,4.95,4.95,4.95,500.0
2001-12-15,4.95,4.0,3.5,3.7,7000.0
2001-12-20,3.7,3.0,3.0,3.0,2000.0
2001-12-21,3.0,4.45,2.0,4.45,14000.0
2001-12-27,4.45,4.05,3.0,4.05,5000.0
2001-12-31,4.05,4.45,4.45,4.45,500.0
2002-01-01,4.45,3.5,3.0,3.5,10500.0
2002-01-02,3.5,3.25,3.15,3.25,1000.0
2002-01-03,3.25,3.1,3.0,3.0,3000.0
2002-01-04,3.0,2.75,2.75,2.75,1000.0
2002-01-07,2.75,2.95,2.95,2.95,500.0
2002-01-09,2.95,2.75,2.75,2.75,1000.0
2002-01-10,2.75,2.95,2.95,2.95,500.0
2002-01-14,2.95,2.9,2.5,2.9,8500.0
2002-01-15,2.9,2.8,2.8,2.8,2000.0
2002-01-16,2.8,2.85,2.8,2.8,14000.0
2002-01-17,2.8,2.85,2.75,2.8,24500.0
2002-01-18,2.8,2.8,2.8,2.8,2000.0
2002-01-21,2.8,3.1,2.8,2.8,18000.0
2002-01-24,2.8,2.85,2.75,2.85,40500.0
2002-01-25,2.85,2.9,2.75,2.9,11500.0
2002-01-28,2.9,2.85,2.85,2.85,500.0
2002-01-29,2.85,3.2,3.0,3.0,3000.0
2002-01-30,3.0,3.2,3.0,3.0,20000.0
2002-01-31,3.0,3.0,3.0,3.0,500.0
2002-02-01,3.0,3.0,3.0,3.0,500.0
2002-02-06,3.0,2.8,2.8,2.8,18000.0
2002-02-08,2.8,3.9,3.0,3.9,3500.0
2002-02-12,3.9,3.45,2.9,3.45,1000.0
2002-02-19,3.45,2.6,2.6,2.6,500.0
2002-02-20,2.6,3.15,2.9,3.15,9500.0
2002-02-21,3.15,3.75,3.75,3.75,500.0
2002-02-26,3.75,3.4,2.7,3.4,3500.0
2002-03-05,3.4,3.05,2.55,3.05,42000.0
2002-03-06,3.05,3.2,2.75,2.95,68000.0
2002-03-07,2.95,2.95,2.95,2.95,31000.0
2002-03-08,2.95,3.0,2.8,3.0,1500.0
2002-03-11,3.0,3.15,3.15,3.15,500.0
2002-03-13,3.15,2.85,2.85,2.85,500.0
2002-03-14,2.85,3.05,2.95,3.05,2500.0
2002-03-15,3.05,3.9,3.9,3.9,5000.0
2002-03-20,3.9,2.85,2.85,2.85,4000.0
2002-03-21,2.85,3.1,2.75,3.1,4000.0
2002-03-22,3.1,3.05,3.05,3.05,0.0
2002-03-26,3.05,3.0,2.95,3.0,11000.0
2002-03-28,3.0,3.0,3.0,3.0,500.0
2002-03-29,3.0,3.0,2.85,2.95,12500.0
2002-04-01,2.95,3.0,3.0,3.0,500.0
2002-04-02,3.0,3.0,3.0,3.0,7000.0
2002-04-03,3.0,3.05,3.0,3.0,19500.0
2002-04-04,3.0,3.85,3.15,3.15,53000.0
2002-04-05,3.15,3.0,3.0,3.0,2500.0
2002-04-08,3.0,3.15,3.1,3.15,30000.0
2002-04-09,3.15,3.1,3.1,3.1,4500.0
2002-04-10,3.1,3.05,3.0,3.0,143500.0
2002-04-11,3.0,3.05,3.05,3.05,500.0
2002-04-15,3.05,3.15,3.1,3.1,40500.0
2002-04-16,3.1,3.15,3.05,3.15,7000.0
2002-04-17,3.15,3.15,3.05,3.05,18500.0
2002-04-18,3.05,3.05,3.05,3.05,500.0
2002-04-22,3.05,3.0,3.0,3.0,6500.0
2002-04-23,3.0,3.4,3.05,3.05,1500.0
2002-04-26,3.05,3.15,3.0,3.1,1000.0
2002-04-29,3.1,3.15,3.0,3.15,3500.0
2002-04-30,3.15,3.05,3.05,3.05,2000.0
2002-05-06,3.05,3.05,3.05,3.05,500.0
2002-05-07,3.05,3.0,3.0,3.0,20000.0
2002-05-16,3.0,2.95,2.95,2.95,500.0
2002-05-20,2.95,3.05,2.6,2.95,5500.0
2002-05-21,2.95,2.9,2.9,2.9,0.0
2002-05-22,2.9,3.0,2.55,2.55,1000.0
2002-05-24,2.55,3.0,3.0,3.0,500.0
2002-05-27,3.0,2.9,2.9,2.9,0.0
2002-05-29,2.9,3.35,2.55,2.55,1000.0
2002-05-30,2.55,3.0,2.55,3.0,4500.0
2002-05-31,3.0,2.6,2.6,2.6,1000.0
2002-06-03,2.6,2.85,2.55,2.65,3500.0
2002-06-04,2.65,2.85,2.5,2.85,5000.0
2002-06-05,2.85,2.95,2.6,2.95,2500.0
2002-06-06,2.95,2.9,2.9,2.9,0.0
2002-06-07,2.9,2.9,2.5,2.9,4500.0
2002-06-10,2.9,3.05,2.9,3.0,1000.0
2002-06-11,3.0,3.0,2.65,3.0,7000.0
2002-06-12,3.0,3.2,2.85,3.2,19000.0
2002-06-13,3.2,3.25,3.0,3.0,500.0
2002-06-14,3.0,3.15,2.8,3.15,3000.0
2002-06-17,3.15,3.1,2.75,3.0,5500.0
2002-06-19,3.0,2.9,2.9,2.9,0.0
2002-06-20,2.9,3.05,2.8,3.05,4000.0
2002-06-21,3.05,3.0,3.0,3.0,0.0
2002-06-24,3.0,3.0,3.0,3.0,1000.0
2002-06-25,3.0,3.35,3.0,3.0,14000.0
2002-06-26,3.0,3.2,3.05,3.05,4500.0
2002-06-27,3.05,3.1,3.1,3.1,3500.0
2002-06-28,3.1,3.45,3.3,3.35,1500.0
2002-07-01,3.35,3.2,3.0,3.2,1500.0
2002-07-02,3.2,3.25,3.0,3.25,3500.0
2002-07-05,3.25,3.25,3.0,3.0,112500.0
2002-07-08,3.0,3.15,3.0,3.0,103000.0
2002-07-09,3.0,3.15,3.0,3.0,2500.0
