Date,Open,High,Low,Close,Volume
2001-01-01,0.6,0.8,0.75,0.8,7500.0
2001-01-08,0.8,0.75,0.75,0.75,1000.0
2001-01-18,0.75,0.6,0.5,0.55,36000.0
2001-01-19,0.55,0.5,0.5,0.5,5000.0
2001-01-23,0.5,0.55,0.55,0.55,2000.0
2001-01-24,0.55,0.6,0.55,0.55,4000.0
2001-01-25,0.55,0.6,0.6,0.6,500.0
2001-01-26,0.6,0.5,0.45,0.45,45500.0
2001-01-29,0.45,0.5,0.45,0.45,12500.0
2001-01-30,0.45,0.5,0.45,0.45,15000.0
2001-01-31,0.45,0.45,0.45,0.45,9000.0
2001-02-01,0.45,0.45,0.45,0.45,1000.0
2001-02-02,0.45,0.5,0.5,0.5,5000.0
2001-02-07,0.5,0.5,0.5,0.5,1000.0
2001-02-12,0.5,0.5,0.5,0.5,7500.0
2001-02-16,0.5,0.5,0.5,0.5,2000.0
2001-02-20,0.5,0.45,0.4,0.4,9500.0
2001-02-22,0.4,0.5,0.45,0.5,4500.0
2001-03-01,0.5,0.5,0.5,0.5,1000.0
2001-03-13,0.5,0.45,0.45,0.45,4000.0
2001-03-15,0.45,0.45,0.4,0.4,3000.0
2001-03-19,0.4,0.4,0.4,0.4,2000.0
2001-03-20,0.4,0.45,0.45,0.45,2500.0
2001-03-28,0.45,0.45,0.45,0.45,2000.0
2001-03-29,0.45,0.55,0.35,0.35,1000.0
2001-04-09,0.35,0.4,0.35,0.4,3000.0
2001-04-19,0.4,0.3,0.3,0.3,4000.0
2001-04-20,0.3,0.35,0.35,0.35,2000.0
2001-04-24,0.35,0.35,0.35,0.35,5000.0
2001-04-25,0.35,0.4,0.4,0.4,1000.0
2001-05-30,0.4,0.4,0.4,0.4,5000.0
2001-05-31,0.4,0.45,0.45,0.45,1000.0
2001-06-08,0.45,0.35,0.35,0.35,2500.0
2001-06-11,0.35,0.35,0.35,0.35,3500.0
2001-06-13,0.35,0.4,0.4,0.4,2000.0
2001-06-15,0.4,0.3,0.3,0.3,4000.0
2001-06-20,0.3,0.3,0.3,0.3,1500.0
2001-06-21,0.3,0.35,0.35,0.35,500.0
2001-06-26,0.35,0.3,0.3,0.3,1000.0
2001-06-27,0.3,0.35,0.35,0.35,8500.0
2001-06-29,0.35,0.3,0.3,0.3,2000.0
2001-07-12,0.3,0.65,0.45,0.6,17000.0
2001-07-13,0.6,0.5,0.5,0.5,500.0
2001-07-16,0.5,0.95,0.6,0.75,117500.0
2001-07-17,0.75,0.8,0.7,0.8,19500.0
2001-07-18,0.8,0.8,0.7,0.75,45500.0
2001-07-19,0.75,0.7,0.7,0.7,2000.0
2001-07-20,0.7,0.65,0.65,0.65,3500.0
2001-07-23,0.65,0.55,0.55,0.55,4500.0
2001-07-24,0.55,0.55,0.55,0.55,500.0
2001-07-25,0.55,0.6,0.6,0.6,6000.0
2001-07-31,0.6,0.6,0.6,0.6,2500.0
2001-08-01,0.6,0.6,0.6,0.6,500.0
2001-08-02,0.6,0.6,0.6,0.6,2000.0
2001-08-03,0.6,0.6,0.6,0.6,4000.0
2001-08-06,0.6,0.6,0.6,0.6,500.0
2001-08-08,0.6,0.55,0.55,0.55,1000.0
2001-08-09,0.55,0.55,0.55,0.55,1000.0
2001-08-15,0.55,0.55,0.55,0.55,4000.0
2001-08-16,0.55,0.55,0.55,0.55,3000.0
2001-08-21,0.55,0.55,0.55,0.55,6000.0
2001-08-27,0.55,0.5,0.5,0.5,1000.0
2001-09-04,0.5,0.5,0.5,0.5,2000.0
2001-09-26,0.5,0.55,0.55,0.55,2000.0
2001-10-09,0.55,0.55,0.55,0.55,28000.0
2001-10-10,0.55,0.55,0.55,0.55,4500.0
2001-11-02,0.55,0.65,0.65,0.65,500.0
2001-11-14,0.65,0.7,0.7,0.7,500.0
2001-12-05,0.7,0.35,0.35,0.35,1000.0
2001-12-20,0.35,0.3,0.3,0.3,500.0
2001-12-21,0.3,0.25,0.25,0.25,1000.0
2001-12-24,0.25,0.3,0.25,0.25,3000.0
2002-01-07,0.25,0.35,0.25,0.25,7000.0
2002-01-08,0.25,0.25,0.25,0.25,8000.0
2002-01-10,0.25,0.3,0.3,0.3,5000.0
2002-01-11,0.3,0.3,0.3,0.3,5000.0
2002-01-16,0.3,0.25,0.25,0.25,6000.0
2002-01-17,0.25,0.35,0.3,0.35,17500.0
2002-01-18,0.35,0.35,0.35,0.35,4000.0
2002-01-21,0.35,0.45,0.35,0.45,4500.0
2002-01-23,0.45,0.35,0.35,0.35,500.0
2002-01-24,0.35,0.4,0.4,0.4,1000.0
2002-01-29,0.4,0.4,0.35,0.4,3500.0
2002-01-30,0.4,0.4,0.4,0.4,2000.0
2002-02-04,0.4,0.55,0.45,0.45,9000.0
2002-02-06,0.45,0.5,0.5,0.5,1500.0
2002-02-07,0.5,0.5,0.5,0.5,1500.0
2002-02-11,0.5,0.7,0.7,0.7,500.0
2002-02-18,0.7,0.35,0.35,0.35,1000.0
2002-02-28,0.35,0.35,0.35,0.35,500.0
2002-03-01,0.35,0.35,0.35,0.35,500.0
2002-03-05,0.35,0.4,0.35,0.4,10500.0
2002-03-06,0.4,0.4,0.4,0.4,500.0
2002-03-07,0.4,0.45,0.45,0.45,4000.0
2002-03-12,0.45,0.45,0.45,0.45,500.0
2002-03-15,0.45,0.45,0.4,0.4,5500.0
2002-03-21,0.4,0.3,0.3,0.3,500.0
2002-03-28,0.3,0.3,0.3,0.3,500.0
2002-04-04,0.3,0.35,0.35,0.35,1000.0
2002-04-08,0.35,0.4,0.4,0.4,1000.0
2002-04-09,0.4,0.3,0.3,0.3,2500.0
2002-04-12,0.3,0.5,0.4,0.5,9000.0
2002-04-15,0.5,0.5,0.5,0.5,2000.0
2002-04-16,0.5,0.65,0.55,0.55,61000.0
2002-04-19,0.55,0.5,0.5,0.5,2000.0
