Date,Open,High,Low,Close,Volume
2001-01-01,2.85,3.4,3.4,3.4,2000.0
2001-01-08,3.4,3.25,3.25,3.25,500.0
2001-01-11,3.25,3.15,3.15,3.15,500.0
2001-01-15,3.15,3.0,3.0,3.0,3000.0
2001-01-17,3.0,3.0,3.0,3.0,3000.0
2001-01-19,3.0,3.1,3.0,3.1,2500.0
2001-01-24,3.1,3.25,3.25,3.25,500.0
2001-01-26,3.25,3.4,3.15,3.15,2000.0
2001-04-09,3.15,3.15,3.15,3.15,500.0
2001-04-11,3.15,2.75,2.75,2.75,1000.0
2001-04-13,2.75,2.4,2.4,2.4,500.0
2001-04-16,2.4,2.75,2.75,2.75,2000.0
2001-05-17,2.75,2.75,2.75,2.75,500.0
2001-05-18,2.75,2.5,2.5,2.5,500.0
2001-05-22,2.5,3.5,3.3,3.5,5000.0
2001-05-29,3.5,3.75,3.75,3.75,1000.0
2001-05-30,3.75,4.0,4.0,4.0,7500.0
2001-06-01,4.0,4.5,4.0,4.0,13000.0
2001-06-04,4.0,4.0,4.0,4.0,1000.0
2001-06-06,4.0,4.0,3.9,3.9,4000.0
2001-06-07,3.9,4.05,4.0,4.05,5000.0
2001-06-08,4.05,4.0,4.0,4.0,4000.0
2001-06-11,4.0,4.0,4.0,4.0,500.0
2001-06-13,4.0,4.1,4.1,4.1,2000.0
2001-06-14,4.1,4.1,4.1,4.1,1000.0
2001-06-15,4.1,4.1,4.1,4.1,500.0
2001-06-18,4.1,3.9,3.9,3.9,1000.0
2001-06-22,3.9,3.9,3.85,3.9,2500.0
2001-06-25,3.9,3.9,3.9,3.9,500.0
2001-06-26,3.9,3.9,3.9,3.9,500.0
2001-06-27,3.9,5.9,4.05,5.7,63000.0
2001-06-28,4.7,6.4,5.05,6.1,156500.0
2001-06-29,6.1,6.6,3.75,3.75,93000.0
2001-07-03,3.75,3.75,3.75,3.75,1000.0
2001-07-04,3.75,3.6,3.0,3.3,18000.0
2001-07-05,3.3,3.4,3.1,3.3,18000.0
2001-07-06,3.3,3.35,3.25,3.3,17500.0
2001-07-09,3.3,4.8,3.3,4.0,130000.0
2001-07-10,4.0,4.5,4.05,4.4,120500.0
2001-07-11,4.4,4.5,4.25,4.5,13000.0
2001-07-12,4.5,4.5,4.25,4.45,16500.0
2001-07-13,4.45,4.35,4.05,4.05,14500.0
2001-07-16,4.05,4.4,4.25,4.35,10500.0
2001-07-17,4.35,4.05,3.9,3.9,2000.0
2001-07-18,3.9,3.9,3.9,3.9,500.0
2001-07-19,3.9,4.0,3.95,3.95,6000.0
2001-07-27,3.95,3.8,3.7,3.8,14000.0
2001-08-02,3.8,3.7,3.7,3.7,1000.0
2001-08-03,3.7,3.65,3.65,3.65,1000.0
2001-08-06,3.65,3.7,3.7,3.7,500.0
2001-08-08,3.7,3.75,3.7,3.75,4500.0
2001-08-09,3.75,3.7,3.7,3.7,1500.0
2001-08-15,3.7,3.75,3.75,3.75,1000.0
2001-08-16,3.75,4.2,3.95,4.0,4000.0
2001-08-17,4.0,3.8,3.8,3.8,3500.0
2001-08-21,3.8,3.75,3.75,3.75,1000.0
2001-08-22,3.75,4.25,4.05,4.25,8000.0
2001-08-23,4.25,4.0,4.0,4.0,3000.0
2001-08-24,4.0,4.0,4.0,4.0,5000.0
2001-08-27,4.0,4.05,4.0,4.0,7500.0
2001-08-28,4.0,4.2,4.1,4.2,4500.0
2001-08-29,4.2,4.2,4.15,4.15,1500.0
2001-08-30,4.15,4.15,4.15,4.15,1500.0
2001-08-31,4.15,4.15,4.15,4.15,1000.0
2001-09-03,4.15,4.25,4.25,4.25,4500.0
2001-09-10,4.25,4.25,4.25,4.25,2500.0
2001-09-11,4.25,4.25,4.25,4.25,8000.0
2001-09-13,4.25,3.5,3.5,3.5,7000.0
2001-09-14,3.5,3.5,3.5,3.5,1000.0
2001-10-24,3.5,4.0,4.0,4.0,1000.0
2001-10-29,4.0,4.0,4.0,4.0,3000.0
2001-10-30,4.0,4.0,4.0,4.0,1500.0
2001-10-31,4.0,3.85,3.85,3.85,500.0
2001-11-02,3.85,3.7,3.7,3.7,3000.0
2001-11-05,3.7,3.7,3.7,3.7,500.0
2001-11-06,3.7,3.6,3.55,3.6,5000.0
2001-11-12,3.6,4.0,4.0,4.0,4000.0
2001-11-13,4.0,4.0,4.0,4.0,13000.0
2001-11-14,4.0,3.9,3.9,3.9,500.0
2001-11-21,3.9,4.25,4.25,4.25,1000.0
2001-11-22,4.25,4.75,4.35,4.7,14000.0
2001-11-24,4.7,4.8,4.8,4.8,500.0
2001-11-27,4.8,4.8,4.8,4.8,2000.0
2001-11-28,4.8,4.95,4.85,4.85,1000.0
2001-11-29,4.85,4.85,4.85,4.85,500.0
2001-12-06,4.85,4.35,4.35,4.35,1000.0
2001-12-15,3.35,3.35,3.35,3.35,0.0
2001-12-26,3.35,3.6,3.55,3.55,3000.0
2002-01-01,3.55,3.55,3.5,3.55,1500.0
2002-01-08,3.55,3.5,3.5,3.5,1000.0
2002-01-15,3.5,3.95,3.95,3.95,1000.0
2002-01-16,3.95,3.95,3.95,3.95,500.0
2002-01-18,3.95,3.95,3.95,3.95,1000.0
2002-01-23,3.95,4.0,3.95,4.0,6000.0
2002-01-30,4.0,4.25,4.25,4.25,1000.0
2002-01-31,4.25,4.9,4.35,4.9,3000.0
2002-02-01,4.9,4.9,4.9,4.9,1000.0
2002-02-04,4.9,5.25,5.2,5.2,6500.0
2002-02-07,5.2,4.05,4.05,4.05,500.0
2002-03-01,4.05,4.4,4.4,4.4,2000.0
2002-03-04,4.4,4.3,4.3,4.3,5000.0
2002-03-06,4.3,4.4,4.3,4.3,4000.0
2002-03-07,4.3,4.7,4.65,4.7,1000.0
2002-03-08,4.7,4.65,4.65,4.65,1000.0
2002-03-11,4.65,4.9,4.75,4.9,3500.0
2002-03-12,4.9,5.0,5.0,5.0,500.0
2002-03-15,5.0,5.0,4.95,5.0,351500.0
2002-03-20,5.0,5.0,5.0,5.0,1000.0
2002-03-21,5.0,4.8,4.75,4.75,3000.0
2002-03-22,4.75,4.85,4.85,4.85,1000.0
2002-03-28,4.85,5.0,4.9,4.9,2000.0
2002-03-29,4.9,4.9,4.9,4.9,1000.0
2002-04-01,4.9,5.45,5.35,5.35,6500.0
2002-04-02,5.35,5.45,5.25,5.4,3000.0
2002-04-03,5.4,5.5,5.5,5.5,2000.0
2002-04-04,5.5,5.25,5.25,5.25,500.0
2002-04-05,5.25,5.0,5.0,5.0,500.0
2002-04-08,5.0,5.2,5.1,5.2,3500.0
2002-04-09,5.2,5.4,5.35,5.35,2000.0
2002-04-10,5.35,5.95,5.7,5.75,1500.0
2002-04-11,5.75,6.0,5.7,5.7,578000.0
2002-04-12,5.7,6.0,6.0,6.0,500.0
2002-04-15,6.0,6.85,6.1,6.1,4500.0
2002-04-17,6.1,5.7,5.7,5.7,500.0
2002-04-18,5.7,6.0,6.0,6.0,4500.0
2002-04-29,6.0,6.65,6.45,6.65,11500.0
2002-05-02,6.65,8.15,7.25,8.1,55000.0
2002-05-03,8.1,7.85,7.35,7.35,3500.0
2002-05-06,7.35,7.55,6.75,6.75,11500.0
2002-05-07,6.75,7.0,6.5,6.5,4000.0
