Date,Open,High,Low,Close,Volume
2021-12-06,64.99,66.99,60.13,65.09,1310500.0
2021-12-07,62.0,62.0,60.4,60.43,4500.0
2021-12-08,63.45,63.45,57.0,57.0,3500.0
2021-12-09,60.0,61.27,56.5,59.68,10500.0
2021-12-10,59.68,64.0,59.68,64.0,1500.0
2021-12-13,65.49,65.49,59.2,60.62,19000.0
2021-12-14,63.99,63.99,56.16,56.16,1000.0
2021-12-15,60.37,60.37,51.95,60.17,16500.0
2021-12-16,62.0,62.0,56.17,59.79,5500.0
2021-12-17,62.0,62.0,56.0,61.0,1500.0
2021-12-20,58.0,61.5,56.43,60.7,4000.0
2021-12-22,56.5,61.0,56.5,60.23,4000.0
2021-12-23,56.61,60.5,56.6,59.61,6000.0
2021-12-24,57.0,61.0,56.0,60.37,8000.0
2021-12-27,60.0,60.0,60.0,60.0,1000.0
2021-12-28,57.0,61.0,57.0,60.2,5500.0
2021-12-29,58.0,60.9,57.0,60.18,13000.0
2021-12-30,57.0,59.99,57.0,57.45,16000.0
2021-12-31,57.0,60.5,57.0,60.0,8000.0
2022-01-03,64.5,64.5,58.6,60.63,3500.0
2022-01-04,57.05,60.5,57.05,60.5,1500.0
2022-01-05,57.5,61.0,57.0,60.05,7500.0
2022-01-06,57.26,60.0,57.26,60.0,2000.0
2022-01-07,57.26,60.45,57.26,59.13,6500.0
2022-01-10,59.0,61.0,56.21,59.83,10000.0
2022-01-12,60.0,61.0,57.5,58.25,5500.0
2022-01-13,54.5,61.0,54.5,59.75,8500.0
2022-01-14,58.0,60.5,58.0,60.09,6000.0
2022-01-17,57.02,60.09,57.02,58.7,9000.0
2022-01-18,58.5,59.95,58.5,59.44,6000.0
2022-01-19,58.5,59.93,58.5,59.85,5000.0
2022-01-20,59.0,60.91,59.0,60.25,4500.0
2022-01-21,59.0,60.2,59.0,60.14,4000.0
2022-01-24,59.0,59.95,59.0,59.74,5000.0
2022-01-25,58.5,60.25,58.5,59.03,9000.0
2022-01-26,59.9,60.0,59.9,59.92,4000.0
2022-01-27,60.0,60.0,60.0,60.0,1500.0
2022-01-28,59.0,60.5,59.0,59.99,4000.0
2022-01-31,58.0,59.99,58.0,59.95,11000.0
2022-02-01,59.0,60.0,58.65,60.0,11500.0
2022-02-02,60.0,60.0,60.0,60.0,500.0
2022-02-03,57.52,59.98,57.52,59.49,3000.0
2022-02-04,57.51,59.9,57.51,59.7,1500.0
2022-02-07,59.84,59.84,59.84,59.84,500.0
2022-02-08,59.99,59.99,56.5,58.49,3500.0
2022-02-09,58.0,58.99,58.0,58.99,1000.0
2022-02-10,55.0,55.0,55.0,55.0,23000.0
2022-02-14,56.99,56.99,56.99,56.99,500.0
2022-02-17,57.72,57.72,55.0,55.0,2000.0
2022-02-21,51.0,54.99,51.0,54.95,5500.0
2022-02-22,51.05,54.9,51.05,54.9,2000.0
2022-02-23,51.1,54.8,51.1,54.8,1500.0
2022-02-24,51.0,53.5,51.0,53.25,1500.0
2022-02-25,53.99,53.99,53.99,53.99,500.0
2022-03-01,50.0,57.45,50.0,54.28,7000.0
2022-03-02,51.5,58.3,51.5,58.3,1000.0
2022-03-03,55.1,56.75,55.0,56.75,5500.0
2022-03-04,58.0,58.0,58.0,58.0,500.0
2022-03-09,53.66,55.98,53.66,55.98,1000.0
2022-03-11,53.5,55.98,53.5,53.5,1500.0
2022-03-15,50.0,53.5,50.0,50.0,1500.0
2022-03-16,52.25,52.25,52.25,52.25,500.0
2022-03-17,53.98,53.98,53.98,53.98,500.0
2022-03-18,50.5,50.5,50.0,50.0,1000.0
2022-03-21,51.5,51.5,51.5,51.5,500.0
2022-03-22,47.65,51.75,47.65,51.75,1000.0
