Date,Open,High,Low,Close,Volume
2001-01-01,30.0,32.0,32.0,32.0,500.0
2001-01-04,32.0,32.0,32.0,32.0,0.0
2001-02-01,32.0,32.0,32.0,32.0,0.0
2001-02-27,32.0,32.0,32.0,32.0,500.0
2001-02-28,32.0,35.0,32.0,35.0,6000.0
2001-03-09,35.0,35.0,35.0,35.0,500.0
2001-03-13,35.0,31.0,31.0,31.0,2000.0
2001-03-15,31.0,30.0,30.0,30.0,2000.0
2001-03-21,30.0,30.0,27.75,30.0,2000.0
2001-03-22,30.0,30.0,30.0,30.0,1000.0
2001-03-29,30.0,32.0,29.0,30.0,6500.0
2001-04-16,30.0,31.5,31.0,31.5,1000.0
2001-04-17,31.5,32.0,32.0,32.0,1500.0
2001-05-04,32.0,30.0,30.0,30.0,2500.0
2001-05-09,30.0,32.25,32.25,32.25,1500.0
2001-06-01,32.25,31.5,31.25,31.25,1500.0
2001-06-04,31.25,32.25,32.25,32.25,2500.0
2001-06-06,32.25,32.0,32.0,32.0,500.0
2001-06-13,32.0,34.0,34.0,34.0,500.0
2001-06-18,34.0,34.5,34.5,34.5,500.0
2001-06-26,34.5,34.5,31.25,34.5,10000.0
2001-06-27,34.5,35.5,34.5,35.5,1000.0
2001-06-29,35.5,34.75,34.1,34.75,5500.0
2001-07-04,34.75,34.0,33.1,33.85,4500.0
2001-07-05,33.85,33.5,33.5,33.5,2000.0
2001-07-06,33.5,33.75,33.15,33.5,3500.0
2001-07-09,33.5,33.4,33.4,33.4,2000.0
2001-07-10,33.4,32.5,32.5,32.5,1000.0
2001-07-12,32.5,31.75,31.75,31.75,1000.0
2001-07-13,31.75,34.0,34.0,34.0,1000.0
2001-07-17,34.0,35.0,35.0,35.0,1000.0
2001-07-20,35.0,32.5,32.5,32.5,1000.0
2001-07-27,32.5,34.0,31.5,34.0,3000.0
2001-08-24,34.0,36.0,34.5,36.0,2000.0
2001-08-30,36.0,33.0,33.0,33.0,500.0
2001-08-31,33.0,33.0,33.0,33.0,500.0
2001-09-03,33.0,33.0,33.0,33.0,500.0
2001-09-06,33.0,35.5,35.5,35.5,500.0
2001-09-07,35.5,35.0,33.0,35.0,1500.0
2001-10-10,35.0,35.0,33.5,33.5,1000.0
2001-10-15,33.5,35.0,35.0,35.0,500.0
2001-10-22,35.0,37.0,35.0,37.0,2000.0
2001-11-08,37.0,40.0,40.0,40.0,500.0
2001-11-12,40.0,40.0,40.0,40.0,5000.0
2001-12-06,40.0,40.0,38.0,38.0,5000.0
2001-12-08,38.0,38.75,37.0,38.0,6500.0
2001-12-10,38.0,37.5,37.25,37.5,2500.0
2001-12-11,37.5,38.4,37.0,37.0,4500.0
2001-12-12,37.0,37.0,36.0,37.0,7500.0
2001-12-15,37.0,37.0,36.0,36.0,6000.0
2001-12-20,36.0,36.75,36.25,36.25,5000.0
2001-12-24,20.62,22.0,20.62,22.0,500.0
2002-01-01,22.0,23.0,23.0,23.0,500.0
2002-01-15,23.0,22.75,22.75,22.75,5000.0
2002-01-21,22.75,23.0,23.0,23.0,1000.0
2002-01-22,23.0,23.0,23.0,23.0,2000.0
2002-01-24,23.0,24.0,24.0,24.0,1000.0
