Date,Open,High,Low,Close,Volume
2001-01-03,6.5,7.0,6.5,7.0,15500.0
2001-01-04,7.0,7.5,6.7,7.0,22500.0
2001-01-09,7.0,6.75,6.75,6.75,500.0
2001-01-11,6.75,6.75,6.75,6.75,500.0
2001-01-18,6.75,6.5,6.5,6.5,1000.0
2001-01-22,6.5,6.5,6.5,6.5,1000.0
2001-01-23,6.5,6.75,6.75,6.75,1000.0
2001-02-01,6.75,6.0,6.0,6.0,3000.0
2001-02-02,6.0,6.3,6.2,6.2,2500.0
2001-02-06,6.2,6.25,6.15,6.15,3500.0
2001-02-08,6.15,6.3,6.3,6.3,1000.0
2001-02-12,6.3,6.4,6.4,6.4,1000.0
2001-02-13,6.4,6.35,6.3,6.35,1500.0
2001-02-14,6.35,6.4,6.4,6.4,500.0
2001-02-15,6.4,6.4,6.35,6.35,5500.0
2001-02-22,6.35,6.0,6.0,6.0,2000.0
2001-02-23,6.0,5.5,5.5,5.5,5000.0
2001-02-26,5.5,5.0,5.0,5.0,3500.0
2001-03-02,5.0,5.0,5.0,5.0,2000.0
2001-03-13,5.0,3.85,2.05,3.85,6000.0
2001-03-14,3.85,4.0,3.5,4.0,14500.0
2001-03-15,4.0,4.0,3.85,4.0,12500.0
2001-03-16,4.0,4.0,4.0,4.0,0.0
2001-03-20,4.0,4.0,4.0,4.0,6000.0
2001-03-21,4.0,4.0,4.0,4.0,4000.0
2001-03-29,4.0,4.0,4.0,4.0,5000.0
2001-03-30,4.0,4.0,4.0,4.0,0.0
2001-04-06,4.0,5.0,4.75,4.75,10000.0
2001-04-09,4.75,4.5,4.5,4.5,500.0
2001-04-26,4.5,7.0,4.75,4.75,16000.0
2001-04-27,4.75,4.5,4.25,4.25,2500.0
2001-05-03,4.25,4.75,4.75,4.75,1000.0
2001-05-08,4.75,4.9,4.9,4.9,500.0
2001-05-11,4.9,4.9,4.9,4.9,1000.0
2001-05-15,4.9,4.75,4.75,4.75,1000.0
2001-05-16,4.75,4.85,4.85,4.85,6000.0
2001-05-21,4.85,5.0,4.95,5.0,34000.0
2001-05-30,5.0,4.0,4.0,4.0,2000.0
2001-06-04,4.0,4.25,4.25,4.25,4000.0
2001-06-06,4.25,4.0,4.0,4.0,2000.0
2001-06-07,4.0,4.0,4.0,4.0,4000.0
2001-06-08,4.0,4.5,4.25,4.5,4000.0
2001-06-12,4.5,4.1,4.1,4.1,5000.0
2001-06-14,4.1,4.0,4.0,4.0,5000.0
2001-06-15,4.0,4.25,4.25,4.25,3000.0
2001-07-04,4.25,4.0,4.0,4.0,4000.0
2001-07-09,4.0,4.0,4.0,4.0,1000.0
2001-07-10,4.0,4.0,4.0,4.0,500.0
2001-07-11,4.0,4.0,4.0,4.0,2000.0
2001-07-17,4.0,4.0,4.0,4.0,72000.0
2001-07-18,4.0,4.0,4.0,4.0,13000.0
2001-07-24,4.0,4.25,4.25,4.25,1500.0
2001-07-31,4.25,4.0,4.0,4.0,6000.0
2001-08-01,4.0,4.0,4.0,4.0,7000.0
2001-08-06,4.0,4.25,4.2,4.25,5000.0
2001-08-10,4.25,4.0,4.0,4.0,1000.0
2001-08-17,4.0,4.0,4.0,4.0,5500.0
2001-08-23,4.0,4.25,4.25,4.25,2500.0
2001-08-29,4.25,4.25,4.25,4.25,16000.0
2001-09-05,4.25,4.0,3.9,3.9,10000.0
2001-09-10,3.9,4.25,4.25,4.25,1000.0
2001-09-11,4.25,4.25,4.25,4.25,2000.0
2001-10-15,4.25,4.5,4.5,4.5,1500.0
2001-10-16,4.5,4.5,4.5,4.5,3500.0
2001-10-23,4.5,4.75,4.75,4.75,4000.0
2001-10-25,4.75,4.55,4.55,4.55,4000.0
2001-10-29,4.55,4.5,4.5,4.5,1000.0
2001-12-08,4.5,4.25,4.25,4.25,2000.0
2001-12-10,4.25,4.5,4.5,4.5,500.0
2002-01-08,4.5,4.0,4.0,4.0,2000.0
2002-01-16,4.0,3.9,3.9,3.9,2000.0
2002-01-29,3.9,3.8,3.8,3.8,500.0
2002-01-30,3.8,4.25,4.25,4.25,2000.0
2002-01-31,4.25,4.2,4.0,4.2,3500.0
2002-02-01,4.2,4.5,4.5,4.5,21000.0
2002-02-12,4.5,4.8,4.8,4.8,1000.0
2002-02-13,4.8,4.5,4.5,4.5,9500.0
2002-02-14,4.5,4.0,4.0,4.0,500.0
2002-02-28,4.0,4.15,4.0,4.15,15000.0
2002-03-04,4.15,4.0,4.0,4.0,2500.0
2002-03-05,4.0,4.0,4.0,4.0,2000.0
2002-03-14,4.0,4.0,4.0,4.0,8500.0
2002-03-15,4.0,4.0,4.0,4.0,11500.0
2002-03-28,4.0,3.9,3.9,3.9,0.0
2002-04-01,3.9,4.2,4.0,4.1,24000.0
