Date,Open,High,Low,Close,Volume
2001-01-03,1.1,1.35,1.1,1.35,2000.0
2001-01-04,1.35,1.6,1.6,1.6,2500.0
2001-01-05,1.6,1.3,1.25,1.25,2000.0
2001-01-11,1.25,1.25,1.25,1.25,1000.0
2001-01-23,1.25,1.25,1.25,1.25,1000.0
2001-01-25,1.25,1.25,1.25,1.25,1000.0
2001-01-26,1.25,1.25,1.25,1.25,500.0
2001-01-30,1.25,1.25,1.25,1.25,1000.0
2001-01-31,1.25,1.25,1.25,1.25,1000.0
2001-02-02,1.25,1.1,1.1,1.1,500.0
2001-02-07,1.1,1.1,1.1,1.1,500.0
2001-02-09,1.1,1.1,1.1,1.1,1000.0
2001-02-12,1.1,1.1,1.1,1.1,1000.0
2001-02-13,1.1,1.3,1.2,1.3,3500.0
2001-02-15,1.3,1.25,1.2,1.2,1500.0
2001-02-16,1.2,1.2,1.2,1.2,2500.0
2001-02-19,1.2,1.3,1.2,1.3,2000.0
2001-02-20,1.3,1.25,1.25,1.25,1000.0
2001-02-23,1.25,1.1,1.1,1.1,1000.0
2001-02-26,1.1,1.1,1.1,1.1,500.0
2001-02-27,1.1,1.2,1.2,1.2,500.0
2001-02-28,1.2,1.1,1.1,1.1,500.0
2001-03-01,1.1,1.15,1.1,1.1,1000.0
2001-03-02,1.1,1.1,1.1,1.1,500.0
2001-03-09,1.1,1.3,1.1,1.25,9000.0
2001-03-13,1.25,0.95,0.95,0.95,500.0
2001-03-15,0.95,1.05,1.05,1.05,3000.0
2001-03-16,1.05,1.2,0.95,1.2,2000.0
2001-03-21,1.2,0.9,0.9,0.9,500.0
2001-03-30,0.9,0.85,0.85,0.85,1000.0
2001-04-02,0.85,0.75,0.5,0.75,10500.0
2001-04-03,0.75,0.8,0.75,0.75,5000.0
2001-05-08,0.75,0.8,0.8,0.8,500.0
2001-05-11,0.8,0.8,0.8,0.8,500.0
2001-05-14,0.8,0.8,0.8,0.8,500.0
2001-05-15,0.8,1.1,0.9,1.1,7500.0
2001-05-23,1.1,0.85,0.85,0.85,500.0
2001-05-30,0.85,0.9,0.9,0.9,500.0
2001-06-01,0.9,0.9,0.9,0.9,1000.0
2001-06-04,0.9,1.1,1.1,1.1,1000.0
2001-06-06,1.1,0.85,0.85,0.85,3000.0
2001-06-07,0.85,0.9,0.85,0.9,3500.0
2001-06-08,0.9,1.0,0.9,0.95,5000.0
2001-06-25,0.95,0.75,0.75,0.75,1500.0
2001-06-28,0.75,1.0,1.0,1.0,2500.0
2001-07-12,1.0,1.0,1.0,1.0,1500.0
2001-07-17,1.0,0.9,0.9,0.9,3000.0
2001-08-03,0.9,0.9,0.9,0.9,500.0
2001-08-27,0.9,0.7,0.7,0.7,1000.0
2001-10-05,0.7,0.7,0.7,0.7,500.0
2001-10-09,0.7,0.75,0.75,0.75,2000.0
2001-10-10,0.75,0.75,0.75,0.75,500.0
2001-10-11,0.75,0.85,0.75,0.85,2000.0
2001-10-12,0.85,0.85,0.85,0.85,4000.0
2001-10-17,0.85,0.95,0.95,0.95,1500.0
2001-10-18,0.95,0.95,0.95,0.95,500.0
2001-10-19,0.95,1.0,0.95,1.0,1500.0
2001-10-26,1.0,1.0,1.0,1.0,1000.0
2002-01-23,1.0,0.25,0.25,0.25,500.0
2002-02-07,0.25,0.4,0.4,0.4,1000.0
2002-03-14,0.4,0.75,0.75,0.75,500.0
2002-04-04,0.75,0.85,0.85,0.85,1000.0
2002-04-05,0.85,0.9,0.9,0.9,1000.0
2002-04-12,0.9,1.0,0.9,1.0,1500.0
